,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
7,0,5000,2002,9019.0,15000.0,0.017075999999999997,-0.844024,ABW,010111
6533,0,5001,2002,,,0.017075999999999997,-0.844024,ABW,010119
13059,0,5002,2002,,,0.017075999999999997,-0.844024,ABW,010120
19585,0,5003,2002,,,0.017075999999999997,-0.844024,ABW,010210
26111,0,5004,2002,,,0.017075999999999997,-0.844024,ABW,010290
32637,0,5005,2002,,,0.017075999999999997,-0.844024,ABW,010310
39163,0,5006,2002,,,0.017075999999999997,-0.844024,ABW,010391
45689,0,5007,2002,,,0.017075999999999997,-0.844024,ABW,010392
52215,0,5008,2002,,,0.017075999999999997,-0.844024,ABW,010410
58741,0,5009,2002,,,0.017075999999999997,-0.844024,ABW,010420
65267,0,5010,2002,0.0,6707.0,0.017075999999999997,-0.844024,ABW,010511
71793,0,5011,2002,,,0.017075999999999997,-0.844024,ABW,010519
78319,0,5012,2002,0.0,1775.0,0.017075999999999997,-0.844024,ABW,010591
84845,0,5013,2002,,,0.017075999999999997,-0.844024,ABW,010599
91371,0,5014,2002,0.0,6624.0,0.017075999999999997,-0.844024,ABW,010600
97897,0,5015,2002,,,0.017075999999999997,-0.844024,ABW,020110
104423,0,5016,2002,0.0,7445.0,0.017075999999999997,-0.844024,ABW,020120
110949,0,5017,2002,0.0,16538.0,0.017075999999999997,-0.844024,ABW,020130
117475,0,5018,2002,0.0,38392.0,0.017075999999999997,-0.844024,ABW,020210
124001,0,5019,2002,0.0,178445.0,0.017075999999999997,-0.844024,ABW,020220
130527,0,5020,2002,0.0,995744.0,0.017075999999999997,-0.844024,ABW,020230
137053,0,5021,2002,0.0,36855.0,0.017075999999999997,-0.844024,ABW,020311
143579,0,5022,2002,,,0.017075999999999997,-0.844024,ABW,020312
150105,0,5023,2002,0.0,51413.0,0.017075999999999997,-0.844024,ABW,020319
156631,0,5024,2002,0.0,29654.0,0.017075999999999997,-0.844024,ABW,020321
163157,0,5025,2002,0.0,167923.0,0.017075999999999997,-0.844024,ABW,020322
