,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
72,2,5000,2015,0.0,46513.0,-1.6542,-1.2598989999999999,AGO,010111
6598,2,5001,2015,0.0,12135.0,-1.6542,-1.2598989999999999,AGO,010119
13124,2,5002,2015,0.0,1567.0,-1.6542,-1.2598989999999999,AGO,010120
19650,2,5003,2015,0.0,641556.0,-1.6542,-1.2598989999999999,AGO,010210
26176,2,5004,2015,1103.0,769676.0,-1.6542,-1.2598989999999999,AGO,010290
32702,2,5005,2015,0.0,17531.0,-1.6542,-1.2598989999999999,AGO,010310
39228,2,5006,2015,,,-1.6542,-1.2598989999999999,AGO,010391
45754,2,5007,2015,0.0,14539.0,-1.6542,-1.2598989999999999,AGO,010392
52280,2,5008,2015,0.0,19302.0,-1.6542,-1.2598989999999999,AGO,010410
58806,2,5009,2015,0.0,274677.0,-1.6542,-1.2598989999999999,AGO,010420
65332,2,5010,2015,0.0,1181089.0,-1.6542,-1.2598989999999999,AGO,010511
71858,2,5011,2015,0.0,240483.0,-1.6542,-1.2598989999999999,AGO,010519
78384,2,5012,2015,,,-1.6542,-1.2598989999999999,AGO,010591
84910,2,5013,2015,10484.0,498145.0,-1.6542,-1.2598989999999999,AGO,010599
91436,2,5014,2015,4346.0,135412.0,-1.6542,-1.2598989999999999,AGO,010600
97962,2,5015,2015,0.0,75236.0,-1.6542,-1.2598989999999999,AGO,020110
104488,2,5016,2015,1646.0,1561961.0,-1.6542,-1.2598989999999999,AGO,020120
111014,2,5017,2015,4320.0,1661876.0,-1.6542,-1.2598989999999999,AGO,020130
117540,2,5018,2015,0.0,1738493.0,-1.6542,-1.2598989999999999,AGO,020210
124066,2,5019,2015,0.0,19318147.0,-1.6542,-1.2598989999999999,AGO,020220
130592,2,5020,2015,13697.0,85447392.0,-1.6542,-1.2598989999999999,AGO,020230
137118,2,5021,2015,0.0,426010.0,-1.6542,-1.2598989999999999,AGO,020311
143644,2,5022,2015,0.0,386578.0,-1.6542,-1.2598989999999999,AGO,020312
150170,2,5023,2015,4591.0,1584171.0,-1.6542,-1.2598989999999999,AGO,020319
156696,2,5024,2015,0.0,2291676.0,-1.6542,-1.2598989999999999,AGO,020321
163222,2,5025,2015,29477.0,7443213.0,-1.6542,-1.2598989999999999,AGO,020322
169748,2,5026,2015,70025.0,67955203.0,-1.6542,-1.2598989999999999,AGO,020329
176274,2,5027,2015,11713.0,21628.0,-1.6542,-1.2598989999999999,AGO,020410
182800,2,5028,2015,0.0,31883.0,-1.6542,-1.2598989999999999,AGO,020421
189326,2,5029,2015,0.0,347183.0,-1.6542,-1.2598989999999999,AGO,020422
195852,2,5030,2015,0.0,74893.0,-1.6542,-1.2598989999999999,AGO,020423
202378,2,5031,2015,0.0,442275.0,-1.6542,-1.2598989999999999,AGO,020430
208904,2,5032,2015,0.0,40208.0,-1.6542,-1.2598989999999999,AGO,020441
215430,2,5033,2015,0.0,1157444.0,-1.6542,-1.2598989999999999,AGO,020442
221956,2,5034,2015,0.0,117188.0,-1.6542,-1.2598989999999999,AGO,020443
228482,2,5035,2015,0.0,297859.0,-1.6542,-1.2598989999999999,AGO,020450
235008,2,5036,2015,,,-1.6542,-1.2598989999999999,AGO,020500
241534,2,5037,2015,0.0,545836.0,-1.6542,-1.2598989999999999,AGO,020610
248060,2,5038,2015,0.0,388812.0,-1.6542,-1.2598989999999999,AGO,020621
254586,2,5039,2015,7812.0,7199945.0,-1.6542,-1.2598989999999999,AGO,020622
261112,2,5040,2015,6108.0,7840974.0,-1.6542,-1.2598989999999999,AGO,020629
267638,2,5041,2015,0.0,9883.0,-1.6542,-1.2598989999999999,AGO,020630
274164,2,5042,2015,0.0,120322.0,-1.6542,-1.2598989999999999,AGO,020641
280690,2,5043,2015,0.0,11658361.0,-1.6542,-1.2598989999999999,AGO,020649
287216,2,5044,2015,0.0,305655.0,-1.6542,-1.2598989999999999,AGO,020680
293742,2,5045,2015,0.0,703482.0,-1.6542,-1.2598989999999999,AGO,020690
300268,2,5046,2015,41136.0,1433476.0,-1.6542,-1.2598989999999999,AGO,020710
306794,2,5047,2015,483500.0,60640018.0,-1.6542,-1.2598989999999999,AGO,020721
313320,2,5048,2015,0.0,1367883.0,-1.6542,-1.2598989999999999,AGO,020722
319846,2,5049,2015,0.0,1561996.0,-1.6542,-1.2598989999999999,AGO,020723
326372,2,5050,2015,0.0,16678.0,-1.6542,-1.2598989999999999,AGO,020731
332898,2,5051,2015,4300.0,4025308.0,-1.6542,-1.2598989999999999,AGO,020739
339424,2,5052,2015,202915.0,132257689.0,-1.6542,-1.2598989999999999,AGO,020741
345950,2,5053,2015,3560.0,10438400.0,-1.6542,-1.2598989999999999,AGO,020742
352476,2,5054,2015,0.0,187574.0,-1.6542,-1.2598989999999999,AGO,020743
359002,2,5055,2015,,,-1.6542,-1.2598989999999999,AGO,020750
365528,2,5056,2015,0.0,104296.0,-1.6542,-1.2598989999999999,AGO,020810
372054,2,5057,2015,,,-1.6542,-1.2598989999999999,AGO,020820
378580,2,5058,2015,0.0,262463.0,-1.6542,-1.2598989999999999,AGO,020890
385106,2,5059,2015,3475.0,793294.0,-1.6542,-1.2598989999999999,AGO,020900
391632,2,5060,2015,0.0,1672914.0,-1.6542,-1.2598989999999999,AGO,021011
398158,2,5061,2015,998.0,1557277.0,-1.6542,-1.2598989999999999,AGO,021012
404684,2,5062,2015,0.0,3409015.0,-1.6542,-1.2598989999999999,AGO,021019
411210,2,5063,2015,0.0,17664803.0,-1.6542,-1.2598989999999999,AGO,021020
417736,2,5064,2015,0.0,296137.0,-1.6542,-1.2598989999999999,AGO,021090
424262,2,5065,2015,0.0,4506.0,-1.6542,-1.2598989999999999,AGO,030110
430788,2,5066,2015,,,-1.6542,-1.2598989999999999,AGO,030191
437314,2,5067,2015,,,-1.6542,-1.2598989999999999,AGO,030192
443840,2,5068,2015,,,-1.6542,-1.2598989999999999,AGO,030193
450366,2,5069,2015,0.0,5391.0,-1.6542,-1.2598989999999999,AGO,030199
456892,2,5070,2015,0.0,10478.0,-1.6542,-1.2598989999999999,AGO,030211
463418,2,5071,2015,0.0,384402.0,-1.6542,-1.2598989999999999,AGO,030212
469944,2,5072,2015,1737843.0,94265.0,-1.6542,-1.2598989999999999,AGO,030219
476470,2,5073,2015,0.0,7632.0,-1.6542,-1.2598989999999999,AGO,030221
482996,2,5074,2015,0.0,5376.0,-1.6542,-1.2598989999999999,AGO,030222
489522,2,5075,2015,0.0,2812.0,-1.6542,-1.2598989999999999,AGO,030223
496048,2,5076,2015,3801032.0,9512.0,-1.6542,-1.2598989999999999,AGO,030229
502574,2,5077,2015,0.0,76541.0,-1.6542,-1.2598989999999999,AGO,030231
509100,2,5078,2015,0.0,18252.0,-1.6542,-1.2598989999999999,AGO,030232
515626,2,5079,2015,,,-1.6542,-1.2598989999999999,AGO,030233
522152,2,5080,2015,0.0,178607.0,-1.6542,-1.2598989999999999,AGO,030239
528678,2,5081,2015,0.0,17542.0,-1.6542,-1.2598989999999999,AGO,030240
535204,2,5082,2015,0.0,253720.0,-1.6542,-1.2598989999999999,AGO,030250
541730,2,5083,2015,22461.0,11292.0,-1.6542,-1.2598989999999999,AGO,030261
548256,2,5084,2015,,,-1.6542,-1.2598989999999999,AGO,030262
554782,2,5085,2015,0.0,3855.0,-1.6542,-1.2598989999999999,AGO,030263
561308,2,5086,2015,0.0,21469.0,-1.6542,-1.2598989999999999,AGO,030264
567834,2,5087,2015,,,-1.6542,-1.2598989999999999,AGO,030265
574360,2,5088,2015,,,-1.6542,-1.2598989999999999,AGO,030266
580886,2,5089,2015,71412.0,7589043.0,-1.6542,-1.2598989999999999,AGO,030269
587412,2,5090,2015,0.0,2673.0,-1.6542,-1.2598989999999999,AGO,030270
593938,2,5091,2015,0.0,1878937.0,-1.6542,-1.2598989999999999,AGO,030310
600464,2,5092,2015,0.0,19574.0,-1.6542,-1.2598989999999999,AGO,030321
606990,2,5093,2015,0.0,47119.0,-1.6542,-1.2598989999999999,AGO,030322
613516,2,5094,2015,484957.0,305573.0,-1.6542,-1.2598989999999999,AGO,030329
620042,2,5095,2015,0.0,75623.0,-1.6542,-1.2598989999999999,AGO,030331
626568,2,5096,2015,0.0,39605.0,-1.6542,-1.2598989999999999,AGO,030332
633094,2,5097,2015,0.0,27955.0,-1.6542,-1.2598989999999999,AGO,030333
639620,2,5098,2015,104133.0,226716.0,-1.6542,-1.2598989999999999,AGO,030339
646146,2,5099,2015,8531.0,18478.0,-1.6542,-1.2598989999999999,AGO,030341
652672,2,5100,2015,11458.0,21615.0,-1.6542,-1.2598989999999999,AGO,030342
659198,2,5101,2015,10688.0,0.0,-1.6542,-1.2598989999999999,AGO,030343
665724,2,5102,2015,391517.0,12189.0,-1.6542,-1.2598989999999999,AGO,030349
672250,2,5103,2015,98327.0,1097.0,-1.6542,-1.2598989999999999,AGO,030350
678776,2,5104,2015,180862.0,2626695.0,-1.6542,-1.2598989999999999,AGO,030360
685302,2,5105,2015,5096287.0,236933.0,-1.6542,-1.2598989999999999,AGO,030371
691828,2,5106,2015,0.0,3057.0,-1.6542,-1.2598989999999999,AGO,030372
698354,2,5107,2015,0.0,951.0,-1.6542,-1.2598989999999999,AGO,030373
704880,2,5108,2015,6862571.0,2026427.0,-1.6542,-1.2598989999999999,AGO,030374
711406,2,5109,2015,0.0,25031.0,-1.6542,-1.2598989999999999,AGO,030375
717932,2,5110,2015,,,-1.6542,-1.2598989999999999,AGO,030376
724458,2,5111,2015,0.0,82552.0,-1.6542,-1.2598989999999999,AGO,030377
730984,2,5112,2015,1386455.0,709454.0,-1.6542,-1.2598989999999999,AGO,030378
737510,2,5113,2015,41552110.0,90395608.0,-1.6542,-1.2598989999999999,AGO,030379
744036,2,5114,2015,0.0,35377.0,-1.6542,-1.2598989999999999,AGO,030380
750562,2,5115,2015,0.0,881888.0,-1.6542,-1.2598989999999999,AGO,030410
757088,2,5116,2015,0.0,3299435.0,-1.6542,-1.2598989999999999,AGO,030420
763614,2,5117,2015,0.0,1570172.0,-1.6542,-1.2598989999999999,AGO,030490
770140,2,5118,2015,4288412.0,10634.0,-1.6542,-1.2598989999999999,AGO,030510
776666,2,5119,2015,0.0,2990.0,-1.6542,-1.2598989999999999,AGO,030520
783192,2,5120,2015,0.0,1113596.0,-1.6542,-1.2598989999999999,AGO,030530
789718,2,5121,2015,0.0,512772.0,-1.6542,-1.2598989999999999,AGO,030541
796244,2,5122,2015,0.0,1336.0,-1.6542,-1.2598989999999999,AGO,030542
802770,2,5123,2015,0.0,67161.0,-1.6542,-1.2598989999999999,AGO,030549
