,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
112,4,5000,2003,1435.0,1763.0,-0.053595000000000004,0.166034,ALB,010111
6638,4,5001,2003,,,-0.053595000000000004,0.166034,ALB,010119
13164,4,5002,2003,,,-0.053595000000000004,0.166034,ALB,010120
19690,4,5003,2003,0.0,1068806.0,-0.053595000000000004,0.166034,ALB,010210
26216,4,5004,2003,0.0,1421769.0,-0.053595000000000004,0.166034,ALB,010290
32742,4,5005,2003,0.0,36594.0,-0.053595000000000004,0.166034,ALB,010310
39268,4,5006,2003,0.0,16668.0,-0.053595000000000004,0.166034,ALB,010391
45794,4,5007,2003,0.0,42312.0,-0.053595000000000004,0.166034,ALB,010392
52320,4,5008,2003,0.0,3931.0,-0.053595000000000004,0.166034,ALB,010410
58846,4,5009,2003,,,-0.053595000000000004,0.166034,ALB,010420
65372,4,5010,2003,0.0,1075785.0,-0.053595000000000004,0.166034,ALB,010511
71898,4,5011,2003,0.0,15895.0,-0.053595000000000004,0.166034,ALB,010519
78424,4,5012,2003,0.0,108989.0,-0.053595000000000004,0.166034,ALB,010591
84950,4,5013,2003,0.0,2997.0,-0.053595000000000004,0.166034,ALB,010599
91476,4,5014,2003,732694.0,366261.0,-0.053595000000000004,0.166034,ALB,010600
98002,4,5015,2003,97832.0,13751.0,-0.053595000000000004,0.166034,ALB,020110
104528,4,5016,2003,0.0,36272.0,-0.053595000000000004,0.166034,ALB,020120
111054,4,5017,2003,9392.0,482771.0,-0.053595000000000004,0.166034,ALB,020130
117580,4,5018,2003,0.0,131613.0,-0.053595000000000004,0.166034,ALB,020210
124106,4,5019,2003,0.0,297597.0,-0.053595000000000004,0.166034,ALB,020220
130632,4,5020,2003,0.0,2899274.0,-0.053595000000000004,0.166034,ALB,020230
137158,4,5021,2003,0.0,335930.0,-0.053595000000000004,0.166034,ALB,020311
143684,4,5022,2003,0.0,32243.0,-0.053595000000000004,0.166034,ALB,020312
150210,4,5023,2003,0.0,62041.0,-0.053595000000000004,0.166034,ALB,020319
156736,4,5024,2003,0.0,201853.0,-0.053595000000000004,0.166034,ALB,020321
163262,4,5025,2003,0.0,138715.0,-0.053595000000000004,0.166034,ALB,020322
169788,4,5026,2003,0.0,7975966.0,-0.053595000000000004,0.166034,ALB,020329
176314,4,5027,2003,,,-0.053595000000000004,0.166034,ALB,020410
182840,4,5028,2003,,,-0.053595000000000004,0.166034,ALB,020421
189366,4,5029,2003,,,-0.053595000000000004,0.166034,ALB,020422
195892,4,5030,2003,,,-0.053595000000000004,0.166034,ALB,020423
202418,4,5031,2003,0.0,37451.0,-0.053595000000000004,0.166034,ALB,020430
208944,4,5032,2003,,,-0.053595000000000004,0.166034,ALB,020441
215470,4,5033,2003,0.0,361950.0,-0.053595000000000004,0.166034,ALB,020442
221996,4,5034,2003,0.0,18080.0,-0.053595000000000004,0.166034,ALB,020443
228522,4,5035,2003,0.0,7832.0,-0.053595000000000004,0.166034,ALB,020450
235048,4,5036,2003,0.0,8342.0,-0.053595000000000004,0.166034,ALB,020500
241574,4,5037,2003,0.0,36605.0,-0.053595000000000004,0.166034,ALB,020610
248100,4,5038,2003,0.0,28189.0,-0.053595000000000004,0.166034,ALB,020621
254626,4,5039,2003,0.0,100683.0,-0.053595000000000004,0.166034,ALB,020622
261152,4,5040,2003,0.0,94886.0,-0.053595000000000004,0.166034,ALB,020629
267678,4,5041,2003,0.0,46420.0,-0.053595000000000004,0.166034,ALB,020630
274204,4,5042,2003,0.0,98417.0,-0.053595000000000004,0.166034,ALB,020641
280730,4,5043,2003,0.0,836327.0,-0.053595000000000004,0.166034,ALB,020649
287256,4,5044,2003,0.0,7407.0,-0.053595000000000004,0.166034,ALB,020680
293782,4,5045,2003,0.0,49707.0,-0.053595000000000004,0.166034,ALB,020690
300308,4,5046,2003,0.0,542646.0,-0.053595000000000004,0.166034,ALB,020710
306834,4,5047,2003,0.0,3929790.0,-0.053595000000000004,0.166034,ALB,020721
313360,4,5048,2003,0.0,118065.0,-0.053595000000000004,0.166034,ALB,020722
319886,4,5049,2003,0.0,54944.0,-0.053595000000000004,0.166034,ALB,020723
326412,4,5050,2003,,,-0.053595000000000004,0.166034,ALB,020731
332938,4,5051,2003,0.0,570288.0,-0.053595000000000004,0.166034,ALB,020739
339464,4,5052,2003,0.0,1895403.0,-0.053595000000000004,0.166034,ALB,020741
345990,4,5053,2003,34722.0,866805.0,-0.053595000000000004,0.166034,ALB,020742
352516,4,5054,2003,0.0,5790.0,-0.053595000000000004,0.166034,ALB,020743
359042,4,5055,2003,,,-0.053595000000000004,0.166034,ALB,020750
365568,4,5056,2003,0.0,32849.0,-0.053595000000000004,0.166034,ALB,020810
372094,4,5057,2003,547552.0,294781.0,-0.053595000000000004,0.166034,ALB,020820
378620,4,5058,2003,0.0,5564.0,-0.053595000000000004,0.166034,ALB,020890
385146,4,5059,2003,0.0,719430.0,-0.053595000000000004,0.166034,ALB,020900
391672,4,5060,2003,0.0,89703.0,-0.053595000000000004,0.166034,ALB,021011
398198,4,5061,2003,0.0,3287.0,-0.053595000000000004,0.166034,ALB,021012
404724,4,5062,2003,0.0,79187.0,-0.053595000000000004,0.166034,ALB,021019
411250,4,5063,2003,0.0,50954.0,-0.053595000000000004,0.166034,ALB,021020
417776,4,5064,2003,0.0,5787.0,-0.053595000000000004,0.166034,ALB,021090
424302,4,5065,2003,0.0,9174.0,-0.053595000000000004,0.166034,ALB,030110
430828,4,5066,2003,0.0,15076.0,-0.053595000000000004,0.166034,ALB,030191
437354,4,5067,2003,58531.0,0.0,-0.053595000000000004,0.166034,ALB,030192
443880,4,5068,2003,0.0,4253.0,-0.053595000000000004,0.166034,ALB,030193
450406,4,5069,2003,0.0,17786.0,-0.053595000000000004,0.166034,ALB,030199
456932,4,5070,2003,5697.0,17864.0,-0.053595000000000004,0.166034,ALB,030211
463458,4,5071,2003,0.0,33907.0,-0.053595000000000004,0.166034,ALB,030212
469984,4,5072,2003,5321.0,4555.0,-0.053595000000000004,0.166034,ALB,030219
476510,4,5073,2003,2371.0,1560.0,-0.053595000000000004,0.166034,ALB,030221
483036,4,5074,2003,1826.0,1422.0,-0.053595000000000004,0.166034,ALB,030222
489562,4,5075,2003,3550.0,0.0,-0.053595000000000004,0.166034,ALB,030223
496088,4,5076,2003,6701.0,6228.0,-0.053595000000000004,0.166034,ALB,030229
502614,4,5077,2003,,,-0.053595000000000004,0.166034,ALB,030231
509140,4,5078,2003,,,-0.053595000000000004,0.166034,ALB,030232
515666,4,5079,2003,,,-0.053595000000000004,0.166034,ALB,030233
522192,4,5080,2003,,,-0.053595000000000004,0.166034,ALB,030239
528718,4,5081,2003,,,-0.053595000000000004,0.166034,ALB,030240
535244,4,5082,2003,88120.0,1576.0,-0.053595000000000004,0.166034,ALB,030250
541770,4,5083,2003,0.0,25178.0,-0.053595000000000004,0.166034,ALB,030261
548296,4,5084,2003,,,-0.053595000000000004,0.166034,ALB,030262
554822,4,5085,2003,2057.0,0.0,-0.053595000000000004,0.166034,ALB,030263
561348,4,5086,2003,0.0,23493.0,-0.053595000000000004,0.166034,ALB,030264
567874,4,5087,2003,0.0,3350.0,-0.053595000000000004,0.166034,ALB,030265
574400,4,5088,2003,16990.0,0.0,-0.053595000000000004,0.166034,ALB,030266
580926,4,5089,2003,357785.0,1848642.0,-0.053595000000000004,0.166034,ALB,030269
587452,4,5090,2003,10672.0,0.0,-0.053595000000000004,0.166034,ALB,030270
593978,4,5091,2003,0.0,15154.0,-0.053595000000000004,0.166034,ALB,030310
600504,4,5092,2003,34125.0,10720.0,-0.053595000000000004,0.166034,ALB,030321
607030,4,5093,2003,0.0,48028.0,-0.053595000000000004,0.166034,ALB,030322
613556,4,5094,2003,0.0,104025.0,-0.053595000000000004,0.166034,ALB,030329
620082,4,5095,2003,,,-0.053595000000000004,0.166034,ALB,030331
626608,4,5096,2003,,,-0.053595000000000004,0.166034,ALB,030332
633134,4,5097,2003,,,-0.053595000000000004,0.166034,ALB,030333
639660,4,5098,2003,1292.0,2096.0,-0.053595000000000004,0.166034,ALB,030339
646186,4,5099,2003,,,-0.053595000000000004,0.166034,ALB,030341
652712,4,5100,2003,,,-0.053595000000000004,0.166034,ALB,030342
659238,4,5101,2003,,,-0.053595000000000004,0.166034,ALB,030343
665764,4,5102,2003,,,-0.053595000000000004,0.166034,ALB,030349
672290,4,5103,2003,,,-0.053595000000000004,0.166034,ALB,030350
678816,4,5104,2003,0.0,28283.0,-0.053595000000000004,0.166034,ALB,030360
685342,4,5105,2003,,,-0.053595000000000004,0.166034,ALB,030371
691868,4,5106,2003,,,-0.053595000000000004,0.166034,ALB,030372
698394,4,5107,2003,,,-0.053595000000000004,0.166034,ALB,030373
704920,4,5108,2003,0.0,165202.0,-0.053595000000000004,0.166034,ALB,030374
711446,4,5109,2003,,,-0.053595000000000004,0.166034,ALB,030375
717972,4,5110,2003,11951.0,992.0,-0.053595000000000004,0.166034,ALB,030376
724498,4,5111,2003,,,-0.053595000000000004,0.166034,ALB,030377
731024,4,5112,2003,,,-0.053595000000000004,0.166034,ALB,030378
737550,4,5113,2003,94845.0,572071.0,-0.053595000000000004,0.166034,ALB,030379
744076,4,5114,2003,,,-0.053595000000000004,0.166034,ALB,030380
750602,4,5115,2003,2150.0,2556.0,-0.053595000000000004,0.166034,ALB,030410
757128,4,5116,2003,0.0,57925.0,-0.053595000000000004,0.166034,ALB,030420
763654,4,5117,2003,0.0,4012.0,-0.053595000000000004,0.166034,ALB,030490
770180,4,5118,2003,0.0,5926.0,-0.053595000000000004,0.166034,ALB,030510
776706,4,5119,2003,0.0,23939.0,-0.053595000000000004,0.166034,ALB,030520
783232,4,5120,2003,0.0,44196.0,-0.053595000000000004,0.166034,ALB,030530
789758,4,5121,2003,,,-0.053595000000000004,0.166034,ALB,030541
796284,4,5122,2003,,,-0.053595000000000004,0.166034,ALB,030542
802810,4,5123,2003,,,-0.053595000000000004,0.166034,ALB,030549
809336,4,5124,2003,,,-0.053595000000000004,0.166034,ALB,030551
815862,4,5125,2003,0.0,258441.0,-0.053595000000000004,0.166034,ALB,030559
822388,4,5126,2003,,,-0.053595000000000004,0.166034,ALB,030561
828914,4,5127,2003,,,-0.053595000000000004,0.166034,ALB,030562
835440,4,5128,2003,117244.0,1803131.0,-0.053595000000000004,0.166034,ALB,030563
841966,4,5129,2003,0.0,31315.0,-0.053595000000000004,0.166034,ALB,030569
848492,4,5130,2003,3059.0,15194.0,-0.053595000000000004,0.166034,ALB,030611
855018,4,5131,2003,0.0,2495.0,-0.053595000000000004,0.166034,ALB,030612
861544,4,5132,2003,0.0,100880.0,-0.053595000000000004,0.166034,ALB,030613
868070,4,5133,2003,12770.0,15170.0,-0.053595000000000004,0.166034,ALB,030614
874596,4,5134,2003,19692.0,1568.0,-0.053595000000000004,0.166034,ALB,030619
881122,4,5135,2003,3810.0,0.0,-0.053595000000000004,0.166034,ALB,030621
887648,4,5136,2003,11895.0,0.0,-0.053595000000000004,0.166034,ALB,030622
894174,4,5137,2003,8792.0,25359.0,-0.053595000000000004,0.166034,ALB,030623
900700,4,5138,2003,,,-0.053595000000000004,0.166034,ALB,030624
907226,4,5139,2003,21408.0,0.0,-0.053595000000000004,0.166034,ALB,030629
913752,4,5140,2003,,,-0.053595000000000004,0.166034,ALB,030710
920278,4,5141,2003,9373.0,0.0,-0.053595000000000004,0.166034,ALB,030721
926804,4,5142,2003,988.0,0.0,-0.053595000000000004,0.166034,ALB,030729
933330,4,5143,2003,,,-0.053595000000000004,0.166034,ALB,030731
939856,4,5144,2003,,,-0.053595000000000004,0.166034,ALB,030739
946382,4,5145,2003,1526.0,19198.0,-0.053595000000000004,0.166034,ALB,030741
952908,4,5146,2003,,,-0.053595000000000004,0.166034,ALB,030749
959434,4,5147,2003,74502.0,0.0,-0.053595000000000004,0.166034,ALB,030751
965960,4,5148,2003,0.0,26971.0,-0.053595000000000004,0.166034,ALB,030759
972486,4,5149,2003,9429.0,3122.0,-0.053595000000000004,0.166034,ALB,030760
979012,4,5150,2003,,,-0.053595000000000004,0.166034,ALB,030791
985538,4,5151,2003,0.0,4581.0,-0.053595000000000004,0.166034,ALB,030799
992064,4,5152,2003,0.0,85840.0,-0.053595000000000004,0.166034,ALB,040110
998590,4,5153,2003,0.0,1204117.0,-0.053595000000000004,0.166034,ALB,040120
1005116,4,5154,2003,0.0,308512.0,-0.053595000000000004,0.166034,ALB,040130
1011642,4,5155,2003,0.0,498057.0,-0.053595000000000004,0.166034,ALB,040210
1018168,4,5156,2003,0.0,250584.0,-0.053595000000000004,0.166034,ALB,040221
1024694,4,5157,2003,0.0,304107.0,-0.053595000000000004,0.166034,ALB,040229
1031220,4,5158,2003,0.0,360442.0,-0.053595000000000004,0.166034,ALB,040291
1037746,4,5159,2003,0.0,90257.0,-0.053595000000000004,0.166034,ALB,040299
1044272,4,5160,2003,3449.0,312955.0,-0.053595000000000004,0.166034,ALB,040310
1050798,4,5161,2003,0.0,439519.0,-0.053595000000000004,0.166034,ALB,040390
1057324,4,5162,2003,0.0,112352.0,-0.053595000000000004,0.166034,ALB,040410
1063850,4,5163,2003,0.0,56621.0,-0.053595000000000004,0.166034,ALB,040490
1070376,4,5164,2003,0.0,1184044.0,-0.053595000000000004,0.166034,ALB,040500
1076902,4,5165,2003,0.0,125127.0,-0.053595000000000004,0.166034,ALB,040610
1083428,4,5166,2003,0.0,6554.0,-0.053595000000000004,0.166034,ALB,040620
1089954,4,5167,2003,0.0,505579.0,-0.053595000000000004,0.166034,ALB,040630
1096480,4,5168,2003,,,-0.053595000000000004,0.166034,ALB,040640
1103006,4,5169,2003,354286.0,1865872.0,-0.053595000000000004,0.166034,ALB,040690
1109532,4,5170,2003,593085.0,0.0,-0.053595000000000004,0.166034,ALB,040700
1116058,4,5171,2003,,,-0.053595000000000004,0.166034,ALB,040811
1122584,4,5172,2003,0.0,1182.0,-0.053595000000000004,0.166034,ALB,040819
1129110,4,5173,2003,,,-0.053595000000000004,0.166034,ALB,040891
1135636,4,5174,2003,,,-0.053595000000000004,0.166034,ALB,040899
1142162,4,5175,2003,3885.0,38260.0,-0.053595000000000004,0.166034,ALB,040900
1148688,4,5176,2003,,,-0.053595000000000004,0.166034,ALB,041000
1155214,4,5177,2003,,,-0.053595000000000004,0.166034,ALB,050100
1161740,4,5178,2003,,,-0.053595000000000004,0.166034,ALB,050210
1168266,4,5179,2003,,,-0.053595000000000004,0.166034,ALB,050290
1174792,4,5180,2003,,,-0.053595000000000004,0.166034,ALB,050300
1181318,4,5181,2003,0.0,94569.0,-0.053595000000000004,0.166034,ALB,050400
1187844,4,5182,2003,0.0,1351.0,-0.053595000000000004,0.166034,ALB,050510
1194370,4,5183,2003,,,-0.053595000000000004,0.166034,ALB,050590
1200896,4,5184,2003,,,-0.053595000000000004,0.166034,ALB,050610
1207422,4,5185,2003,,,-0.053595000000000004,0.166034,ALB,050690
1213948,4,5186,2003,,,-0.053595000000000004,0.166034,ALB,050710
1220474,4,5187,2003,,,-0.053595000000000004,0.166034,ALB,050790
