,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6516,250,5000,2011,3818978.0,2195479.0,0.475638,-0.160135,ANS,010111
13042,250,5001,2011,481458.0,43229.0,0.475638,-0.160135,ANS,010119
19568,250,5002,2011,,,0.475638,-0.160135,ANS,010120
26094,250,5003,2011,851852.0,1663654.0,0.475638,-0.160135,ANS,010210
32620,250,5004,2011,7901606.0,57170094.0,0.475638,-0.160135,ANS,010290
39146,250,5005,2011,4211149.0,149702.0,0.475638,-0.160135,ANS,010310
45672,250,5006,2011,4163835.0,226451.0,0.475638,-0.160135,ANS,010391
52198,250,5007,2011,14809551.0,7311676.0,0.475638,-0.160135,ANS,010392
58724,250,5008,2011,2566455.0,43256888.0,0.475638,-0.160135,ANS,010410
65250,250,5009,2011,1405951.0,631070.0,0.475638,-0.160135,ANS,010420
71776,250,5010,2011,15509262.0,1859563.0,0.475638,-0.160135,ANS,010511
78302,250,5011,2011,174490.0,183745.0,0.475638,-0.160135,ANS,010519
84828,250,5012,2011,239341.0,0.0,0.475638,-0.160135,ANS,010591
91354,250,5013,2011,35730.0,2449938.0,0.475638,-0.160135,ANS,010599
97880,250,5014,2011,915145.0,10360551.0,0.475638,-0.160135,ANS,010600
104406,250,5015,2011,1120933.0,41740623.0,0.475638,-0.160135,ANS,020110
110932,250,5016,2011,2046838.0,15185755.0,0.475638,-0.160135,ANS,020120
117458,250,5017,2011,18413603.0,14001089.0,0.475638,-0.160135,ANS,020130
123984,250,5018,2011,1236721.0,201923.0,0.475638,-0.160135,ANS,020210
130510,250,5019,2011,4555244.0,719358.0,0.475638,-0.160135,ANS,020220
137036,250,5020,2011,3185689.0,29422742.0,0.475638,-0.160135,ANS,020230
143562,250,5021,2011,24378678.0,171186.0,0.475638,-0.160135,ANS,020311
150088,250,5022,2011,6695854.0,556992.0,0.475638,-0.160135,ANS,020312
156614,250,5023,2011,19433158.0,13951024.0,0.475638,-0.160135,ANS,020319
163140,250,5024,2011,639660.0,704162.0,0.475638,-0.160135,ANS,020321
169666,250,5025,2011,1287360.0,756426.0,0.475638,-0.160135,ANS,020322
176192,250,5026,2011,6358347.0,3618690.0,0.475638,-0.160135,ANS,020329
182718,250,5027,2011,392309.0,192137.0,0.475638,-0.160135,ANS,020410
189244,250,5028,2011,34225.0,39296.0,0.475638,-0.160135,ANS,020421
195770,250,5029,2011,292063.0,234968.0,0.475638,-0.160135,ANS,020422
202296,250,5030,2011,60879.0,49367.0,0.475638,-0.160135,ANS,020423
208822,250,5031,2011,1504620.0,1371193.0,0.475638,-0.160135,ANS,020430
215348,250,5032,2011,223687.0,19822.0,0.475638,-0.160135,ANS,020441
221874,250,5033,2011,140648.0,17009683.0,0.475638,-0.160135,ANS,020442
228400,250,5034,2011,169063.0,368830.0,0.475638,-0.160135,ANS,020443
234926,250,5035,2011,42481.0,91009.0,0.475638,-0.160135,ANS,020450
241452,250,5036,2011,488170.0,2050.0,0.475638,-0.160135,ANS,020500
