,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
262,10,5000,1997,,,,,ASM,010111
6788,10,5001,1997,,,,,ASM,010119
13314,10,5002,1997,,,,,ASM,010120
19840,10,5003,1997,,,,,ASM,010210
26366,10,5004,1997,,,,,ASM,010290
32892,10,5005,1997,,,,,ASM,010310
39418,10,5006,1997,,,,,ASM,010391
45944,10,5007,1997,,,,,ASM,010392
52470,10,5008,1997,,,,,ASM,010410
58996,10,5009,1997,,,,,ASM,010420
65522,10,5010,1997,,,,,ASM,010511
72048,10,5011,1997,,,,,ASM,010519
78574,10,5012,1997,,,,,ASM,010591
85100,10,5013,1997,,,,,ASM,010599
91626,10,5014,1997,,,,,ASM,010600
98152,10,5015,1997,,,,,ASM,020110
104678,10,5016,1997,,,,,ASM,020120
111204,10,5017,1997,,,,,ASM,020130
117730,10,5018,1997,,,,,ASM,020210
124256,10,5019,1997,,,,,ASM,020220
130782,10,5020,1997,,,,,ASM,020230
137308,10,5021,1997,,,,,ASM,020311
143834,10,5022,1997,,,,,ASM,020312
150360,10,5023,1997,,,,,ASM,020319
156886,10,5024,1997,,,,,ASM,020321
163412,10,5025,1997,,,,,ASM,020322
169938,10,5026,1997,,,,,ASM,020329
176464,10,5027,1997,,,,,ASM,020410
182990,10,5028,1997,,,,,ASM,020421
189516,10,5029,1997,,,,,ASM,020422
196042,10,5030,1997,,,,,ASM,020423
202568,10,5031,1997,,,,,ASM,020430
209094,10,5032,1997,,,,,ASM,020441
215620,10,5033,1997,,,,,ASM,020442
222146,10,5034,1997,,,,,ASM,020443
228672,10,5035,1997,,,,,ASM,020450
235198,10,5036,1997,,,,,ASM,020500
241724,10,5037,1997,,,,,ASM,020610
248250,10,5038,1997,,,,,ASM,020621
254776,10,5039,1997,,,,,ASM,020622
261302,10,5040,1997,,,,,ASM,020629
267828,10,5041,1997,,,,,ASM,020630
274354,10,5042,1997,,,,,ASM,020641
280880,10,5043,1997,,,,,ASM,020649
287406,10,5044,1997,,,,,ASM,020680
293932,10,5045,1997,,,,,ASM,020690
300458,10,5046,1997,,,,,ASM,020710
306984,10,5047,1997,,,,,ASM,020721
313510,10,5048,1997,,,,,ASM,020722
320036,10,5049,1997,,,,,ASM,020723
326562,10,5050,1997,,,,,ASM,020731
333088,10,5051,1997,,,,,ASM,020739
339614,10,5052,1997,,,,,ASM,020741
346140,10,5053,1997,,,,,ASM,020742
352666,10,5054,1997,,,,,ASM,020743
359192,10,5055,1997,,,,,ASM,020750
365718,10,5056,1997,,,,,ASM,020810
372244,10,5057,1997,,,,,ASM,020820
378770,10,5058,1997,,,,,ASM,020890
385296,10,5059,1997,,,,,ASM,020900
391822,10,5060,1997,,,,,ASM,021011
398348,10,5061,1997,,,,,ASM,021012
404874,10,5062,1997,,,,,ASM,021019
411400,10,5063,1997,,,,,ASM,021020
417926,10,5064,1997,,,,,ASM,021090
424452,10,5065,1997,,,,,ASM,030110
430978,10,5066,1997,,,,,ASM,030191
437504,10,5067,1997,,,,,ASM,030192
444030,10,5068,1997,,,,,ASM,030193
450556,10,5069,1997,,,,,ASM,030199
457082,10,5070,1997,,,,,ASM,030211
463608,10,5071,1997,,,,,ASM,030212
470134,10,5072,1997,,,,,ASM,030219
476660,10,5073,1997,,,,,ASM,030221
483186,10,5074,1997,,,,,ASM,030222
489712,10,5075,1997,,,,,ASM,030223
496238,10,5076,1997,,,,,ASM,030229
502764,10,5077,1997,,,,,ASM,030231
509290,10,5078,1997,,,,,ASM,030232
