,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
366,14,5000,1997,15239126.0,23437902.0,0.428555,0.798283,AUS,010111
6892,14,5001,1997,27996785.0,45605683.0,0.428555,0.798283,AUS,010119
13418,14,5002,1997,1470.0,9463.0,0.428555,0.798283,AUS,010120
19944,14,5003,1997,14857890.0,115662.0,0.428555,0.798283,AUS,010210
26470,14,5004,1997,289122904.0,0.0,0.428555,0.798283,AUS,010290
32996,14,5005,1997,764485.0,0.0,0.428555,0.798283,AUS,010310
39522,14,5006,1997,1242.0,0.0,0.428555,0.798283,AUS,010391
46048,14,5007,1997,378539.0,0.0,0.428555,0.798283,AUS,010392
52574,14,5008,1997,128294803.0,0.0,0.428555,0.798283,AUS,010410
59100,14,5009,1997,2938458.0,16677.0,0.428555,0.798283,AUS,010420
65626,14,5010,1997,451193.0,0.0,0.428555,0.798283,AUS,010511
72152,14,5011,1997,11061.0,0.0,0.428555,0.798283,AUS,010519
78678,14,5012,1997,336861.0,0.0,0.428555,0.798283,AUS,010591
85204,14,5013,1997,25221.0,0.0,0.428555,0.798283,AUS,010599
91730,14,5014,1997,9011366.0,14576984.0,0.428555,0.798283,AUS,010600
98256,14,5015,1997,932329.0,39075.0,0.428555,0.798283,AUS,020110
104782,14,5016,1997,22440292.0,46497.0,0.428555,0.798283,AUS,020120
111308,14,5017,1997,648375335.0,7029378.0,0.428555,0.798283,AUS,020130
117834,14,5018,1997,23267523.0,169687.0,0.428555,0.798283,AUS,020210
124360,14,5019,1997,40873239.0,151125.0,0.428555,0.798283,AUS,020220
130886,14,5020,1997,808910360.0,1442263.0,0.428555,0.798283,AUS,020230
137412,14,5021,1997,162258.0,0.0,0.428555,0.798283,AUS,020311
143938,14,5022,1997,246944.0,0.0,0.428555,0.798283,AUS,020312
150464,14,5023,1997,2228755.0,185154.0,0.428555,0.798283,AUS,020319
156990,14,5024,1997,2169519.0,0.0,0.428555,0.798283,AUS,020321
163516,14,5025,1997,2883346.0,789062.0,0.428555,0.798283,AUS,020322
170042,14,5026,1997,22674425.0,17666956.0,0.428555,0.798283,AUS,020329
176568,14,5027,1997,11120270.0,40766.0,0.428555,0.798283,AUS,020410
183094,14,5028,1997,10154770.0,0.0,0.428555,0.798283,AUS,020421
189620,14,5029,1997,62378017.0,52915.0,0.428555,0.798283,AUS,020422
196146,14,5030,1997,29739680.0,100186.0,0.428555,0.798283,AUS,020423
202672,14,5031,1997,6468827.0,48947.0,0.428555,0.798283,AUS,020430
209198,14,5032,1997,22497383.0,16495.0,0.428555,0.798283,AUS,020441
215724,14,5033,1997,141631064.0,131475.0,0.428555,0.798283,AUS,020442
222250,14,5034,1997,111666673.0,30413.0,0.428555,0.798283,AUS,020443
228776,14,5035,1997,18902884.0,1352.0,0.428555,0.798283,AUS,020450
235302,14,5036,1997,11590490.0,872663.0,0.428555,0.798283,AUS,020500
241828,14,5037,1997,8972999.0,141790.0,0.428555,0.798283,AUS,020610
248354,14,5038,1997,11829338.0,0.0,0.428555,0.798283,AUS,020621
254880,14,5039,1997,7759643.0,8523.0,0.428555,0.798283,AUS,020622
261406,14,5040,1997,63210052.0,216777.0,0.428555,0.798283,AUS,020629
267932,14,5041,1997,99866.0,0.0,0.428555,0.798283,AUS,020630
274458,14,5042,1997,425070.0,0.0,0.428555,0.798283,AUS,020641
280984,14,5043,1997,1344594.0,0.0,0.428555,0.798283,AUS,020649
287510,14,5044,1997,477268.0,35082.0,0.428555,0.798283,AUS,020680
294036,14,5045,1997,15819337.0,28527.0,0.428555,0.798283,AUS,020690
