,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
394,15,5000,1999,236221.0,344056.0,1.836804,0.744312,AUT,010111
6920,15,5001,1999,1948152.0,1618742.0,1.836804,0.744312,AUT,010119
13446,15,5002,1999,1101.0,26313.0,1.836804,0.744312,AUT,010120
19972,15,5003,1999,19782026.0,2639352.0,1.836804,0.744312,AUT,010210
26498,15,5004,1999,56558325.0,25965962.0,1.836804,0.744312,AUT,010290
33024,15,5005,1999,886801.0,63818.0,1.836804,0.744312,AUT,010310
39550,15,5006,1999,1719426.0,490247.0,1.836804,0.744312,AUT,010391
46076,15,5007,1999,1829531.0,39859136.0,1.836804,0.744312,AUT,010392
52602,15,5008,1999,1041204.0,35613.0,1.836804,0.744312,AUT,010410
59128,15,5009,1999,63121.0,8376.0,1.836804,0.744312,AUT,010420
65654,15,5010,1999,117533.0,1895444.0,1.836804,0.744312,AUT,010511
72180,15,5011,1999,875636.0,152401.0,1.836804,0.744312,AUT,010519
78706,15,5012,1999,994546.0,1100026.0,1.836804,0.744312,AUT,010591
85232,15,5013,1999,341035.0,1493583.0,1.836804,0.744312,AUT,010599
91758,15,5014,1999,349805.0,1846212.0,1.836804,0.744312,AUT,010600
98284,15,5015,1999,25059275.0,3569369.0,1.836804,0.744312,AUT,020110
104810,15,5016,1999,125244376.0,11708764.0,1.836804,0.744312,AUT,020120
111336,15,5017,1999,7628498.0,33074894.0,1.836804,0.744312,AUT,020130
117862,15,5018,1999,780647.0,47518.0,1.836804,0.744312,AUT,020210
124388,15,5019,1999,5808818.0,428079.0,1.836804,0.744312,AUT,020220
130914,15,5020,1999,8814326.0,8641679.0,1.836804,0.744312,AUT,020230
137440,15,5021,1999,32031894.0,9070415.0,1.836804,0.744312,AUT,020311
143966,15,5022,1999,29058644.0,19261576.0,1.836804,0.744312,AUT,020312
150492,15,5023,1999,42852244.0,33086636.0,1.836804,0.744312,AUT,020319
157018,15,5024,1999,2677829.0,127165.0,1.836804,0.744312,AUT,020321
163544,15,5025,1999,1996555.0,779411.0,1.836804,0.744312,AUT,020322
170070,15,5026,1999,25095431.0,49861093.0,1.836804,0.744312,AUT,020329
176596,15,5027,1999,82570.0,2613234.0,1.836804,0.744312,AUT,020410
183122,15,5028,1999,2427.0,33262.0,1.836804,0.744312,AUT,020421
189648,15,5029,1999,30207.0,1352539.0,1.836804,0.744312,AUT,020422
196174,15,5030,1999,23703.0,634003.0,1.836804,0.744312,AUT,020423
202700,15,5031,1999,23207.0,30463.0,1.836804,0.744312,AUT,020430
209226,15,5032,1999,3514.0,1275.0,1.836804,0.744312,AUT,020441
215752,15,5033,1999,54214.0,2479726.0,1.836804,0.744312,AUT,020442
222278,15,5034,1999,28969.0,747878.0,1.836804,0.744312,AUT,020443
228804,15,5035,1999,16746.0,17985.0,1.836804,0.744312,AUT,020450
235330,15,5036,1999,12719.0,1332295.0,1.836804,0.744312,AUT,020500
241856,15,5037,1999,3588406.0,1702104.0,1.836804,0.744312,AUT,020610
248382,15,5038,1999,105256.0,24850.0,1.836804,0.744312,AUT,020621
254908,15,5039,1999,262915.0,163158.0,1.836804,0.744312,AUT,020622
261434,15,5040,1999,908363.0,1130855.0,1.836804,0.744312,AUT,020629
267960,15,5041,1999,1898170.0,256116.0,1.836804,0.744312,AUT,020630
274486,15,5042,1999,235520.0,128585.0,1.836804,0.744312,AUT,020641
281012,15,5043,1999,2017283.0,1561254.0,1.836804,0.744312,AUT,020649
287538,15,5044,1999,24669.0,21784.0,1.836804,0.744312,AUT,020680
294064,15,5045,1999,10671.0,48899.0,1.836804,0.744312,AUT,020690
300590,15,5046,1999,154595.0,5301315.0,1.836804,0.744312,AUT,020710
307116,15,5047,1999,251883.0,1372316.0,1.836804,0.744312,AUT,020721
313642,15,5048,1999,10085.0,370801.0,1.836804,0.744312,AUT,020722
320168,15,5049,1999,210481.0,8015674.0,1.836804,0.744312,AUT,020723
326694,15,5050,1999,83163.0,552709.0,1.836804,0.744312,AUT,020731
333220,15,5051,1999,3673015.0,54155277.0,1.836804,0.744312,AUT,020739
339746,15,5052,1999,2144378.0,12478919.0,1.836804,0.744312,AUT,020741
346272,15,5053,1999,824860.0,16385292.0,1.836804,0.744312,AUT,020742
352798,15,5054,1999,565273.0,2674533.0,1.836804,0.744312,AUT,020743
359324,15,5055,1999,,,1.836804,0.744312,AUT,020750
365850,15,5056,1999,380387.0,1167190.0,1.836804,0.744312,AUT,020810
372376,15,5057,1999,0.0,11969.0,1.836804,0.744312,AUT,020820
378902,15,5058,1999,14632552.0,8085391.0,1.836804,0.744312,AUT,020890
385428,15,5059,1999,787105.0,2379572.0,1.836804,0.744312,AUT,020900
391954,15,5060,1999,7048313.0,1145241.0,1.836804,0.744312,AUT,021011
398480,15,5061,1999,2911866.0,2268892.0,1.836804,0.744312,AUT,021012
405006,15,5062,1999,8610995.0,26374079.0,1.836804,0.744312,AUT,021019
411532,15,5063,1999,368343.0,396342.0,1.836804,0.744312,AUT,021020
418058,15,5064,1999,318846.0,438796.0,1.836804,0.744312,AUT,021090
424584,15,5065,1999,26147.0,1246437.0,1.836804,0.744312,AUT,030110
431110,15,5066,1999,1058861.0,5182311.0,1.836804,0.744312,AUT,030191
437636,15,5067,1999,158261.0,14864.0,1.836804,0.744312,AUT,030192
444162,15,5068,1999,174292.0,1499668.0,1.836804,0.744312,AUT,030193
450688,15,5069,1999,151148.0,1084780.0,1.836804,0.744312,AUT,030199
457214,15,5070,1999,49437.0,393602.0,1.836804,0.744312,AUT,030211
463740,15,5071,1999,34735.0,4493501.0,1.836804,0.744312,AUT,030212
470266,15,5072,1999,92032.0,56262.0,1.836804,0.744312,AUT,030219
476792,15,5073,1999,0.0,51847.0,1.836804,0.744312,AUT,030221
483318,15,5074,1999,0.0,59935.0,1.836804,0.744312,AUT,030222
489844,15,5075,1999,0.0,419442.0,1.836804,0.744312,AUT,030223
496370,15,5076,1999,9548.0,550541.0,1.836804,0.744312,AUT,030229
502896,15,5077,1999,0.0,9630.0,1.836804,0.744312,AUT,030231
509422,15,5078,1999,3952.0,32703.0,1.836804,0.744312,AUT,030232
515948,15,5079,1999,0.0,10251.0,1.836804,0.744312,AUT,030233
522474,15,5080,1999,0.0,42784.0,1.836804,0.744312,AUT,030239
529000,15,5081,1999,0.0,742765.0,1.836804,0.744312,AUT,030240
535526,15,5082,1999,0.0,79177.0,1.836804,0.744312,AUT,030250
542052,15,5083,1999,0.0,71311.0,1.836804,0.744312,AUT,030261
548578,15,5084,1999,0.0,9064.0,1.836804,0.744312,AUT,030262
555104,15,5085,1999,,,1.836804,0.744312,AUT,030263
561630,15,5086,1999,0.0,97016.0,1.836804,0.744312,AUT,030264
568156,15,5087,1999,0.0,25722.0,1.836804,0.744312,AUT,030265
574682,15,5088,1999,2320.0,10761.0,1.836804,0.744312,AUT,030266
581208,15,5089,1999,408186.0,4194091.0,1.836804,0.744312,AUT,030269
587734,15,5090,1999,0.0,63741.0,1.836804,0.744312,AUT,030270
594260,15,5091,1999,7257.0,348234.0,1.836804,0.744312,AUT,030310
600786,15,5092,1999,158296.0,400460.0,1.836804,0.744312,AUT,030321
607312,15,5093,1999,0.0,919924.0,1.836804,0.744312,AUT,030322
613838,15,5094,1999,0.0,8239.0,1.836804,0.744312,AUT,030329
620364,15,5095,1999,14797.0,244360.0,1.836804,0.744312,AUT,030331
626890,15,5096,1999,59137.0,438242.0,1.836804,0.744312,AUT,030332
633416,15,5097,1999,9706.0,223437.0,1.836804,0.744312,AUT,030333
639942,15,5098,1999,63694.0,141241.0,1.836804,0.744312,AUT,030339
646468,15,5099,1999,0.0,7483.0,1.836804,0.744312,AUT,030341
652994,15,5100,1999,0.0,79561.0,1.836804,0.744312,AUT,030342
659520,15,5101,1999,,,1.836804,0.744312,AUT,030343
666046,15,5102,1999,5418.0,31595.0,1.836804,0.744312,AUT,030349
672572,15,5103,1999,449075.0,37582.0,1.836804,0.744312,AUT,030350
679098,15,5104,1999,0.0,67507.0,1.836804,0.744312,AUT,030360
685624,15,5105,1999,0.0,68906.0,1.836804,0.744312,AUT,030371
692150,15,5106,1999,,,1.836804,0.744312,AUT,030372
698676,15,5107,1999,,,1.836804,0.744312,AUT,030373
705202,15,5108,1999,5612.0,477444.0,1.836804,0.744312,AUT,030374
711728,15,5109,1999,1652.0,91671.0,1.836804,0.744312,AUT,030375
718254,15,5110,1999,2142.0,9335.0,1.836804,0.744312,AUT,030376
724780,15,5111,1999,0.0,984.0,1.836804,0.744312,AUT,030377
731306,15,5112,1999,0.0,160120.0,1.836804,0.744312,AUT,030378
737832,15,5113,1999,167024.0,662519.0,1.836804,0.744312,AUT,030379
744358,15,5114,1999,0.0,149162.0,1.836804,0.744312,AUT,030380
750884,15,5115,1999,250184.0,12694743.0,1.836804,0.744312,AUT,030410
757410,15,5116,1999,487929.0,30138850.0,1.836804,0.744312,AUT,030420
763936,15,5117,1999,32136.0,868170.0,1.836804,0.744312,AUT,030490
770462,15,5118,1999,2497.0,338812.0,1.836804,0.744312,AUT,030510
776988,15,5119,1999,0.0,125243.0,1.836804,0.744312,AUT,030520
783514,15,5120,1999,130537.0,89892.0,1.836804,0.744312,AUT,030530
790040,15,5121,1999,165957.0,9100759.0,1.836804,0.744312,AUT,030541
796566,15,5122,1999,0.0,189812.0,1.836804,0.744312,AUT,030542
803092,15,5123,1999,167242.0,1424494.0,1.836804,0.744312,AUT,030549
809618,15,5124,1999,0.0,16471.0,1.836804,0.744312,AUT,030551
816144,15,5125,1999,972.0,55380.0,1.836804,0.744312,AUT,030559
822670,15,5126,1999,0.0,536708.0,1.836804,0.744312,AUT,030561
829196,15,5127,1999,0.0,2464.0,1.836804,0.744312,AUT,030562
835722,15,5128,1999,0.0,4867.0,1.836804,0.744312,AUT,030563
842248,15,5129,1999,70920.0,135842.0,1.836804,0.744312,AUT,030569
848774,15,5130,1999,126814.0,182516.0,1.836804,0.744312,AUT,030611
855300,15,5131,1999,8918.0,249915.0,1.836804,0.744312,AUT,030612
861826,15,5132,1999,117413.0,10420404.0,1.836804,0.744312,AUT,030613
868352,15,5133,1999,7986.0,181240.0,1.836804,0.744312,AUT,030614
874878,15,5134,1999,55405.0,386525.0,1.836804,0.744312,AUT,030619
881404,15,5135,1999,0.0,30070.0,1.836804,0.744312,AUT,030621
887930,15,5136,1999,0.0,304382.0,1.836804,0.744312,AUT,030622
894456,15,5137,1999,16733.0,1043844.0,1.836804,0.744312,AUT,030623
900982,15,5138,1999,0.0,521897.0,1.836804,0.744312,AUT,030624
907508,15,5139,1999,0.0,1467619.0,1.836804,0.744312,AUT,030629
914034,15,5140,1999,0.0,205655.0,1.836804,0.744312,AUT,030710
920560,15,5141,1999,0.0,354658.0,1.836804,0.744312,AUT,030721
927086,15,5142,1999,14463.0,247446.0,1.836804,0.744312,AUT,030729
933612,15,5143,1999,24693.0,480706.0,1.836804,0.744312,AUT,030731
940138,15,5144,1999,23543.0,331724.0,1.836804,0.744312,AUT,030739
946664,15,5145,1999,1122.0,571360.0,1.836804,0.744312,AUT,030741
953190,15,5146,1999,14485.0,1473602.0,1.836804,0.744312,AUT,030749
959716,15,5147,1999,0.0,50227.0,1.836804,0.744312,AUT,030751
966242,15,5148,1999,1498.0,301286.0,1.836804,0.744312,AUT,030759
972768,15,5149,1999,0.0,3821.0,1.836804,0.744312,AUT,030760
979294,15,5150,1999,0.0,551064.0,1.836804,0.744312,AUT,030791
985820,15,5151,1999,16969.0,443070.0,1.836804,0.744312,AUT,030799
992346,15,5152,1999,76351462.0,698341.0,1.836804,0.744312,AUT,040110
998872,15,5153,1999,95042722.0,2599418.0,1.836804,0.744312,AUT,040120
1005398,15,5154,1999,29996777.0,6987529.0,1.836804,0.744312,AUT,040130
1011924,15,5155,1999,13083154.0,7473721.0,1.836804,0.744312,AUT,040210
1018450,15,5156,1999,4578438.0,9569712.0,1.836804,0.744312,AUT,040221
1024976,15,5157,1999,406723.0,33600.0,1.836804,0.744312,AUT,040229
1031502,15,5158,1999,1126868.0,1786398.0,1.836804,0.744312,AUT,040291
1038028,15,5159,1999,351091.0,681411.0,1.836804,0.744312,AUT,040299
1044554,15,5160,1999,12892571.0,22315784.0,1.836804,0.744312,AUT,040310
1051080,15,5161,1999,10807360.0,12255048.0,1.836804,0.744312,AUT,040390
1057606,15,5162,1999,9014951.0,3723396.0,1.836804,0.744312,AUT,040410
1064132,15,5163,1999,675105.0,538760.0,1.836804,0.744312,AUT,040490
1070658,15,5164,1999,11945151.0,17102716.0,1.836804,0.744312,AUT,040500
1077184,15,5165,1999,16392986.0,48111182.0,1.836804,0.744312,AUT,040610
1083710,15,5166,1999,1100700.0,6697051.0,1.836804,0.744312,AUT,040620
1090236,15,5167,1999,36957581.0,19567424.0,1.836804,0.744312,AUT,040630
1096762,15,5168,1999,675481.0,8830485.0,1.836804,0.744312,AUT,040640
1103288,15,5169,1999,87805416.0,114478236.0,1.836804,0.744312,AUT,040690
1109814,15,5170,1999,3680078.0,15616767.0,1.836804,0.744312,AUT,040700
1116340,15,5171,1999,159109.0,2817704.0,1.836804,0.744312,AUT,040811
1122866,15,5172,1999,0.0,1650987.0,1.836804,0.744312,AUT,040819
1129392,15,5173,1999,788595.0,3563842.0,1.836804,0.744312,AUT,040891
1135918,15,5174,1999,248818.0,2719677.0,1.836804,0.744312,AUT,040899
1142444,15,5175,1999,1884266.0,9034874.0,1.836804,0.744312,AUT,040900
1148970,15,5176,1999,60095.0,190958.0,1.836804,0.744312,AUT,041000
1155496,15,5177,1999,35692.0,117542.0,1.836804,0.744312,AUT,050100
1162022,15,5178,1999,47890.0,229111.0,1.836804,0.744312,AUT,050210
1168548,15,5179,1999,0.0,24823.0,1.836804,0.744312,AUT,050290
1175074,15,5180,1999,179160.0,540209.0,1.836804,0.744312,AUT,050300
1181600,15,5181,1999,6631647.0,26591459.0,1.836804,0.744312,AUT,050400
1188126,15,5182,1999,3237276.0,7397872.0,1.836804,0.744312,AUT,050510
1194652,15,5183,1999,4068.0,641057.0,1.836804,0.744312,AUT,050590
1201178,15,5184,1999,2475.0,0.0,1.836804,0.744312,AUT,050610
1207704,15,5185,1999,3358050.0,90734.0,1.836804,0.744312,AUT,050690
1214230,15,5186,1999,0.0,1009362.0,1.836804,0.744312,AUT,050710
1220756,15,5187,1999,270086.0,5554011.0,1.836804,0.744312,AUT,050790
1227282,15,5188,1999,1684.0,175640.0,1.836804,0.744312,AUT,050800
1233808,15,5189,1999,98064.0,94166.0,1.836804,0.744312,AUT,050900
1240334,15,5190,1999,58526.0,1159901.0,1.836804,0.744312,AUT,051000
1246860,15,5191,1999,304725.0,2102834.0,1.836804,0.744312,AUT,051110
1253386,15,5192,1999,26011.0,617124.0,1.836804,0.744312,AUT,051191
1259912,15,5193,1999,4896015.0,8148600.0,1.836804,0.744312,AUT,051199
1266438,15,5194,1999,158729.0,7540968.0,1.836804,0.744312,AUT,060110
1272964,15,5195,1999,473961.0,2036980.0,1.836804,0.744312,AUT,060120
1279490,15,5196,1999,1129924.0,3000979.0,1.836804,0.744312,AUT,060210
1286016,15,5197,1999,423996.0,1853718.0,1.836804,0.744312,AUT,060220
1292542,15,5198,1999,376042.0,1697474.0,1.836804,0.744312,AUT,060230
1299068,15,5199,1999,78284.0,2158948.0,1.836804,0.744312,AUT,060240
1305594,15,5200,1999,,,1.836804,0.744312,AUT,060291
1312120,15,5201,1999,5920535.0,87042175.0,1.836804,0.744312,AUT,060299
1318646,15,5202,1999,772207.0,75820593.0,1.836804,0.744312,AUT,060310
1325172,15,5203,1999,178724.0,2295109.0,1.836804,0.744312,AUT,060390
1331698,15,5204,1999,60440.0,262688.0,1.836804,0.744312,AUT,060410
1338224,15,5205,1999,286209.0,11553864.0,1.836804,0.744312,AUT,060491
1344750,15,5206,1999,732525.0,4334938.0,1.836804,0.744312,AUT,060499
1351276,15,5207,1999,959864.0,3173012.0,1.836804,0.744312,AUT,070110
1357802,15,5208,1999,5438297.0,12687168.0,1.836804,0.744312,AUT,070190
1364328,15,5209,1999,1860101.0,36186425.0,1.836804,0.744312,AUT,070200
1370854,15,5210,1999,5050463.0,5196374.0,1.836804,0.744312,AUT,070310
1377380,15,5211,1999,349537.0,6839966.0,1.836804,0.744312,AUT,070320
1383906,15,5212,1999,318151.0,3660164.0,1.836804,0.744312,AUT,070390
1390432,15,5213,1999,305052.0,6180623.0,1.836804,0.744312,AUT,070410
1396958,15,5214,1999,129048.0,604296.0,1.836804,0.744312,AUT,070420
