,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
426,16,5000,2005,0.0,87320.0,-0.272611,-0.9508709999999999,AZE,010111
6952,16,5001,2005,0.0,76409.0,-0.272611,-0.9508709999999999,AZE,010119
13478,16,5002,2005,,,-0.272611,-0.9508709999999999,AZE,010120
20004,16,5003,2005,0.0,344661.0,-0.272611,-0.9508709999999999,AZE,010210
26530,16,5004,2005,0.0,61763.0,-0.272611,-0.9508709999999999,AZE,010290
33056,16,5005,2005,,,-0.272611,-0.9508709999999999,AZE,010310
39582,16,5006,2005,,,-0.272611,-0.9508709999999999,AZE,010391
46108,16,5007,2005,,,-0.272611,-0.9508709999999999,AZE,010392
52634,16,5008,2005,,,-0.272611,-0.9508709999999999,AZE,010410
59160,16,5009,2005,,,-0.272611,-0.9508709999999999,AZE,010420
65686,16,5010,2005,0.0,817207.0,-0.272611,-0.9508709999999999,AZE,010511
72212,16,5011,2005,,,-0.272611,-0.9508709999999999,AZE,010519
78738,16,5012,2005,0.0,11169.0,-0.272611,-0.9508709999999999,AZE,010591
85264,16,5013,2005,,,-0.272611,-0.9508709999999999,AZE,010599
91790,16,5014,2005,0.0,69546.0,-0.272611,-0.9508709999999999,AZE,010600
98316,16,5015,2005,,,-0.272611,-0.9508709999999999,AZE,020110
104842,16,5016,2005,,,-0.272611,-0.9508709999999999,AZE,020120
111368,16,5017,2005,0.0,410881.0,-0.272611,-0.9508709999999999,AZE,020130
117894,16,5018,2005,0.0,43092.0,-0.272611,-0.9508709999999999,AZE,020210
124420,16,5019,2005,0.0,400587.0,-0.272611,-0.9508709999999999,AZE,020220
130946,16,5020,2005,0.0,7993098.0,-0.272611,-0.9508709999999999,AZE,020230
137472,16,5021,2005,0.0,7946.0,-0.272611,-0.9508709999999999,AZE,020311
143998,16,5022,2005,0.0,7161.0,-0.272611,-0.9508709999999999,AZE,020312
150524,16,5023,2005,,,-0.272611,-0.9508709999999999,AZE,020319
157050,16,5024,2005,0.0,37426.0,-0.272611,-0.9508709999999999,AZE,020321
163576,16,5025,2005,0.0,117548.0,-0.272611,-0.9508709999999999,AZE,020322
170102,16,5026,2005,0.0,780896.0,-0.272611,-0.9508709999999999,AZE,020329
176628,16,5027,2005,0.0,147260.0,-0.272611,-0.9508709999999999,AZE,020410
183154,16,5028,2005,,,-0.272611,-0.9508709999999999,AZE,020421
189680,16,5029,2005,0.0,12465.0,-0.272611,-0.9508709999999999,AZE,020422
196206,16,5030,2005,,,-0.272611,-0.9508709999999999,AZE,020423
202732,16,5031,2005,0.0,5779.0,-0.272611,-0.9508709999999999,AZE,020430
209258,16,5032,2005,0.0,16554.0,-0.272611,-0.9508709999999999,AZE,020441
215784,16,5033,2005,0.0,76353.0,-0.272611,-0.9508709999999999,AZE,020442
222310,16,5034,2005,0.0,48976.0,-0.272611,-0.9508709999999999,AZE,020443
228836,16,5035,2005,0.0,1549.0,-0.272611,-0.9508709999999999,AZE,020450
235362,16,5036,2005,,,-0.272611,-0.9508709999999999,AZE,020500
241888,16,5037,2005,0.0,2550.0,-0.272611,-0.9508709999999999,AZE,020610
248414,16,5038,2005,0.0,561305.0,-0.272611,-0.9508709999999999,AZE,020621
254940,16,5039,2005,0.0,702459.0,-0.272611,-0.9508709999999999,AZE,020622
261466,16,5040,2005,0.0,238630.0,-0.272611,-0.9508709999999999,AZE,020629
267992,16,5041,2005,0.0,9270.0,-0.272611,-0.9508709999999999,AZE,020630
