,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
445,17,5000,1998,,,-1.0261360000000002,-0.872906,BDI,010111
6971,17,5001,1998,,,-1.0261360000000002,-0.872906,BDI,010119
13497,17,5002,1998,,,-1.0261360000000002,-0.872906,BDI,010120
20023,17,5003,1998,0.0,1659.0,-1.0261360000000002,-0.872906,BDI,010210
26549,17,5004,1998,0.0,1625.0,-1.0261360000000002,-0.872906,BDI,010290
33075,17,5005,1998,,,-1.0261360000000002,-0.872906,BDI,010310
39601,17,5006,1998,,,-1.0261360000000002,-0.872906,BDI,010391
46127,17,5007,1998,,,-1.0261360000000002,-0.872906,BDI,010392
52653,17,5008,1998,,,-1.0261360000000002,-0.872906,BDI,010410
59179,17,5009,1998,,,-1.0261360000000002,-0.872906,BDI,010420
65705,17,5010,1998,0.0,16877.0,-1.0261360000000002,-0.872906,BDI,010511
72231,17,5011,1998,0.0,6061.0,-1.0261360000000002,-0.872906,BDI,010519
78757,17,5012,1998,,,-1.0261360000000002,-0.872906,BDI,010591
85283,17,5013,1998,0.0,1271.0,-1.0261360000000002,-0.872906,BDI,010599
91809,17,5014,1998,5629.0,0.0,-1.0261360000000002,-0.872906,BDI,010600
98335,17,5015,1998,,,-1.0261360000000002,-0.872906,BDI,020110
104861,17,5016,1998,,,-1.0261360000000002,-0.872906,BDI,020120
111387,17,5017,1998,10705.0,0.0,-1.0261360000000002,-0.872906,BDI,020130
117913,17,5018,1998,,,-1.0261360000000002,-0.872906,BDI,020210
124439,17,5019,1998,,,-1.0261360000000002,-0.872906,BDI,020220
130965,17,5020,1998,,,-1.0261360000000002,-0.872906,BDI,020230
137491,17,5021,1998,,,-1.0261360000000002,-0.872906,BDI,020311
144017,17,5022,1998,,,-1.0261360000000002,-0.872906,BDI,020312
150543,17,5023,1998,,,-1.0261360000000002,-0.872906,BDI,020319
157069,17,5024,1998,,,-1.0261360000000002,-0.872906,BDI,020321
163595,17,5025,1998,,,-1.0261360000000002,-0.872906,BDI,020322
170121,17,5026,1998,,,-1.0261360000000002,-0.872906,BDI,020329
176647,17,5027,1998,,,-1.0261360000000002,-0.872906,BDI,020410
183173,17,5028,1998,,,-1.0261360000000002,-0.872906,BDI,020421
189699,17,5029,1998,,,-1.0261360000000002,-0.872906,BDI,020422
196225,17,5030,1998,,,-1.0261360000000002,-0.872906,BDI,020423
202751,17,5031,1998,,,-1.0261360000000002,-0.872906,BDI,020430
209277,17,5032,1998,,,-1.0261360000000002,-0.872906,BDI,020441
215803,17,5033,1998,,,-1.0261360000000002,-0.872906,BDI,020442
222329,17,5034,1998,,,-1.0261360000000002,-0.872906,BDI,020443
228855,17,5035,1998,,,-1.0261360000000002,-0.872906,BDI,020450
235381,17,5036,1998,,,-1.0261360000000002,-0.872906,BDI,020500
241907,17,5037,1998,0.0,18650.0,-1.0261360000000002,-0.872906,BDI,020610
248433,17,5038,1998,,,-1.0261360000000002,-0.872906,BDI,020621
254959,17,5039,1998,,,-1.0261360000000002,-0.872906,BDI,020622
261485,17,5040,1998,,,-1.0261360000000002,-0.872906,BDI,020629
268011,17,5041,1998,,,-1.0261360000000002,-0.872906,BDI,020630
274537,17,5042,1998,,,-1.0261360000000002,-0.872906,BDI,020641
281063,17,5043,1998,,,-1.0261360000000002,-0.872906,BDI,020649
287589,17,5044,1998,,,-1.0261360000000002,-0.872906,BDI,020680
294115,17,5045,1998,,,-1.0261360000000002,-0.872906,BDI,020690
300641,17,5046,1998,,,-1.0261360000000002,-0.872906,BDI,020710
307167,17,5047,1998,,,-1.0261360000000002,-0.872906,BDI,020721
313693,17,5048,1998,,,-1.0261360000000002,-0.872906,BDI,020722
320219,17,5049,1998,,,-1.0261360000000002,-0.872906,BDI,020723
326745,17,5050,1998,,,-1.0261360000000002,-0.872906,BDI,020731
333271,17,5051,1998,,,-1.0261360000000002,-0.872906,BDI,020739
339797,17,5052,1998,,,-1.0261360000000002,-0.872906,BDI,020741
346323,17,5053,1998,,,-1.0261360000000002,-0.872906,BDI,020742
352849,17,5054,1998,,,-1.0261360000000002,-0.872906,BDI,020743
359375,17,5055,1998,,,-1.0261360000000002,-0.872906,BDI,020750
365901,17,5056,1998,,,-1.0261360000000002,-0.872906,BDI,020810
