,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
525,20,5000,2000,,,,,BES,010111
7051,20,5001,2000,,,,,BES,010119
13577,20,5002,2000,,,,,BES,010120
20103,20,5003,2000,,,,,BES,010210
26629,20,5004,2000,,,,,BES,010290
33155,20,5005,2000,,,,,BES,010310
39681,20,5006,2000,,,,,BES,010391
46207,20,5007,2000,,,,,BES,010392
52733,20,5008,2000,,,,,BES,010410
59259,20,5009,2000,,,,,BES,010420
65785,20,5010,2000,,,,,BES,010511
72311,20,5011,2000,,,,,BES,010519
78837,20,5012,2000,,,,,BES,010591
85363,20,5013,2000,,,,,BES,010599
91889,20,5014,2000,,,,,BES,010600
98415,20,5015,2000,,,,,BES,020110
104941,20,5016,2000,,,,,BES,020120
111467,20,5017,2000,,,,,BES,020130
117993,20,5018,2000,,,,,BES,020210
124519,20,5019,2000,,,,,BES,020220
131045,20,5020,2000,,,,,BES,020230
137571,20,5021,2000,,,,,BES,020311
144097,20,5022,2000,,,,,BES,020312
150623,20,5023,2000,,,,,BES,020319
157149,20,5024,2000,,,,,BES,020321
163675,20,5025,2000,,,,,BES,020322
170201,20,5026,2000,,,,,BES,020329
176727,20,5027,2000,,,,,BES,020410
183253,20,5028,2000,,,,,BES,020421
189779,20,5029,2000,,,,,BES,020422
196305,20,5030,2000,,,,,BES,020423
202831,20,5031,2000,,,,,BES,020430
209357,20,5032,2000,,,,,BES,020441
215883,20,5033,2000,,,,,BES,020442
222409,20,5034,2000,,,,,BES,020443
228935,20,5035,2000,,,,,BES,020450
235461,20,5036,2000,,,,,BES,020500
241987,20,5037,2000,,,,,BES,020610
248513,20,5038,2000,,,,,BES,020621
255039,20,5039,2000,,,,,BES,020622
261565,20,5040,2000,,,,,BES,020629
268091,20,5041,2000,,,,,BES,020630
274617,20,5042,2000,,,,,BES,020641
281143,20,5043,2000,,,,,BES,020649
287669,20,5044,2000,,,,,BES,020680
294195,20,5045,2000,,,,,BES,020690
300721,20,5046,2000,,,,,BES,020710
307247,20,5047,2000,,,,,BES,020721
313773,20,5048,2000,,,,,BES,020722
320299,20,5049,2000,,,,,BES,020723
326825,20,5050,2000,,,,,BES,020731
333351,20,5051,2000,,,,,BES,020739
339877,20,5052,2000,,,,,BES,020741
346403,20,5053,2000,,,,,BES,020742
352929,20,5054,2000,,,,,BES,020743
359455,20,5055,2000,,,,,BES,020750
365981,20,5056,2000,,,,,BES,020810
372507,20,5057,2000,,,,,BES,020820
379033,20,5058,2000,,,,,BES,020890
385559,20,5059,2000,,,,,BES,020900
392085,20,5060,2000,,,,,BES,021011
398611,20,5061,2000,,,,,BES,021012
405137,20,5062,2000,,,,,BES,021019
411663,20,5063,2000,,,,,BES,021020
418189,20,5064,2000,,,,,BES,021090
424715,20,5065,2000,,,,,BES,030110
431241,20,5066,2000,,,,,BES,030191
437767,20,5067,2000,,,,,BES,030192
444293,20,5068,2000,,,,,BES,030193
450819,20,5069,2000,,,,,BES,030199
457345,20,5070,2000,,,,,BES,030211
463871,20,5071,2000,,,,,BES,030212
470397,20,5072,2000,,,,,BES,030219
476923,20,5073,2000,,,,,BES,030221
483449,20,5074,2000,,,,,BES,030222
489975,20,5075,2000,,,,,BES,030223
496501,20,5076,2000,,,,,BES,030229
503027,20,5077,2000,,,,,BES,030231
509553,20,5078,2000,,,,,BES,030232
516079,20,5079,2000,,,,,BES,030233
522605,20,5080,2000,,,,,BES,030239
529131,20,5081,2000,,,,,BES,030240
535657,20,5082,2000,,,,,BES,030250
542183,20,5083,2000,,,,,BES,030261
548709,20,5084,2000,,,,,BES,030262
555235,20,5085,2000,,,,,BES,030263
561761,20,5086,2000,,,,,BES,030264
568287,20,5087,2000,,,,,BES,030265
574813,20,5088,2000,,,,,BES,030266
581339,20,5089,2000,,,,,BES,030269
587865,20,5090,2000,,,,,BES,030270
594391,20,5091,2000,,,,,BES,030310
600917,20,5092,2000,,,,,BES,030321
607443,20,5093,2000,,,,,BES,030322
613969,20,5094,2000,,,,,BES,030329
620495,20,5095,2000,,,,,BES,030331
627021,20,5096,2000,,,,,BES,030332
633547,20,5097,2000,,,,,BES,030333
640073,20,5098,2000,,,,,BES,030339
646599,20,5099,2000,,,,,BES,030341
653125,20,5100,2000,,,,,BES,030342
659651,20,5101,2000,,,,,BES,030343
666177,20,5102,2000,,,,,BES,030349
672703,20,5103,2000,,,,,BES,030350
679229,20,5104,2000,,,,,BES,030360
685755,20,5105,2000,,,,,BES,030371
692281,20,5106,2000,,,,,BES,030372
698807,20,5107,2000,,,,,BES,030373
705333,20,5108,2000,,,,,BES,030374
711859,20,5109,2000,,,,,BES,030375
718385,20,5110,2000,,,,,BES,030376
724911,20,5111,2000,,,,,BES,030377
731437,20,5112,2000,,,,,BES,030378
737963,20,5113,2000,,,,,BES,030379
744489,20,5114,2000,,,,,BES,030380
751015,20,5115,2000,,,,,BES,030410
757541,20,5116,2000,,,,,BES,030420
764067,20,5117,2000,,,,,BES,030490
770593,20,5118,2000,,,,,BES,030510
777119,20,5119,2000,,,,,BES,030520
783645,20,5120,2000,,,,,BES,030530
790171,20,5121,2000,,,,,BES,030541
