,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
605,23,5000,2002,17937.0,102298.0,0.37451100000000004,1.573517,BGR,010111
7131,23,5001,2002,3306443.0,107472.0,0.37451100000000004,1.573517,BGR,010119
13657,23,5002,2002,,,0.37451100000000004,1.573517,BGR,010120
20183,23,5003,2002,60573.0,0.0,0.37451100000000004,1.573517,BGR,010210
26709,23,5004,2002,2880179.0,0.0,0.37451100000000004,1.573517,BGR,010290
33235,23,5005,2002,0.0,291342.0,0.37451100000000004,1.573517,BGR,010310
39761,23,5006,2002,0.0,1979.0,0.37451100000000004,1.573517,BGR,010391
46287,23,5007,2002,28797.0,10575.0,0.37451100000000004,1.573517,BGR,010392
52813,23,5008,2002,54133.0,0.0,0.37451100000000004,1.573517,BGR,010410
59339,23,5009,2002,17077.0,0.0,0.37451100000000004,1.573517,BGR,010420
65865,23,5010,2002,190086.0,1463359.0,0.37451100000000004,1.573517,BGR,010511
72391,23,5011,2002,21553.0,407539.0,0.37451100000000004,1.573517,BGR,010519
78917,23,5012,2002,,,0.37451100000000004,1.573517,BGR,010591
85443,23,5013,2002,,,0.37451100000000004,1.573517,BGR,010599
91969,23,5014,2002,158876.0,149855.0,0.37451100000000004,1.573517,BGR,010600
98495,23,5015,2002,67070.0,0.0,0.37451100000000004,1.573517,BGR,020110
105021,23,5016,2002,446080.0,17425.0,0.37451100000000004,1.573517,BGR,020120
111547,23,5017,2002,32342.0,45278.0,0.37451100000000004,1.573517,BGR,020130
118073,23,5018,2002,0.0,18912.0,0.37451100000000004,1.573517,BGR,020210
124599,23,5019,2002,53074.0,54803.0,0.37451100000000004,1.573517,BGR,020220
131125,23,5020,2002,93198.0,16375408.0,0.37451100000000004,1.573517,BGR,020230
137651,23,5021,2002,24003.0,1359475.0,0.37451100000000004,1.573517,BGR,020311
144177,23,5022,2002,38578.0,114018.0,0.37451100000000004,1.573517,BGR,020312
150703,23,5023,2002,133222.0,270718.0,0.37451100000000004,1.573517,BGR,020319
157229,23,5024,2002,1561.0,371525.0,0.37451100000000004,1.573517,BGR,020321
163755,23,5025,2002,7257.0,212579.0,0.37451100000000004,1.573517,BGR,020322
170281,23,5026,2002,307640.0,15440967.0,0.37451100000000004,1.573517,BGR,020329
176807,23,5027,2002,19640737.0,3901.0,0.37451100000000004,1.573517,BGR,020410
183333,23,5028,2002,412773.0,3222.0,0.37451100000000004,1.573517,BGR,020421
189859,23,5029,2002,6286.0,0.0,0.37451100000000004,1.573517,BGR,020422
196385,23,5030,2002,,,0.37451100000000004,1.573517,BGR,020423
202911,23,5031,2002,9006.0,0.0,0.37451100000000004,1.573517,BGR,020430
209437,23,5032,2002,87728.0,0.0,0.37451100000000004,1.573517,BGR,020441
215963,23,5033,2002,2051.0,5429.0,0.37451100000000004,1.573517,BGR,020442
222489,23,5034,2002,3436.0,2561.0,0.37451100000000004,1.573517,BGR,020443
229015,23,5035,2002,1371098.0,0.0,0.37451100000000004,1.573517,BGR,020450
235541,23,5036,2002,0.0,20596.0,0.37451100000000004,1.573517,BGR,020500
242067,23,5037,2002,4032.0,12368.0,0.37451100000000004,1.573517,BGR,020610
248593,23,5038,2002,11227.0,14905.0,0.37451100000000004,1.573517,BGR,020621
255119,23,5039,2002,1162.0,763.0,0.37451100000000004,1.573517,BGR,020622
261645,23,5040,2002,3650.0,395960.0,0.37451100000000004,1.573517,BGR,020629
268171,23,5041,2002,1819.0,73381.0,0.37451100000000004,1.573517,BGR,020630
274697,23,5042,2002,1066.0,392794.0,0.37451100000000004,1.573517,BGR,020641
281223,23,5043,2002,29309.0,2838168.0,0.37451100000000004,1.573517,BGR,020649
287749,23,5044,2002,3442.0,0.0,0.37451100000000004,1.573517,BGR,020680
294275,23,5045,2002,2097.0,26291.0,0.37451100000000004,1.573517,BGR,020690
300801,23,5046,2002,261718.0,6374.0,0.37451100000000004,1.573517,BGR,020710
307327,23,5047,2002,158435.0,1961061.0,0.37451100000000004,1.573517,BGR,020721
313853,23,5048,2002,0.0,269039.0,0.37451100000000004,1.573517,BGR,020722
320379,23,5049,2002,,,0.37451100000000004,1.573517,BGR,020723
326905,23,5050,2002,2847479.0,0.0,0.37451100000000004,1.573517,BGR,020731
333431,23,5051,2002,4033833.0,155267.0,0.37451100000000004,1.573517,BGR,020739
339957,23,5052,2002,212947.0,5611954.0,0.37451100000000004,1.573517,BGR,020741
346483,23,5053,2002,198357.0,6927643.0,0.37451100000000004,1.573517,BGR,020742
353009,23,5054,2002,7547636.0,0.0,0.37451100000000004,1.573517,BGR,020743
359535,23,5055,2002,,,0.37451100000000004,1.573517,BGR,020750
366061,23,5056,2002,1437.0,0.0,0.37451100000000004,1.573517,BGR,020810
372587,23,5057,2002,0.0,686032.0,0.37451100000000004,1.573517,BGR,020820
379113,23,5058,2002,152576.0,0.0,0.37451100000000004,1.573517,BGR,020890
385639,23,5059,2002,4057.0,3168323.0,0.37451100000000004,1.573517,BGR,020900
392165,23,5060,2002,12036.0,154622.0,0.37451100000000004,1.573517,BGR,021011
398691,23,5061,2002,1502.0,233826.0,0.37451100000000004,1.573517,BGR,021012
405217,23,5062,2002,33158.0,379504.0,0.37451100000000004,1.573517,BGR,021019
411743,23,5063,2002,2476.0,0.0,0.37451100000000004,1.573517,BGR,021020
418269,23,5064,2002,0.0,13912.0,0.37451100000000004,1.573517,BGR,021090
424795,23,5065,2002,2079.0,93322.0,0.37451100000000004,1.573517,BGR,030110
431321,23,5066,2002,0.0,3245.0,0.37451100000000004,1.573517,BGR,030191
437847,23,5067,2002,,,0.37451100000000004,1.573517,BGR,030192
444373,23,5068,2002,146087.0,0.0,0.37451100000000004,1.573517,BGR,030193
450899,23,5069,2002,20927.0,7832.0,0.37451100000000004,1.573517,BGR,030199
457425,23,5070,2002,,,0.37451100000000004,1.573517,BGR,030211
463951,23,5071,2002,0.0,2490.0,0.37451100000000004,1.573517,BGR,030212
470477,23,5072,2002,20407.0,0.0,0.37451100000000004,1.573517,BGR,030219
477003,23,5073,2002,3363.0,0.0,0.37451100000000004,1.573517,BGR,030221
483529,23,5074,2002,,,0.37451100000000004,1.573517,BGR,030222
490055,23,5075,2002,,,0.37451100000000004,1.573517,BGR,030223
496581,23,5076,2002,,,0.37451100000000004,1.573517,BGR,030229
503107,23,5077,2002,,,0.37451100000000004,1.573517,BGR,030231
509633,23,5078,2002,,,0.37451100000000004,1.573517,BGR,030232
516159,23,5079,2002,,,0.37451100000000004,1.573517,BGR,030233
522685,23,5080,2002,,,0.37451100000000004,1.573517,BGR,030239
529211,23,5081,2002,4432.0,0.0,0.37451100000000004,1.573517,BGR,030240
535737,23,5082,2002,0.0,3077.0,0.37451100000000004,1.573517,BGR,030250
542263,23,5083,2002,184101.0,4669.0,0.37451100000000004,1.573517,BGR,030261
548789,23,5084,2002,,,0.37451100000000004,1.573517,BGR,030262
555315,23,5085,2002,,,0.37451100000000004,1.573517,BGR,030263
561841,23,5086,2002,0.0,107328.0,0.37451100000000004,1.573517,BGR,030264
568367,23,5087,2002,,,0.37451100000000004,1.573517,BGR,030265
574893,23,5088,2002,,,0.37451100000000004,1.573517,BGR,030266
581419,23,5089,2002,0.0,37598.0,0.37451100000000004,1.573517,BGR,030269
587945,23,5090,2002,0.0,92500.0,0.37451100000000004,1.573517,BGR,030270
594471,23,5091,2002,0.0,113104.0,0.37451100000000004,1.573517,BGR,030310
600997,23,5092,2002,331469.0,4848.0,0.37451100000000004,1.573517,BGR,030321
607523,23,5093,2002,3189.0,50423.0,0.37451100000000004,1.573517,BGR,030322
614049,23,5094,2002,0.0,33415.0,0.37451100000000004,1.573517,BGR,030329
620575,23,5095,2002,0.0,1494.0,0.37451100000000004,1.573517,BGR,030331
627101,23,5096,2002,0.0,77232.0,0.37451100000000004,1.573517,BGR,030332
633627,23,5097,2002,,,0.37451100000000004,1.573517,BGR,030333
640153,23,5098,2002,,,0.37451100000000004,1.573517,BGR,030339
646679,23,5099,2002,0.0,81191.0,0.37451100000000004,1.573517,BGR,030341
653205,23,5100,2002,0.0,3535.0,0.37451100000000004,1.573517,BGR,030342
659731,23,5101,2002,7059.0,42083.0,0.37451100000000004,1.573517,BGR,030343
666257,23,5102,2002,0.0,21165.0,0.37451100000000004,1.573517,BGR,030349
672783,23,5103,2002,1798.0,158490.0,0.37451100000000004,1.573517,BGR,030350
679309,23,5104,2002,,,0.37451100000000004,1.573517,BGR,030360
685835,23,5105,2002,304129.0,83479.0,0.37451100000000004,1.573517,BGR,030371
692361,23,5106,2002,,,0.37451100000000004,1.573517,BGR,030372
698887,23,5107,2002,0.0,28394.0,0.37451100000000004,1.573517,BGR,030373
705413,23,5108,2002,105443.0,4675100.0,0.37451100000000004,1.573517,BGR,030374
711939,23,5109,2002,0.0,39824.0,0.37451100000000004,1.573517,BGR,030375
718465,23,5110,2002,0.0,3029.0,0.37451100000000004,1.573517,BGR,030376
724991,23,5111,2002,0.0,8567.0,0.37451100000000004,1.573517,BGR,030377
731517,23,5112,2002,17180.0,616189.0,0.37451100000000004,1.573517,BGR,030378
738043,23,5113,2002,109320.0,1538067.0,0.37451100000000004,1.573517,BGR,030379
744569,23,5114,2002,,,0.37451100000000004,1.573517,BGR,030380
751095,23,5115,2002,4117.0,40248.0,0.37451100000000004,1.573517,BGR,030410
757621,23,5116,2002,36243.0,932688.0,0.37451100000000004,1.573517,BGR,030420
764147,23,5117,2002,4327.0,423307.0,0.37451100000000004,1.573517,BGR,030490
770673,23,5118,2002,0.0,3049.0,0.37451100000000004,1.573517,BGR,030510
777199,23,5119,2002,476696.0,30708.0,0.37451100000000004,1.573517,BGR,030520
783725,23,5120,2002,11790.0,42614.0,0.37451100000000004,1.573517,BGR,030530
790251,23,5121,2002,0.0,128566.0,0.37451100000000004,1.573517,BGR,030541
796777,23,5122,2002,0.0,2803.0,0.37451100000000004,1.573517,BGR,030542
803303,23,5123,2002,17255.0,108587.0,0.37451100000000004,1.573517,BGR,030549
809829,23,5124,2002,,,0.37451100000000004,1.573517,BGR,030551
816355,23,5125,2002,0.0,1561.0,0.37451100000000004,1.573517,BGR,030559
