,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
674,25,5000,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010111
7200,25,5001,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010119
13726,25,5002,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010120
20252,25,5003,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010210
26778,25,5004,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010290
33304,25,5005,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010310
39830,25,5006,2019,0.0,5600.0,-0.10707799999999999,-0.7419720000000001,BHS,010391
46356,25,5007,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010392
52882,25,5008,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010410
59408,25,5009,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010420
65934,25,5010,2019,0.0,195425.0,-0.10707799999999999,-0.7419720000000001,BHS,010511
72460,25,5011,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010519
78986,25,5012,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010591
85512,25,5013,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,010599
92038,25,5014,2019,0.0,17491.0,-0.10707799999999999,-0.7419720000000001,BHS,010600
98564,25,5015,2019,0.0,15916.0,-0.10707799999999999,-0.7419720000000001,BHS,020110
105090,25,5016,2019,0.0,360172.0,-0.10707799999999999,-0.7419720000000001,BHS,020120
111616,25,5017,2019,0.0,5271467.0,-0.10707799999999999,-0.7419720000000001,BHS,020130
118142,25,5018,2019,0.0,40210.0,-0.10707799999999999,-0.7419720000000001,BHS,020210
124668,25,5019,2019,0.0,3425991.0,-0.10707799999999999,-0.7419720000000001,BHS,020220
131194,25,5020,2019,0.0,17656213.0,-0.10707799999999999,-0.7419720000000001,BHS,020230
137720,25,5021,2019,0.0,22284.0,-0.10707799999999999,-0.7419720000000001,BHS,020311
144246,25,5022,2019,0.0,271160.0,-0.10707799999999999,-0.7419720000000001,BHS,020312
150772,25,5023,2019,0.0,930221.0,-0.10707799999999999,-0.7419720000000001,BHS,020319
157298,25,5024,2019,0.0,32189.0,-0.10707799999999999,-0.7419720000000001,BHS,020321
163824,25,5025,2019,0.0,2357322.0,-0.10707799999999999,-0.7419720000000001,BHS,020322
170350,25,5026,2019,0.0,10155896.0,-0.10707799999999999,-0.7419720000000001,BHS,020329
176876,25,5027,2019,0.0,2327.0,-0.10707799999999999,-0.7419720000000001,BHS,020410
183402,25,5028,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,020421
189928,25,5029,2019,0.0,70109.0,-0.10707799999999999,-0.7419720000000001,BHS,020422
196454,25,5030,2019,0.0,60277.0,-0.10707799999999999,-0.7419720000000001,BHS,020423
202980,25,5031,2019,0.0,146990.0,-0.10707799999999999,-0.7419720000000001,BHS,020430
209506,25,5032,2019,0.0,275905.0,-0.10707799999999999,-0.7419720000000001,BHS,020441
216032,25,5033,2019,0.0,3201329.0,-0.10707799999999999,-0.7419720000000001,BHS,020442
222558,25,5034,2019,0.0,552637.0,-0.10707799999999999,-0.7419720000000001,BHS,020443
229084,25,5035,2019,0.0,3043.0,-0.10707799999999999,-0.7419720000000001,BHS,020450
235610,25,5036,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,020500
242136,25,5037,2019,,,-0.10707799999999999,-0.7419720000000001,BHS,020610
