,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
796,30,5000,2011,0.0,9768.0,0.576438,-0.48277299999999995,BMU,010111
7322,30,5001,2011,22124.0,31711.0,0.576438,-0.48277299999999995,BMU,010119
13848,30,5002,2011,,,0.576438,-0.48277299999999995,BMU,010120
20374,30,5003,2011,,,0.576438,-0.48277299999999995,BMU,010210
26900,30,5004,2011,0.0,23368.0,0.576438,-0.48277299999999995,BMU,010290
33426,30,5005,2011,,,0.576438,-0.48277299999999995,BMU,010310
39952,30,5006,2011,,,0.576438,-0.48277299999999995,BMU,010391
46478,30,5007,2011,,,0.576438,-0.48277299999999995,BMU,010392
53004,30,5008,2011,,,0.576438,-0.48277299999999995,BMU,010410
59530,30,5009,2011,0.0,977.0,0.576438,-0.48277299999999995,BMU,010420
66056,30,5010,2011,,,0.576438,-0.48277299999999995,BMU,010511
72582,30,5011,2011,0.0,11629.0,0.576438,-0.48277299999999995,BMU,010519
79108,30,5012,2011,,,0.576438,-0.48277299999999995,BMU,010591
85634,30,5013,2011,0.0,1918.0,0.576438,-0.48277299999999995,BMU,010599
92160,30,5014,2011,0.0,104893.0,0.576438,-0.48277299999999995,BMU,010600
98686,30,5015,2011,,,0.576438,-0.48277299999999995,BMU,020110
105212,30,5016,2011,0.0,59913.0,0.576438,-0.48277299999999995,BMU,020120
111738,30,5017,2011,0.0,4211478.0,0.576438,-0.48277299999999995,BMU,020130
118264,30,5018,2011,0.0,261192.0,0.576438,-0.48277299999999995,BMU,020210
124790,30,5019,2011,0.0,560511.0,0.576438,-0.48277299999999995,BMU,020220
131316,30,5020,2011,0.0,4087998.0,0.576438,-0.48277299999999995,BMU,020230
137842,30,5021,2011,,,0.576438,-0.48277299999999995,BMU,020311
144368,30,5022,2011,0.0,80194.0,0.576438,-0.48277299999999995,BMU,020312
150894,30,5023,2011,0.0,666153.0,0.576438,-0.48277299999999995,BMU,020319
157420,30,5024,2011,0.0,5005.0,0.576438,-0.48277299999999995,BMU,020321
163946,30,5025,2011,0.0,248096.0,0.576438,-0.48277299999999995,BMU,020322
170472,30,5026,2011,0.0,288694.0,0.576438,-0.48277299999999995,BMU,020329
176998,30,5027,2011,,,0.576438,-0.48277299999999995,BMU,020410
183524,30,5028,2011,0.0,1414.0,0.576438,-0.48277299999999995,BMU,020421
190050,30,5029,2011,0.0,246152.0,0.576438,-0.48277299999999995,BMU,020422
196576,30,5030,2011,0.0,2878.0,0.576438,-0.48277299999999995,BMU,020423
203102,30,5031,2011,0.0,5096.0,0.576438,-0.48277299999999995,BMU,020430
209628,30,5032,2011,0.0,192865.0,0.576438,-0.48277299999999995,BMU,020441
216154,30,5033,2011,0.0,1989430.0,0.576438,-0.48277299999999995,BMU,020442
222680,30,5034,2011,0.0,286069.0,0.576438,-0.48277299999999995,BMU,020443
229206,30,5035,2011,0.0,182322.0,0.576438,-0.48277299999999995,BMU,020450
235732,30,5036,2011,0.0,6482.0,0.576438,-0.48277299999999995,BMU,020500
242258,30,5037,2011,0.0,128479.0,0.576438,-0.48277299999999995,BMU,020610
248784,30,5038,2011,,,0.576438,-0.48277299999999995,BMU,020621
255310,30,5039,2011,0.0,13223.0,0.576438,-0.48277299999999995,BMU,020622
261836,30,5040,2011,0.0,210424.0,0.576438,-0.48277299999999995,BMU,020629
268362,30,5041,2011,0.0,8277.0,0.576438,-0.48277299999999995,BMU,020630
274888,30,5042,2011,,,0.576438,-0.48277299999999995,BMU,020641
281414,30,5043,2011,,,0.576438,-0.48277299999999995,BMU,020649
287940,30,5044,2011,,,0.576438,-0.48277299999999995,BMU,020680
294466,30,5045,2011,0.0,251771.0,0.576438,-0.48277299999999995,BMU,020690
300992,30,5046,2011,0.0,130284.0,0.576438,-0.48277299999999995,BMU,020710
307518,30,5047,2011,0.0,110201.0,0.576438,-0.48277299999999995,BMU,020721
314044,30,5048,2011,0.0,183584.0,0.576438,-0.48277299999999995,BMU,020722
320570,30,5049,2011,0.0,16903.0,0.576438,-0.48277299999999995,BMU,020723
327096,30,5050,2011,0.0,2884.0,0.576438,-0.48277299999999995,BMU,020731
333622,30,5051,2011,0.0,1379874.0,0.576438,-0.48277299999999995,BMU,020739
340148,30,5052,2011,0.0,5379498.0,0.576438,-0.48277299999999995,BMU,020741
346674,30,5053,2011,0.0,125163.0,0.576438,-0.48277299999999995,BMU,020742
353200,30,5054,2011,0.0,47184.0,0.576438,-0.48277299999999995,BMU,020743
359726,30,5055,2011,,,0.576438,-0.48277299999999995,BMU,020750
366252,30,5056,2011,,,0.576438,-0.48277299999999995,BMU,020810
372778,30,5057,2011,,,0.576438,-0.48277299999999995,BMU,020820
379304,30,5058,2011,0.0,11729.0,0.576438,-0.48277299999999995,BMU,020890
385830,30,5059,2011,0.0,20925.0,0.576438,-0.48277299999999995,BMU,020900
392356,30,5060,2011,0.0,98661.0,0.576438,-0.48277299999999995,BMU,021011
398882,30,5061,2011,0.0,431280.0,0.576438,-0.48277299999999995,BMU,021012
405408,30,5062,2011,0.0,697243.0,0.576438,-0.48277299999999995,BMU,021019
