,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
927,35,5000,2012,0.0,3707.0,-0.125782,-0.49636099999999994,BTN,010111
7453,35,5001,2012,,,-0.125782,-0.49636099999999994,BTN,010119
13979,35,5002,2012,,,-0.125782,-0.49636099999999994,BTN,010120
20505,35,5003,2012,0.0,38939.0,-0.125782,-0.49636099999999994,BTN,010210
27031,35,5004,2012,542.0,0.0,-0.125782,-0.49636099999999994,BTN,010290
33557,35,5005,2012,,,-0.125782,-0.49636099999999994,BTN,010310
40083,35,5006,2012,,,-0.125782,-0.49636099999999994,BTN,010391
46609,35,5007,2012,,,-0.125782,-0.49636099999999994,BTN,010392
53135,35,5008,2012,,,-0.125782,-0.49636099999999994,BTN,010410
59661,35,5009,2012,,,-0.125782,-0.49636099999999994,BTN,010420
66187,35,5010,2012,0.0,10567.0,-0.125782,-0.49636099999999994,BTN,010511
72713,35,5011,2012,,,-0.125782,-0.49636099999999994,BTN,010519
79239,35,5012,2012,0.0,50209.0,-0.125782,-0.49636099999999994,BTN,010591
85765,35,5013,2012,0.0,12909.0,-0.125782,-0.49636099999999994,BTN,010599
92291,35,5014,2012,0.0,481.0,-0.125782,-0.49636099999999994,BTN,010600
98817,35,5015,2012,0.0,2740200.0,-0.125782,-0.49636099999999994,BTN,020110
105343,35,5016,2012,0.0,18413.0,-0.125782,-0.49636099999999994,BTN,020120
111869,35,5017,2012,0.0,3061.0,-0.125782,-0.49636099999999994,BTN,020130
118395,35,5018,2012,0.0,22601.0,-0.125782,-0.49636099999999994,BTN,020210
124921,35,5019,2012,0.0,46791.0,-0.125782,-0.49636099999999994,BTN,020220
131447,35,5020,2012,0.0,26180.0,-0.125782,-0.49636099999999994,BTN,020230
137973,35,5021,2012,0.0,1428544.0,-0.125782,-0.49636099999999994,BTN,020311
144499,35,5022,2012,0.0,13785.0,-0.125782,-0.49636099999999994,BTN,020312
151025,35,5023,2012,0.0,15955.0,-0.125782,-0.49636099999999994,BTN,020319
157551,35,5024,2012,0.0,14627.0,-0.125782,-0.49636099999999994,BTN,020321
164077,35,5025,2012,0.0,5037.0,-0.125782,-0.49636099999999994,BTN,020322
170603,35,5026,2012,0.0,29945.0,-0.125782,-0.49636099999999994,BTN,020329
177129,35,5027,2012,0.0,9334.0,-0.125782,-0.49636099999999994,BTN,020410
183655,35,5028,2012,0.0,26429.0,-0.125782,-0.49636099999999994,BTN,020421
190181,35,5029,2012,0.0,5788.0,-0.125782,-0.49636099999999994,BTN,020422
196707,35,5030,2012,0.0,890.0,-0.125782,-0.49636099999999994,BTN,020423
203233,35,5031,2012,,,-0.125782,-0.49636099999999994,BTN,020430
209759,35,5032,2012,0.0,1121.0,-0.125782,-0.49636099999999994,BTN,020441
216285,35,5033,2012,0.0,1839.0,-0.125782,-0.49636099999999994,BTN,020442
222811,35,5034,2012,0.0,18777.0,-0.125782,-0.49636099999999994,BTN,020443
229337,35,5035,2012,0.0,15971.0,-0.125782,-0.49636099999999994,BTN,020450
235863,35,5036,2012,,,-0.125782,-0.49636099999999994,BTN,020500
242389,35,5037,2012,,,-0.125782,-0.49636099999999994,BTN,020610
248915,35,5038,2012,0.0,450.0,-0.125782,-0.49636099999999994,BTN,020621
255441,35,5039,2012,0.0,16127.0,-0.125782,-0.49636099999999994,BTN,020622
261967,35,5040,2012,0.0,50033.0,-0.125782,-0.49636099999999994,BTN,020629
268493,35,5041,2012,0.0,407.0,-0.125782,-0.49636099999999994,BTN,020630
275019,35,5042,2012,,,-0.125782,-0.49636099999999994,BTN,020641
281545,35,5043,2012,0.0,997.0,-0.125782,-0.49636099999999994,BTN,020649
288071,35,5044,2012,,,-0.125782,-0.49636099999999994,BTN,020680
294597,35,5045,2012,0.0,45526.0,-0.125782,-0.49636099999999994,BTN,020690
301123,35,5046,2012,0.0,24838.0,-0.125782,-0.49636099999999994,BTN,020710
307649,35,5047,2012,0.0,75103.0,-0.125782,-0.49636099999999994,BTN,020721
314175,35,5048,2012,0.0,19130.0,-0.125782,-0.49636099999999994,BTN,020722
320701,35,5049,2012,,,-0.125782,-0.49636099999999994,BTN,020723
327227,35,5050,2012,,,-0.125782,-0.49636099999999994,BTN,020731
333753,35,5051,2012,0.0,72754.0,-0.125782,-0.49636099999999994,BTN,020739
340279,35,5052,2012,0.0,40154.0,-0.125782,-0.49636099999999994,BTN,020741
346805,35,5053,2012,0.0,9565.0,-0.125782,-0.49636099999999994,BTN,020742
353331,35,5054,2012,0.0,56639.0,-0.125782,-0.49636099999999994,BTN,020743
359857,35,5055,2012,,,-0.125782,-0.49636099999999994,BTN,020750
366383,35,5056,2012,,,-0.125782,-0.49636099999999994,BTN,020810
372909,35,5057,2012,,,-0.125782,-0.49636099999999994,BTN,020820
379435,35,5058,2012,0.0,975.0,-0.125782,-0.49636099999999994,BTN,020890
385961,35,5059,2012,0.0,187954.0,-0.125782,-0.49636099999999994,BTN,020900
392487,35,5060,2012,,,-0.125782,-0.49636099999999994,BTN,021011
399013,35,5061,2012,,,-0.125782,-0.49636099999999994,BTN,021012
405539,35,5062,2012,0.0,25175.0,-0.125782,-0.49636099999999994,BTN,021019
412065,35,5063,2012,0.0,12870.0,-0.125782,-0.49636099999999994,BTN,021020
418591,35,5064,2012,0.0,2413.0,-0.125782,-0.49636099999999994,BTN,021090
425117,35,5065,2012,0.0,1524.0,-0.125782,-0.49636099999999994,BTN,030110
431643,35,5066,2012,,,-0.125782,-0.49636099999999994,BTN,030191
438169,35,5067,2012,,,-0.125782,-0.49636099999999994,BTN,030192
444695,35,5068,2012,,,-0.125782,-0.49636099999999994,BTN,030193
451221,35,5069,2012,0.0,745.0,-0.125782,-0.49636099999999994,BTN,030199
457747,35,5070,2012,0.0,2464.0,-0.125782,-0.49636099999999994,BTN,030211
464273,35,5071,2012,0.0,1260.0,-0.125782,-0.49636099999999994,BTN,030212
470799,35,5072,2012,0.0,817239.0,-0.125782,-0.49636099999999994,BTN,030219
477325,35,5073,2012,,,-0.125782,-0.49636099999999994,BTN,030221
483851,35,5074,2012,,,-0.125782,-0.49636099999999994,BTN,030222
490377,35,5075,2012,,,-0.125782,-0.49636099999999994,BTN,030223
496903,35,5076,2012,0.0,11252.0,-0.125782,-0.49636099999999994,BTN,030229
