,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1072,41,5000,2001,1543237.0,3337864.0,2.227246,0.553956,CHE,010111
7598,41,5001,2001,4458713.0,10198634.0,2.227246,0.553956,CHE,010119
14124,41,5002,2001,2792.0,35931.0,2.227246,0.553956,CHE,010120
20650,41,5003,2001,49110.0,13700.0,2.227246,0.553956,CHE,010210
27176,41,5004,2001,1979.0,1374287.0,2.227246,0.553956,CHE,010290
33702,41,5005,2001,26032.0,3951.0,2.227246,0.553956,CHE,010310
40228,41,5006,2001,0.0,69431.0,2.227246,0.553956,CHE,010391
46754,41,5007,2001,0.0,224505.0,2.227246,0.553956,CHE,010392
53280,41,5008,2001,31360.0,59975.0,2.227246,0.553956,CHE,010410
59806,41,5009,2001,74041.0,19289.0,2.227246,0.553956,CHE,010420
66332,41,5010,2001,82241.0,3353616.0,2.227246,0.553956,CHE,010511
72858,41,5011,2001,10290.0,393973.0,2.227246,0.553956,CHE,010519
79384,41,5012,2001,139751.0,314017.0,2.227246,0.553956,CHE,010591
85910,41,5013,2001,0.0,11672.0,2.227246,0.553956,CHE,010599
92436,41,5014,2001,1075008.0,5981545.0,2.227246,0.553956,CHE,010600
98962,41,5015,2001,0.0,372059.0,2.227246,0.553956,CHE,020110
105488,41,5016,2001,0.0,2342837.0,2.227246,0.553956,CHE,020120
112014,41,5017,2001,3957.0,16771159.0,2.227246,0.553956,CHE,020130
118540,41,5018,2001,,,2.227246,0.553956,CHE,020210
125066,41,5019,2001,14900.0,1728855.0,2.227246,0.553956,CHE,020220
131592,41,5020,2001,94354.0,4840044.0,2.227246,0.553956,CHE,020230
138118,41,5021,2001,372856.0,6241944.0,2.227246,0.553956,CHE,020311
144644,41,5022,2001,14500.0,15726.0,2.227246,0.553956,CHE,020312
151170,41,5023,2001,321424.0,6922596.0,2.227246,0.553956,CHE,020319
157696,41,5024,2001,38780.0,9370.0,2.227246,0.553956,CHE,020321
164222,41,5025,2001,3723.0,103461.0,2.227246,0.553956,CHE,020322
170748,41,5026,2001,137697.0,2379437.0,2.227246,0.553956,CHE,020329
177274,41,5027,2001,0.0,2736362.0,2.227246,0.553956,CHE,020410
183800,41,5028,2001,0.0,18097.0,2.227246,0.553956,CHE,020421
190326,41,5029,2001,0.0,12412259.0,2.227246,0.553956,CHE,020422
196852,41,5030,2001,0.0,14017028.0,2.227246,0.553956,CHE,020423
203378,41,5031,2001,0.0,18526.0,2.227246,0.553956,CHE,020430
209904,41,5032,2001,,,2.227246,0.553956,CHE,020441
