,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1131,43,5000,2008,90356.0,1994504.0,0.929285,1.8917259999999998,CHN,010111
7657,43,5001,2008,25051.0,5141936.0,0.929285,1.8917259999999998,CHN,010119
14183,43,5002,2008,,,0.929285,1.8917259999999998,CHN,010120
20709,43,5003,2008,981925.0,21474506.0,0.929285,1.8917259999999998,CHN,010210
27235,43,5004,2008,40798395.0,8715023.0,0.929285,1.8917259999999998,CHN,010290
33761,43,5005,2008,624076.0,16972202.0,0.929285,1.8917259999999998,CHN,010310
40287,43,5006,2008,5235701.0,5806.0,0.929285,1.8917259999999998,CHN,010391
46813,43,5007,2008,370652086.0,1636377.0,0.929285,1.8917259999999998,CHN,010392
53339,43,5008,2008,299532.0,70.0,0.929285,1.8917259999999998,CHN,010410
59865,43,5009,2008,565668.0,16422.0,0.929285,1.8917259999999998,CHN,010420
66391,43,5010,2008,776450.0,26161072.0,0.929285,1.8917259999999998,CHN,010511
72917,43,5011,2008,1527.0,982820.0,0.929285,1.8917259999999998,CHN,010519
79443,43,5012,2008,32385967.0,7488.0,0.929285,1.8917259999999998,CHN,010591
85969,43,5013,2008,151010.0,42704.0,0.929285,1.8917259999999998,CHN,010599
92495,43,5014,2008,54401803.0,18398972.0,0.929285,1.8917259999999998,CHN,010600
99021,43,5015,2008,662320.0,7100.0,0.929285,1.8917259999999998,CHN,020110
105547,43,5016,2008,455389.0,601425.0,0.929285,1.8917259999999998,CHN,020120
112073,43,5017,2008,32619214.0,6509241.0,0.929285,1.8917259999999998,CHN,020130
118599,43,5018,2008,166840.0,0.0,0.929285,1.8917259999999998,CHN,020210
125125,43,5019,2008,252883.0,717820.0,0.929285,1.8917259999999998,CHN,020220
131651,43,5020,2008,58841855.0,13324955.0,0.929285,1.8917259999999998,CHN,020230
138177,43,5021,2008,179366.0,182063.0,0.929285,1.8917259999999998,CHN,020311
144703,43,5022,2008,258450.0,4019790.0,0.929285,1.8917259999999998,CHN,020312
151229,43,5023,2008,47203305.0,6522664.0,0.929285,1.8917259999999998,CHN,020319
157755,43,5024,2008,35115534.0,7328111.0,0.929285,1.8917259999999998,CHN,020321
164281,43,5025,2008,957691.0,39677000.0,0.929285,1.8917259999999998,CHN,020322
170807,43,5026,2008,187601824.0,262832473.0,0.929285,1.8917259999999998,CHN,020329
177333,43,5027,2008,987022.0,0.0,0.929285,1.8917259999999998,CHN,020410
183859,43,5028,2008,301717.0,0.0,0.929285,1.8917259999999998,CHN,020421
190385,43,5029,2008,1180455.0,1441772.0,0.929285,1.8917259999999998,CHN,020422
196911,43,5030,2008,51055.0,77630.0,0.929285,1.8917259999999998,CHN,020423
203437,43,5031,2008,904563.0,488447.0,0.929285,1.8917259999999998,CHN,020430
209963,43,5032,2008,428164.0,0.0,0.929285,1.8917259999999998,CHN,020441
216489,43,5033,2008,7690919.0,89659485.0,0.929285,1.8917259999999998,CHN,020442
223015,43,5034,2008,14496042.0,6026740.0,0.929285,1.8917259999999998,CHN,020443
229541,43,5035,2008,24009195.0,830541.0,0.929285,1.8917259999999998,CHN,020450
236067,43,5036,2008,364234.0,0.0,0.929285,1.8917259999999998,CHN,020500
242593,43,5037,2008,143152.0,142669.0,0.929285,1.8917259999999998,CHN,020610
249119,43,5038,2008,0.0,28522.0,0.929285,1.8917259999999998,CHN,020621
255645,43,5039,2008,955350.0,48302.0,0.929285,1.8917259999999998,CHN,020622
262171,43,5040,2008,645013.0,10774324.0,0.929285,1.8917259999999998,CHN,020629
268697,43,5041,2008,1251.0,1754650.0,0.929285,1.8917259999999998,CHN,020630
275223,43,5042,2008,24720.0,3224677.0,0.929285,1.8917259999999998,CHN,020641
281749,43,5043,2008,1638367.0,225497117.0,0.929285,1.8917259999999998,CHN,020649
288275,43,5044,2008,6474.0,420240.0,0.929285,1.8917259999999998,CHN,020680
294801,43,5045,2008,189346.0,13397700.0,0.929285,1.8917259999999998,CHN,020690
301327,43,5046,2008,155188292.0,757171.0,0.929285,1.8917259999999998,CHN,020710
307853,43,5047,2008,17132861.0,5291636.0,0.929285,1.8917259999999998,CHN,020721
314379,43,5048,2008,0.0,2457333.0,0.929285,1.8917259999999998,CHN,020722
320905,43,5049,2008,6211506.0,27497.0,0.929285,1.8917259999999998,CHN,020723
327431,43,5050,2008,4061.0,109891.0,0.929285,1.8917259999999998,CHN,020731
333957,43,5051,2008,322319.0,3280954.0,0.929285,1.8917259999999998,CHN,020739
340483,43,5052,2008,139534700.0,1002027349.0,0.929285,1.8917259999999998,CHN,020741
347009,43,5053,2008,82094.0,44237403.0,0.929285,1.8917259999999998,CHN,020742
353535,43,5054,2008,3374449.0,1416934.0,0.929285,1.8917259999999998,CHN,020743
