,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1167,44,5000,2018,0.0,109291.0,-0.8733569999999999,-0.8443139999999999,CIV,010111
7693,44,5001,2018,0.0,34515.0,-0.8733569999999999,-0.8443139999999999,CIV,010119
14219,44,5002,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,010120
20745,44,5003,2018,0.0,4410.0,-0.8733569999999999,-0.8443139999999999,CIV,010210
27271,44,5004,2018,0.0,6300812.0,-0.8733569999999999,-0.8443139999999999,CIV,010290
33797,44,5005,2018,5057.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,010310
40323,44,5006,2018,0.0,333.0,-0.8733569999999999,-0.8443139999999999,CIV,010391
46849,44,5007,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,010392
53375,44,5008,2018,0.0,5768000.0,-0.8733569999999999,-0.8443139999999999,CIV,010410
59901,44,5009,2018,0.0,933565.0,-0.8733569999999999,-0.8443139999999999,CIV,010420
66427,44,5010,2018,0.0,4293531.0,-0.8733569999999999,-0.8443139999999999,CIV,010511
72953,44,5011,2018,0.0,72310.0,-0.8733569999999999,-0.8443139999999999,CIV,010519
79479,44,5012,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,010591
86005,44,5013,2018,0.0,96742.0,-0.8733569999999999,-0.8443139999999999,CIV,010599
92531,44,5014,2018,1014.0,59202.0,-0.8733569999999999,-0.8443139999999999,CIV,010600
99057,44,5015,2018,0.0,8327.0,-0.8733569999999999,-0.8443139999999999,CIV,020110
105583,44,5016,2018,159758.0,37132.0,-0.8733569999999999,-0.8443139999999999,CIV,020120
112109,44,5017,2018,4480.0,298921.0,-0.8733569999999999,-0.8443139999999999,CIV,020130
118635,44,5018,2018,10611.0,44524.0,-0.8733569999999999,-0.8443139999999999,CIV,020210
125161,44,5019,2018,0.0,914589.0,-0.8733569999999999,-0.8443139999999999,CIV,020220
131687,44,5020,2018,0.0,3563306.0,-0.8733569999999999,-0.8443139999999999,CIV,020230
138213,44,5021,2018,0.0,73736.0,-0.8733569999999999,-0.8443139999999999,CIV,020311
144739,44,5022,2018,0.0,15615.0,-0.8733569999999999,-0.8443139999999999,CIV,020312
151265,44,5023,2018,68840.0,392907.0,-0.8733569999999999,-0.8443139999999999,CIV,020319
157791,44,5024,2018,1489.0,134640.0,-0.8733569999999999,-0.8443139999999999,CIV,020321
164317,44,5025,2018,0.0,653900.0,-0.8733569999999999,-0.8443139999999999,CIV,020322
170843,44,5026,2018,7259.0,11422978.0,-0.8733569999999999,-0.8443139999999999,CIV,020329
177369,44,5027,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,020410
183895,44,5028,2018,11691.0,2357.0,-0.8733569999999999,-0.8443139999999999,CIV,020421
190421,44,5029,2018,2103.0,45377.0,-0.8733569999999999,-0.8443139999999999,CIV,020422
196947,44,5030,2018,0.0,2996.0,-0.8733569999999999,-0.8443139999999999,CIV,020423
203473,44,5031,2018,17785.0,125977.0,-0.8733569999999999,-0.8443139999999999,CIV,020430
209999,44,5032,2018,0.0,21237.0,-0.8733569999999999,-0.8443139999999999,CIV,020441
216525,44,5033,2018,0.0,608568.0,-0.8733569999999999,-0.8443139999999999,CIV,020442
223051,44,5034,2018,0.0,47352.0,-0.8733569999999999,-0.8443139999999999,CIV,020443
229577,44,5035,2018,0.0,70810.0,-0.8733569999999999,-0.8443139999999999,CIV,020450
236103,44,5036,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,020500
242629,44,5037,2018,0.0,87215.0,-0.8733569999999999,-0.8443139999999999,CIV,020610
249155,44,5038,2018,0.0,102249.0,-0.8733569999999999,-0.8443139999999999,CIV,020621
255681,44,5039,2018,0.0,2346207.0,-0.8733569999999999,-0.8443139999999999,CIV,020622
262207,44,5040,2018,18785.0,28488273.0,-0.8733569999999999,-0.8443139999999999,CIV,020629
268733,44,5041,2018,8346.0,213375.0,-0.8733569999999999,-0.8443139999999999,CIV,020630
275259,44,5042,2018,0.0,27532.0,-0.8733569999999999,-0.8443139999999999,CIV,020641
281785,44,5043,2018,0.0,16673720.0,-0.8733569999999999,-0.8443139999999999,CIV,020649
288311,44,5044,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,020680
294837,44,5045,2018,0.0,922573.0,-0.8733569999999999,-0.8443139999999999,CIV,020690
301363,44,5046,2018,116701.0,163025.0,-0.8733569999999999,-0.8443139999999999,CIV,020710
307889,44,5047,2018,10903.0,1104682.0,-0.8733569999999999,-0.8443139999999999,CIV,020721
314415,44,5048,2018,0.0,6934.0,-0.8733569999999999,-0.8443139999999999,CIV,020722
320941,44,5049,2018,0.0,10594.0,-0.8733569999999999,-0.8443139999999999,CIV,020723
327467,44,5050,2018,12240.0,28664.0,-0.8733569999999999,-0.8443139999999999,CIV,020731
333993,44,5051,2018,6970.0,267050.0,-0.8733569999999999,-0.8443139999999999,CIV,020739
340519,44,5052,2018,0.0,3679043.0,-0.8733569999999999,-0.8443139999999999,CIV,020741
347045,44,5053,2018,0.0,2087329.0,-0.8733569999999999,-0.8443139999999999,CIV,020742
353571,44,5054,2018,0.0,178683.0,-0.8733569999999999,-0.8443139999999999,CIV,020743
360097,44,5055,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,020750
366623,44,5056,2018,1353.0,19503.0,-0.8733569999999999,-0.8443139999999999,CIV,020810
373149,44,5057,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,020820
379675,44,5058,2018,4401.0,318567.0,-0.8733569999999999,-0.8443139999999999,CIV,020890
386201,44,5059,2018,0.0,8161.0,-0.8733569999999999,-0.8443139999999999,CIV,020900
392727,44,5060,2018,0.0,15027.0,-0.8733569999999999,-0.8443139999999999,CIV,021011
399253,44,5061,2018,0.0,15018.0,-0.8733569999999999,-0.8443139999999999,CIV,021012
405779,44,5062,2018,0.0,103661.0,-0.8733569999999999,-0.8443139999999999,CIV,021019
412305,44,5063,2018,0.0,68963.0,-0.8733569999999999,-0.8443139999999999,CIV,021020
418831,44,5064,2018,0.0,95050.0,-0.8733569999999999,-0.8443139999999999,CIV,021090
425357,44,5065,2018,0.0,24240.0,-0.8733569999999999,-0.8443139999999999,CIV,030110
431883,44,5066,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030191
438409,44,5067,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030192
444935,44,5068,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030193
451461,44,5069,2018,0.0,1765.0,-0.8733569999999999,-0.8443139999999999,CIV,030199
457987,44,5070,2018,0.0,10606.0,-0.8733569999999999,-0.8443139999999999,CIV,030211
464513,44,5071,2018,0.0,23476.0,-0.8733569999999999,-0.8443139999999999,CIV,030212
471039,44,5072,2018,0.0,121987.0,-0.8733569999999999,-0.8443139999999999,CIV,030219
477565,44,5073,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030221
484091,44,5074,2018,0.0,1365.0,-0.8733569999999999,-0.8443139999999999,CIV,030222
490617,44,5075,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030223
497143,44,5076,2018,3083.0,74529.0,-0.8733569999999999,-0.8443139999999999,CIV,030229
503669,44,5077,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030231
510195,44,5078,2018,2917495.0,8161.0,-0.8733569999999999,-0.8443139999999999,CIV,030232
516721,44,5079,2018,25424.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030233
523247,44,5080,2018,61614.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030239
529773,44,5081,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030240
536299,44,5082,2018,1208.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030250
542825,44,5083,2018,22405.0,1975751.0,-0.8733569999999999,-0.8443139999999999,CIV,030261
549351,44,5084,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030262
555877,44,5085,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030263
562403,44,5086,2018,32486.0,10525818.0,-0.8733569999999999,-0.8443139999999999,CIV,030264
568929,44,5087,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030265
575455,44,5088,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030266
581981,44,5089,2018,1081975.0,602430.0,-0.8733569999999999,-0.8443139999999999,CIV,030269
588507,44,5090,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030270
595033,44,5091,2018,0.0,8188.0,-0.8733569999999999,-0.8443139999999999,CIV,030310
601559,44,5092,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030321
608085,44,5093,2018,0.0,3242.0,-0.8733569999999999,-0.8443139999999999,CIV,030322
614611,44,5094,2018,0.0,57872595.0,-0.8733569999999999,-0.8443139999999999,CIV,030329
621137,44,5095,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030331
627663,44,5096,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030332
634189,44,5097,2018,18542.0,234272.0,-0.8733569999999999,-0.8443139999999999,CIV,030333
640715,44,5098,2018,36681.0,2883146.0,-0.8733569999999999,-0.8443139999999999,CIV,030339
647241,44,5099,2018,8618.0,35342.0,-0.8733569999999999,-0.8443139999999999,CIV,030341
653767,44,5100,2018,1359101.0,19431977.0,-0.8733569999999999,-0.8443139999999999,CIV,030342
660293,44,5101,2018,2513644.0,11892211.0,-0.8733569999999999,-0.8443139999999999,CIV,030343
666819,44,5102,2018,2749660.0,24730790.0,-0.8733569999999999,-0.8443139999999999,CIV,030349
673345,44,5103,2018,47633.0,7482262.0,-0.8733569999999999,-0.8443139999999999,CIV,030350
679871,44,5104,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030360
686397,44,5105,2018,1426.0,52612010.0,-0.8733569999999999,-0.8443139999999999,CIV,030371
692923,44,5106,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030372
699449,44,5107,2018,0.0,91491.0,-0.8733569999999999,-0.8443139999999999,CIV,030373
705975,44,5108,2018,4007.0,99231529.0,-0.8733569999999999,-0.8443139999999999,CIV,030374
712501,44,5109,2018,0.0,2804.0,-0.8733569999999999,-0.8443139999999999,CIV,030375
719027,44,5110,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030376
725553,44,5111,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030377
732079,44,5112,2018,0.0,9917029.0,-0.8733569999999999,-0.8443139999999999,CIV,030378
738605,44,5113,2018,2881846.0,197453349.0,-0.8733569999999999,-0.8443139999999999,CIV,030379
745131,44,5114,2018,28336.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030380
751657,44,5115,2018,1212592.0,397512.0,-0.8733569999999999,-0.8443139999999999,CIV,030410
758183,44,5116,2018,128712.0,475020.0,-0.8733569999999999,-0.8443139999999999,CIV,030420
764709,44,5117,2018,0.0,12786.0,-0.8733569999999999,-0.8443139999999999,CIV,030490
771235,44,5118,2018,86694.0,4259.0,-0.8733569999999999,-0.8443139999999999,CIV,030510
777761,44,5119,2018,5734.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030520
784287,44,5120,2018,6997.0,27014.0,-0.8733569999999999,-0.8443139999999999,CIV,030530
790813,44,5121,2018,18680.0,515408.0,-0.8733569999999999,-0.8443139999999999,CIV,030541
797339,44,5122,2018,695.0,1259.0,-0.8733569999999999,-0.8443139999999999,CIV,030542
803865,44,5123,2018,37523.0,45257.0,-0.8733569999999999,-0.8443139999999999,CIV,030549
810391,44,5124,2018,85642.0,3030.0,-0.8733569999999999,-0.8443139999999999,CIV,030551
816917,44,5125,2018,15239.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030559
823443,44,5126,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030561
829969,44,5127,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030562
836495,44,5128,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030563
843021,44,5129,2018,2662.0,11624.0,-0.8733569999999999,-0.8443139999999999,CIV,030569
849547,44,5130,2018,6839.0,11431.0,-0.8733569999999999,-0.8443139999999999,CIV,030611
856073,44,5131,2018,0.0,4898.0,-0.8733569999999999,-0.8443139999999999,CIV,030612
862599,44,5132,2018,282912.0,290391.0,-0.8733569999999999,-0.8443139999999999,CIV,030613
869125,44,5133,2018,0.0,3896.0,-0.8733569999999999,-0.8443139999999999,CIV,030614
875651,44,5134,2018,9331.0,226516.0,-0.8733569999999999,-0.8443139999999999,CIV,030619
882177,44,5135,2018,116053.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030621
888703,44,5136,2018,0.0,3815.0,-0.8733569999999999,-0.8443139999999999,CIV,030622
895229,44,5137,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030623
901755,44,5138,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030624
908281,44,5139,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030629
914807,44,5140,2018,0.0,367495.0,-0.8733569999999999,-0.8443139999999999,CIV,030710
921333,44,5141,2018,0.0,1605.0,-0.8733569999999999,-0.8443139999999999,CIV,030721
927859,44,5142,2018,1667.0,87983.0,-0.8733569999999999,-0.8443139999999999,CIV,030729
934385,44,5143,2018,0.0,17491.0,-0.8733569999999999,-0.8443139999999999,CIV,030731
940911,44,5144,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,030739
947437,44,5145,2018,131337.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030741
953963,44,5146,2018,454175.0,179378.0,-0.8733569999999999,-0.8443139999999999,CIV,030749
960489,44,5147,2018,5057.0,0.0,-0.8733569999999999,-0.8443139999999999,CIV,030751
967015,44,5148,2018,759836.0,841656.0,-0.8733569999999999,-0.8443139999999999,CIV,030759
973541,44,5149,2018,50836.0,8358.0,-0.8733569999999999,-0.8443139999999999,CIV,030760
980067,44,5150,2018,0.0,62482.0,-0.8733569999999999,-0.8443139999999999,CIV,030791
986593,44,5151,2018,484607.0,194191.0,-0.8733569999999999,-0.8443139999999999,CIV,030799
993119,44,5152,2018,87585.0,60728.0,-0.8733569999999999,-0.8443139999999999,CIV,040110
999645,44,5153,2018,1052782.0,1350715.0,-0.8733569999999999,-0.8443139999999999,CIV,040120
1006171,44,5154,2018,1492.0,1384224.0,-0.8733569999999999,-0.8443139999999999,CIV,040130
1012697,44,5155,2018,16850.0,7211598.0,-0.8733569999999999,-0.8443139999999999,CIV,040210
1019223,44,5156,2018,23941.0,30316519.0,-0.8733569999999999,-0.8443139999999999,CIV,040221
1025749,44,5157,2018,101885.0,4480733.0,-0.8733569999999999,-0.8443139999999999,CIV,040229
1032275,44,5158,2018,146416.0,190732.0,-0.8733569999999999,-0.8443139999999999,CIV,040291
1038801,44,5159,2018,2811572.0,1898629.0,-0.8733569999999999,-0.8443139999999999,CIV,040299
1045327,44,5160,2018,320172.0,499882.0,-0.8733569999999999,-0.8443139999999999,CIV,040310
1051853,44,5161,2018,264573.0,2442164.0,-0.8733569999999999,-0.8443139999999999,CIV,040390
1058379,44,5162,2018,12108.0,1886965.0,-0.8733569999999999,-0.8443139999999999,CIV,040410
1064905,44,5163,2018,0.0,93176.0,-0.8733569999999999,-0.8443139999999999,CIV,040490
1071431,44,5164,2018,49330.0,8840260.0,-0.8733569999999999,-0.8443139999999999,CIV,040500
1077957,44,5165,2018,7380.0,984183.0,-0.8733569999999999,-0.8443139999999999,CIV,040610
1084483,44,5166,2018,0.0,694721.0,-0.8733569999999999,-0.8443139999999999,CIV,040620
1091009,44,5167,2018,0.0,1242989.0,-0.8733569999999999,-0.8443139999999999,CIV,040630
1097535,44,5168,2018,0.0,51500.0,-0.8733569999999999,-0.8443139999999999,CIV,040640
1104061,44,5169,2018,38980.0,4401415.0,-0.8733569999999999,-0.8443139999999999,CIV,040690
1110587,44,5170,2018,88574.0,7709474.0,-0.8733569999999999,-0.8443139999999999,CIV,040700
1117113,44,5171,2018,0.0,1036256.0,-0.8733569999999999,-0.8443139999999999,CIV,040811
1123639,44,5172,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,040819
1130165,44,5173,2018,0.0,58429.0,-0.8733569999999999,-0.8443139999999999,CIV,040891
1136691,44,5174,2018,0.0,19194.0,-0.8733569999999999,-0.8443139999999999,CIV,040899
1143217,44,5175,2018,2316.0,85446.0,-0.8733569999999999,-0.8443139999999999,CIV,040900
1149743,44,5176,2018,0.0,15238.0,-0.8733569999999999,-0.8443139999999999,CIV,041000
1156269,44,5177,2018,0.0,16249.0,-0.8733569999999999,-0.8443139999999999,CIV,050100
1162795,44,5178,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,050210
1169321,44,5179,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,050290
1175847,44,5180,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,050300
1182373,44,5181,2018,0.0,4220666.0,-0.8733569999999999,-0.8443139999999999,CIV,050400
1188899,44,5182,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,050510
1195425,44,5183,2018,,,-0.8733569999999999,-0.8443139999999999,CIV,050590
1201951,44,5184,2018,0.0,10705.0,-0.8733569999999999,-0.8443139999999999,CIV,050610
