,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1209,46,5000,2008,1418.0,1998.0,-1.513117,-1.141895,COD,010111
7735,46,5001,2008,0.0,2332954.0,-1.513117,-1.141895,COD,010119
14261,46,5002,2008,,,-1.513117,-1.141895,COD,010120
20787,46,5003,2008,0.0,87576.0,-1.513117,-1.141895,COD,010210
27313,46,5004,2008,0.0,3786707.0,-1.513117,-1.141895,COD,010290
33839,46,5005,2008,,,-1.513117,-1.141895,COD,010310
40365,46,5006,2008,,,-1.513117,-1.141895,COD,010391
46891,46,5007,2008,,,-1.513117,-1.141895,COD,010392
53417,46,5008,2008,0.0,19386.0,-1.513117,-1.141895,COD,010410
59943,46,5009,2008,0.0,32146.0,-1.513117,-1.141895,COD,010420
66469,46,5010,2008,0.0,587563.0,-1.513117,-1.141895,COD,010511
72995,46,5011,2008,,,-1.513117,-1.141895,COD,010519
79521,46,5012,2008,,,-1.513117,-1.141895,COD,010591
86047,46,5013,2008,,,-1.513117,-1.141895,COD,010599
92573,46,5014,2008,192844.0,194835.0,-1.513117,-1.141895,COD,010600
99099,46,5015,2008,2468.0,0.0,-1.513117,-1.141895,COD,020110
105625,46,5016,2008,0.0,214134.0,-1.513117,-1.141895,COD,020120
112151,46,5017,2008,0.0,81798.0,-1.513117,-1.141895,COD,020130
118677,46,5018,2008,4995.0,150770.0,-1.513117,-1.141895,COD,020210
125203,46,5019,2008,2696.0,719694.0,-1.513117,-1.141895,COD,020220
131729,46,5020,2008,0.0,1853592.0,-1.513117,-1.141895,COD,020230
138255,46,5021,2008,0.0,2100.0,-1.513117,-1.141895,COD,020311
144781,46,5022,2008,0.0,7241.0,-1.513117,-1.141895,COD,020312
151307,46,5023,2008,0.0,136040.0,-1.513117,-1.141895,COD,020319
157833,46,5024,2008,0.0,32799.0,-1.513117,-1.141895,COD,020321
164359,46,5025,2008,0.0,400669.0,-1.513117,-1.141895,COD,020322
170885,46,5026,2008,0.0,4021238.0,-1.513117,-1.141895,COD,020329
177411,46,5027,2008,0.0,49626.0,-1.513117,-1.141895,COD,020410
183937,46,5028,2008,2455.0,1987.0,-1.513117,-1.141895,COD,020421
190463,46,5029,2008,0.0,37959.0,-1.513117,-1.141895,COD,020422
196989,46,5030,2008,0.0,2642.0,-1.513117,-1.141895,COD,020423
203515,46,5031,2008,0.0,17734.0,-1.513117,-1.141895,COD,020430
210041,46,5032,2008,,,-1.513117,-1.141895,COD,020441
216567,46,5033,2008,0.0,443401.0,-1.513117,-1.141895,COD,020442
223093,46,5034,2008,0.0,35954.0,-1.513117,-1.141895,COD,020443
229619,46,5035,2008,0.0,152062.0,-1.513117,-1.141895,COD,020450
236145,46,5036,2008,,,-1.513117,-1.141895,COD,020500
242671,46,5037,2008,0.0,2510.0,-1.513117,-1.141895,COD,020610
249197,46,5038,2008,,,-1.513117,-1.141895,COD,020621
255723,46,5039,2008,0.0,765607.0,-1.513117,-1.141895,COD,020622
262249,46,5040,2008,0.0,6702815.0,-1.513117,-1.141895,COD,020629
268775,46,5041,2008,0.0,50630.0,-1.513117,-1.141895,COD,020630
275301,46,5042,2008,0.0,21008.0,-1.513117,-1.141895,COD,020641
281827,46,5043,2008,0.0,2745918.0,-1.513117,-1.141895,COD,020649
288353,46,5044,2008,0.0,1094.0,-1.513117,-1.141895,COD,020680
294879,46,5045,2008,0.0,74437.0,-1.513117,-1.141895,COD,020690
301405,46,5046,2008,40651.0,384574.0,-1.513117,-1.141895,COD,020710
307931,46,5047,2008,11895.0,32583981.0,-1.513117,-1.141895,COD,020721
314457,46,5048,2008,0.0,106926.0,-1.513117,-1.141895,COD,020722
320983,46,5049,2008,0.0,4965.0,-1.513117,-1.141895,COD,020723
327509,46,5050,2008,,,-1.513117,-1.141895,COD,020731
334035,46,5051,2008,2193.0,284204.0,-1.513117,-1.141895,COD,020739
340561,46,5052,2008,74768.0,19455646.0,-1.513117,-1.141895,COD,020741
347087,46,5053,2008,0.0,6433871.0,-1.513117,-1.141895,COD,020742
353613,46,5054,2008,0.0,18894.0,-1.513117,-1.141895,COD,020743
360139,46,5055,2008,,,-1.513117,-1.141895,COD,020750
366665,46,5056,2008,0.0,5894.0,-1.513117,-1.141895,COD,020810
373191,46,5057,2008,,,-1.513117,-1.141895,COD,020820
379717,46,5058,2008,4385.0,1145608.0,-1.513117,-1.141895,COD,020890
386243,46,5059,2008,0.0,25694.0,-1.513117,-1.141895,COD,020900
392769,46,5060,2008,,,-1.513117,-1.141895,COD,021011
399295,46,5061,2008,0.0,16985.0,-1.513117,-1.141895,COD,021012
405821,46,5062,2008,0.0,39082.0,-1.513117,-1.141895,COD,021019
412347,46,5063,2008,0.0,222958.0,-1.513117,-1.141895,COD,021020
418873,46,5064,2008,0.0,11443.0,-1.513117,-1.141895,COD,021090
425399,46,5065,2008,365474.0,2120.0,-1.513117,-1.141895,COD,030110
431925,46,5066,2008,,,-1.513117,-1.141895,COD,030191
438451,46,5067,2008,,,-1.513117,-1.141895,COD,030192
444977,46,5068,2008,,,-1.513117,-1.141895,COD,030193
451503,46,5069,2008,0.0,8165.0,-1.513117,-1.141895,COD,030199
458029,46,5070,2008,,,-1.513117,-1.141895,COD,030211
464555,46,5071,2008,0.0,2616.0,-1.513117,-1.141895,COD,030212
471081,46,5072,2008,0.0,1257.0,-1.513117,-1.141895,COD,030219
477607,46,5073,2008,,,-1.513117,-1.141895,COD,030221
484133,46,5074,2008,0.0,1474.0,-1.513117,-1.141895,COD,030222
490659,46,5075,2008,,,-1.513117,-1.141895,COD,030223
497185,46,5076,2008,0.0,26534.0,-1.513117,-1.141895,COD,030229
503711,46,5077,2008,,,-1.513117,-1.141895,COD,030231
510237,46,5078,2008,,,-1.513117,-1.141895,COD,030232
516763,46,5079,2008,,,-1.513117,-1.141895,COD,030233
523289,46,5080,2008,0.0,1154.0,-1.513117,-1.141895,COD,030239
529815,46,5081,2008,0.0,1278.0,-1.513117,-1.141895,COD,030240
536341,46,5082,2008,,,-1.513117,-1.141895,COD,030250
542867,46,5083,2008,3455.0,875348.0,-1.513117,-1.141895,COD,030261
549393,46,5084,2008,0.0,835.0,-1.513117,-1.141895,COD,030262
555919,46,5085,2008,,,-1.513117,-1.141895,COD,030263
562445,46,5086,2008,1949.0,73864.0,-1.513117,-1.141895,COD,030264
568971,46,5087,2008,,,-1.513117,-1.141895,COD,030265
575497,46,5088,2008,,,-1.513117,-1.141895,COD,030266
582023,46,5089,2008,0.0,71271.0,-1.513117,-1.141895,COD,030269
588549,46,5090,2008,0.0,7756.0,-1.513117,-1.141895,COD,030270
595075,46,5091,2008,,,-1.513117,-1.141895,COD,030310
601601,46,5092,2008,,,-1.513117,-1.141895,COD,030321
608127,46,5093,2008,,,-1.513117,-1.141895,COD,030322
614653,46,5094,2008,0.0,1187.0,-1.513117,-1.141895,COD,030329
621179,46,5095,2008,,,-1.513117,-1.141895,COD,030331
627705,46,5096,2008,,,-1.513117,-1.141895,COD,030332
634231,46,5097,2008,,,-1.513117,-1.141895,COD,030333
640757,46,5098,2008,,,-1.513117,-1.141895,COD,030339
647283,46,5099,2008,,,-1.513117,-1.141895,COD,030341
653809,46,5100,2008,,,-1.513117,-1.141895,COD,030342
660335,46,5101,2008,,,-1.513117,-1.141895,COD,030343
666861,46,5102,2008,,,-1.513117,-1.141895,COD,030349
673387,46,5103,2008,,,-1.513117,-1.141895,COD,030350
679913,46,5104,2008,0.0,1452.0,-1.513117,-1.141895,COD,030360
686439,46,5105,2008,0.0,55341.0,-1.513117,-1.141895,COD,030371
692965,46,5106,2008,0.0,25051.0,-1.513117,-1.141895,COD,030372
699491,46,5107,2008,,,-1.513117,-1.141895,COD,030373
706017,46,5108,2008,0.0,17198180.0,-1.513117,-1.141895,COD,030374
712543,46,5109,2008,,,-1.513117,-1.141895,COD,030375
719069,46,5110,2008,,,-1.513117,-1.141895,COD,030376
725595,46,5111,2008,,,-1.513117,-1.141895,COD,030377
732121,46,5112,2008,0.0,210713.0,-1.513117,-1.141895,COD,030378
738647,46,5113,2008,17564.0,3434150.0,-1.513117,-1.141895,COD,030379
745173,46,5114,2008,,,-1.513117,-1.141895,COD,030380
751699,46,5115,2008,0.0,158063.0,-1.513117,-1.141895,COD,030410
758225,46,5116,2008,0.0,125344.0,-1.513117,-1.141895,COD,030420
764751,46,5117,2008,0.0,13683271.0,-1.513117,-1.141895,COD,030490
771277,46,5118,2008,0.0,20646.0,-1.513117,-1.141895,COD,030510
777803,46,5119,2008,0.0,15509.0,-1.513117,-1.141895,COD,030520
784329,46,5120,2008,11517.0,328312.0,-1.513117,-1.141895,COD,030530
790855,46,5121,2008,0.0,9543.0,-1.513117,-1.141895,COD,030541
797381,46,5122,2008,0.0,85579.0,-1.513117,-1.141895,COD,030542
803907,46,5123,2008,0.0,45304.0,-1.513117,-1.141895,COD,030549
810433,46,5124,2008,0.0,56814.0,-1.513117,-1.141895,COD,030551
816959,46,5125,2008,88487.0,25402319.0,-1.513117,-1.141895,COD,030559
823485,46,5126,2008,,,-1.513117,-1.141895,COD,030561
830011,46,5127,2008,,,-1.513117,-1.141895,COD,030562
836537,46,5128,2008,,,-1.513117,-1.141895,COD,030563
843063,46,5129,2008,13175.0,8082.0,-1.513117,-1.141895,COD,030569
849589,46,5130,2008,,,-1.513117,-1.141895,COD,030611
856115,46,5131,2008,,,-1.513117,-1.141895,COD,030612
862641,46,5132,2008,0.0,59765.0,-1.513117,-1.141895,COD,030613
869167,46,5133,2008,,,-1.513117,-1.141895,COD,030614
875693,46,5134,2008,,,-1.513117,-1.141895,COD,030619
882219,46,5135,2008,19627.0,0.0,-1.513117,-1.141895,COD,030621
888745,46,5136,2008,,,-1.513117,-1.141895,COD,030622
895271,46,5137,2008,0.0,42734.0,-1.513117,-1.141895,COD,030623
901797,46,5138,2008,,,-1.513117,-1.141895,COD,030624
908323,46,5139,2008,,,-1.513117,-1.141895,COD,030629
914849,46,5140,2008,0.0,23013.0,-1.513117,-1.141895,COD,030710
921375,46,5141,2008,,,-1.513117,-1.141895,COD,030721
927901,46,5142,2008,,,-1.513117,-1.141895,COD,030729
934427,46,5143,2008,0.0,2798.0,-1.513117,-1.141895,COD,030731
940953,46,5144,2008,0.0,5316.0,-1.513117,-1.141895,COD,030739
947479,46,5145,2008,,,-1.513117,-1.141895,COD,030741
954005,46,5146,2008,0.0,1246.0,-1.513117,-1.141895,COD,030749
960531,46,5147,2008,,,-1.513117,-1.141895,COD,030751
967057,46,5148,2008,0.0,6272.0,-1.513117,-1.141895,COD,030759
973583,46,5149,2008,,,-1.513117,-1.141895,COD,030760
980109,46,5150,2008,,,-1.513117,-1.141895,COD,030791
986635,46,5151,2008,1154.0,0.0,-1.513117,-1.141895,COD,030799
993161,46,5152,2008,1707.0,76665.0,-1.513117,-1.141895,COD,040110
999687,46,5153,2008,0.0,543768.0,-1.513117,-1.141895,COD,040120
1006213,46,5154,2008,0.0,230651.0,-1.513117,-1.141895,COD,040130
1012739,46,5155,2008,252368.0,131807.0,-1.513117,-1.141895,COD,040210
1019265,46,5156,2008,44949.0,40956095.0,-1.513117,-1.141895,COD,040221
1025791,46,5157,2008,18445.0,339226.0,-1.513117,-1.141895,COD,040229
1032317,46,5158,2008,2078.0,116625.0,-1.513117,-1.141895,COD,040291
1038843,46,5159,2008,3118.0,1129754.0,-1.513117,-1.141895,COD,040299
1045369,46,5160,2008,0.0,460845.0,-1.513117,-1.141895,COD,040310
1051895,46,5161,2008,0.0,316757.0,-1.513117,-1.141895,COD,040390
1058421,46,5162,2008,0.0,89554.0,-1.513117,-1.141895,COD,040410
1064947,46,5163,2008,0.0,17356.0,-1.513117,-1.141895,COD,040490
1071473,46,5164,2008,3854.0,2975971.0,-1.513117,-1.141895,COD,040500
1077999,46,5165,2008,0.0,34837.0,-1.513117,-1.141895,COD,040610
1084525,46,5166,2008,0.0,32150.0,-1.513117,-1.141895,COD,040620
1091051,46,5167,2008,25891.0,1590545.0,-1.513117,-1.141895,COD,040630
1097577,46,5168,2008,0.0,20027.0,-1.513117,-1.141895,COD,040640
1104103,46,5169,2008,0.0,1204190.0,-1.513117,-1.141895,COD,040690
1110629,46,5170,2008,0.0,1321770.0,-1.513117,-1.141895,COD,040700
1117155,46,5171,2008,,,-1.513117,-1.141895,COD,040811
1123681,46,5172,2008,,,-1.513117,-1.141895,COD,040819
1130207,46,5173,2008,,,-1.513117,-1.141895,COD,040891
1136733,46,5174,2008,,,-1.513117,-1.141895,COD,040899
1143259,46,5175,2008,0.0,16716.0,-1.513117,-1.141895,COD,040900
1149785,46,5176,2008,,,-1.513117,-1.141895,COD,041000
1156311,46,5177,2008,,,-1.513117,-1.141895,COD,050100
1162837,46,5178,2008,,,-1.513117,-1.141895,COD,050210
1169363,46,5179,2008,,,-1.513117,-1.141895,COD,050290
1175889,46,5180,2008,,,-1.513117,-1.141895,COD,050300
1182415,46,5181,2008,1543.0,2027062.0,-1.513117,-1.141895,COD,050400
1188941,46,5182,2008,,,-1.513117,-1.141895,COD,050510
1195467,46,5183,2008,0.0,1119.0,-1.513117,-1.141895,COD,050590
1201993,46,5184,2008,,,-1.513117,-1.141895,COD,050610
1208519,46,5185,2008,0.0,862456.0,-1.513117,-1.141895,COD,050690
1215045,46,5186,2008,,,-1.513117,-1.141895,COD,050710
1221571,46,5187,2008,,,-1.513117,-1.141895,COD,050790
1228097,46,5188,2008,,,-1.513117,-1.141895,COD,050800
1234623,46,5189,2008,,,-1.513117,-1.141895,COD,050900
1241149,46,5190,2008,2336.0,0.0,-1.513117,-1.141895,COD,051000
1247675,46,5191,2008,0.0,4654.0,-1.513117,-1.141895,COD,051110
1254201,46,5192,2008,3010.0,0.0,-1.513117,-1.141895,COD,051191
1260727,46,5193,2008,4220.0,29013.0,-1.513117,-1.141895,COD,051199
1267253,46,5194,2008,,,-1.513117,-1.141895,COD,060110
1273779,46,5195,2008,,,-1.513117,-1.141895,COD,060120
1280305,46,5196,2008,,,-1.513117,-1.141895,COD,060210
1286831,46,5197,2008,0.0,4040.0,-1.513117,-1.141895,COD,060220
1293357,46,5198,2008,,,-1.513117,-1.141895,COD,060230
1299883,46,5199,2008,0.0,1207.0,-1.513117,-1.141895,COD,060240
1306409,46,5200,2008,,,-1.513117,-1.141895,COD,060291
1312935,46,5201,2008,0.0,37209.0,-1.513117,-1.141895,COD,060299
1319461,46,5202,2008,0.0,94945.0,-1.513117,-1.141895,COD,060310
1325987,46,5203,2008,0.0,17521.0,-1.513117,-1.141895,COD,060390
1332513,46,5204,2008,0.0,4587.0,-1.513117,-1.141895,COD,060410
1339039,46,5205,2008,11598.0,45328.0,-1.513117,-1.141895,COD,060491
1345565,46,5206,2008,13797.0,1533.0,-1.513117,-1.141895,COD,060499
1352091,46,5207,2008,0.0,56147.0,-1.513117,-1.141895,COD,070110
1358617,46,5208,2008,0.0,201258.0,-1.513117,-1.141895,COD,070190
1365143,46,5209,2008,0.0,46428.0,-1.513117,-1.141895,COD,070200
1371669,46,5210,2008,0.0,2332460.0,-1.513117,-1.141895,COD,070310
1378195,46,5211,2008,0.0,1328915.0,-1.513117,-1.141895,COD,070320
1384721,46,5212,2008,0.0,8460.0,-1.513117,-1.141895,COD,070390
1391247,46,5213,2008,0.0,20386.0,-1.513117,-1.141895,COD,070410
1397773,46,5214,2008,0.0,695.0,-1.513117,-1.141895,COD,070420
1404299,46,5215,2008,0.0,13631.0,-1.513117,-1.141895,COD,070490
1410825,46,5216,2008,0.0,47202.0,-1.513117,-1.141895,COD,070511
1417351,46,5217,2008,0.0,8570.0,-1.513117,-1.141895,COD,070519
1423877,46,5218,2008,0.0,4108.0,-1.513117,-1.141895,COD,070521
1430403,46,5219,2008,,,-1.513117,-1.141895,COD,070529
1436929,46,5220,2008,0.0,14613.0,-1.513117,-1.141895,COD,070610
1443455,46,5221,2008,0.0,5483.0,-1.513117,-1.141895,COD,070690
1449981,46,5222,2008,0.0,7947.0,-1.513117,-1.141895,COD,070700
1456507,46,5223,2008,0.0,2963.0,-1.513117,-1.141895,COD,070810
1463033,46,5224,2008,6901.0,8156129.0,-1.513117,-1.141895,COD,070820
1469559,46,5225,2008,,,-1.513117,-1.141895,COD,070890
1476085,46,5226,2008,,,-1.513117,-1.141895,COD,070910
1482611,46,5227,2008,0.0,685.0,-1.513117,-1.141895,COD,070920
1489137,46,5228,2008,6368.0,0.0,-1.513117,-1.141895,COD,070930
