,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1603,61,5000,2012,35941773.0,15928115.0,1.966247,-3.3238410000000003,DEU,010111
8129,61,5001,2012,132719683.0,9413687.0,1.966247,-3.3238410000000003,DEU,010119
14655,61,5002,2012,3163814.0,218582.0,1.966247,-3.3238410000000003,DEU,010120
21181,61,5003,2012,152334802.0,18490198.0,1.966247,-3.3238410000000003,DEU,010210
27707,61,5004,2012,151557760.0,105036893.0,1.966247,-3.3238410000000003,DEU,010290
34233,61,5005,2012,13776942.0,84250613.0,1.966247,-3.3238410000000003,DEU,010310
40759,61,5006,2012,138584540.0,838167262.0,1.966247,-3.3238410000000003,DEU,010391
47285,61,5007,2012,335487349.0,827064386.0,1.966247,-3.3238410000000003,DEU,010392
53811,61,5008,2012,6788832.0,8658347.0,1.966247,-3.3238410000000003,DEU,010410
60337,61,5009,2012,104410.0,96534.0,1.966247,-3.3238410000000003,DEU,010420
66863,61,5010,2012,126270495.0,116091501.0,1.966247,-3.3238410000000003,DEU,010511
73389,61,5011,2012,27142479.0,12003837.0,1.966247,-3.3238410000000003,DEU,010519
79915,61,5012,2012,551215771.0,78928986.0,1.966247,-3.3238410000000003,DEU,010591
86441,61,5013,2012,13192627.0,145566783.0,1.966247,-3.3238410000000003,DEU,010599
92967,61,5014,2012,32245463.0,42841875.0,1.966247,-3.3238410000000003,DEU,010600
99493,61,5015,2012,256545660.0,168250429.0,1.966247,-3.3238410000000003,DEU,020110
106019,61,5016,2012,727253973.0,481762065.0,1.966247,-3.3238410000000003,DEU,020120
112545,61,5017,2012,702051342.0,1295123317.0,1.966247,-3.3238410000000003,DEU,020130
119071,61,5018,2012,1786763.0,7316764.0,1.966247,-3.3238410000000003,DEU,020210
125597,61,5019,2012,10438085.0,13325473.0,1.966247,-3.3238410000000003,DEU,020220
132123,61,5020,2012,253067906.0,228763911.0,1.966247,-3.3238410000000003,DEU,020230
138649,61,5021,2012,494194474.0,790339354.0,1.966247,-3.3238410000000003,DEU,020311
145175,61,5022,2012,592773194.0,468311097.0,1.966247,-3.3238410000000003,DEU,020312
151701,61,5023,2012,2318377553.0,849187447.0,1.966247,-3.3238410000000003,DEU,020319
158227,61,5024,2012,69274548.0,5458344.0,1.966247,-3.3238410000000003,DEU,020321
164753,61,5025,2012,123015285.0,14790544.0,1.966247,-3.3238410000000003,DEU,020322
171279,61,5026,2012,1271381513.0,156783976.0,1.966247,-3.3238410000000003,DEU,020329
177805,61,5027,2012,4819693.0,46489862.0,1.966247,-3.3238410000000003,DEU,020410
184331,61,5028,2012,1424025.0,13756355.0,1.966247,-3.3238410000000003,DEU,020421
190857,61,5029,2012,5824908.0,45034726.0,1.966247,-3.3238410000000003,DEU,020422
197383,61,5030,2012,5010597.0,41224123.0,1.966247,-3.3238410000000003,DEU,020423
203909,61,5031,2012,1249085.0,1921045.0,1.966247,-3.3238410000000003,DEU,020430
210435,61,5032,2012,191072.0,124561.0,1.966247,-3.3238410000000003,DEU,020441
216961,61,5033,2012,23850457.0,70028202.0,1.966247,-3.3238410000000003,DEU,020442
223487,61,5034,2012,20801505.0,99824797.0,1.966247,-3.3238410000000003,DEU,020443
230013,61,5035,2012,405750.0,1241915.0,1.966247,-3.3238410000000003,DEU,020450
236539,61,5036,2012,1695723.0,4642181.0,1.966247,-3.3238410000000003,DEU,020500
243065,61,5037,2012,50102074.0,39009269.0,1.966247,-3.3238410000000003,DEU,020610
249591,61,5038,2012,3994307.0,1773884.0,1.966247,-3.3238410000000003,DEU,020621
256117,61,5039,2012,11279215.0,2867559.0,1.966247,-3.3238410000000003,DEU,020622
262643,61,5040,2012,54817877.0,6893797.0,1.966247,-3.3238410000000003,DEU,020629
269169,61,5041,2012,167150465.0,57000212.0,1.966247,-3.3238410000000003,DEU,020630
275695,61,5042,2012,13211351.0,1396756.0,1.966247,-3.3238410000000003,DEU,020641
282221,61,5043,2012,553957083.0,25803567.0,1.966247,-3.3238410000000003,DEU,020649
288747,61,5044,2012,818847.0,2840182.0,1.966247,-3.3238410000000003,DEU,020680
295273,61,5045,2012,1377211.0,1044378.0,1.966247,-3.3238410000000003,DEU,020690
301799,61,5046,2012,30517519.0,91479420.0,1.966247,-3.3238410000000003,DEU,020710
308325,61,5047,2012,22192465.0,34178885.0,1.966247,-3.3238410000000003,DEU,020721
314851,61,5048,2012,1282305.0,11365925.0,1.966247,-3.3238410000000003,DEU,020722
321377,61,5049,2012,60935010.0,98463762.0,1.966247,-3.3238410000000003,DEU,020723
327903,61,5050,2012,388085.0,3924676.0,1.966247,-3.3238410000000003,DEU,020731
334429,61,5051,2012,609795518.0,846839994.0,1.966247,-3.3238410000000003,DEU,020739
340955,61,5052,2012,304793671.0,321011167.0,1.966247,-3.3238410000000003,DEU,020741
