,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1713,65,5000,2018,87699.0,399203.0,-0.084258,0.474872,DOM,010111
8239,65,5001,2018,82739.0,346755.0,-0.084258,0.474872,DOM,010119
14765,65,5002,2018,,,-0.084258,0.474872,DOM,010120
21291,65,5003,2018,0.0,99103.0,-0.084258,0.474872,DOM,010210
27817,65,5004,2018,0.0,24527.0,-0.084258,0.474872,DOM,010290
34343,65,5005,2018,0.0,263996.0,-0.084258,0.474872,DOM,010310
40869,65,5006,2018,0.0,14036.0,-0.084258,0.474872,DOM,010391
47395,65,5007,2018,0.0,176340.0,-0.084258,0.474872,DOM,010392
53921,65,5008,2018,0.0,80646.0,-0.084258,0.474872,DOM,010410
60447,65,5009,2018,0.0,2994.0,-0.084258,0.474872,DOM,010420
66973,65,5010,2018,9277094.0,3028924.0,-0.084258,0.474872,DOM,010511
73499,65,5011,2018,,,-0.084258,0.474872,DOM,010519
80025,65,5012,2018,57478.0,1246465.0,-0.084258,0.474872,DOM,010591
86551,65,5013,2018,0.0,197435.0,-0.084258,0.474872,DOM,010599
93077,65,5014,2018,33761.0,76883.0,-0.084258,0.474872,DOM,010600
99603,65,5015,2018,0.0,64243.0,-0.084258,0.474872,DOM,020110
106129,65,5016,2018,308466.0,990082.0,-0.084258,0.474872,DOM,020120
112655,65,5017,2018,82766.0,6002211.0,-0.084258,0.474872,DOM,020130
119181,65,5018,2018,0.0,198754.0,-0.084258,0.474872,DOM,020210
125707,65,5019,2018,664937.0,3100644.0,-0.084258,0.474872,DOM,020220
132233,65,5020,2018,501017.0,47675719.0,-0.084258,0.474872,DOM,020230
138759,65,5021,2018,9376.0,283387.0,-0.084258,0.474872,DOM,020311
145285,65,5022,2018,1000.0,1723087.0,-0.084258,0.474872,DOM,020312
151811,65,5023,2018,4119.0,4995047.0,-0.084258,0.474872,DOM,020319
158337,65,5024,2018,0.0,189000.0,-0.084258,0.474872,DOM,020321
164863,65,5025,2018,5595.0,15030010.0,-0.084258,0.474872,DOM,020322
171389,65,5026,2018,0.0,58307116.0,-0.084258,0.474872,DOM,020329
177915,65,5027,2018,0.0,87943.0,-0.084258,0.474872,DOM,020410
184441,65,5028,2018,252720.0,2718.0,-0.084258,0.474872,DOM,020421
190967,65,5029,2018,592176.0,104435.0,-0.084258,0.474872,DOM,020422
197493,65,5030,2018,,,-0.084258,0.474872,DOM,020423
204019,65,5031,2018,0.0,1580928.0,-0.084258,0.474872,DOM,020430
210545,65,5032,2018,,,-0.084258,0.474872,DOM,020441
217071,65,5033,2018,0.0,3389474.0,-0.084258,0.474872,DOM,020442
223597,65,5034,2018,0.0,134825.0,-0.084258,0.474872,DOM,020443
230123,65,5035,2018,7430.0,7297.0,-0.084258,0.474872,DOM,020450
236649,65,5036,2018,,,-0.084258,0.474872,DOM,020500
243175,65,5037,2018,0.0,227867.0,-0.084258,0.474872,DOM,020610
249701,65,5038,2018,,,-0.084258,0.474872,DOM,020621
256227,65,5039,2018,0.0,205739.0,-0.084258,0.474872,DOM,020622
262753,65,5040,2018,26957.0,1298463.0,-0.084258,0.474872,DOM,020629
269279,65,5041,2018,0.0,15897.0,-0.084258,0.474872,DOM,020630
275805,65,5042,2018,,,-0.084258,0.474872,DOM,020641
282331,65,5043,2018,0.0,1754843.0,-0.084258,0.474872,DOM,020649
288857,65,5044,2018,,,-0.084258,0.474872,DOM,020680
295383,65,5045,2018,72082.0,75426.0,-0.084258,0.474872,DOM,020690
301909,65,5046,2018,3516643.0,182906.0,-0.084258,0.474872,DOM,020710
308435,65,5047,2018,17407.0,814743.0,-0.084258,0.474872,DOM,020721
314961,65,5048,2018,20618.0,991091.0,-0.084258,0.474872,DOM,020722
321487,65,5049,2018,1582.0,872890.0,-0.084258,0.474872,DOM,020723
