,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
1762,67,5000,2015,46540.0,238714.0,-0.9845959999999999,-1.075639,ECU,010111
8288,67,5001,2015,40134.0,683039.0,-0.9845959999999999,-1.075639,ECU,010119
14814,67,5002,2015,,,-0.9845959999999999,-1.075639,ECU,010120
21340,67,5003,2015,0.0,3462136.0,-0.9845959999999999,-1.075639,ECU,010210
27866,67,5004,2015,0.0,3596237.0,-0.9845959999999999,-1.075639,ECU,010290
34392,67,5005,2015,0.0,346854.0,-0.9845959999999999,-1.075639,ECU,010310
40918,67,5006,2015,,,-0.9845959999999999,-1.075639,ECU,010391
47444,67,5007,2015,,,-0.9845959999999999,-1.075639,ECU,010392
53970,67,5008,2015,0.0,16479.0,-0.9845959999999999,-1.075639,ECU,010410
60496,67,5009,2015,0.0,2155.0,-0.9845959999999999,-1.075639,ECU,010420
67022,67,5010,2015,1451340.0,13251641.0,-0.9845959999999999,-1.075639,ECU,010511
73548,67,5011,2015,0.0,3318674.0,-0.9845959999999999,-1.075639,ECU,010519
80074,67,5012,2015,0.0,118894.0,-0.9845959999999999,-1.075639,ECU,010591
86600,67,5013,2015,,,-0.9845959999999999,-1.075639,ECU,010599
93126,67,5014,2015,364045.0,405232.0,-0.9845959999999999,-1.075639,ECU,010600
99652,67,5015,2015,,,-0.9845959999999999,-1.075639,ECU,020110
106178,67,5016,2015,,,-0.9845959999999999,-1.075639,ECU,020120
112704,67,5017,2015,0.0,15851.0,-0.9845959999999999,-1.075639,ECU,020130
119230,67,5018,2015,0.0,102136.0,-0.9845959999999999,-1.075639,ECU,020210
125756,67,5019,2015,1046.0,61120.0,-0.9845959999999999,-1.075639,ECU,020220
132282,67,5020,2015,78983.0,1053510.0,-0.9845959999999999,-1.075639,ECU,020230
138808,67,5021,2015,,,-0.9845959999999999,-1.075639,ECU,020311
145334,67,5022,2015,0.0,331207.0,-0.9845959999999999,-1.075639,ECU,020312
151860,67,5023,2015,0.0,47932.0,-0.9845959999999999,-1.075639,ECU,020319
158386,67,5024,2015,0.0,46656.0,-0.9845959999999999,-1.075639,ECU,020321
164912,67,5025,2015,2460.0,845604.0,-0.9845959999999999,-1.075639,ECU,020322
171438,67,5026,2015,0.0,4711117.0,-0.9845959999999999,-1.075639,ECU,020329
177964,67,5027,2015,39639.0,0.0,-0.9845959999999999,-1.075639,ECU,020410
184490,67,5028,2015,,,-0.9845959999999999,-1.075639,ECU,020421
191016,67,5029,2015,,,-0.9845959999999999,-1.075639,ECU,020422
197542,67,5030,2015,83579.0,0.0,-0.9845959999999999,-1.075639,ECU,020423
204068,67,5031,2015,,,-0.9845959999999999,-1.075639,ECU,020430
210594,67,5032,2015,,,-0.9845959999999999,-1.075639,ECU,020441
217120,67,5033,2015,0.0,72998.0,-0.9845959999999999,-1.075639,ECU,020442
223646,67,5034,2015,0.0,2562.0,-0.9845959999999999,-1.075639,ECU,020443
230172,67,5035,2015,,,-0.9845959999999999,-1.075639,ECU,020450
236698,67,5036,2015,,,-0.9845959999999999,-1.075639,ECU,020500
243224,67,5037,2015,0.0,136177.0,-0.9845959999999999,-1.075639,ECU,020610
249750,67,5038,2015,,,-0.9845959999999999,-1.075639,ECU,020621
256276,67,5039,2015,0.0,190311.0,-0.9845959999999999,-1.075639,ECU,020622
262802,67,5040,2015,7557.0,192683.0,-0.9845959999999999,-1.075639,ECU,020629
269328,67,5041,2015,,,-0.9845959999999999,-1.075639,ECU,020630
275854,67,5042,2015,,,-0.9845959999999999,-1.075639,ECU,020641
282380,67,5043,2015,0.0,2473637.0,-0.9845959999999999,-1.075639,ECU,020649
288906,67,5044,2015,,,-0.9845959999999999,-1.075639,ECU,020680
295432,67,5045,2015,,,-0.9845959999999999,-1.075639,ECU,020690
301958,67,5046,2015,,,-0.9845959999999999,-1.075639,ECU,020710
308484,67,5047,2015,365892.0,0.0,-0.9845959999999999,-1.075639,ECU,020721
315010,67,5048,2015,0.0,279988.0,-0.9845959999999999,-1.075639,ECU,020722
321536,67,5049,2015,1421.0,0.0,-0.9845959999999999,-1.075639,ECU,020723
328062,67,5050,2015,,,-0.9845959999999999,-1.075639,ECU,020731
334588,67,5051,2015,1762.0,0.0,-0.9845959999999999,-1.075639,ECU,020739
341114,67,5052,2015,49300.0,0.0,-0.9845959999999999,-1.075639,ECU,020741
347640,67,5053,2015,,,-0.9845959999999999,-1.075639,ECU,020742
354166,67,5054,2015,,,-0.9845959999999999,-1.075639,ECU,020743
360692,67,5055,2015,,,-0.9845959999999999,-1.075639,ECU,020750
367218,67,5056,2015,,,-0.9845959999999999,-1.075639,ECU,020810
373744,67,5057,2015,,,-0.9845959999999999,-1.075639,ECU,020820
