,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2133,82,5000,1996,18197.0,89670.0,0.5383020000000001,0.167596,GEO,010111
8659,82,5001,1996,,,0.5383020000000001,0.167596,GEO,010119
15185,82,5002,1996,,,0.5383020000000001,0.167596,GEO,010120
21711,82,5003,1996,,,0.5383020000000001,0.167596,GEO,010210
28237,82,5004,1996,0.0,8965.0,0.5383020000000001,0.167596,GEO,010290
34763,82,5005,1996,,,0.5383020000000001,0.167596,GEO,010310
41289,82,5006,1996,,,0.5383020000000001,0.167596,GEO,010391
47815,82,5007,1996,0.0,33229.0,0.5383020000000001,0.167596,GEO,010392
54341,82,5008,1996,,,0.5383020000000001,0.167596,GEO,010410
60867,82,5009,1996,,,0.5383020000000001,0.167596,GEO,010420
67393,82,5010,1996,0.0,1171.0,0.5383020000000001,0.167596,GEO,010511
73919,82,5011,1996,21520.0,55116.0,0.5383020000000001,0.167596,GEO,010519
80445,82,5012,1996,0.0,82788.0,0.5383020000000001,0.167596,GEO,010591
86971,82,5013,1996,,,0.5383020000000001,0.167596,GEO,010599
93497,82,5014,1996,1302.0,0.0,0.5383020000000001,0.167596,GEO,010600
100023,82,5015,1996,,,0.5383020000000001,0.167596,GEO,020110
106549,82,5016,1996,,,0.5383020000000001,0.167596,GEO,020120
113075,82,5017,1996,,,0.5383020000000001,0.167596,GEO,020130
119601,82,5018,1996,,,0.5383020000000001,0.167596,GEO,020210
126127,82,5019,1996,0.0,70680.0,0.5383020000000001,0.167596,GEO,020220
132653,82,5020,1996,0.0,157891.0,0.5383020000000001,0.167596,GEO,020230
139179,82,5021,1996,0.0,40861.0,0.5383020000000001,0.167596,GEO,020311
145705,82,5022,1996,,,0.5383020000000001,0.167596,GEO,020312
152231,82,5023,1996,,,0.5383020000000001,0.167596,GEO,020319
158757,82,5024,1996,0.0,152944.0,0.5383020000000001,0.167596,GEO,020321
165283,82,5025,1996,0.0,6041.0,0.5383020000000001,0.167596,GEO,020322
171809,82,5026,1996,0.0,3045.0,0.5383020000000001,0.167596,GEO,020329
178335,82,5027,1996,,,0.5383020000000001,0.167596,GEO,020410
184861,82,5028,1996,,,0.5383020000000001,0.167596,GEO,020421
191387,82,5029,1996,,,0.5383020000000001,0.167596,GEO,020422
197913,82,5030,1996,,,0.5383020000000001,0.167596,GEO,020423
204439,82,5031,1996,,,0.5383020000000001,0.167596,GEO,020430
210965,82,5032,1996,,,0.5383020000000001,0.167596,GEO,020441
217491,82,5033,1996,,,0.5383020000000001,0.167596,GEO,020442
224017,82,5034,1996,,,0.5383020000000001,0.167596,GEO,020443
230543,82,5035,1996,,,0.5383020000000001,0.167596,GEO,020450
237069,82,5036,1996,,,0.5383020000000001,0.167596,GEO,020500
243595,82,5037,1996,0.0,6663.0,0.5383020000000001,0.167596,GEO,020610
250121,82,5038,1996,,,0.5383020000000001,0.167596,GEO,020621
256647,82,5039,1996,0.0,6294.0,0.5383020000000001,0.167596,GEO,020622
263173,82,5040,1996,0.0,9109.0,0.5383020000000001,0.167596,GEO,020629
269699,82,5041,1996,0.0,2139.0,0.5383020000000001,0.167596,GEO,020630
276225,82,5042,1996,,,0.5383020000000001,0.167596,GEO,020641
282751,82,5043,1996,,,0.5383020000000001,0.167596,GEO,020649
289277,82,5044,1996,,,0.5383020000000001,0.167596,GEO,020680
295803,82,5045,1996,,,0.5383020000000001,0.167596,GEO,020690
302329,82,5046,1996,110426.0,546461.0,0.5383020000000001,0.167596,GEO,020710
308855,82,5047,1996,0.0,6849503.0,0.5383020000000001,0.167596,GEO,020721
