,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2175,83,5000,2012,10156.0,0.0,-0.9610920000000001,-0.745232,GHA,010111
8701,83,5001,2012,2580.0,11111.0,-0.9610920000000001,-0.745232,GHA,010119
15227,83,5002,2012,,,-0.9610920000000001,-0.745232,GHA,010120
21753,83,5003,2012,0.0,10016.0,-0.9610920000000001,-0.745232,GHA,010210
28279,83,5004,2012,6567.0,474274.0,-0.9610920000000001,-0.745232,GHA,010290
34805,83,5005,2012,0.0,57434.0,-0.9610920000000001,-0.745232,GHA,010310
41331,83,5006,2012,,,-0.9610920000000001,-0.745232,GHA,010391
47857,83,5007,2012,,,-0.9610920000000001,-0.745232,GHA,010392
54383,83,5008,2012,0.0,913172.0,-0.9610920000000001,-0.745232,GHA,010410
60909,83,5009,2012,0.0,364748.0,-0.9610920000000001,-0.745232,GHA,010420
67435,83,5010,2012,11349.0,4311659.0,-0.9610920000000001,-0.745232,GHA,010511
73961,83,5011,2012,0.0,14950.0,-0.9610920000000001,-0.745232,GHA,010519
80487,83,5012,2012,,,-0.9610920000000001,-0.745232,GHA,010591
87013,83,5013,2012,,,-0.9610920000000001,-0.745232,GHA,010599
93539,83,5014,2012,600481.0,3083908.0,-0.9610920000000001,-0.745232,GHA,010600
100065,83,5015,2012,,,-0.9610920000000001,-0.745232,GHA,020110
106591,83,5016,2012,0.0,126899.0,-0.9610920000000001,-0.745232,GHA,020120
113117,83,5017,2012,0.0,282495.0,-0.9610920000000001,-0.745232,GHA,020130
119643,83,5018,2012,0.0,319218.0,-0.9610920000000001,-0.745232,GHA,020210
126169,83,5019,2012,0.0,3062977.0,-0.9610920000000001,-0.745232,GHA,020220
132695,83,5020,2012,0.0,9900014.0,-0.9610920000000001,-0.745232,GHA,020230
139221,83,5021,2012,0.0,7620.0,-0.9610920000000001,-0.745232,GHA,020311
145747,83,5022,2012,0.0,188594.0,-0.9610920000000001,-0.745232,GHA,020312
152273,83,5023,2012,0.0,42081.0,-0.9610920000000001,-0.745232,GHA,020319
