,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2192,84,5000,2003,,,1.133606,-0.176782,GIB,010111
8718,84,5001,2003,,,1.133606,-0.176782,GIB,010119
15244,84,5002,2003,,,1.133606,-0.176782,GIB,010120
21770,84,5003,2003,,,1.133606,-0.176782,GIB,010210
28296,84,5004,2003,,,1.133606,-0.176782,GIB,010290
34822,84,5005,2003,,,1.133606,-0.176782,GIB,010310
41348,84,5006,2003,,,1.133606,-0.176782,GIB,010391
47874,84,5007,2003,,,1.133606,-0.176782,GIB,010392
54400,84,5008,2003,,,1.133606,-0.176782,GIB,010410
60926,84,5009,2003,,,1.133606,-0.176782,GIB,010420
67452,84,5010,2003,,,1.133606,-0.176782,GIB,010511
73978,84,5011,2003,,,1.133606,-0.176782,GIB,010519
80504,84,5012,2003,,,1.133606,-0.176782,GIB,010591
87030,84,5013,2003,,,1.133606,-0.176782,GIB,010599
93556,84,5014,2003,1175.0,0.0,1.133606,-0.176782,GIB,010600
100082,84,5015,2003,0.0,419685.0,1.133606,-0.176782,GIB,020110
106608,84,5016,2003,0.0,139275.0,1.133606,-0.176782,GIB,020120
113134,84,5017,2003,0.0,515990.0,1.133606,-0.176782,GIB,020130
119660,84,5018,2003,,,1.133606,-0.176782,GIB,020210
126186,84,5019,2003,0.0,17279.0,1.133606,-0.176782,GIB,020220
132712,84,5020,2003,0.0,200287.0,1.133606,-0.176782,GIB,020230
139238,84,5021,2003,0.0,38155.0,1.133606,-0.176782,GIB,020311
145764,84,5022,2003,0.0,40669.0,1.133606,-0.176782,GIB,020312
152290,84,5023,2003,0.0,244105.0,1.133606,-0.176782,GIB,020319
158816,84,5024,2003,0.0,18368.0,1.133606,-0.176782,GIB,020321
165342,84,5025,2003,0.0,34589.0,1.133606,-0.176782,GIB,020322
171868,84,5026,2003,0.0,248218.0,1.133606,-0.176782,GIB,020329
178394,84,5027,2003,0.0,37037.0,1.133606,-0.176782,GIB,020410
184920,84,5028,2003,,,1.133606,-0.176782,GIB,020421
191446,84,5029,2003,0.0,3877.0,1.133606,-0.176782,GIB,020422
197972,84,5030,2003,,,1.133606,-0.176782,GIB,020423
204498,84,5031,2003,0.0,10967.0,1.133606,-0.176782,GIB,020430
211024,84,5032,2003,0.0,210664.0,1.133606,-0.176782,GIB,020441
217550,84,5033,2003,0.0,198077.0,1.133606,-0.176782,GIB,020442
224076,84,5034,2003,0.0,77637.0,1.133606,-0.176782,GIB,020443
230602,84,5035,2003,,,1.133606,-0.176782,GIB,020450
237128,84,5036,2003,,,1.133606,-0.176782,GIB,020500
243654,84,5037,2003,0.0,5329.0,1.133606,-0.176782,GIB,020610
250180,84,5038,2003,0.0,2888.0,1.133606,-0.176782,GIB,020621
