,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2231,85,5000,2016,0.0,2652.0,-1.474753,-1.215627,GIN,010111
8757,85,5001,2016,,,-1.474753,-1.215627,GIN,010119
15283,85,5002,2016,0.0,17290.0,-1.474753,-1.215627,GIN,010120
21809,85,5003,2016,0.0,3471601.0,-1.474753,-1.215627,GIN,010210
28335,85,5004,2016,0.0,4671.0,-1.474753,-1.215627,GIN,010290
34861,85,5005,2016,,,-1.474753,-1.215627,GIN,010310
41387,85,5006,2016,,,-1.474753,-1.215627,GIN,010391
47913,85,5007,2016,,,-1.474753,-1.215627,GIN,010392
54439,85,5008,2016,0.0,1302840.0,-1.474753,-1.215627,GIN,010410
60965,85,5009,2016,0.0,127068.0,-1.474753,-1.215627,GIN,010420
67491,85,5010,2016,0.0,1368612.0,-1.474753,-1.215627,GIN,010511
74017,85,5011,2016,0.0,910.0,-1.474753,-1.215627,GIN,010519
80543,85,5012,2016,0.0,13687.0,-1.474753,-1.215627,GIN,010591
87069,85,5013,2016,,,-1.474753,-1.215627,GIN,010599
93595,85,5014,2016,26069.0,919.0,-1.474753,-1.215627,GIN,010600
100121,85,5015,2016,,,-1.474753,-1.215627,GIN,020110
106647,85,5016,2016,,,-1.474753,-1.215627,GIN,020120
113173,85,5017,2016,,,-1.474753,-1.215627,GIN,020130
119699,85,5018,2016,0.0,13851.0,-1.474753,-1.215627,GIN,020210
126225,85,5019,2016,0.0,27013.0,-1.474753,-1.215627,GIN,020220
132751,85,5020,2016,0.0,285800.0,-1.474753,-1.215627,GIN,020230
139277,85,5021,2016,,,-1.474753,-1.215627,GIN,020311
145803,85,5022,2016,,,-1.474753,-1.215627,GIN,020312
152329,85,5023,2016,,,-1.474753,-1.215627,GIN,020319
158855,85,5024,2016,0.0,20090.0,-1.474753,-1.215627,GIN,020321
165381,85,5025,2016,0.0,9486.0,-1.474753,-1.215627,GIN,020322
171907,85,5026,2016,0.0,192698.0,-1.474753,-1.215627,GIN,020329
178433,85,5027,2016,0.0,28586.0,-1.474753,-1.215627,GIN,020410
184959,85,5028,2016,,,-1.474753,-1.215627,GIN,020421
191485,85,5029,2016,0.0,5833.0,-1.474753,-1.215627,GIN,020422
198011,85,5030,2016,,,-1.474753,-1.215627,GIN,020423
204537,85,5031,2016,0.0,3006.0,-1.474753,-1.215627,GIN,020430
211063,85,5032,2016,,,-1.474753,-1.215627,GIN,020441
217589,85,5033,2016,0.0,64587.0,-1.474753,-1.215627,GIN,020442
224115,85,5034,2016,0.0,8667.0,-1.474753,-1.215627,GIN,020443
230641,85,5035,2016,,,-1.474753,-1.215627,GIN,020450
237167,85,5036,2016,,,-1.474753,-1.215627,GIN,020500
243693,85,5037,2016,,,-1.474753,-1.215627,GIN,020610
250219,85,5038,2016,0.0,512805.0,-1.474753,-1.215627,GIN,020621
256745,85,5039,2016,0.0,1440059.0,-1.474753,-1.215627,GIN,020622
263271,85,5040,2016,0.0,1390310.0,-1.474753,-1.215627,GIN,020629
269797,85,5041,2016,0.0,15810.0,-1.474753,-1.215627,GIN,020630
276323,85,5042,2016,,,-1.474753,-1.215627,GIN,020641
282849,85,5043,2016,0.0,30047.0,-1.474753,-1.215627,GIN,020649
289375,85,5044,2016,,,-1.474753,-1.215627,GIN,020680
295901,85,5045,2016,0.0,119415.0,-1.474753,-1.215627,GIN,020690
302427,85,5046,2016,0.0,15343.0,-1.474753,-1.215627,GIN,020710
308953,85,5047,2016,0.0,4708831.0,-1.474753,-1.215627,GIN,020721
315479,85,5048,2016,0.0,2783.0,-1.474753,-1.215627,GIN,020722
322005,85,5049,2016,0.0,12668.0,-1.474753,-1.215627,GIN,020723
328531,85,5050,2016,,,-1.474753,-1.215627,GIN,020731
335057,85,5051,2016,0.0,385653.0,-1.474753,-1.215627,GIN,020739
341583,85,5052,2016,0.0,13203824.0,-1.474753,-1.215627,GIN,020741
348109,85,5053,2016,0.0,1560788.0,-1.474753,-1.215627,GIN,020742
354635,85,5054,2016,0.0,53510.0,-1.474753,-1.215627,GIN,020743
361161,85,5055,2016,,,-1.474753,-1.215627,GIN,020750
367687,85,5056,2016,0.0,4442.0,-1.474753,-1.215627,GIN,020810
374213,85,5057,2016,,,-1.474753,-1.215627,GIN,020820
380739,85,5058,2016,,,-1.474753,-1.215627,GIN,020890
387265,85,5059,2016,,,-1.474753,-1.215627,GIN,020900
393791,85,5060,2016,,,-1.474753,-1.215627,GIN,021011
400317,85,5061,2016,0.0,8444.0,-1.474753,-1.215627,GIN,021012
406843,85,5062,2016,0.0,21289.0,-1.474753,-1.215627,GIN,021019
413369,85,5063,2016,,,-1.474753,-1.215627,GIN,021020
419895,85,5064,2016,,,-1.474753,-1.215627,GIN,021090
426421,85,5065,2016,47869.0,0.0,-1.474753,-1.215627,GIN,030110
432947,85,5066,2016,,,-1.474753,-1.215627,GIN,030191
439473,85,5067,2016,,,-1.474753,-1.215627,GIN,030192
445999,85,5068,2016,,,-1.474753,-1.215627,GIN,030193
452525,85,5069,2016,1294.0,0.0,-1.474753,-1.215627,GIN,030199
459051,85,5070,2016,,,-1.474753,-1.215627,GIN,030211
465577,85,5071,2016,0.0,10566.0,-1.474753,-1.215627,GIN,030212
472103,85,5072,2016,9417471.0,0.0,-1.474753,-1.215627,GIN,030219
478629,85,5073,2016,,,-1.474753,-1.215627,GIN,030221
485155,85,5074,2016,,,-1.474753,-1.215627,GIN,030222
491681,85,5075,2016,,,-1.474753,-1.215627,GIN,030223
498207,85,5076,2016,11738.0,0.0,-1.474753,-1.215627,GIN,030229
504733,85,5077,2016,,,-1.474753,-1.215627,GIN,030231
511259,85,5078,2016,,,-1.474753,-1.215627,GIN,030232
517785,85,5079,2016,,,-1.474753,-1.215627,GIN,030233
524311,85,5080,2016,,,-1.474753,-1.215627,GIN,030239
530837,85,5081,2016,,,-1.474753,-1.215627,GIN,030240
537363,85,5082,2016,,,-1.474753,-1.215627,GIN,030250
543889,85,5083,2016,,,-1.474753,-1.215627,GIN,030261
550415,85,5084,2016,,,-1.474753,-1.215627,GIN,030262
556941,85,5085,2016,,,-1.474753,-1.215627,GIN,030263
563467,85,5086,2016,,,-1.474753,-1.215627,GIN,030264
569993,85,5087,2016,,,-1.474753,-1.215627,GIN,030265
576519,85,5088,2016,,,-1.474753,-1.215627,GIN,030266
583045,85,5089,2016,47845.0,0.0,-1.474753,-1.215627,GIN,030269
589571,85,5090,2016,,,-1.474753,-1.215627,GIN,030270
596097,85,5091,2016,0.0,2375.0,-1.474753,-1.215627,GIN,030310
602623,85,5092,2016,0.0,13966.0,-1.474753,-1.215627,GIN,030321
