,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2329,89,5000,2010,,,-1.077402,-0.86556,GNQ,010111
8855,89,5001,2010,,,-1.077402,-0.86556,GNQ,010119
15381,89,5002,2010,,,-1.077402,-0.86556,GNQ,010120
21907,89,5003,2010,,,-1.077402,-0.86556,GNQ,010210
28433,89,5004,2010,,,-1.077402,-0.86556,GNQ,010290
34959,89,5005,2010,,,-1.077402,-0.86556,GNQ,010310
41485,89,5006,2010,,,-1.077402,-0.86556,GNQ,010391
48011,89,5007,2010,,,-1.077402,-0.86556,GNQ,010392
54537,89,5008,2010,,,-1.077402,-0.86556,GNQ,010410
61063,89,5009,2010,,,-1.077402,-0.86556,GNQ,010420
67589,89,5010,2010,,,-1.077402,-0.86556,GNQ,010511
74115,89,5011,2010,,,-1.077402,-0.86556,GNQ,010519
80641,89,5012,2010,,,-1.077402,-0.86556,GNQ,010591
87167,89,5013,2010,,,-1.077402,-0.86556,GNQ,010599
93693,89,5014,2010,18910.0,1326.0,-1.077402,-0.86556,GNQ,010600
100219,89,5015,2010,,,-1.077402,-0.86556,GNQ,020110
106745,89,5016,2010,0.0,25324.0,-1.077402,-0.86556,GNQ,020120
113271,89,5017,2010,0.0,249858.0,-1.077402,-0.86556,GNQ,020130
119797,89,5018,2010,47448.0,0.0,-1.077402,-0.86556,GNQ,020210
126323,89,5019,2010,0.0,739798.0,-1.077402,-0.86556,GNQ,020220
132849,89,5020,2010,59598.0,6992164.0,-1.077402,-0.86556,GNQ,020230
139375,89,5021,2010,,,-1.077402,-0.86556,GNQ,020311
145901,89,5022,2010,0.0,100871.0,-1.077402,-0.86556,GNQ,020312
152427,89,5023,2010,0.0,43702.0,-1.077402,-0.86556,GNQ,020319
158953,89,5024,2010,0.0,36820.0,-1.077402,-0.86556,GNQ,020321
165479,89,5025,2010,0.0,338182.0,-1.077402,-0.86556,GNQ,020322
172005,89,5026,2010,11251.0,4799493.0,-1.077402,-0.86556,GNQ,020329
178531,89,5027,2010,0.0,7606.0,-1.077402,-0.86556,GNQ,020410
185057,89,5028,2010,,,-1.077402,-0.86556,GNQ,020421
191583,89,5029,2010,0.0,246586.0,-1.077402,-0.86556,GNQ,020422
198109,89,5030,2010,0.0,76856.0,-1.077402,-0.86556,GNQ,020423
204635,89,5031,2010,0.0,11139.0,-1.077402,-0.86556,GNQ,020430
211161,89,5032,2010,0.0,49358.0,-1.077402,-0.86556,GNQ,020441
217687,89,5033,2010,0.0,303542.0,-1.077402,-0.86556,GNQ,020442
224213,89,5034,2010,0.0,172421.0,-1.077402,-0.86556,GNQ,020443
230739,89,5035,2010,0.0,461226.0,-1.077402,-0.86556,GNQ,020450
237265,89,5036,2010,,,-1.077402,-0.86556,GNQ,020500
243791,89,5037,2010,,,-1.077402,-0.86556,GNQ,020610
250317,89,5038,2010,,,-1.077402,-0.86556,GNQ,020621
256843,89,5039,2010,4739.0,56940.0,-1.077402,-0.86556,GNQ,020622
263369,89,5040,2010,0.0,1198183.0,-1.077402,-0.86556,GNQ,020629
269895,89,5041,2010,,,-1.077402,-0.86556,GNQ,020630
276421,89,5042,2010,0.0,6919.0,-1.077402,-0.86556,GNQ,020641
