,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2349,90,5000,2004,14193.0,3131957.0,0.348853,1.661656,GRC,010111
8875,90,5001,2004,24746.0,192462.0,0.348853,1.661656,GRC,010119
15401,90,5002,2004,,,0.348853,1.661656,GRC,010120
21927,90,5003,2004,1052540.0,23349921.0,0.348853,1.661656,GRC,010210
28453,90,5004,2004,71823.0,54258130.0,0.348853,1.661656,GRC,010290
34979,90,5005,2004,6430.0,2278619.0,0.348853,1.661656,GRC,010310
41505,90,5006,2004,29447.0,997674.0,0.348853,1.661656,GRC,010391
48031,90,5007,2004,117542.0,725685.0,0.348853,1.661656,GRC,010392
54557,90,5008,2004,13418.0,50626855.0,0.348853,1.661656,GRC,010410
61083,90,5009,2004,244363.0,529306.0,0.348853,1.661656,GRC,010420
67609,90,5010,2004,1348226.0,4756767.0,0.348853,1.661656,GRC,010511
74135,90,5011,2004,14940.0,266257.0,0.348853,1.661656,GRC,010519
80661,90,5012,2004,1514716.0,127882.0,0.348853,1.661656,GRC,010591
87187,90,5013,2004,2394.0,383424.0,0.348853,1.661656,GRC,010599
93713,90,5014,2004,26721.0,3608536.0,0.348853,1.661656,GRC,010600
100239,90,5015,2004,64374.0,126059184.0,0.348853,1.661656,GRC,020110
106765,90,5016,2004,1034927.0,194702761.0,0.348853,1.661656,GRC,020120
113291,90,5017,2004,250981.0,62825324.0,0.348853,1.661656,GRC,020130
119817,90,5018,2004,29633.0,3679784.0,0.348853,1.661656,GRC,020210
126343,90,5019,2004,118910.0,2617421.0,0.348853,1.661656,GRC,020220
132869,90,5020,2004,1682950.0,48199063.0,0.348853,1.661656,GRC,020230
139395,90,5021,2004,455421.0,177906053.0,0.348853,1.661656,GRC,020311
145921,90,5022,2004,262669.0,33025420.0,0.348853,1.661656,GRC,020312
152447,90,5023,2004,193741.0,90979178.0,0.348853,1.661656,GRC,020319
158973,90,5024,2004,64912.0,1295913.0,0.348853,1.661656,GRC,020321
165499,90,5025,2004,19981.0,1098031.0,0.348853,1.661656,GRC,020322
172025,90,5026,2004,1456558.0,46680496.0,0.348853,1.661656,GRC,020329
178551,90,5027,2004,3546943.0,27799119.0,0.348853,1.661656,GRC,020410
