,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2372,91,5000,2001,,,-0.007888,-0.518167,GRD,010111
8898,91,5001,2001,0.0,3550.0,-0.007888,-0.518167,GRD,010119
15424,91,5002,2001,,,-0.007888,-0.518167,GRD,010120
21950,91,5003,2001,,,-0.007888,-0.518167,GRD,010210
28476,91,5004,2001,,,-0.007888,-0.518167,GRD,010290
35002,91,5005,2001,,,-0.007888,-0.518167,GRD,010310
41528,91,5006,2001,,,-0.007888,-0.518167,GRD,010391
48054,91,5007,2001,,,-0.007888,-0.518167,GRD,010392
54580,91,5008,2001,,,-0.007888,-0.518167,GRD,010410
61106,91,5009,2001,0.0,1262.0,-0.007888,-0.518167,GRD,010420
67632,91,5010,2001,0.0,152565.0,-0.007888,-0.518167,GRD,010511
74158,91,5011,2001,0.0,5046.0,-0.007888,-0.518167,GRD,010519
80684,91,5012,2001,0.0,3031.0,-0.007888,-0.518167,GRD,010591
87210,91,5013,2001,0.0,7496.0,-0.007888,-0.518167,GRD,010599
93736,91,5014,2001,,,-0.007888,-0.518167,GRD,010600
100262,91,5015,2001,,,-0.007888,-0.518167,GRD,020110
106788,91,5016,2001,0.0,867.0,-0.007888,-0.518167,GRD,020120
113314,91,5017,2001,0.0,2270.0,-0.007888,-0.518167,GRD,020130
119840,91,5018,2001,,,-0.007888,-0.518167,GRD,020210
126366,91,5019,2001,0.0,9858.0,-0.007888,-0.518167,GRD,020220
132892,91,5020,2001,0.0,144037.0,-0.007888,-0.518167,GRD,020230
139418,91,5021,2001,,,-0.007888,-0.518167,GRD,020311
145944,91,5022,2001,0.0,3104.0,-0.007888,-0.518167,GRD,020312
152470,91,5023,2001,0.0,1223.0,-0.007888,-0.518167,GRD,020319
158996,91,5024,2001,,,-0.007888,-0.518167,GRD,020321
165522,91,5025,2001,0.0,21091.0,-0.007888,-0.518167,GRD,020322
172048,91,5026,2001,0.0,39471.0,-0.007888,-0.518167,GRD,020329
178574,91,5027,2001,,,-0.007888,-0.518167,GRD,020410
185100,91,5028,2001,,,-0.007888,-0.518167,GRD,020421
