,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2514,96,5000,2013,0.0,30895.0,-0.8555590000000001,-0.9744450000000001,GUY,010111
9040,96,5001,2013,0.0,24436.0,-0.8555590000000001,-0.9744450000000001,GUY,010119
15566,96,5002,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,010120
22092,96,5003,2013,0.0,165499.0,-0.8555590000000001,-0.9744450000000001,GUY,010210
28618,96,5004,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,010290
35144,96,5005,2013,0.0,62889.0,-0.8555590000000001,-0.9744450000000001,GUY,010310
41670,96,5006,2013,0.0,5136.0,-0.8555590000000001,-0.9744450000000001,GUY,010391
48196,96,5007,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,010392
54722,96,5008,2013,0.0,13464.0,-0.8555590000000001,-0.9744450000000001,GUY,010410
61248,96,5009,2013,0.0,2555.0,-0.8555590000000001,-0.9744450000000001,GUY,010420
67774,96,5010,2013,0.0,4806.0,-0.8555590000000001,-0.9744450000000001,GUY,010511
74300,96,5011,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,010519
80826,96,5012,2013,0.0,5754.0,-0.8555590000000001,-0.9744450000000001,GUY,010591
87352,96,5013,2013,0.0,4365.0,-0.8555590000000001,-0.9744450000000001,GUY,010599
93878,96,5014,2013,1007218.0,0.0,-0.8555590000000001,-0.9744450000000001,GUY,010600
100404,96,5015,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,020110
106930,96,5016,2013,0.0,3221.0,-0.8555590000000001,-0.9744450000000001,GUY,020120
113456,96,5017,2013,0.0,2317.0,-0.8555590000000001,-0.9744450000000001,GUY,020130
119982,96,5018,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,020210
126508,96,5019,2013,0.0,4010.0,-0.8555590000000001,-0.9744450000000001,GUY,020220
133034,96,5020,2013,0.0,8248.0,-0.8555590000000001,-0.9744450000000001,GUY,020230
139560,96,5021,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,020311
146086,96,5022,2013,0.0,5368.0,-0.8555590000000001,-0.9744450000000001,GUY,020312
152612,96,5023,2013,0.0,14850.0,-0.8555590000000001,-0.9744450000000001,GUY,020319
159138,96,5024,2013,,,-0.8555590000000001,-0.9744450000000001,GUY,020321
