,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2535,97,5000,2008,120995.0,55825323.0,0.74435,2.149616,HKG,010111
9061,97,5001,2008,10129345.0,51593035.0,0.74435,2.149616,HKG,010119
15587,97,5002,2008,,,0.74435,2.149616,HKG,010120
22113,97,5003,2008,,,0.74435,2.149616,HKG,010210
28639,97,5004,2008,16767.0,37250940.0,0.74435,2.149616,HKG,010290
35165,97,5005,2008,0.0,1563627.0,0.74435,2.149616,HKG,010310
41691,97,5006,2008,0.0,5250365.0,0.74435,2.149616,HKG,010391
48217,97,5007,2008,0.0,348363296.0,0.74435,2.149616,HKG,010392
54743,97,5008,2008,4542.0,37845.0,0.74435,2.149616,HKG,010410
61269,97,5009,2008,0.0,511019.0,0.74435,2.149616,HKG,010420
67795,97,5010,2008,77108.0,776450.0,0.74435,2.149616,HKG,010511
74321,97,5011,2008,0.0,29920.0,0.74435,2.149616,HKG,010519
80847,97,5012,2008,0.0,21629678.0,0.74435,2.149616,HKG,010591
87373,97,5013,2008,0.0,220425.0,0.74435,2.149616,HKG,010599
93899,97,5014,2008,553030.0,10941890.0,0.74435,2.149616,HKG,010600
100425,97,5015,2008,0.0,290891.0,0.74435,2.149616,HKG,020110
106951,97,5016,2008,1905.0,1580120.0,0.74435,2.149616,HKG,020120
113477,97,5017,2008,1201073.0,45450256.0,0.74435,2.149616,HKG,020130
120003,97,5018,2008,163228.0,818853.0,0.74435,2.149616,HKG,020210
126529,97,5019,2008,1490435.0,4276913.0,0.74435,2.149616,HKG,020220
133055,97,5020,2008,29816905.0,338699480.0,0.74435,2.149616,HKG,020230
139581,97,5021,2008,0.0,4269671.0,0.74435,2.149616,HKG,020311
146107,97,5022,2008,1947.0,3396861.0,0.74435,2.149616,HKG,020312
152633,97,5023,2008,97675.0,64294208.0,0.74435,2.149616,HKG,020319
159159,97,5024,2008,2730653.0,64182132.0,0.74435,2.149616,HKG,020321
165685,97,5025,2008,8514263.0,69177339.0,0.74435,2.149616,HKG,020322
172211,97,5026,2008,42323872.0,718863817.0,0.74435,2.149616,HKG,020329
178737,97,5027,2008,0.0,93170.0,0.74435,2.149616,HKG,020410
185263,97,5028,2008,0.0,15854.0,0.74435,2.149616,HKG,020421
191789,97,5029,2008,121470.0,5528471.0,0.74435,2.149616,HKG,020422
198315,97,5030,2008,1099.0,665159.0,0.74435,2.149616,HKG,020423
204841,97,5031,2008,0.0,236613.0,0.74435,2.149616,HKG,020430
211367,97,5032,2008,10126.0,150886.0,0.74435,2.149616,HKG,020441
217893,97,5033,2008,2557913.0,23070967.0,0.74435,2.149616,HKG,020442
224419,97,5034,2008,614689.0,9035523.0,0.74435,2.149616,HKG,020443
230945,97,5035,2008,7207.0,8058169.0,0.74435,2.149616,HKG,020450
237471,97,5036,2008,,,0.74435,2.149616,HKG,020500
243997,97,5037,2008,1661573.0,7785151.0,0.74435,2.149616,HKG,020610
250523,97,5038,2008,364329.0,4972596.0,0.74435,2.149616,HKG,020621
257049,97,5039,2008,105718.0,600331.0,0.74435,2.149616,HKG,020622
263575,97,5040,2008,166678477.0,220231565.0,0.74435,2.149616,HKG,020629
270101,97,5041,2008,0.0,4352083.0,0.74435,2.149616,HKG,020630
276627,97,5042,2008,2097171.0,3010321.0,0.74435,2.149616,HKG,020641
283153,97,5043,2008,135522660.0,591251685.0,0.74435,2.149616,HKG,020649
289679,97,5044,2008,0.0,117573.0,0.74435,2.149616,HKG,020680
296205,97,5045,2008,15959277.0,10203197.0,0.74435,2.149616,HKG,020690
302731,97,5046,2008,5604.0,148232333.0,0.74435,2.149616,HKG,020710
309257,97,5047,2008,467517.0,17698528.0,0.74435,2.149616,HKG,020721
315783,97,5048,2008,129455.0,816573.0,0.74435,2.149616,HKG,020722
322309,97,5049,2008,15312.0,4150305.0,0.74435,2.149616,HKG,020723
328835,97,5050,2008,18812.0,1293416.0,0.74435,2.149616,HKG,020731
335361,97,5051,2008,0.0,10047927.0,0.74435,2.149616,HKG,020739
341887,97,5052,2008,385078109.0,849911583.0,0.74435,2.149616,HKG,020741
348413,97,5053,2008,7432444.0,22477106.0,0.74435,2.149616,HKG,020742
354939,97,5054,2008,5019603.0,29877192.0,0.74435,2.149616,HKG,020743
361465,97,5055,2008,,,0.74435,2.149616,HKG,020750
367991,97,5056,2008,0.0,88538.0,0.74435,2.149616,HKG,020810
374517,97,5057,2008,,,0.74435,2.149616,HKG,020820
381043,97,5058,2008,149923.0,13515711.0,0.74435,2.149616,HKG,020890
387569,97,5059,2008,350760.0,13742822.0,0.74435,2.149616,HKG,020900
394095,97,5060,2008,1064826.0,2669042.0,0.74435,2.149616,HKG,021011
400621,97,5061,2008,549442.0,2945584.0,0.74435,2.149616,HKG,021012
407147,97,5062,2008,100202.0,6984569.0,0.74435,2.149616,HKG,021019
413673,97,5063,2008,4530.0,1979797.0,0.74435,2.149616,HKG,021020
420199,97,5064,2008,847927.0,4242803.0,0.74435,2.149616,HKG,021090
426725,97,5065,2008,7318322.0,17349329.0,0.74435,2.149616,HKG,030110
433251,97,5066,2008,12858.0,9792246.0,0.74435,2.149616,HKG,030191
439777,97,5067,2008,101398522.0,24896276.0,0.74435,2.149616,HKG,030192
446303,97,5068,2008,39787.0,3466677.0,0.74435,2.149616,HKG,030193
452829,97,5069,2008,3735916.0,191417517.0,0.74435,2.149616,HKG,030199
459355,97,5070,2008,2980.0,631859.0,0.74435,2.149616,HKG,030211
465881,97,5071,2008,6314309.0,62414496.0,0.74435,2.149616,HKG,030212
472407,97,5072,2008,530825.0,4747765.0,0.74435,2.149616,HKG,030219
478933,97,5073,2008,1484.0,506144.0,0.74435,2.149616,HKG,030221
485459,97,5074,2008,0.0,4266.0,0.74435,2.149616,HKG,030222
491985,97,5075,2008,0.0,126650.0,0.74435,2.149616,HKG,030223
498511,97,5076,2008,6671.0,2513439.0,0.74435,2.149616,HKG,030229
505037,97,5077,2008,0.0,174406.0,0.74435,2.149616,HKG,030231
511563,97,5078,2008,12402.0,303290.0,0.74435,2.149616,HKG,030232
518089,97,5079,2008,0.0,373001.0,0.74435,2.149616,HKG,030233
524615,97,5080,2008,59244.0,3189581.0,0.74435,2.149616,HKG,030239
531141,97,5081,2008,,,0.74435,2.149616,HKG,030240
537667,97,5082,2008,0.0,867006.0,0.74435,2.149616,HKG,030250
544193,97,5083,2008,39056.0,72993.0,0.74435,2.149616,HKG,030261
550719,97,5084,2008,0.0,1915.0,0.74435,2.149616,HKG,030262
557245,97,5085,2008,,,0.74435,2.149616,HKG,030263
563771,97,5086,2008,0.0,258309.0,0.74435,2.149616,HKG,030264
570297,97,5087,2008,0.0,16563.0,0.74435,2.149616,HKG,030265
576823,97,5088,2008,105274.0,8774291.0,0.74435,2.149616,HKG,030266
583349,97,5089,2008,807260.0,56802426.0,0.74435,2.149616,HKG,030269
589875,97,5090,2008,21020.0,1431922.0,0.74435,2.149616,HKG,030270
596401,97,5091,2008,0.0,1395383.0,0.74435,2.149616,HKG,030310
602927,97,5092,2008,183004.0,1426967.0,0.74435,2.149616,HKG,030321
609453,97,5093,2008,349881.0,9930663.0,0.74435,2.149616,HKG,030322
615979,97,5094,2008,71518.0,2021788.0,0.74435,2.149616,HKG,030329
622505,97,5095,2008,2463117.0,10878116.0,0.74435,2.149616,HKG,030331
629031,97,5096,2008,15367.0,44537.0,0.74435,2.149616,HKG,030332
635557,97,5097,2008,25369.0,379754.0,0.74435,2.149616,HKG,030333
642083,97,5098,2008,152817.0,9800605.0,0.74435,2.149616,HKG,030339
648609,97,5099,2008,,,0.74435,2.149616,HKG,030341
655135,97,5100,2008,23669.0,1271782.0,0.74435,2.149616,HKG,030342
661661,97,5101,2008,0.0,95914.0,0.74435,2.149616,HKG,030343
668187,97,5102,2008,627604.0,2103706.0,0.74435,2.149616,HKG,030349
674713,97,5103,2008,20090.0,61994.0,0.74435,2.149616,HKG,030350
681239,97,5104,2008,706221.0,2248704.0,0.74435,2.149616,HKG,030360
687765,97,5105,2008,29213.0,89702.0,0.74435,2.149616,HKG,030371
694291,97,5106,2008,0.0,1003736.0,0.74435,2.149616,HKG,030372
700817,97,5107,2008,242231.0,13301.0,0.74435,2.149616,HKG,030373
707343,97,5108,2008,344433.0,3654057.0,0.74435,2.149616,HKG,030374
713869,97,5109,2008,435539.0,3444515.0,0.74435,2.149616,HKG,030375
