,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2619,100,5000,2014,20153.0,202261.0,0.804401,1.250807,HRV,010111
9145,100,5001,2014,1600688.0,12269.0,0.804401,1.250807,HRV,010119
15671,100,5002,2014,3495.0,0.0,0.804401,1.250807,HRV,010120
22197,100,5003,2014,362712.0,3497352.0,0.804401,1.250807,HRV,010210
28723,100,5004,2014,27800564.0,58508423.0,0.804401,1.250807,HRV,010290
35249,100,5005,2014,0.0,429512.0,0.804401,1.250807,HRV,010310
41775,100,5006,2014,1648257.0,23390075.0,0.804401,1.250807,HRV,010391
48301,100,5007,2014,36393770.0,2378611.0,0.804401,1.250807,HRV,010392
54827,100,5008,2014,202159.0,713157.0,0.804401,1.250807,HRV,010410
61353,100,5009,2014,68964.0,0.0,0.804401,1.250807,HRV,010420
67879,100,5010,2014,2552226.0,3627094.0,0.804401,1.250807,HRV,010511
74405,100,5011,2014,5734.0,69581.0,0.804401,1.250807,HRV,010519
80931,100,5012,2014,4570314.0,1405600.0,0.804401,1.250807,HRV,010591
87457,100,5013,2014,1070.0,59864.0,0.804401,1.250807,HRV,010599
93983,100,5014,2014,221818.0,874285.0,0.804401,1.250807,HRV,010600
100509,100,5015,2014,2869264.0,6883439.0,0.804401,1.250807,HRV,020110
107035,100,5016,2014,16203506.0,36305426.0,0.804401,1.250807,HRV,020120
113561,100,5017,2014,1193729.0,5999361.0,0.804401,1.250807,HRV,020130
120087,100,5018,2014,0.0,18814.0,0.804401,1.250807,HRV,020210
126613,100,5019,2014,82865.0,348437.0,0.804401,1.250807,HRV,020220
133139,100,5020,2014,327380.0,10986902.0,0.804401,1.250807,HRV,020230
139665,100,5021,2014,2719300.0,28884153.0,0.804401,1.250807,HRV,020311
146191,100,5022,2014,116663.0,14476335.0,0.804401,1.250807,HRV,020312
152717,100,5023,2014,6751276.0,59695408.0,0.804401,1.250807,HRV,020319
159243,100,5024,2014,62337.0,186532.0,0.804401,1.250807,HRV,020321
165769,100,5025,2014,239589.0,2148045.0,0.804401,1.250807,HRV,020322
172295,100,5026,2014,2355069.0,40714741.0,0.804401,1.250807,HRV,020329
178821,100,5027,2014,55107.0,8340174.0,0.804401,1.250807,HRV,020410
185347,100,5028,2014,18198.0,25983.0,0.804401,1.250807,HRV,020421
191873,100,5029,2014,72882.0,22828.0,0.804401,1.250807,HRV,020422
198399,100,5030,2014,0.0,8011.0,0.804401,1.250807,HRV,020423
204925,100,5031,2014,804767.0,83158.0,0.804401,1.250807,HRV,020430
211451,100,5032,2014,,,0.804401,1.250807,HRV,020441
217977,100,5033,2014,27507.0,625152.0,0.804401,1.250807,HRV,020442
224503,100,5034,2014,1229.0,109929.0,0.804401,1.250807,HRV,020443
231029,100,5035,2014,0.0,22086.0,0.804401,1.250807,HRV,020450
237555,100,5036,2014,362324.0,7127.0,0.804401,1.250807,HRV,020500
244081,100,5037,2014,179479.0,497936.0,0.804401,1.250807,HRV,020610
250607,100,5038,2014,75995.0,0.0,0.804401,1.250807,HRV,020621
257133,100,5039,2014,20755.0,43646.0,0.804401,1.250807,HRV,020622
263659,100,5040,2014,43289.0,2106416.0,0.804401,1.250807,HRV,020629
270185,100,5041,2014,88096.0,449586.0,0.804401,1.250807,HRV,020630
276711,100,5042,2014,3698.0,97160.0,0.804401,1.250807,HRV,020641
283237,100,5043,2014,853925.0,669057.0,0.804401,1.250807,HRV,020649
289763,100,5044,2014,0.0,47967.0,0.804401,1.250807,HRV,020680
296289,100,5045,2014,,,0.804401,1.250807,HRV,020690
302815,100,5046,2014,1393510.0,3947113.0,0.804401,1.250807,HRV,020710
309341,100,5047,2014,3000482.0,98344201.0,0.804401,1.250807,HRV,020721
315867,100,5048,2014,48937.0,183624.0,0.804401,1.250807,HRV,020722
322393,100,5049,2014,0.0,1137543.0,0.804401,1.250807,HRV,020723
328919,100,5050,2014,0.0,9426.0,0.804401,1.250807,HRV,020731
335445,100,5051,2014,6389444.0,29058269.0,0.804401,1.250807,HRV,020739
341971,100,5052,2014,3629031.0,62010279.0,0.804401,1.250807,HRV,020741
348497,100,5053,2014,1109120.0,6571117.0,0.804401,1.250807,HRV,020742
355023,100,5054,2014,124770.0,302265.0,0.804401,1.250807,HRV,020743
361549,100,5055,2014,,,0.804401,1.250807,HRV,020750
