,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2658,102,5000,2001,304351.0,418043.0,1.102262,1.138016,HUN,010111
9184,102,5001,2001,11501248.0,964831.0,1.102262,1.138016,HUN,010119
15710,102,5002,2001,995.0,0.0,1.102262,1.138016,HUN,010120
22236,102,5003,2001,1748011.0,37366.0,1.102262,1.138016,HUN,010210
28762,102,5004,2001,33634788.0,458924.0,1.102262,1.138016,HUN,010290
35288,102,5005,2001,695561.0,137491.0,1.102262,1.138016,HUN,010310
41814,102,5006,2001,2723373.0,15640.0,1.102262,1.138016,HUN,010391
48340,102,5007,2001,40470606.0,233261.0,1.102262,1.138016,HUN,010392
54866,102,5008,2001,44391231.0,8490301.0,1.102262,1.138016,HUN,010410
61392,102,5009,2001,118301.0,0.0,1.102262,1.138016,HUN,010420
67918,102,5010,2001,10570592.0,3093692.0,1.102262,1.138016,HUN,010511
74444,102,5011,2001,572225.0,4452128.0,1.102262,1.138016,HUN,010519
80970,102,5012,2001,1811153.0,72056.0,1.102262,1.138016,HUN,010591
87496,102,5013,2001,65152.0,0.0,1.102262,1.138016,HUN,010599
94022,102,5014,2001,8188139.0,774295.0,1.102262,1.138016,HUN,010600
100548,102,5015,2001,162838.0,22431.0,1.102262,1.138016,HUN,020110
107074,102,5016,2001,6717766.0,1918709.0,1.102262,1.138016,HUN,020120
113600,102,5017,2001,1694032.0,117848.0,1.102262,1.138016,HUN,020130
120126,102,5018,2001,76695.0,0.0,1.102262,1.138016,HUN,020210
126652,102,5019,2001,68043.0,39258.0,1.102262,1.138016,HUN,020220
133178,102,5020,2001,2610001.0,2275730.0,1.102262,1.138016,HUN,020230
139704,102,5021,2001,18808128.0,5634552.0,1.102262,1.138016,HUN,020311
146230,102,5022,2001,17161989.0,755112.0,1.102262,1.138016,HUN,020312
152756,102,5023,2001,10903065.0,18546562.0,1.102262,1.138016,HUN,020319
159282,102,5024,2001,1754879.0,155592.0,1.102262,1.138016,HUN,020321
165808,102,5025,2001,29079293.0,706027.0,1.102262,1.138016,HUN,020322
172334,102,5026,2001,125429692.0,13162109.0,1.102262,1.138016,HUN,020329
178860,102,5027,2001,5766694.0,0.0,1.102262,1.138016,HUN,020410
185386,102,5028,2001,0.0,7831.0,1.102262,1.138016,HUN,020421
191912,102,5029,2001,4642.0,16054.0,1.102262,1.138016,HUN,020422
198438,102,5030,2001,,,1.102262,1.138016,HUN,020423
204964,102,5031,2001,,,1.102262,1.138016,HUN,020430
211490,102,5032,2001,,,1.102262,1.138016,HUN,020441
218016,102,5033,2001,20903.0,96864.0,1.102262,1.138016,HUN,020442
224542,102,5034,2001,4481.0,65253.0,1.102262,1.138016,HUN,020443
231068,102,5035,2001,101074.0,0.0,1.102262,1.138016,HUN,020450
237594,102,5036,2001,4681325.0,756582.0,1.102262,1.138016,HUN,020500
244120,102,5037,2001,15018.0,17623.0,1.102262,1.138016,HUN,020610
250646,102,5038,2001,0.0,33464.0,1.102262,1.138016,HUN,020621
257172,102,5039,2001,3881.0,235941.0,1.102262,1.138016,HUN,020622
263698,102,5040,2001,3793.0,606278.0,1.102262,1.138016,HUN,020629
270224,102,5041,2001,87116.0,984511.0,1.102262,1.138016,HUN,020630
276750,102,5042,2001,595287.0,1780626.0,1.102262,1.138016,HUN,020641
283276,102,5043,2001,3378118.0,7127116.0,1.102262,1.138016,HUN,020649
289802,102,5044,2001,56317.0,0.0,1.102262,1.138016,HUN,020680
296328,102,5045,2001,10860.0,20324.0,1.102262,1.138016,HUN,020690
302854,102,5046,2001,4809075.0,19555.0,1.102262,1.138016,HUN,020710
309380,102,5047,2001,9497749.0,302280.0,1.102262,1.138016,HUN,020721
315906,102,5048,2001,47356.0,0.0,1.102262,1.138016,HUN,020722
322432,102,5049,2001,36275353.0,89911.0,1.102262,1.138016,HUN,020723
328958,102,5050,2001,22483184.0,0.0,1.102262,1.138016,HUN,020731
335484,102,5051,2001,102724036.0,566867.0,1.102262,1.138016,HUN,020739
342010,102,5052,2001,24019250.0,13094263.0,1.102262,1.138016,HUN,020741
348536,102,5053,2001,18813795.0,5315850.0,1.102262,1.138016,HUN,020742
355062,102,5054,2001,50151074.0,141457.0,1.102262,1.138016,HUN,020743
361588,102,5055,2001,,,1.102262,1.138016,HUN,020750
368114,102,5056,2001,20853522.0,126215.0,1.102262,1.138016,HUN,020810
374640,102,5057,2001,0.0,4818.0,1.102262,1.138016,HUN,020820
381166,102,5058,2001,8547479.0,30537.0,1.102262,1.138016,HUN,020890
387692,102,5059,2001,2275421.0,868329.0,1.102262,1.138016,HUN,020900
394218,102,5060,2001,302599.0,47258.0,1.102262,1.138016,HUN,021011
400744,102,5061,2001,279793.0,0.0,1.102262,1.138016,HUN,021012
407270,102,5062,2001,1436870.0,98230.0,1.102262,1.138016,HUN,021019
413796,102,5063,2001,0.0,157600.0,1.102262,1.138016,HUN,021020
420322,102,5064,2001,102835.0,338568.0,1.102262,1.138016,HUN,021090
426848,102,5065,2001,63305.0,172590.0,1.102262,1.138016,HUN,030110
433374,102,5066,2001,37222.0,152627.0,1.102262,1.138016,HUN,030191
439900,102,5067,2001,653109.0,4558.0,1.102262,1.138016,HUN,030192
446426,102,5068,2001,693609.0,421764.0,1.102262,1.138016,HUN,030193
452952,102,5069,2001,2147349.0,168465.0,1.102262,1.138016,HUN,030199
459478,102,5070,2001,0.0,61604.0,1.102262,1.138016,HUN,030211
466004,102,5071,2001,0.0,422748.0,1.102262,1.138016,HUN,030212
472530,102,5072,2001,,,1.102262,1.138016,HUN,030219
479056,102,5073,2001,,,1.102262,1.138016,HUN,030221
485582,102,5074,2001,0.0,13194.0,1.102262,1.138016,HUN,030222
492108,102,5075,2001,0.0,8443.0,1.102262,1.138016,HUN,030223
498634,102,5076,2001,0.0,23121.0,1.102262,1.138016,HUN,030229
505160,102,5077,2001,0.0,14868.0,1.102262,1.138016,HUN,030231
511686,102,5078,2001,0.0,1948.0,1.102262,1.138016,HUN,030232
518212,102,5079,2001,,,1.102262,1.138016,HUN,030233
524738,102,5080,2001,0.0,18531.0,1.102262,1.138016,HUN,030239
531264,102,5081,2001,0.0,4345.0,1.102262,1.138016,HUN,030240
537790,102,5082,2001,0.0,4503.0,1.102262,1.138016,HUN,030250
544316,102,5083,2001,2205.0,9635.0,1.102262,1.138016,HUN,030261
550842,102,5084,2001,,,1.102262,1.138016,HUN,030262
557368,102,5085,2001,0.0,5309.0,1.102262,1.138016,HUN,030263
563894,102,5086,2001,0.0,24611.0,1.102262,1.138016,HUN,030264
570420,102,5087,2001,0.0,13756.0,1.102262,1.138016,HUN,030265
576946,102,5088,2001,3982.0,0.0,1.102262,1.138016,HUN,030266
583472,102,5089,2001,13373.0,309767.0,1.102262,1.138016,HUN,030269
589998,102,5090,2001,,,1.102262,1.138016,HUN,030270
596524,102,5091,2001,0.0,18429.0,1.102262,1.138016,HUN,030310
603050,102,5092,2001,0.0,91600.0,1.102262,1.138016,HUN,030321
609576,102,5093,2001,0.0,31255.0,1.102262,1.138016,HUN,030322
616102,102,5094,2001,1647.0,73012.0,1.102262,1.138016,HUN,030329
622628,102,5095,2001,0.0,1505.0,1.102262,1.138016,HUN,030331
629154,102,5096,2001,0.0,1567.0,1.102262,1.138016,HUN,030332
635680,102,5097,2001,,,1.102262,1.138016,HUN,030333
642206,102,5098,2001,0.0,12490.0,1.102262,1.138016,HUN,030339
648732,102,5099,2001,,,1.102262,1.138016,HUN,030341
655258,102,5100,2001,,,1.102262,1.138016,HUN,030342
661784,102,5101,2001,,,1.102262,1.138016,HUN,030343
668310,102,5102,2001,0.0,37995.0,1.102262,1.138016,HUN,030349
674836,102,5103,2001,0.0,102418.0,1.102262,1.138016,HUN,030350
681362,102,5104,2001,,,1.102262,1.138016,HUN,030360
687888,102,5105,2001,,,1.102262,1.138016,HUN,030371
694414,102,5106,2001,0.0,3215.0,1.102262,1.138016,HUN,030372
700940,102,5107,2001,,,1.102262,1.138016,HUN,030373
707466,102,5108,2001,0.0,32461.0,1.102262,1.138016,HUN,030374
713992,102,5109,2001,0.0,1075.0,1.102262,1.138016,HUN,030375
720518,102,5110,2001,1343.0,0.0,1.102262,1.138016,HUN,030376
727044,102,5111,2001,0.0,7613.0,1.102262,1.138016,HUN,030377
733570,102,5112,2001,0.0,635791.0,1.102262,1.138016,HUN,030378
740096,102,5113,2001,302545.0,479031.0,1.102262,1.138016,HUN,030379
746622,102,5114,2001,,,1.102262,1.138016,HUN,030380
753148,102,5115,2001,3042.0,354449.0,1.102262,1.138016,HUN,030410
759674,102,5116,2001,171422.0,3621722.0,1.102262,1.138016,HUN,030420
766200,102,5117,2001,0.0,333026.0,1.102262,1.138016,HUN,030490
772726,102,5118,2001,28154.0,3191.0,1.102262,1.138016,HUN,030510
779252,102,5119,2001,,,1.102262,1.138016,HUN,030520
785778,102,5120,2001,,,1.102262,1.138016,HUN,030530
792304,102,5121,2001,0.0,242092.0,1.102262,1.138016,HUN,030541
798830,102,5122,2001,0.0,1054.0,1.102262,1.138016,HUN,030542
805356,102,5123,2001,0.0,54652.0,1.102262,1.138016,HUN,030549
811882,102,5124,2001,,,1.102262,1.138016,HUN,030551
818408,102,5125,2001,,,1.102262,1.138016,HUN,030559
824934,102,5126,2001,,,1.102262,1.138016,HUN,030561
831460,102,5127,2001,,,1.102262,1.138016,HUN,030562
837986,102,5128,2001,,,1.102262,1.138016,HUN,030563
844512,102,5129,2001,0.0,27953.0,1.102262,1.138016,HUN,030569
851038,102,5130,2001,0.0,45160.0,1.102262,1.138016,HUN,030611
857564,102,5131,2001,0.0,12779.0,1.102262,1.138016,HUN,030612
864090,102,5132,2001,0.0,526552.0,1.102262,1.138016,HUN,030613
870616,102,5133,2001,0.0,102859.0,1.102262,1.138016,HUN,030614
877142,102,5134,2001,0.0,32886.0,1.102262,1.138016,HUN,030619
883668,102,5135,2001,0.0,964.0,1.102262,1.138016,HUN,030621
890194,102,5136,2001,0.0,30510.0,1.102262,1.138016,HUN,030622
896720,102,5137,2001,0.0,30632.0,1.102262,1.138016,HUN,030623
903246,102,5138,2001,0.0,4741.0,1.102262,1.138016,HUN,030624
909772,102,5139,2001,0.0,16929.0,1.102262,1.138016,HUN,030629
916298,102,5140,2001,0.0,14347.0,1.102262,1.138016,HUN,030710
922824,102,5141,2001,12940.0,3602.0,1.102262,1.138016,HUN,030721
929350,102,5142,2001,1392.0,50720.0,1.102262,1.138016,HUN,030729
935876,102,5143,2001,3533.0,33299.0,1.102262,1.138016,HUN,030731
942402,102,5144,2001,19342.0,83897.0,1.102262,1.138016,HUN,030739
948928,102,5145,2001,0.0,18219.0,1.102262,1.138016,HUN,030741
955454,102,5146,2001,0.0,138240.0,1.102262,1.138016,HUN,030749
961980,102,5147,2001,0.0,5834.0,1.102262,1.138016,HUN,030751
968506,102,5148,2001,0.0,7796.0,1.102262,1.138016,HUN,030759
975032,102,5149,2001,2295444.0,237949.0,1.102262,1.138016,HUN,030760
981558,102,5150,2001,463918.0,109723.0,1.102262,1.138016,HUN,030791
988084,102,5151,2001,0.0,131082.0,1.102262,1.138016,HUN,030799
994610,102,5152,2001,618822.0,0.0,1.102262,1.138016,HUN,040110
1001136,102,5153,2001,18166339.0,12306.0,1.102262,1.138016,HUN,040120
1007662,102,5154,2001,950897.0,1093427.0,1.102262,1.138016,HUN,040130
1014188,102,5155,2001,9137199.0,786091.0,1.102262,1.138016,HUN,040210
1020714,102,5156,2001,6951696.0,881637.0,1.102262,1.138016,HUN,040221
1027240,102,5157,2001,123166.0,0.0,1.102262,1.138016,HUN,040229
1033766,102,5158,2001,181267.0,66908.0,1.102262,1.138016,HUN,040291
1040292,102,5159,2001,5498.0,2067224.0,1.102262,1.138016,HUN,040299
1046818,102,5160,2001,140631.0,841819.0,1.102262,1.138016,HUN,040310
1053344,102,5161,2001,3074054.0,3222920.0,1.102262,1.138016,HUN,040390
1059870,102,5162,2001,1073313.0,840424.0,1.102262,1.138016,HUN,040410
1066396,102,5163,2001,7085029.0,186420.0,1.102262,1.138016,HUN,040490
1072922,102,5164,2001,1771103.0,1575900.0,1.102262,1.138016,HUN,040500
1079448,102,5165,2001,6349345.0,8705648.0,1.102262,1.138016,HUN,040610
1085974,102,5166,2001,558360.0,591625.0,1.102262,1.138016,HUN,040620
1092500,102,5167,2001,2378608.0,2644418.0,1.102262,1.138016,HUN,040630
1099026,102,5168,2001,0.0,367536.0,1.102262,1.138016,HUN,040640
1105552,102,5169,2001,32507863.0,12649763.0,1.102262,1.138016,HUN,040690
1112078,102,5170,2001,11062242.0,7933863.0,1.102262,1.138016,HUN,040700
1118604,102,5171,2001,0.0,40353.0,1.102262,1.138016,HUN,040811
1125130,102,5172,2001,,,1.102262,1.138016,HUN,040819
1131656,102,5173,2001,13591.0,1379278.0,1.102262,1.138016,HUN,040891
1138182,102,5174,2001,13591.0,716.0,1.102262,1.138016,HUN,040899
1144708,102,5175,2001,18577750.0,734473.0,1.102262,1.138016,HUN,040900
1151234,102,5176,2001,102948.0,3777.0,1.102262,1.138016,HUN,041000
1157760,102,5177,2001,24474.0,7203.0,1.102262,1.138016,HUN,050100
1164286,102,5178,2001,145386.0,1390192.0,1.102262,1.138016,HUN,050210
1170812,102,5179,2001,35383.0,41337.0,1.102262,1.138016,HUN,050290
1177338,102,5180,2001,0.0,139904.0,1.102262,1.138016,HUN,050300
1183864,102,5181,2001,4624793.0,5339006.0,1.102262,1.138016,HUN,050400
1190390,102,5182,2001,31290067.0,4216128.0,1.102262,1.138016,HUN,050510
1196916,102,5183,2001,879416.0,34392.0,1.102262,1.138016,HUN,050590
1203442,102,5184,2001,,,1.102262,1.138016,HUN,050610
1209968,102,5185,2001,369494.0,20494.0,1.102262,1.138016,HUN,050690
1216494,102,5186,2001,1693031.0,1974.0,1.102262,1.138016,HUN,050710
1223020,102,5187,2001,9938342.0,0.0,1.102262,1.138016,HUN,050790
1229546,102,5188,2001,558172.0,192797.0,1.102262,1.138016,HUN,050800
1236072,102,5189,2001,0.0,42334.0,1.102262,1.138016,HUN,050900
1242598,102,5190,2001,409622.0,224672.0,1.102262,1.138016,HUN,051000
1249124,102,5191,2001,70541.0,1966609.0,1.102262,1.138016,HUN,051110
1255650,102,5192,2001,22119.0,161956.0,1.102262,1.138016,HUN,051191
1262176,102,5193,2001,1538804.0,2420205.0,1.102262,1.138016,HUN,051199
1268702,102,5194,2001,111691.0,2649723.0,1.102262,1.138016,HUN,060110
1275228,102,5195,2001,46323.0,25621.0,1.102262,1.138016,HUN,060120
1281754,102,5196,2001,138162.0,996403.0,1.102262,1.138016,HUN,060210
1288280,102,5197,2001,377327.0,1317726.0,1.102262,1.138016,HUN,060220
1294806,102,5198,2001,1696.0,211882.0,1.102262,1.138016,HUN,060230
1301332,102,5199,2001,1651536.0,294472.0,1.102262,1.138016,HUN,060240
1307858,102,5200,2001,,,1.102262,1.138016,HUN,060291
1314384,102,5201,2001,9685922.0,13607955.0,1.102262,1.138016,HUN,060299
1320910,102,5202,2001,449629.0,9325228.0,1.102262,1.138016,HUN,060310
1327436,102,5203,2001,458147.0,325690.0,1.102262,1.138016,HUN,060390
1333962,102,5204,2001,89263.0,61236.0,1.102262,1.138016,HUN,060410
1340488,102,5205,2001,397442.0,1988093.0,1.102262,1.138016,HUN,060491
1347014,102,5206,2001,831652.0,164819.0,1.102262,1.138016,HUN,060499
1353540,102,5207,2001,24665.0,2783209.0,1.102262,1.138016,HUN,070110
1360066,102,5208,2001,383214.0,3012567.0,1.102262,1.138016,HUN,070190
1366592,102,5209,2001,543197.0,4660962.0,1.102262,1.138016,HUN,070200
1373118,102,5210,2001,2124659.0,1427519.0,1.102262,1.138016,HUN,070310
1379644,102,5211,2001,3010374.0,331238.0,1.102262,1.138016,HUN,070320
1386170,102,5212,2001,73827.0,51953.0,1.102262,1.138016,HUN,070390
1392696,102,5213,2001,320994.0,1019566.0,1.102262,1.138016,HUN,070410
1399222,102,5214,2001,15778.0,1054.0,1.102262,1.138016,HUN,070420
1405748,102,5215,2001,5293473.0,245055.0,1.102262,1.138016,HUN,070490
1412274,102,5216,2001,238644.0,273530.0,1.102262,1.138016,HUN,070511
1418800,102,5217,2001,53480.0,148861.0,1.102262,1.138016,HUN,070519
1425326,102,5218,2001,0.0,12274.0,1.102262,1.138016,HUN,070521
1431852,102,5219,2001,0.0,66765.0,1.102262,1.138016,HUN,070529
1438378,102,5220,2001,707670.0,1479834.0,1.102262,1.138016,HUN,070610
1444904,102,5221,2001,4218696.0,592016.0,1.102262,1.138016,HUN,070690
1451430,102,5222,2001,2230662.0,1494065.0,1.102262,1.138016,HUN,070700
1457956,102,5223,2001,117599.0,97090.0,1.102262,1.138016,HUN,070810
1464482,102,5224,2001,35780.0,13368.0,1.102262,1.138016,HUN,070820
1471008,102,5225,2001,1859.0,0.0,1.102262,1.138016,HUN,070890
1477534,102,5226,2001,0.0,2853.0,1.102262,1.138016,HUN,070910
1484060,102,5227,2001,4722729.0,11442.0,1.102262,1.138016,HUN,070920
1490586,102,5228,2001,10806.0,105495.0,1.102262,1.138016,HUN,070930
1497112,102,5229,2001,2789.0,80955.0,1.102262,1.138016,HUN,070940
1503638,102,5230,2001,18852651.0,145480.0,1.102262,1.138016,HUN,070951
1510164,102,5231,2001,85102.0,1894.0,1.102262,1.138016,HUN,070952
1516690,102,5232,2001,24158335.0,2519563.0,1.102262,1.138016,HUN,070960
1523216,102,5233,2001,13575.0,0.0,1.102262,1.138016,HUN,070970
1529742,102,5234,2001,445371.0,402076.0,1.102262,1.138016,HUN,070990
1536268,102,5235,2001,56854.0,0.0,1.102262,1.138016,HUN,071010
1542794,102,5236,2001,9824796.0,1237427.0,1.102262,1.138016,HUN,071021
1549320,102,5237,2001,2390478.0,162045.0,1.102262,1.138016,HUN,071022
1555846,102,5238,2001,105522.0,81786.0,1.102262,1.138016,HUN,071029
1562372,102,5239,2001,102037.0,55077.0,1.102262,1.138016,HUN,071030
1568898,102,5240,2001,20330954.0,465372.0,1.102262,1.138016,HUN,071040
1575424,102,5241,2001,13524207.0,716955.0,1.102262,1.138016,HUN,071080
1581950,102,5242,2001,4087580.0,595709.0,1.102262,1.138016,HUN,071090
1588476,102,5243,2001,10912.0,134554.0,1.102262,1.138016,HUN,071110
1595002,102,5244,2001,0.0,7869.0,1.102262,1.138016,HUN,071120
1601528,102,5245,2001,0.0,2928.0,1.102262,1.138016,HUN,071130
1608054,102,5246,2001,113426.0,99606.0,1.102262,1.138016,HUN,071140
1614580,102,5247,2001,162752.0,108537.0,1.102262,1.138016,HUN,071190
1621106,102,5248,2001,,,1.102262,1.138016,HUN,071210
1627632,102,5249,2001,3868633.0,518042.0,1.102262,1.138016,HUN,071220
1634158,102,5250,2001,393344.0,33636.0,1.102262,1.138016,HUN,071230
1640684,102,5251,2001,9991150.0,5944790.0,1.102262,1.138016,HUN,071290
1647210,102,5252,2001,4143815.0,1554575.0,1.102262,1.138016,HUN,071310
1653736,102,5253,2001,6296.0,53284.0,1.102262,1.138016,HUN,071320
1660262,102,5254,2001,1029.0,28724.0,1.102262,1.138016,HUN,071331
1666788,102,5255,2001,0.0,151773.0,1.102262,1.138016,HUN,071332
1673314,102,5256,2001,57433.0,2820455.0,1.102262,1.138016,HUN,071333
1679840,102,5257,2001,4162.0,350972.0,1.102262,1.138016,HUN,071339
