,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2684,103,5000,2001,1221.0,17795.0,-0.167771,1.6587889999999998,IDN,010111
9210,103,5001,2001,22177.0,594675.0,-0.167771,1.6587889999999998,IDN,010119
15736,103,5002,2001,31170.0,0.0,-0.167771,1.6587889999999998,IDN,010120
22262,103,5003,2001,0.0,1478015.0,-0.167771,1.6587889999999998,IDN,010210
28788,103,5004,2001,1257448.0,89459782.0,-0.167771,1.6587889999999998,IDN,010290
35314,103,5005,2001,16389.0,0.0,-0.167771,1.6587889999999998,IDN,010310
41840,103,5006,2001,7044.0,0.0,-0.167771,1.6587889999999998,IDN,010391
48366,103,5007,2001,36682334.0,0.0,-0.167771,1.6587889999999998,IDN,010392
54892,103,5008,2001,,,-0.167771,1.6587889999999998,IDN,010410
61418,103,5009,2001,106376.0,0.0,-0.167771,1.6587889999999998,IDN,010420
67944,103,5010,2001,1253421.0,8410732.0,-0.167771,1.6587889999999998,IDN,010511
74470,103,5011,2001,23455.0,142772.0,-0.167771,1.6587889999999998,IDN,010519
80996,103,5012,2001,7142.0,306486.0,-0.167771,1.6587889999999998,IDN,010591
87522,103,5013,2001,50234.0,586511.0,-0.167771,1.6587889999999998,IDN,010599
94048,103,5014,2001,5906070.0,338978.0,-0.167771,1.6587889999999998,IDN,010600
100574,103,5015,2001,113701.0,11560.0,-0.167771,1.6587889999999998,IDN,020110
107100,103,5016,2001,1907.0,909816.0,-0.167771,1.6587889999999998,IDN,020120
113626,103,5017,2001,16745.0,6332268.0,-0.167771,1.6587889999999998,IDN,020130
120152,103,5018,2001,2251.0,7168.0,-0.167771,1.6587889999999998,IDN,020210
126678,103,5019,2001,437101.0,1570516.0,-0.167771,1.6587889999999998,IDN,020220
133204,103,5020,2001,242216.0,28763009.0,-0.167771,1.6587889999999998,IDN,020230
139730,103,5021,2001,3653.0,8067.0,-0.167771,1.6587889999999998,IDN,020311
146256,103,5022,2001,0.0,59231.0,-0.167771,1.6587889999999998,IDN,020312
152782,103,5023,2001,161990.0,105641.0,-0.167771,1.6587889999999998,IDN,020319
159308,103,5024,2001,84890.0,15955.0,-0.167771,1.6587889999999998,IDN,020321
165834,103,5025,2001,0.0,161350.0,-0.167771,1.6587889999999998,IDN,020322
172360,103,5026,2001,7858.0,288254.0,-0.167771,1.6587889999999998,IDN,020329
178886,103,5027,2001,0.0,38602.0,-0.167771,1.6587889999999998,IDN,020410
185412,103,5028,2001,199070.0,75534.0,-0.167771,1.6587889999999998,IDN,020421
191938,103,5029,2001,0.0,316257.0,-0.167771,1.6587889999999998,IDN,020422
198464,103,5030,2001,0.0,35197.0,-0.167771,1.6587889999999998,IDN,020423
204990,103,5031,2001,0.0,111346.0,-0.167771,1.6587889999999998,IDN,020430
211516,103,5032,2001,0.0,71682.0,-0.167771,1.6587889999999998,IDN,020441
218042,103,5033,2001,27050.0,835372.0,-0.167771,1.6587889999999998,IDN,020442
224568,103,5034,2001,29769.0,218483.0,-0.167771,1.6587889999999998,IDN,020443
231094,103,5035,2001,0.0,58548.0,-0.167771,1.6587889999999998,IDN,020450
237620,103,5036,2001,,,-0.167771,1.6587889999999998,IDN,020500
244146,103,5037,2001,21414.0,47650.0,-0.167771,1.6587889999999998,IDN,020610
250672,103,5038,2001,7682.0,151833.0,-0.167771,1.6587889999999998,IDN,020621
