,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2756,106,5000,1995,59298004.0,62082543.0,1.349192,0.992099,IRL,010111
9282,106,5001,1995,27210430.0,12709812.0,1.349192,0.992099,IRL,010119
15808,106,5002,1995,,,1.349192,0.992099,IRL,010120
22334,106,5003,1995,8277100.0,3435081.0,1.349192,0.992099,IRL,010210
28860,106,5004,1995,167872057.0,1569302.0,1.349192,0.992099,IRL,010290
35386,106,5005,1995,314961.0,151629.0,1.349192,0.992099,IRL,010310
41912,106,5006,1995,1813603.0,9174709.0,1.349192,0.992099,IRL,010391
48438,106,5007,1995,7110934.0,10677071.0,1.349192,0.992099,IRL,010392
54964,106,5008,1995,10097105.0,7937.0,1.349192,0.992099,IRL,010410
61490,106,5009,1995,15053.0,0.0,1.349192,0.992099,IRL,010420
68016,106,5010,1995,3531336.0,2852052.0,1.349192,0.992099,IRL,010511
74542,106,5011,1995,383360.0,1349992.0,1.349192,0.992099,IRL,010519
81068,106,5012,1995,105325.0,760522.0,1.349192,0.992099,IRL,010591
87594,106,5013,1995,32281.0,3506864.0,1.349192,0.992099,IRL,010599
94120,106,5014,1995,715413.0,716895.0,1.349192,0.992099,IRL,010600
100646,106,5015,1995,30292385.0,29289058.0,1.349192,0.992099,IRL,020110
107172,106,5016,1995,242216035.0,26868642.0,1.349192,0.992099,IRL,020120
113698,106,5017,1995,503929463.0,26721557.0,1.349192,0.992099,IRL,020130
120224,106,5018,1995,712658.0,1693.0,1.349192,0.992099,IRL,020210
126750,106,5019,1995,5496159.0,811614.0,1.349192,0.992099,IRL,020220
133276,106,5020,1995,443529310.0,19300227.0,1.349192,0.992099,IRL,020230
139802,106,5021,1995,22857920.0,1069652.0,1.349192,0.992099,IRL,020311
146328,106,5022,1995,17019871.0,3768565.0,1.349192,0.992099,IRL,020312
152854,106,5023,1995,38770622.0,9029111.0,1.349192,0.992099,IRL,020319
159380,106,5024,1995,1949704.0,0.0,1.349192,0.992099,IRL,020321
165906,106,5025,1995,9844864.0,2365407.0,1.349192,0.992099,IRL,020322
172432,106,5026,1995,94921287.0,10898835.0,1.349192,0.992099,IRL,020329
178958,106,5027,1995,132576673.0,101986.0,1.349192,0.992099,IRL,020410
185484,106,5028,1995,11408854.0,57446.0,1.349192,0.992099,IRL,020421
192010,106,5029,1995,10376633.0,218015.0,1.349192,0.992099,IRL,020422
198536,106,5030,1995,3954682.0,2334.0,1.349192,0.992099,IRL,020423
205062,106,5031,1995,845191.0,21592.0,1.349192,0.992099,IRL,020430
211588,106,5032,1995,430987.0,988.0,1.349192,0.992099,IRL,020441
218114,106,5033,1995,684980.0,304856.0,1.349192,0.992099,IRL,020442
224640,106,5034,1995,2898158.0,266620.0,1.349192,0.992099,IRL,020443
231166,106,5035,1995,379665.0,1432.0,1.349192,0.992099,IRL,020450
237692,106,5036,1995,818012.0,53696.0,1.349192,0.992099,IRL,020500
244218,106,5037,1995,33043387.0,2494265.0,1.349192,0.992099,IRL,020610
250744,106,5038,1995,1129656.0,174504.0,1.349192,0.992099,IRL,020621
257270,106,5039,1995,2132293.0,423914.0,1.349192,0.992099,IRL,020622
263796,106,5040,1995,19412709.0,1857755.0,1.349192,0.992099,IRL,020629
270322,106,5041,1995,548520.0,666509.0,1.349192,0.992099,IRL,020630
276848,106,5042,1995,1627258.0,217769.0,1.349192,0.992099,IRL,020641
283374,106,5043,1995,7339590.0,678843.0,1.349192,0.992099,IRL,020649
289900,106,5044,1995,1610165.0,42314.0,1.349192,0.992099,IRL,020680
296426,106,5045,1995,530907.0,294456.0,1.349192,0.992099,IRL,020690
302952,106,5046,1995,11017224.0,9840958.0,1.349192,0.992099,IRL,020710
309478,106,5047,1995,2063596.0,910077.0,1.349192,0.992099,IRL,020721
316004,106,5048,1995,2938178.0,1915210.0,1.349192,0.992099,IRL,020722
322530,106,5049,1995,964588.0,455991.0,1.349192,0.992099,IRL,020723
329056,106,5050,1995,2583.0,44171.0,1.349192,0.992099,IRL,020731
335582,106,5051,1995,17594904.0,14848691.0,1.349192,0.992099,IRL,020739
342108,106,5052,1995,4565698.0,9867978.0,1.349192,0.992099,IRL,020741
348634,106,5053,1995,9771739.0,4057084.0,1.349192,0.992099,IRL,020742
355160,106,5054,1995,106705.0,292526.0,1.349192,0.992099,IRL,020743
361686,106,5055,1995,209532.0,26576.0,1.349192,0.992099,IRL,020750
368212,106,5056,1995,1616.0,37753.0,1.349192,0.992099,IRL,020810
374738,106,5057,1995,0.0,1072.0,1.349192,0.992099,IRL,020820
381264,106,5058,1995,533273.0,47069.0,1.349192,0.992099,IRL,020890
387790,106,5059,1995,1305596.0,679707.0,1.349192,0.992099,IRL,020900
394316,106,5060,1995,10411989.0,530555.0,1.349192,0.992099,IRL,021011
400842,106,5061,1995,817398.0,7937688.0,1.349192,0.992099,IRL,021012
407368,106,5062,1995,23671459.0,20793823.0,1.349192,0.992099,IRL,021019
413894,106,5063,1995,1459653.0,73282.0,1.349192,0.992099,IRL,021020
420420,106,5064,1995,315597.0,73055.0,1.349192,0.992099,IRL,021090
426946,106,5065,1995,24043.0,869786.0,1.349192,0.992099,IRL,030110
433472,106,5066,1995,0.0,71752.0,1.349192,0.992099,IRL,030191
439998,106,5067,1995,4340458.0,113922.0,1.349192,0.992099,IRL,030192
446524,106,5068,1995,,,1.349192,0.992099,IRL,030193
453050,106,5069,1995,175641.0,774210.0,1.349192,0.992099,IRL,030199
459576,106,5070,1995,1491501.0,231189.0,1.349192,0.992099,IRL,030211
466102,106,5071,1995,30725642.0,13140005.0,1.349192,0.992099,IRL,030212
472628,106,5072,1995,961593.0,2922.0,1.349192,0.992099,IRL,030219
479154,106,5073,1995,17377.0,9506.0,1.349192,0.992099,IRL,030221
485680,106,5074,1995,991246.0,260853.0,1.349192,0.992099,IRL,030222
492206,106,5075,1995,1637562.0,22598.0,1.349192,0.992099,IRL,030223
498732,106,5076,1995,11858343.0,129610.0,1.349192,0.992099,IRL,030229
505258,106,5077,1995,1305157.0,5168.0,1.349192,0.992099,IRL,030231
511784,106,5078,1995,9259.0,1169.0,1.349192,0.992099,IRL,030232
518310,106,5079,1995,80458.0,4291.0,1.349192,0.992099,IRL,030233
524836,106,5080,1995,116547.0,0.0,1.349192,0.992099,IRL,030239
531362,106,5081,1995,1517279.0,3277.0,1.349192,0.992099,IRL,030240
537888,106,5082,1995,2296553.0,601573.0,1.349192,0.992099,IRL,030250
544414,106,5083,1995,132140.0,20642.0,1.349192,0.992099,IRL,030261
550940,106,5084,1995,688828.0,20698.0,1.349192,0.992099,IRL,030262
557466,106,5085,1995,732915.0,8114.0,1.349192,0.992099,IRL,030263
563992,106,5086,1995,14098513.0,170462.0,1.349192,0.992099,IRL,030264
570518,106,5087,1995,770988.0,16504.0,1.349192,0.992099,IRL,030265
577044,106,5088,1995,122358.0,3721.0,1.349192,0.992099,IRL,030266
583570,106,5089,1995,29568840.0,4110943.0,1.349192,0.992099,IRL,030269
590096,106,5090,1995,3386078.0,0.0,1.349192,0.992099,IRL,030270
596622,106,5091,1995,10287.0,73107.0,1.349192,0.992099,IRL,030310
603148,106,5092,1995,13044.0,247795.0,1.349192,0.992099,IRL,030321
609674,106,5093,1995,102336.0,2965.0,1.349192,0.992099,IRL,030322
616200,106,5094,1995,161993.0,28942.0,1.349192,0.992099,IRL,030329
622726,106,5095,1995,273749.0,12579.0,1.349192,0.992099,IRL,030331
629252,106,5096,1995,6113.0,88527.0,1.349192,0.992099,IRL,030332
635778,106,5097,1995,290556.0,162398.0,1.349192,0.992099,IRL,030333
642304,106,5098,1995,278690.0,3966.0,1.349192,0.992099,IRL,030339
648830,106,5099,1995,79807.0,58464.0,1.349192,0.992099,IRL,030341
655356,106,5100,1995,0.0,2798.0,1.349192,0.992099,IRL,030342
661882,106,5101,1995,183642.0,2965.0,1.349192,0.992099,IRL,030343
668408,106,5102,1995,,,1.349192,0.992099,IRL,030349
674934,106,5103,1995,5229242.0,155201.0,1.349192,0.992099,IRL,030350
681460,106,5104,1995,225263.0,140415.0,1.349192,0.992099,IRL,030360
687986,106,5105,1995,456835.0,4067.0,1.349192,0.992099,IRL,030371
694512,106,5106,1995,11330.0,7591.0,1.349192,0.992099,IRL,030372
701038,106,5107,1995,58319.0,8281.0,1.349192,0.992099,IRL,030373
707564,106,5108,1995,61084874.0,346720.0,1.349192,0.992099,IRL,030374
714090,106,5109,1995,20692.0,37729.0,1.349192,0.992099,IRL,030375
720616,106,5110,1995,212512.0,0.0,1.349192,0.992099,IRL,030376
727142,106,5111,1995,131031.0,13023.0,1.349192,0.992099,IRL,030377
733668,106,5112,1995,25659.0,35308.0,1.349192,0.992099,IRL,030378
740194,106,5113,1995,18058171.0,481467.0,1.349192,0.992099,IRL,030379
746720,106,5114,1995,14016932.0,0.0,1.349192,0.992099,IRL,030380
753246,106,5115,1995,5032509.0,2303857.0,1.349192,0.992099,IRL,030410
759772,106,5116,1995,19235397.0,9103282.0,1.349192,0.992099,IRL,030420
766298,106,5117,1995,3606037.0,246714.0,1.349192,0.992099,IRL,030490
772824,106,5118,1995,11885.0,123635.0,1.349192,0.992099,IRL,030510
779350,106,5119,1995,68770.0,0.0,1.349192,0.992099,IRL,030520
785876,106,5120,1995,1912132.0,1208.0,1.349192,0.992099,IRL,030530
792402,106,5121,1995,7973700.0,549093.0,1.349192,0.992099,IRL,030541
798928,106,5122,1995,459622.0,161789.0,1.349192,0.992099,IRL,030542
805454,106,5123,1995,707829.0,3321356.0,1.349192,0.992099,IRL,030549
811980,106,5124,1995,1103.0,14200.0,1.349192,0.992099,IRL,030551
818506,106,5125,1995,6034.0,5065.0,1.349192,0.992099,IRL,030559
825032,106,5126,1995,2172147.0,12355.0,1.349192,0.992099,IRL,030561
831558,106,5127,1995,162322.0,66975.0,1.349192,0.992099,IRL,030562
838084,106,5128,1995,0.0,964.0,1.349192,0.992099,IRL,030563
844610,106,5129,1995,86893.0,38537.0,1.349192,0.992099,IRL,030569
851136,106,5130,1995,220021.0,4369.0,1.349192,0.992099,IRL,030611
857662,106,5131,1995,429391.0,172795.0,1.349192,0.992099,IRL,030612
864188,106,5132,1995,8283602.0,7268221.0,1.349192,0.992099,IRL,030613
870714,106,5133,1995,6627883.0,199751.0,1.349192,0.992099,IRL,030614
877240,106,5134,1995,17639636.0,1794442.0,1.349192,0.992099,IRL,030619
883766,106,5135,1995,426362.0,0.0,1.349192,0.992099,IRL,030621
890292,106,5136,1995,4279535.0,306108.0,1.349192,0.992099,IRL,030622
896818,106,5137,1995,3373346.0,205135.0,1.349192,0.992099,IRL,030623
903344,106,5138,1995,4334170.0,5581.0,1.349192,0.992099,IRL,030624
909870,106,5139,1995,13061475.0,2800802.0,1.349192,0.992099,IRL,030629
916396,106,5140,1995,2120201.0,1380989.0,1.349192,0.992099,IRL,030710
922922,106,5141,1995,756582.0,74193.0,1.349192,0.992099,IRL,030721
929448,106,5142,1995,666130.0,276902.0,1.349192,0.992099,IRL,030729
935974,106,5143,1995,4057651.0,147834.0,1.349192,0.992099,IRL,030731
942500,106,5144,1995,3753346.0,80989.0,1.349192,0.992099,IRL,030739
949026,106,5145,1995,423289.0,16953.0,1.349192,0.992099,IRL,030741
955552,106,5146,1995,542123.0,126465.0,1.349192,0.992099,IRL,030749
962078,106,5147,1995,,,1.349192,0.992099,IRL,030751
968604,106,5148,1995,64139.0,36192.0,1.349192,0.992099,IRL,030759
975130,106,5149,1995,81574.0,79099.0,1.349192,0.992099,IRL,030760
981656,106,5150,1995,2386765.0,2381.0,1.349192,0.992099,IRL,030791
988182,106,5151,1995,1707262.0,203529.0,1.349192,0.992099,IRL,030799
994708,106,5152,1995,10548641.0,833106.0,1.349192,0.992099,IRL,040110
1001234,106,5153,1995,48290437.0,39324704.0,1.349192,0.992099,IRL,040120
1007760,106,5154,1995,6403168.0,3399177.0,1.349192,0.992099,IRL,040130
1014286,106,5155,1995,388376973.0,11614096.0,1.349192,0.992099,IRL,040210
1020812,106,5156,1995,146612979.0,7272050.0,1.349192,0.992099,IRL,040221
1027338,106,5157,1995,5282650.0,292469.0,1.349192,0.992099,IRL,040229
1033864,106,5158,1995,7431840.0,354142.0,1.349192,0.992099,IRL,040291
1040390,106,5159,1995,1094837.0,739881.0,1.349192,0.992099,IRL,040299
1046916,106,5160,1995,9371650.0,4628097.0,1.349192,0.992099,IRL,040310
1053442,106,5161,1995,32283014.0,1326599.0,1.349192,0.992099,IRL,040390
1059968,106,5162,1995,49578770.0,10140803.0,1.349192,0.992099,IRL,040410
1066494,106,5163,1995,9160867.0,593221.0,1.349192,0.992099,IRL,040490
1073020,106,5164,1995,625468038.0,13617880.0,1.349192,0.992099,IRL,040500
1079546,106,5165,1995,22277672.0,25101855.0,1.349192,0.992099,IRL,040610
1086072,106,5166,1995,5955952.0,1448926.0,1.349192,0.992099,IRL,040620
1092598,106,5167,1995,27138467.0,9012375.0,1.349192,0.992099,IRL,040630
1099124,106,5168,1995,114092.0,1109876.0,1.349192,0.992099,IRL,040640
1105650,106,5169,1995,268526429.0,25411847.0,1.349192,0.992099,IRL,040690
1112176,106,5170,1995,1336896.0,2306795.0,1.349192,0.992099,IRL,040700
1118702,106,5171,1995,2240.0,158706.0,1.349192,0.992099,IRL,040811
1125228,106,5172,1995,0.0,167100.0,1.349192,0.992099,IRL,040819
1131754,106,5173,1995,1387.0,160440.0,1.349192,0.992099,IRL,040891
1138280,106,5174,1995,100603.0,1242745.0,1.349192,0.992099,IRL,040899
1144806,106,5175,1995,618900.0,1500577.0,1.349192,0.992099,IRL,040900
1151332,106,5176,1995,76966.0,209618.0,1.349192,0.992099,IRL,041000
1157858,106,5177,1995,0.0,68612.0,1.349192,0.992099,IRL,050100
1164384,106,5178,1995,33338.0,343588.0,1.349192,0.992099,IRL,050210
1170910,106,5179,1995,336699.0,47997.0,1.349192,0.992099,IRL,050290
1177436,106,5180,1995,0.0,11169.0,1.349192,0.992099,IRL,050300
1183962,106,5181,1995,15530403.0,684052.0,1.349192,0.992099,IRL,050400
1190488,106,5182,1995,284272.0,202354.0,1.349192,0.992099,IRL,050510
1197014,106,5183,1995,117679.0,11651.0,1.349192,0.992099,IRL,050590
1203540,106,5184,1995,30463.0,13155.0,1.349192,0.992099,IRL,050610
1210066,106,5185,1995,748822.0,157147.0,1.349192,0.992099,IRL,050690
1216592,106,5186,1995,,,1.349192,0.992099,IRL,050710
1223118,106,5187,1995,0.0,8510.0,1.349192,0.992099,IRL,050790
1229644,106,5188,1995,37540.0,29282.0,1.349192,0.992099,IRL,050800
1236170,106,5189,1995,0.0,37753.0,1.349192,0.992099,IRL,050900
1242696,106,5190,1995,192534.0,30638.0,1.349192,0.992099,IRL,051000
1249222,106,5191,1995,132986.0,3039682.0,1.349192,0.992099,IRL,051110
1255748,106,5192,1995,1862332.0,923491.0,1.349192,0.992099,IRL,051191
1262274,106,5193,1995,9559276.0,3433971.0,1.349192,0.992099,IRL,051199
1268800,106,5194,1995,146820.0,892733.0,1.349192,0.992099,IRL,060110
1275326,106,5195,1995,2997.0,105630.0,1.349192,0.992099,IRL,060120
1281852,106,5196,1995,42429.0,122906.0,1.349192,0.992099,IRL,060210
1288378,106,5197,1995,0.0,154523.0,1.349192,0.992099,IRL,060220
1294904,106,5198,1995,10422.0,212745.0,1.349192,0.992099,IRL,060230
