,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2796,107,5000,2009,0.0,599313.0,-1.185702,-1.1049360000000001,IRN,010111
9322,107,5001,2009,0.0,1504298.0,-1.185702,-1.1049360000000001,IRN,010119
15848,107,5002,2009,,,-1.185702,-1.1049360000000001,IRN,010120
22374,107,5003,2009,,,-1.185702,-1.1049360000000001,IRN,010210
28900,107,5004,2009,,,-1.185702,-1.1049360000000001,IRN,010290
35426,107,5005,2009,,,-1.185702,-1.1049360000000001,IRN,010310
41952,107,5006,2009,,,-1.185702,-1.1049360000000001,IRN,010391
48478,107,5007,2009,,,-1.185702,-1.1049360000000001,IRN,010392
55004,107,5008,2009,191572.0,3763564.0,-1.185702,-1.1049360000000001,IRN,010410
61530,107,5009,2009,5063164.0,26316.0,-1.185702,-1.1049360000000001,IRN,010420
68056,107,5010,2009,1921359.0,6334367.0,-1.185702,-1.1049360000000001,IRN,010511
74582,107,5011,2009,72759.0,902589.0,-1.185702,-1.1049360000000001,IRN,010519
81108,107,5012,2009,237566.0,0.0,-1.185702,-1.1049360000000001,IRN,010591
87634,107,5013,2009,,,-1.185702,-1.1049360000000001,IRN,010599
94160,107,5014,2009,47550.0,108198.0,-1.185702,-1.1049360000000001,IRN,010600
100686,107,5015,2009,,,-1.185702,-1.1049360000000001,IRN,020110
107212,107,5016,2009,,,-1.185702,-1.1049360000000001,IRN,020120
113738,107,5017,2009,113669.0,777153.0,-1.185702,-1.1049360000000001,IRN,020130
120264,107,5018,2009,,,-1.185702,-1.1049360000000001,IRN,020210
126790,107,5019,2009,,,-1.185702,-1.1049360000000001,IRN,020220
133316,107,5020,2009,0.0,345230392.0,-1.185702,-1.1049360000000001,IRN,020230
139842,107,5021,2009,0.0,1810.0,-1.185702,-1.1049360000000001,IRN,020311
146368,107,5022,2009,0.0,1915.0,-1.185702,-1.1049360000000001,IRN,020312
152894,107,5023,2009,91325.0,0.0,-1.185702,-1.1049360000000001,IRN,020319
159420,107,5024,2009,,,-1.185702,-1.1049360000000001,IRN,020321
165946,107,5025,2009,,,-1.185702,-1.1049360000000001,IRN,020322
172472,107,5026,2009,48498.0,0.0,-1.185702,-1.1049360000000001,IRN,020329
178998,107,5027,2009,78745.0,0.0,-1.185702,-1.1049360000000001,IRN,020410
185524,107,5028,2009,,,-1.185702,-1.1049360000000001,IRN,020421
192050,107,5029,2009,1209.0,0.0,-1.185702,-1.1049360000000001,IRN,020422
198576,107,5030,2009,1784.0,0.0,-1.185702,-1.1049360000000001,IRN,020423
205102,107,5031,2009,,,-1.185702,-1.1049360000000001,IRN,020430
211628,107,5032,2009,,,-1.185702,-1.1049360000000001,IRN,020441
218154,107,5033,2009,,,-1.185702,-1.1049360000000001,IRN,020442
224680,107,5034,2009,58941.0,473196.0,-1.185702,-1.1049360000000001,IRN,020443
231206,107,5035,2009,0.0,189415.0,-1.185702,-1.1049360000000001,IRN,020450
237732,107,5036,2009,723056.0,0.0,-1.185702,-1.1049360000000001,IRN,020500
244258,107,5037,2009,9673.0,0.0,-1.185702,-1.1049360000000001,IRN,020610
250784,107,5038,2009,114867.0,0.0,-1.185702,-1.1049360000000001,IRN,020621
257310,107,5039,2009,24000.0,0.0,-1.185702,-1.1049360000000001,IRN,020622
263836,107,5040,2009,40739.0,0.0,-1.185702,-1.1049360000000001,IRN,020629
270362,107,5041,2009,,,-1.185702,-1.1049360000000001,IRN,020630
276888,107,5042,2009,,,-1.185702,-1.1049360000000001,IRN,020641
283414,107,5043,2009,8892.0,0.0,-1.185702,-1.1049360000000001,IRN,020649
289940,107,5044,2009,8597.0,0.0,-1.185702,-1.1049360000000001,IRN,020680
296466,107,5045,2009,14509.0,0.0,-1.185702,-1.1049360000000001,IRN,020690
302992,107,5046,2009,,,-1.185702,-1.1049360000000001,IRN,020710
309518,107,5047,2009,0.0,17868765.0,-1.185702,-1.1049360000000001,IRN,020721
316044,107,5048,2009,,,-1.185702,-1.1049360000000001,IRN,020722
322570,107,5049,2009,,,-1.185702,-1.1049360000000001,IRN,020723
329096,107,5050,2009,,,-1.185702,-1.1049360000000001,IRN,020731
335622,107,5051,2009,2013.0,0.0,-1.185702,-1.1049360000000001,IRN,020739
342148,107,5052,2009,248711.0,519009.0,-1.185702,-1.1049360000000001,IRN,020741
348674,107,5053,2009,,,-1.185702,-1.1049360000000001,IRN,020742
355200,107,5054,2009,,,-1.185702,-1.1049360000000001,IRN,020743
361726,107,5055,2009,,,-1.185702,-1.1049360000000001,IRN,020750
368252,107,5056,2009,,,-1.185702,-1.1049360000000001,IRN,020810
374778,107,5057,2009,,,-1.185702,-1.1049360000000001,IRN,020820
381304,107,5058,2009,,,-1.185702,-1.1049360000000001,IRN,020890
387830,107,5059,2009,14540.0,0.0,-1.185702,-1.1049360000000001,IRN,020900
394356,107,5060,2009,0.0,10575.0,-1.185702,-1.1049360000000001,IRN,021011
400882,107,5061,2009,,,-1.185702,-1.1049360000000001,IRN,021012
407408,107,5062,2009,,,-1.185702,-1.1049360000000001,IRN,021019
413934,107,5063,2009,,,-1.185702,-1.1049360000000001,IRN,021020
420460,107,5064,2009,0.0,9014.0,-1.185702,-1.1049360000000001,IRN,021090
426986,107,5065,2009,0.0,2518119.0,-1.185702,-1.1049360000000001,IRN,030110
433512,107,5066,2009,3566.0,1204545.0,-1.185702,-1.1049360000000001,IRN,030191
440038,107,5067,2009,,,-1.185702,-1.1049360000000001,IRN,030192
446564,107,5068,2009,,,-1.185702,-1.1049360000000001,IRN,030193
453090,107,5069,2009,0.0,37551.0,-1.185702,-1.1049360000000001,IRN,030199
459616,107,5070,2009,,,-1.185702,-1.1049360000000001,IRN,030211
466142,107,5071,2009,10264.0,0.0,-1.185702,-1.1049360000000001,IRN,030212
472668,107,5072,2009,0.0,2893.0,-1.185702,-1.1049360000000001,IRN,030219
479194,107,5073,2009,,,-1.185702,-1.1049360000000001,IRN,030221
485720,107,5074,2009,,,-1.185702,-1.1049360000000001,IRN,030222
492246,107,5075,2009,,,-1.185702,-1.1049360000000001,IRN,030223
498772,107,5076,2009,1286.0,1524.0,-1.185702,-1.1049360000000001,IRN,030229
505298,107,5077,2009,,,-1.185702,-1.1049360000000001,IRN,030231
511824,107,5078,2009,0.0,35992.0,-1.185702,-1.1049360000000001,IRN,030232
