,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2993,115,5000,1998,21608.0,367396.0,0.245507,-0.389842,KAZ,010111
9519,115,5001,1998,12339.0,104721.0,0.245507,-0.389842,KAZ,010119
16045,115,5002,1998,,,0.245507,-0.389842,KAZ,010120
22571,115,5003,1998,48189.0,1491.0,0.245507,-0.389842,KAZ,010210
29097,115,5004,1998,158983.0,184537.0,0.245507,-0.389842,KAZ,010290
35623,115,5005,1998,0.0,83099.0,0.245507,-0.389842,KAZ,010310
42149,115,5006,1998,0.0,5758.0,0.245507,-0.389842,KAZ,010391
48675,115,5007,1998,369727.0,22612.0,0.245507,-0.389842,KAZ,010392
55201,115,5008,1998,66376.0,996.0,0.245507,-0.389842,KAZ,010410
61727,115,5009,1998,,,0.245507,-0.389842,KAZ,010420
68253,115,5010,1998,0.0,726258.0,0.245507,-0.389842,KAZ,010511
74779,115,5011,1998,0.0,73382.0,0.245507,-0.389842,KAZ,010519
81305,115,5012,1998,,,0.245507,-0.389842,KAZ,010591
87831,115,5013,1998,,,0.245507,-0.389842,KAZ,010599
94357,115,5014,1998,29877.0,27335.0,0.245507,-0.389842,KAZ,010600
100883,115,5015,1998,760043.0,70648.0,0.245507,-0.389842,KAZ,020110
107409,115,5016,1998,23510.0,0.0,0.245507,-0.389842,KAZ,020120
113935,115,5017,1998,19758.0,4945.0,0.245507,-0.389842,KAZ,020130
120461,115,5018,1998,11913807.0,118290.0,0.245507,-0.389842,KAZ,020210
126987,115,5019,1998,6420614.0,786099.0,0.245507,-0.389842,KAZ,020220
133513,115,5020,1998,33312.0,396432.0,0.245507,-0.389842,KAZ,020230
140039,115,5021,1998,683163.0,0.0,0.245507,-0.389842,KAZ,020311
146565,115,5022,1998,,,0.245507,-0.389842,KAZ,020312
153091,115,5023,1998,5627.0,51913.0,0.245507,-0.389842,KAZ,020319
159617,115,5024,1998,3838620.0,1297343.0,0.245507,-0.389842,KAZ,020321
166143,115,5025,1998,56673.0,22269.0,0.245507,-0.389842,KAZ,020322
172669,115,5026,1998,27025.0,409887.0,0.245507,-0.389842,KAZ,020329
179195,115,5027,1998,,,0.245507,-0.389842,KAZ,020410
185721,115,5028,1998,12796.0,225914.0,0.245507,-0.389842,KAZ,020421
192247,115,5029,1998,,,0.245507,-0.389842,KAZ,020422
198773,115,5030,1998,,,0.245507,-0.389842,KAZ,020423
205299,115,5031,1998,,,0.245507,-0.389842,KAZ,020430
211825,115,5032,1998,83610.0,0.0,0.245507,-0.389842,KAZ,020441
218351,115,5033,1998,0.0,63818.0,0.245507,-0.389842,KAZ,020442
224877,115,5034,1998,0.0,8688.0,0.245507,-0.389842,KAZ,020443
231403,115,5035,1998,,,0.245507,-0.389842,KAZ,020450
237929,115,5036,1998,191497.0,0.0,0.245507,-0.389842,KAZ,020500
244455,115,5037,1998,0.0,3422.0,0.245507,-0.389842,KAZ,020610
250981,115,5038,1998,1237.0,0.0,0.245507,-0.389842,KAZ,020621
257507,115,5039,1998,5921.0,151908.0,0.245507,-0.389842,KAZ,020622
264033,115,5040,1998,126462.0,6464.0,0.245507,-0.389842,KAZ,020629
270559,115,5041,1998,0.0,8177.0,0.245507,-0.389842,KAZ,020630
277085,115,5042,1998,,,0.245507,-0.389842,KAZ,020641
283611,115,5043,1998,0.0,4549.0,0.245507,-0.389842,KAZ,020649
290137,115,5044,1998,0.0,1066.0,0.245507,-0.389842,KAZ,020680
296663,115,5045,1998,0.0,11277.0,0.245507,-0.389842,KAZ,020690
303189,115,5046,1998,30204.0,738488.0,0.245507,-0.389842,KAZ,020710
309715,115,5047,1998,12839.0,451244.0,0.245507,-0.389842,KAZ,020721
316241,115,5048,1998,0.0,21794.0,0.245507,-0.389842,KAZ,020722
322767,115,5049,1998,123602.0,5915.0,0.245507,-0.389842,KAZ,020723
329293,115,5050,1998,,,0.245507,-0.389842,KAZ,020731
335819,115,5051,1998,0.0,504130.0,0.245507,-0.389842,KAZ,020739
342345,115,5052,1998,0.0,6995594.0,0.245507,-0.389842,KAZ,020741
348871,115,5053,1998,0.0,38724.0,0.245507,-0.389842,KAZ,020742
355397,115,5054,1998,0.0,7886.0,0.245507,-0.389842,KAZ,020743
361923,115,5055,1998,,,0.245507,-0.389842,KAZ,020750
368449,115,5056,1998,,,0.245507,-0.389842,KAZ,020810
374975,115,5057,1998,0.0,1069.0,0.245507,-0.389842,KAZ,020820
381501,115,5058,1998,0.0,4261.0,0.245507,-0.389842,KAZ,020890
388027,115,5059,1998,15745.0,117758.0,0.245507,-0.389842,KAZ,020900
394553,115,5060,1998,0.0,53812.0,0.245507,-0.389842,KAZ,021011
401079,115,5061,1998,0.0,22326.0,0.245507,-0.389842,KAZ,021012
407605,115,5062,1998,0.0,143669.0,0.245507,-0.389842,KAZ,021019
414131,115,5063,1998,,,0.245507,-0.389842,KAZ,021020
420657,115,5064,1998,,,0.245507,-0.389842,KAZ,021090
427183,115,5065,1998,0.0,1349.0,0.245507,-0.389842,KAZ,030110
433709,115,5066,1998,,,0.245507,-0.389842,KAZ,030191
440235,115,5067,1998,,,0.245507,-0.389842,KAZ,030192
446761,115,5068,1998,0.0,15605.0,0.245507,-0.389842,KAZ,030193
453287,115,5069,1998,0.0,5703.0,0.245507,-0.389842,KAZ,030199
459813,115,5070,1998,,,0.245507,-0.389842,KAZ,030211
466339,115,5071,1998,0.0,12904.0,0.245507,-0.389842,KAZ,030212
472865,115,5072,1998,16519.0,1612.0,0.245507,-0.389842,KAZ,030219
479391,115,5073,1998,0.0,13288.0,0.245507,-0.389842,KAZ,030221
485917,115,5074,1998,,,0.245507,-0.389842,KAZ,030222
492443,115,5075,1998,,,0.245507,-0.389842,KAZ,030223
498969,115,5076,1998,1907.0,33395.0,0.245507,-0.389842,KAZ,030229
505495,115,5077,1998,,,0.245507,-0.389842,KAZ,030231
512021,115,5078,1998,,,0.245507,-0.389842,KAZ,030232
518547,115,5079,1998,,,0.245507,-0.389842,KAZ,030233
525073,115,5080,1998,,,0.245507,-0.389842,KAZ,030239
531599,115,5081,1998,0.0,216074.0,0.245507,-0.389842,KAZ,030240
538125,115,5082,1998,25124.0,0.0,0.245507,-0.389842,KAZ,030250
544651,115,5083,1998,0.0,4671.0,0.245507,-0.389842,KAZ,030261
551177,115,5084,1998,,,0.245507,-0.389842,KAZ,030262
557703,115,5085,1998,,,0.245507,-0.389842,KAZ,030263
564229,115,5086,1998,0.0,2587.0,0.245507,-0.389842,KAZ,030264
570755,115,5087,1998,,,0.245507,-0.389842,KAZ,030265
577281,115,5088,1998,,,0.245507,-0.389842,KAZ,030266
583807,115,5089,1998,431878.0,17460.0,0.245507,-0.389842,KAZ,030269
590333,115,5090,1998,,,0.245507,-0.389842,KAZ,030270
596859,115,5091,1998,0.0,31809.0,0.245507,-0.389842,KAZ,030310
