,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3103,119,5000,2004,,,-0.552158,-0.831923,KIR,010111
9629,119,5001,2004,,,-0.552158,-0.831923,KIR,010119
16155,119,5002,2004,,,-0.552158,-0.831923,KIR,010120
22681,119,5003,2004,,,-0.552158,-0.831923,KIR,010210
29207,119,5004,2004,,,-0.552158,-0.831923,KIR,010290
35733,119,5005,2004,,,-0.552158,-0.831923,KIR,010310
42259,119,5006,2004,,,-0.552158,-0.831923,KIR,010391
48785,119,5007,2004,,,-0.552158,-0.831923,KIR,010392
55311,119,5008,2004,,,-0.552158,-0.831923,KIR,010410
61837,119,5009,2004,,,-0.552158,-0.831923,KIR,010420
68363,119,5010,2004,,,-0.552158,-0.831923,KIR,010511
74889,119,5011,2004,0.0,1470.0,-0.552158,-0.831923,KIR,010519
81415,119,5012,2004,,,-0.552158,-0.831923,KIR,010591
87941,119,5013,2004,,,-0.552158,-0.831923,KIR,010599
94467,119,5014,2004,,,-0.552158,-0.831923,KIR,010600
100993,119,5015,2004,,,-0.552158,-0.831923,KIR,020110
107519,119,5016,2004,,,-0.552158,-0.831923,KIR,020120
114045,119,5017,2004,0.0,9118.0,-0.552158,-0.831923,KIR,020130
120571,119,5018,2004,,,-0.552158,-0.831923,KIR,020210
127097,119,5019,2004,,,-0.552158,-0.831923,KIR,020220
133623,119,5020,2004,0.0,52389.0,-0.552158,-0.831923,KIR,020230
140149,119,5021,2004,0.0,4536.0,-0.552158,-0.831923,KIR,020311
146675,119,5022,2004,0.0,2079.0,-0.552158,-0.831923,KIR,020312
153201,119,5023,2004,0.0,11923.0,-0.552158,-0.831923,KIR,020319
159727,119,5024,2004,0.0,3894.0,-0.552158,-0.831923,KIR,020321
166253,119,5025,2004,0.0,17783.0,-0.552158,-0.831923,KIR,020322
172779,119,5026,2004,0.0,9476.0,-0.552158,-0.831923,KIR,020329
179305,119,5027,2004,,,-0.552158,-0.831923,KIR,020410
185831,119,5028,2004,,,-0.552158,-0.831923,KIR,020421
192357,119,5029,2004,0.0,19580.0,-0.552158,-0.831923,KIR,020422
198883,119,5030,2004,0.0,1552.0,-0.552158,-0.831923,KIR,020423
205409,119,5031,2004,,,-0.552158,-0.831923,KIR,020430
211935,119,5032,2004,,,-0.552158,-0.831923,KIR,020441
218461,119,5033,2004,0.0,37923.0,-0.552158,-0.831923,KIR,020442
224987,119,5034,2004,0.0,2509.0,-0.552158,-0.831923,KIR,020443
231513,119,5035,2004,,,-0.552158,-0.831923,KIR,020450
238039,119,5036,2004,,,-0.552158,-0.831923,KIR,020500
244565,119,5037,2004,,,-0.552158,-0.831923,KIR,020610
251091,119,5038,2004,,,-0.552158,-0.831923,KIR,020621
257617,119,5039,2004,,,-0.552158,-0.831923,KIR,020622
264143,119,5040,2004,0.0,1466.0,-0.552158,-0.831923,KIR,020629
270669,119,5041,2004,,,-0.552158,-0.831923,KIR,020630
277195,119,5042,2004,,,-0.552158,-0.831923,KIR,020641
283721,119,5043,2004,,,-0.552158,-0.831923,KIR,020649
290247,119,5044,2004,,,-0.552158,-0.831923,KIR,020680
296773,119,5045,2004,,,-0.552158,-0.831923,KIR,020690
303299,119,5046,2004,0.0,89985.0,-0.552158,-0.831923,KIR,020710
309825,119,5047,2004,0.0,103814.0,-0.552158,-0.831923,KIR,020721
316351,119,5048,2004,,,-0.552158,-0.831923,KIR,020722
322877,119,5049,2004,,,-0.552158,-0.831923,KIR,020723
329403,119,5050,2004,,,-0.552158,-0.831923,KIR,020731
335929,119,5051,2004,0.0,15436.0,-0.552158,-0.831923,KIR,020739
342455,119,5052,2004,0.0,654457.0,-0.552158,-0.831923,KIR,020741
348981,119,5053,2004,0.0,96414.0,-0.552158,-0.831923,KIR,020742
355507,119,5054,2004,,,-0.552158,-0.831923,KIR,020743
362033,119,5055,2004,,,-0.552158,-0.831923,KIR,020750
368559,119,5056,2004,,,-0.552158,-0.831923,KIR,020810
375085,119,5057,2004,,,-0.552158,-0.831923,KIR,020820
381611,119,5058,2004,,,-0.552158,-0.831923,KIR,020890
388137,119,5059,2004,,,-0.552158,-0.831923,KIR,020900
394663,119,5060,2004,0.0,12367.0,-0.552158,-0.831923,KIR,021011
401189,119,5061,2004,0.0,5574.0,-0.552158,-0.831923,KIR,021012
407715,119,5062,2004,,,-0.552158,-0.831923,KIR,021019
414241,119,5063,2004,,,-0.552158,-0.831923,KIR,021020
420767,119,5064,2004,,,-0.552158,-0.831923,KIR,021090
427293,119,5065,2004,743637.0,0.0,-0.552158,-0.831923,KIR,030110
433819,119,5066,2004,,,-0.552158,-0.831923,KIR,030191
440345,119,5067,2004,,,-0.552158,-0.831923,KIR,030192
446871,119,5068,2004,,,-0.552158,-0.831923,KIR,030193
453397,119,5069,2004,,,-0.552158,-0.831923,KIR,030199
459923,119,5070,2004,,,-0.552158,-0.831923,KIR,030211
466449,119,5071,2004,,,-0.552158,-0.831923,KIR,030212
472975,119,5072,2004,,,-0.552158,-0.831923,KIR,030219
479501,119,5073,2004,,,-0.552158,-0.831923,KIR,030221
486027,119,5074,2004,,,-0.552158,-0.831923,KIR,030222
492553,119,5075,2004,,,-0.552158,-0.831923,KIR,030223
