,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3341,128,5000,2008,0.0,6763.0,-0.48245200000000005,0.295892,LKA,010111
9867,128,5001,2008,,,-0.48245200000000005,0.295892,LKA,010119
16393,128,5002,2008,,,-0.48245200000000005,0.295892,LKA,010120
22919,128,5003,2008,,,-0.48245200000000005,0.295892,LKA,010210
29445,128,5004,2008,,,-0.48245200000000005,0.295892,LKA,010290
35971,128,5005,2008,,,-0.48245200000000005,0.295892,LKA,010310
42497,128,5006,2008,,,-0.48245200000000005,0.295892,LKA,010391
49023,128,5007,2008,,,-0.48245200000000005,0.295892,LKA,010392
55549,128,5008,2008,,,-0.48245200000000005,0.295892,LKA,010410
62075,128,5009,2008,5543.0,0.0,-0.48245200000000005,0.295892,LKA,010420
68601,128,5010,2008,49859.0,1255330.0,-0.48245200000000005,0.295892,LKA,010511
75127,128,5011,2008,,,-0.48245200000000005,0.295892,LKA,010519
81653,128,5012,2008,2505.0,0.0,-0.48245200000000005,0.295892,LKA,010591
88179,128,5013,2008,0.0,20565.0,-0.48245200000000005,0.295892,LKA,010599
94705,128,5014,2008,5995.0,13421.0,-0.48245200000000005,0.295892,LKA,010600
101231,128,5015,2008,1105.0,0.0,-0.48245200000000005,0.295892,LKA,020110
107757,128,5016,2008,0.0,3790.0,-0.48245200000000005,0.295892,LKA,020120
114283,128,5017,2008,6093.0,10565.0,-0.48245200000000005,0.295892,LKA,020130
120809,128,5018,2008,2113.0,2239.0,-0.48245200000000005,0.295892,LKA,020210
127335,128,5019,2008,544555.0,7369.0,-0.48245200000000005,0.295892,LKA,020220
133861,128,5020,2008,152923.0,623011.0,-0.48245200000000005,0.295892,LKA,020230
140387,128,5021,2008,,,-0.48245200000000005,0.295892,LKA,020311
146913,128,5022,2008,,,-0.48245200000000005,0.295892,LKA,020312
153439,128,5023,2008,0.0,824.0,-0.48245200000000005,0.295892,LKA,020319
159965,128,5024,2008,1278.0,0.0,-0.48245200000000005,0.295892,LKA,020321
166491,128,5025,2008,2905.0,0.0,-0.48245200000000005,0.295892,LKA,020322
173017,128,5026,2008,299612.0,1098.0,-0.48245200000000005,0.295892,LKA,020329
179543,128,5027,2008,0.0,7072.0,-0.48245200000000005,0.295892,LKA,020410
186069,128,5028,2008,,,-0.48245200000000005,0.295892,LKA,020421
192595,128,5029,2008,,,-0.48245200000000005,0.295892,LKA,020422
199121,128,5030,2008,0.0,26895.0,-0.48245200000000005,0.295892,LKA,020423
205647,128,5031,2008,0.0,12117.0,-0.48245200000000005,0.295892,LKA,020430
212173,128,5032,2008,,,-0.48245200000000005,0.295892,LKA,020441
218699,128,5033,2008,4751.0,407185.0,-0.48245200000000005,0.295892,LKA,020442
225225,128,5034,2008,22816.0,694193.0,-0.48245200000000005,0.295892,LKA,020443
231751,128,5035,2008,0.0,159714.0,-0.48245200000000005,0.295892,LKA,020450
