,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3389,130,5000,2004,9856.0,2758.0,0.403568,0.632707,LTU,010111
9915,130,5001,2004,5354422.0,244804.0,0.403568,0.632707,LTU,010119
16441,130,5002,2004,,,0.403568,0.632707,LTU,010120
22967,130,5003,2004,1282635.0,1593562.0,0.403568,0.632707,LTU,010210
29493,130,5004,2004,4428956.0,102056.0,0.403568,0.632707,LTU,010290
36019,130,5005,2004,168148.0,132541.0,0.403568,0.632707,LTU,010310
42545,130,5006,2004,,,0.403568,0.632707,LTU,010391
49071,130,5007,2004,551988.0,1479122.0,0.403568,0.632707,LTU,010392
55597,130,5008,2004,0.0,2114.0,0.403568,0.632707,LTU,010410
62123,130,5009,2004,,,0.403568,0.632707,LTU,010420
68649,130,5010,2004,2451565.0,1803846.0,0.403568,0.632707,LTU,010511
75175,130,5011,2004,0.0,681741.0,0.403568,0.632707,LTU,010519
81701,130,5012,2004,1109594.0,114688.0,0.403568,0.632707,LTU,010591
88227,130,5013,2004,2606.0,231883.0,0.403568,0.632707,LTU,010599
94753,130,5014,2004,171168.0,440639.0,0.403568,0.632707,LTU,010600
101279,130,5015,2004,1026073.0,0.0,0.403568,0.632707,LTU,020110
107805,130,5016,2004,8360064.0,101082.0,0.403568,0.632707,LTU,020120
114331,130,5017,2004,4891012.0,472914.0,0.403568,0.632707,LTU,020130
120857,130,5018,2004,755841.0,3012.0,0.403568,0.632707,LTU,020210
127383,130,5019,2004,64606.0,105630.0,0.403568,0.632707,LTU,020220
133909,130,5020,2004,2248869.0,5807511.0,0.403568,0.632707,LTU,020230
140435,130,5021,2004,1193903.0,21677840.0,0.403568,0.632707,LTU,020311
146961,130,5022,2004,56868.0,269326.0,0.403568,0.632707,LTU,020312
153487,130,5023,2004,481147.0,3715362.0,0.403568,0.632707,LTU,020319
160013,130,5024,2004,14502.0,1029395.0,0.403568,0.632707,LTU,020321
166539,130,5025,2004,3075.0,295171.0,0.403568,0.632707,LTU,020322
173065,130,5026,2004,464844.0,11369133.0,0.403568,0.632707,LTU,020329
179591,130,5027,2004,13745.0,0.0,0.403568,0.632707,LTU,020410
186117,130,5028,2004,13823.0,0.0,0.403568,0.632707,LTU,020421
192643,130,5029,2004,0.0,2786.0,0.403568,0.632707,LTU,020422
199169,130,5030,2004,,,0.403568,0.632707,LTU,020423
