,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3510,135,5000,1995,0.0,13690.0,0.394058,0.124474,MDA,010111
10036,135,5001,1995,32838.0,0.0,0.394058,0.124474,MDA,010119
16562,135,5002,1995,,,0.394058,0.124474,MDA,010120
23088,135,5003,1995,,,0.394058,0.124474,MDA,010210
29614,135,5004,1995,4987490.0,53632.0,0.394058,0.124474,MDA,010290
36140,135,5005,1995,167351.0,115674.0,0.394058,0.124474,MDA,010310
42666,135,5006,1995,289392.0,21850.0,0.394058,0.124474,MDA,010391
49192,135,5007,1995,2913107.0,21550.0,0.394058,0.124474,MDA,010392
55718,135,5008,1995,301119.0,0.0,0.394058,0.124474,MDA,010410
62244,135,5009,1995,,,0.394058,0.124474,MDA,010420
68770,135,5010,1995,46202.0,714978.0,0.394058,0.124474,MDA,010511
75296,135,5011,1995,68692.0,6662.0,0.394058,0.124474,MDA,010519
81822,135,5012,1995,75753.0,132939.0,0.394058,0.124474,MDA,010591
88348,135,5013,1995,0.0,5543.0,0.394058,0.124474,MDA,010599
94874,135,5014,1995,11569.0,13059.0,0.394058,0.124474,MDA,010600
101400,135,5015,1995,4633931.0,0.0,0.394058,0.124474,MDA,020110
107926,135,5016,1995,1757578.0,0.0,0.394058,0.124474,MDA,020120
114452,135,5017,1995,42363.0,0.0,0.394058,0.124474,MDA,020130
120978,135,5018,1995,24297244.0,315399.0,0.394058,0.124474,MDA,020210
127504,135,5019,1995,3177649.0,0.0,0.394058,0.124474,MDA,020220
134030,135,5020,1995,756228.0,3018894.0,0.394058,0.124474,MDA,020230
140556,135,5021,1995,4572749.0,15708.0,0.394058,0.124474,MDA,020311
147082,135,5022,1995,,,0.394058,0.124474,MDA,020312
153608,135,5023,1995,21118.0,1002.0,0.394058,0.124474,MDA,020319
160134,135,5024,1995,2664769.0,188326.0,0.394058,0.124474,MDA,020321
166660,135,5025,1995,0.0,38117.0,0.394058,0.124474,MDA,020322
173186,135,5026,1995,216925.0,140679.0,0.394058,0.124474,MDA,020329
179712,135,5027,1995,65106.0,0.0,0.394058,0.124474,MDA,020410
186238,135,5028,1995,355837.0,0.0,0.394058,0.124474,MDA,020421
192764,135,5029,1995,,,0.394058,0.124474,MDA,020422
199290,135,5030,1995,,,0.394058,0.124474,MDA,020423
205816,135,5031,1995,,,0.394058,0.124474,MDA,020430
