,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3668,141,5000,1997,,,-1.230276,-1.086769,MLI,010111
10194,141,5001,1997,,,-1.230276,-1.086769,MLI,010119
16720,141,5002,1997,,,-1.230276,-1.086769,MLI,010120
23246,141,5003,1997,6933269.0,0.0,-1.230276,-1.086769,MLI,010210
29772,141,5004,1997,986.0,0.0,-1.230276,-1.086769,MLI,010290
36298,141,5005,1997,,,-1.230276,-1.086769,MLI,010310
42824,141,5006,1997,,,-1.230276,-1.086769,MLI,010391
49350,141,5007,1997,,,-1.230276,-1.086769,MLI,010392
55876,141,5008,1997,2450731.0,470.0,-1.230276,-1.086769,MLI,010410
62402,141,5009,1997,1265758.0,0.0,-1.230276,-1.086769,MLI,010420
68928,141,5010,1997,0.0,152865.0,-1.230276,-1.086769,MLI,010511
75454,141,5011,1997,,,-1.230276,-1.086769,MLI,010519
81980,141,5012,1997,,,-1.230276,-1.086769,MLI,010591
88506,141,5013,1997,1401.0,0.0,-1.230276,-1.086769,MLI,010599
95032,141,5014,1997,968590.0,8049.0,-1.230276,-1.086769,MLI,010600
101558,141,5015,1997,,,-1.230276,-1.086769,MLI,020110
108084,141,5016,1997,0.0,5788.0,-1.230276,-1.086769,MLI,020120
114610,141,5017,1997,0.0,66198.0,-1.230276,-1.086769,MLI,020130
121136,141,5018,1997,,,-1.230276,-1.086769,MLI,020210
127662,141,5019,1997,,,-1.230276,-1.086769,MLI,020220
134188,141,5020,1997,0.0,3961.0,-1.230276,-1.086769,MLI,020230
140714,141,5021,1997,,,-1.230276,-1.086769,MLI,020311
147240,141,5022,1997,0.0,4662.0,-1.230276,-1.086769,MLI,020312
153766,141,5023,1997,0.0,5181.0,-1.230276,-1.086769,MLI,020319
160292,141,5024,1997,,,-1.230276,-1.086769,MLI,020321
166818,141,5025,1997,,,-1.230276,-1.086769,MLI,020322
173344,141,5026,1997,,,-1.230276,-1.086769,MLI,020329
179870,141,5027,1997,0.0,2153.0,-1.230276,-1.086769,MLI,020410
186396,141,5028,1997,,,-1.230276,-1.086769,MLI,020421
192922,141,5029,1997,0.0,2720.0,-1.230276,-1.086769,MLI,020422
199448,141,5030,1997,,,-1.230276,-1.086769,MLI,020423
205974,141,5031,1997,,,-1.230276,-1.086769,MLI,020430
212500,141,5032,1997,,,-1.230276,-1.086769,MLI,020441
219026,141,5033,1997,0.0,961.0,-1.230276,-1.086769,MLI,020442
225552,141,5034,1997,,,-1.230276,-1.086769,MLI,020443
232078,141,5035,1997,,,-1.230276,-1.086769,MLI,020450
238604,141,5036,1997,,,-1.230276,-1.086769,MLI,020500
