,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3870,148,5000,2017,,,-1.634533,-1.330819,MRT,010111
10396,148,5001,2017,0.0,7626.0,-1.634533,-1.330819,MRT,010119
16922,148,5002,2017,,,-1.634533,-1.330819,MRT,010120
23448,148,5003,2017,0.0,69034.0,-1.634533,-1.330819,MRT,010210
29974,148,5004,2017,,,-1.634533,-1.330819,MRT,010290
36500,148,5005,2017,,,-1.634533,-1.330819,MRT,010310
43026,148,5006,2017,,,-1.634533,-1.330819,MRT,010391
49552,148,5007,2017,,,-1.634533,-1.330819,MRT,010392
56078,148,5008,2017,0.0,9560.0,-1.634533,-1.330819,MRT,010410
62604,148,5009,2017,0.0,164030.0,-1.634533,-1.330819,MRT,010420
69130,148,5010,2017,1067.0,7679.0,-1.634533,-1.330819,MRT,010511
75656,148,5011,2017,,,-1.634533,-1.330819,MRT,010519
82182,148,5012,2017,0.0,82239.0,-1.634533,-1.330819,MRT,010591
88708,148,5013,2017,,,-1.634533,-1.330819,MRT,010599
95234,148,5014,2017,0.0,11703.0,-1.634533,-1.330819,MRT,010600
101760,148,5015,2017,,,-1.634533,-1.330819,MRT,020110
108286,148,5016,2017,,,-1.634533,-1.330819,MRT,020120
114812,148,5017,2017,0.0,58262.0,-1.634533,-1.330819,MRT,020130
121338,148,5018,2017,0.0,262595.0,-1.634533,-1.330819,MRT,020210
127864,148,5019,2017,,,-1.634533,-1.330819,MRT,020220
134390,148,5020,2017,0.0,36162.0,-1.634533,-1.330819,MRT,020230
140916,148,5021,2017,,,-1.634533,-1.330819,MRT,020311
147442,148,5022,2017,,,-1.634533,-1.330819,MRT,020312
153968,148,5023,2017,,,-1.634533,-1.330819,MRT,020319
160494,148,5024,2017,,,-1.634533,-1.330819,MRT,020321
167020,148,5025,2017,,,-1.634533,-1.330819,MRT,020322
173546,148,5026,2017,0.0,1979.0,-1.634533,-1.330819,MRT,020329
180072,148,5027,2017,0.0,46124.0,-1.634533,-1.330819,MRT,020410
186598,148,5028,2017,,,-1.634533,-1.330819,MRT,020421
193124,148,5029,2017,,,-1.634533,-1.330819,MRT,020422
199650,148,5030,2017,,,-1.634533,-1.330819,MRT,020423
206176,148,5031,2017,,,-1.634533,-1.330819,MRT,020430
212702,148,5032,2017,44227.0,0.0,-1.634533,-1.330819,MRT,020441
219228,148,5033,2017,,,-1.634533,-1.330819,MRT,020442
225754,148,5034,2017,721972.0,0.0,-1.634533,-1.330819,MRT,020443
232280,148,5035,2017,0.0,4091.0,-1.634533,-1.330819,MRT,020450
238806,148,5036,2017,,,-1.634533,-1.330819,MRT,020500
245332,148,5037,2017,,,-1.634533,-1.330819,MRT,020610
251858,148,5038,2017,,,-1.634533,-1.330819,MRT,020621
258384,148,5039,2017,,,-1.634533,-1.330819,MRT,020622
264910,148,5040,2017,,,-1.634533,-1.330819,MRT,020629
271436,148,5041,2017,,,-1.634533,-1.330819,MRT,020630
277962,148,5042,2017,,,-1.634533,-1.330819,MRT,020641
284488,148,5043,2017,,,-1.634533,-1.330819,MRT,020649
291014,148,5044,2017,43937.0,0.0,-1.634533,-1.330819,MRT,020680
297540,148,5045,2017,,,-1.634533,-1.330819,MRT,020690
304066,148,5046,2017,0.0,116508.0,-1.634533,-1.330819,MRT,020710
310592,148,5047,2017,0.0,8440571.0,-1.634533,-1.330819,MRT,020721
317118,148,5048,2017,,,-1.634533,-1.330819,MRT,020722
323644,148,5049,2017,,,-1.634533,-1.330819,MRT,020723
330170,148,5050,2017,,,-1.634533,-1.330819,MRT,020731
336696,148,5051,2017,0.0,5436127.0,-1.634533,-1.330819,MRT,020739
343222,148,5052,2017,0.0,10955425.0,-1.634533,-1.330819,MRT,020741
349748,148,5053,2017,0.0,11481.0,-1.634533,-1.330819,MRT,020742
356274,148,5054,2017,,,-1.634533,-1.330819,MRT,020743
362800,148,5055,2017,,,-1.634533,-1.330819,MRT,020750
369326,148,5056,2017,,,-1.634533,-1.330819,MRT,020810
375852,148,5057,2017,,,-1.634533,-1.330819,MRT,020820
382378,148,5058,2017,,,-1.634533,-1.330819,MRT,020890
388904,148,5059,2017,,,-1.634533,-1.330819,MRT,020900
395430,148,5060,2017,,,-1.634533,-1.330819,MRT,021011
401956,148,5061,2017,,,-1.634533,-1.330819,MRT,021012
408482,148,5062,2017,0.0,1515.0,-1.634533,-1.330819,MRT,021019
415008,148,5063,2017,,,-1.634533,-1.330819,MRT,021020
421534,148,5064,2017,,,-1.634533,-1.330819,MRT,021090
428060,148,5065,2017,,,-1.634533,-1.330819,MRT,030110
434586,148,5066,2017,,,-1.634533,-1.330819,MRT,030191
441112,148,5067,2017,,,-1.634533,-1.330819,MRT,030192
447638,148,5068,2017,,,-1.634533,-1.330819,MRT,030193
454164,148,5069,2017,3000.0,0.0,-1.634533,-1.330819,MRT,030199
460690,148,5070,2017,,,-1.634533,-1.330819,MRT,030211
467216,148,5071,2017,,,-1.634533,-1.330819,MRT,030212
473742,148,5072,2017,19181082.0,3184.0,-1.634533,-1.330819,MRT,030219
480268,148,5073,2017,,,-1.634533,-1.330819,MRT,030221
486794,148,5074,2017,,,-1.634533,-1.330819,MRT,030222
493320,148,5075,2017,1344710.0,0.0,-1.634533,-1.330819,MRT,030223
499846,148,5076,2017,1072418.0,0.0,-1.634533,-1.330819,MRT,030229
506372,148,5077,2017,,,-1.634533,-1.330819,MRT,030231
512898,148,5078,2017,,,-1.634533,-1.330819,MRT,030232
519424,148,5079,2017,,,-1.634533,-1.330819,MRT,030233
525950,148,5080,2017,0.0,16899.0,-1.634533,-1.330819,MRT,030239
532476,148,5081,2017,16737.0,0.0,-1.634533,-1.330819,MRT,030240
539002,148,5082,2017,,,-1.634533,-1.330819,MRT,030250
545528,148,5083,2017,66834.0,0.0,-1.634533,-1.330819,MRT,030261
552054,148,5084,2017,,,-1.634533,-1.330819,MRT,030262
558580,148,5085,2017,,,-1.634533,-1.330819,MRT,030263
565106,148,5086,2017,44692.0,0.0,-1.634533,-1.330819,MRT,030264
571632,148,5087,2017,329942.0,0.0,-1.634533,-1.330819,MRT,030265
578158,148,5088,2017,,,-1.634533,-1.330819,MRT,030266
584684,148,5089,2017,40070319.0,1393.0,-1.634533,-1.330819,MRT,030269
591210,148,5090,2017,637242.0,18816.0,-1.634533,-1.330819,MRT,030270
597736,148,5091,2017,,,-1.634533,-1.330819,MRT,030310
604262,148,5092,2017,,,-1.634533,-1.330819,MRT,030321
610788,148,5093,2017,,,-1.634533,-1.330819,MRT,030322
617314,148,5094,2017,52735587.0,2127.0,-1.634533,-1.330819,MRT,030329
623840,148,5095,2017,28233.0,0.0,-1.634533,-1.330819,MRT,030331
630366,148,5096,2017,,,-1.634533,-1.330819,MRT,030332
636892,148,5097,2017,1748636.0,0.0,-1.634533,-1.330819,MRT,030333
643418,148,5098,2017,7958667.0,0.0,-1.634533,-1.330819,MRT,030339
649944,148,5099,2017,,,-1.634533,-1.330819,MRT,030341
656470,148,5100,2017,0.0,50863.0,-1.634533,-1.330819,MRT,030342
662996,148,5101,2017,903422.0,821910.0,-1.634533,-1.330819,MRT,030343
669522,148,5102,2017,2376001.0,351.0,-1.634533,-1.330819,MRT,030349
676048,148,5103,2017,152983.0,0.0,-1.634533,-1.330819,MRT,030350
682574,148,5104,2017,,,-1.634533,-1.330819,MRT,030360
689100,148,5105,2017,36275988.0,3471308.0,-1.634533,-1.330819,MRT,030371
695626,148,5106,2017,,,-1.634533,-1.330819,MRT,030372
702152,148,5107,2017,,,-1.634533,-1.330819,MRT,030373
708678,148,5108,2017,78026714.0,521793.0,-1.634533,-1.330819,MRT,030374
715204,148,5109,2017,84966.0,0.0,-1.634533,-1.330819,MRT,030375
721730,148,5110,2017,,,-1.634533,-1.330819,MRT,030376
728256,148,5111,2017,35760.0,0.0,-1.634533,-1.330819,MRT,030377
734782,148,5112,2017,4274631.0,0.0,-1.634533,-1.330819,MRT,030378
741308,148,5113,2017,194394349.0,466775.0,-1.634533,-1.330819,MRT,030379
747834,148,5114,2017,4098746.0,0.0,-1.634533,-1.330819,MRT,030380
754360,148,5115,2017,1043393.0,0.0,-1.634533,-1.330819,MRT,030410
760886,148,5116,2017,4368668.0,1585.0,-1.634533,-1.330819,MRT,030420
767412,148,5117,2017,42504.0,98135.0,-1.634533,-1.330819,MRT,030490
773938,148,5118,2017,,,-1.634533,-1.330819,MRT,030510
780464,148,5119,2017,1924.0,0.0,-1.634533,-1.330819,MRT,030520
786990,148,5120,2017,28683.0,0.0,-1.634533,-1.330819,MRT,030530
793516,148,5121,2017,0.0,11576.0,-1.634533,-1.330819,MRT,030541
800042,148,5122,2017,,,-1.634533,-1.330819,MRT,030542
806568,148,5123,2017,,,-1.634533,-1.330819,MRT,030549
813094,148,5124,2017,327155.0,0.0,-1.634533,-1.330819,MRT,030551
819620,148,5125,2017,612559.0,0.0,-1.634533,-1.330819,MRT,030559
826146,148,5126,2017,,,-1.634533,-1.330819,MRT,030561
832672,148,5127,2017,,,-1.634533,-1.330819,MRT,030562
839198,148,5128,2017,,,-1.634533,-1.330819,MRT,030563
845724,148,5129,2017,146962.0,0.0,-1.634533,-1.330819,MRT,030569
852250,148,5130,2017,3919982.0,60794.0,-1.634533,-1.330819,MRT,030611
858776,148,5131,2017,,,-1.634533,-1.330819,MRT,030612
865302,148,5132,2017,1528431.0,0.0,-1.634533,-1.330819,MRT,030613
871828,148,5133,2017,516053.0,0.0,-1.634533,-1.330819,MRT,030614
878354,148,5134,2017,448071.0,0.0,-1.634533,-1.330819,MRT,030619
884880,148,5135,2017,5846184.0,0.0,-1.634533,-1.330819,MRT,030621
