,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3947,151,5000,2016,1469166.0,3651740.0,-0.24309899999999998,-0.084888,MUS,010111
10473,151,5001,2016,219128.0,2672221.0,-0.24309899999999998,-0.084888,MUS,010119
16999,151,5002,2016,0.0,9115.0,-0.24309899999999998,-0.084888,MUS,010120
23525,151,5003,2016,0.0,362360.0,-0.24309899999999998,-0.084888,MUS,010210
30051,151,5004,2016,0.0,7131760.0,-0.24309899999999998,-0.084888,MUS,010290
36577,151,5005,2016,,,-0.24309899999999998,-0.084888,MUS,010310
43103,151,5006,2016,,,-0.24309899999999998,-0.084888,MUS,010391
49629,151,5007,2016,,,-0.24309899999999998,-0.084888,MUS,010392
56155,151,5008,2016,0.0,69533.0,-0.24309899999999998,-0.084888,MUS,010410
62681,151,5009,2016,0.0,155398.0,-0.24309899999999998,-0.084888,MUS,010420
69207,151,5010,2016,364289.0,765543.0,-0.24309899999999998,-0.084888,MUS,010511
75733,151,5011,2016,7525.0,15596.0,-0.24309899999999998,-0.084888,MUS,010519
82259,151,5012,2016,23248.0,0.0,-0.24309899999999998,-0.084888,MUS,010591
88785,151,5013,2016,167787.0,129188.0,-0.24309899999999998,-0.084888,MUS,010599
95311,151,5014,2016,21792266.0,115761.0,-0.24309899999999998,-0.084888,MUS,010600
101837,151,5015,2016,0.0,135056.0,-0.24309899999999998,-0.084888,MUS,020110
108363,151,5016,2016,14197.0,1230403.0,-0.24309899999999998,-0.084888,MUS,020120
114889,151,5017,2016,1162.0,5525525.0,-0.24309899999999998,-0.084888,MUS,020130
121415,151,5018,2016,,,-0.24309899999999998,-0.084888,MUS,020210
127941,151,5019,2016,0.0,612271.0,-0.24309899999999998,-0.084888,MUS,020220
134467,151,5020,2016,0.0,12083904.0,-0.24309899999999998,-0.084888,MUS,020230
140993,151,5021,2016,5176.0,8513.0,-0.24309899999999998,-0.084888,MUS,020311
147519,151,5022,2016,2379.0,4833.0,-0.24309899999999998,-0.084888,MUS,020312
154045,151,5023,2016,12896.0,178514.0,-0.24309899999999998,-0.084888,MUS,020319
