,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3962,152,5000,2005,0.0,9355.0,-1.4769379999999999,-1.220782,MWI,010111
10488,152,5001,2005,0.0,924.0,-1.4769379999999999,-1.220782,MWI,010119
17014,152,5002,2005,,,-1.4769379999999999,-1.220782,MWI,010120
23540,152,5003,2005,0.0,153678.0,-1.4769379999999999,-1.220782,MWI,010210
30066,152,5004,2005,0.0,178176.0,-1.4769379999999999,-1.220782,MWI,010290
36592,152,5005,2005,,,-1.4769379999999999,-1.220782,MWI,010310
43118,152,5006,2005,,,-1.4769379999999999,-1.220782,MWI,010391
49644,152,5007,2005,,,-1.4769379999999999,-1.220782,MWI,010392
56170,152,5008,2005,,,-1.4769379999999999,-1.220782,MWI,010410
62696,152,5009,2005,0.0,979.0,-1.4769379999999999,-1.220782,MWI,010420
69222,152,5010,2005,20336.0,122268.0,-1.4769379999999999,-1.220782,MWI,010511
75748,152,5011,2005,0.0,28924.0,-1.4769379999999999,-1.220782,MWI,010519
82274,152,5012,2005,0.0,64613.0,-1.4769379999999999,-1.220782,MWI,010591
88800,152,5013,2005,,,-1.4769379999999999,-1.220782,MWI,010599
95326,152,5014,2005,1426.0,87855.0,-1.4769379999999999,-1.220782,MWI,010600
101852,152,5015,2005,0.0,9958.0,-1.4769379999999999,-1.220782,MWI,020110
108378,152,5016,2005,0.0,4645.0,-1.4769379999999999,-1.220782,MWI,020120
114904,152,5017,2005,0.0,1760.0,-1.4769379999999999,-1.220782,MWI,020130
121430,152,5018,2005,,,-1.4769379999999999,-1.220782,MWI,020210
127956,152,5019,2005,0.0,6687.0,-1.4769379999999999,-1.220782,MWI,020220
134482,152,5020,2005,0.0,1967.0,-1.4769379999999999,-1.220782,MWI,020230
141008,152,5021,2005,,,-1.4769379999999999,-1.220782,MWI,020311
147534,152,5022,2005,0.0,27726.0,-1.4769379999999999,-1.220782,MWI,020312
154060,152,5023,2005,,,-1.4769379999999999,-1.220782,MWI,020319
160586,152,5024,2005,,,-1.4769379999999999,-1.220782,MWI,020321
167112,152,5025,2005,0.0,38633.0,-1.4769379999999999,-1.220782,MWI,020322
173638,152,5026,2005,0.0,15491.0,-1.4769379999999999,-1.220782,MWI,020329
180164,152,5027,2005,,,-1.4769379999999999,-1.220782,MWI,020410
186690,152,5028,2005,,,-1.4769379999999999,-1.220782,MWI,020421
193216,152,5029,2005,,,-1.4769379999999999,-1.220782,MWI,020422
199742,152,5030,2005,,,-1.4769379999999999,-1.220782,MWI,020423
206268,152,5031,2005,,,-1.4769379999999999,-1.220782,MWI,020430
212794,152,5032,2005,,,-1.4769379999999999,-1.220782,MWI,020441
219320,152,5033,2005,,,-1.4769379999999999,-1.220782,MWI,020442
225846,152,5034,2005,,,-1.4769379999999999,-1.220782,MWI,020443
232372,152,5035,2005,,,-1.4769379999999999,-1.220782,MWI,020450
238898,152,5036,2005,,,-1.4769379999999999,-1.220782,MWI,020500
245424,152,5037,2005,0.0,1194.0,-1.4769379999999999,-1.220782,MWI,020610
251950,152,5038,2005,,,-1.4769379999999999,-1.220782,MWI,020621
258476,152,5039,2005,,,-1.4769379999999999,-1.220782,MWI,020622
265002,152,5040,2005,,,-1.4769379999999999,-1.220782,MWI,020629
271528,152,5041,2005,,,-1.4769379999999999,-1.220782,MWI,020630
278054,152,5042,2005,,,-1.4769379999999999,-1.220782,MWI,020641
284580,152,5043,2005,,,-1.4769379999999999,-1.220782,MWI,020649
291106,152,5044,2005,0.0,6563.0,-1.4769379999999999,-1.220782,MWI,020680
