,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4140,159,5000,2001,0.0,9542.0,-1.966439,-1.2724520000000001,NGA,010111
10666,159,5001,2001,0.0,125892.0,-1.966439,-1.2724520000000001,NGA,010119
17192,159,5002,2001,0.0,670319.0,-1.966439,-1.2724520000000001,NGA,010120
23718,159,5003,2001,9610.0,6031.0,-1.966439,-1.2724520000000001,NGA,010210
30244,159,5004,2001,1694.0,4475172.0,-1.966439,-1.2724520000000001,NGA,010290
36770,159,5005,2001,0.0,87784.0,-1.966439,-1.2724520000000001,NGA,010310
43296,159,5006,2001,,,-1.966439,-1.2724520000000001,NGA,010391
49822,159,5007,2001,,,-1.966439,-1.2724520000000001,NGA,010392
56348,159,5008,2001,1079.0,2964030.0,-1.966439,-1.2724520000000001,NGA,010410
62874,159,5009,2001,0.0,2746434.0,-1.966439,-1.2724520000000001,NGA,010420
69400,159,5010,2001,0.0,1642223.0,-1.966439,-1.2724520000000001,NGA,010511
75926,159,5011,2001,0.0,115227.0,-1.966439,-1.2724520000000001,NGA,010519
82452,159,5012,2001,0.0,54848.0,-1.966439,-1.2724520000000001,NGA,010591
88978,159,5013,2001,0.0,224050.0,-1.966439,-1.2724520000000001,NGA,010599
95504,159,5014,2001,570692.0,751227.0,-1.966439,-1.2724520000000001,NGA,010600
102030,159,5015,2001,,,-1.966439,-1.2724520000000001,NGA,020110
108556,159,5016,2001,0.0,25829.0,-1.966439,-1.2724520000000001,NGA,020120
115082,159,5017,2001,0.0,69214.0,-1.966439,-1.2724520000000001,NGA,020130
121608,159,5018,2001,,,-1.966439,-1.2724520000000001,NGA,020210
128134,159,5019,2001,0.0,48568.0,-1.966439,-1.2724520000000001,NGA,020220
134660,159,5020,2001,0.0,211954.0,-1.966439,-1.2724520000000001,NGA,020230
141186,159,5021,2001,0.0,25452.0,-1.966439,-1.2724520000000001,NGA,020311
147712,159,5022,2001,0.0,8750.0,-1.966439,-1.2724520000000001,NGA,020312
154238,159,5023,2001,0.0,75222.0,-1.966439,-1.2724520000000001,NGA,020319
160764,159,5024,2001,,,-1.966439,-1.2724520000000001,NGA,020321
167290,159,5025,2001,,,-1.966439,-1.2724520000000001,NGA,020322
173816,159,5026,2001,0.0,23624.0,-1.966439,-1.2724520000000001,NGA,020329
180342,159,5027,2001,0.0,305.0,-1.966439,-1.2724520000000001,NGA,020410
186868,159,5028,2001,,,-1.966439,-1.2724520000000001,NGA,020421
193394,159,5029,2001,0.0,42200.0,-1.966439,-1.2724520000000001,NGA,020422
199920,159,5030,2001,,,-1.966439,-1.2724520000000001,NGA,020423
206446,159,5031,2001,0.0,64559.0,-1.966439,-1.2724520000000001,NGA,020430
212972,159,5032,2001,,,-1.966439,-1.2724520000000001,NGA,020441
219498,159,5033,2001,0.0,8117.0,-1.966439,-1.2724520000000001,NGA,020442
226024,159,5034,2001,0.0,3225.0,-1.966439,-1.2724520000000001,NGA,020443
232550,159,5035,2001,0.0,54008.0,-1.966439,-1.2724520000000001,NGA,020450
239076,159,5036,2001,,,-1.966439,-1.2724520000000001,NGA,020500
245602,159,5037,2001,,,-1.966439,-1.2724520000000001,NGA,020610
252128,159,5038,2001,,,-1.966439,-1.2724520000000001,NGA,020621
258654,159,5039,2001,,,-1.966439,-1.2724520000000001,NGA,020622
265180,159,5040,2001,21821.0,20546.0,-1.966439,-1.2724520000000001,NGA,020629
271706,159,5041,2001,,,-1.966439,-1.2724520000000001,NGA,020630
278232,159,5042,2001,,,-1.966439,-1.2724520000000001,NGA,020641
284758,159,5043,2001,,,-1.966439,-1.2724520000000001,NGA,020649
291284,159,5044,2001,0.0,7118.0,-1.966439,-1.2724520000000001,NGA,020680
297810,159,5045,2001,0.0,8438.0,-1.966439,-1.2724520000000001,NGA,020690
304336,159,5046,2001,0.0,248511.0,-1.966439,-1.2724520000000001,NGA,020710
310862,159,5047,2001,0.0,734742.0,-1.966439,-1.2724520000000001,NGA,020721
317388,159,5048,2001,0.0,8565.0,-1.966439,-1.2724520000000001,NGA,020722
323914,159,5049,2001,0.0,4657.0,-1.966439,-1.2724520000000001,NGA,020723
330440,159,5050,2001,,,-1.966439,-1.2724520000000001,NGA,020731
336966,159,5051,2001,0.0,198615.0,-1.966439,-1.2724520000000001,NGA,020739
343492,159,5052,2001,0.0,7049057.0,-1.966439,-1.2724520000000001,NGA,020741
350018,159,5053,2001,0.0,1678218.0,-1.966439,-1.2724520000000001,NGA,020742
356544,159,5054,2001,0.0,1600542.0,-1.966439,-1.2724520000000001,NGA,020743
363070,159,5055,2001,,,-1.966439,-1.2724520000000001,NGA,020750
369596,159,5056,2001,,,-1.966439,-1.2724520000000001,NGA,020810
376122,159,5057,2001,,,-1.966439,-1.2724520000000001,NGA,020820
382648,159,5058,2001,0.0,1995211.0,-1.966439,-1.2724520000000001,NGA,020890
389174,159,5059,2001,0.0,9785.0,-1.966439,-1.2724520000000001,NGA,020900
395700,159,5060,2001,,,-1.966439,-1.2724520000000001,NGA,021011
402226,159,5061,2001,0.0,24867.0,-1.966439,-1.2724520000000001,NGA,021012
408752,159,5062,2001,0.0,53354.0,-1.966439,-1.2724520000000001,NGA,021019
415278,159,5063,2001,0.0,6021.0,-1.966439,-1.2724520000000001,NGA,021020
421804,159,5064,2001,0.0,5954.0,-1.966439,-1.2724520000000001,NGA,021090
428330,159,5065,2001,1018059.0,1228743.0,-1.966439,-1.2724520000000001,NGA,030110
434856,159,5066,2001,,,-1.966439,-1.2724520000000001,NGA,030191
441382,159,5067,2001,,,-1.966439,-1.2724520000000001,NGA,030192
447908,159,5068,2001,0.0,2803.0,-1.966439,-1.2724520000000001,NGA,030193
454434,159,5069,2001,6875.0,0.0,-1.966439,-1.2724520000000001,NGA,030199
460960,159,5070,2001,,,-1.966439,-1.2724520000000001,NGA,030211
467486,159,5071,2001,0.0,1798.0,-1.966439,-1.2724520000000001,NGA,030212
474012,159,5072,2001,1049.0,447632.0,-1.966439,-1.2724520000000001,NGA,030219
480538,159,5073,2001,,,-1.966439,-1.2724520000000001,NGA,030221
487064,159,5074,2001,,,-1.966439,-1.2724520000000001,NGA,030222
493590,159,5075,2001,0.0,1582.0,-1.966439,-1.2724520000000001,NGA,030223
500116,159,5076,2001,,,-1.966439,-1.2724520000000001,NGA,030229
506642,159,5077,2001,,,-1.966439,-1.2724520000000001,NGA,030231
513168,159,5078,2001,2888.0,0.0,-1.966439,-1.2724520000000001,NGA,030232
519694,159,5079,2001,,,-1.966439,-1.2724520000000001,NGA,030233
526220,159,5080,2001,1962.0,0.0,-1.966439,-1.2724520000000001,NGA,030239
532746,159,5081,2001,0.0,764319.0,-1.966439,-1.2724520000000001,NGA,030240
539272,159,5082,2001,,,-1.966439,-1.2724520000000001,NGA,030250
545798,159,5083,2001,0.0,8768.0,-1.966439,-1.2724520000000001,NGA,030261
552324,159,5084,2001,,,-1.966439,-1.2724520000000001,NGA,030262
558850,159,5085,2001,,,-1.966439,-1.2724520000000001,NGA,030263
565376,159,5086,2001,0.0,315239.0,-1.966439,-1.2724520000000001,NGA,030264
571902,159,5087,2001,,,-1.966439,-1.2724520000000001,NGA,030265
578428,159,5088,2001,,,-1.966439,-1.2724520000000001,NGA,030266
584954,159,5089,2001,41666.0,101673.0,-1.966439,-1.2724520000000001,NGA,030269
591480,159,5090,2001,,,-1.966439,-1.2724520000000001,NGA,030270
598006,159,5091,2001,0.0,5386996.0,-1.966439,-1.2724520000000001,NGA,030310
604532,159,5092,2001,0.0,197346.0,-1.966439,-1.2724520000000001,NGA,030321
611058,159,5093,2001,0.0,41811.0,-1.966439,-1.2724520000000001,NGA,030322
617584,159,5094,2001,0.0,455446.0,-1.966439,-1.2724520000000001,NGA,030329
624110,159,5095,2001,0.0,1418.0,-1.966439,-1.2724520000000001,NGA,030331
630636,159,5096,2001,,,-1.966439,-1.2724520000000001,NGA,030332
637162,159,5097,2001,,,-1.966439,-1.2724520000000001,NGA,030333
643688,159,5098,2001,41983.0,3405.0,-1.966439,-1.2724520000000001,NGA,030339
650214,159,5099,2001,28143.0,0.0,-1.966439,-1.2724520000000001,NGA,030341
656740,159,5100,2001,,,-1.966439,-1.2724520000000001,NGA,030342
663266,159,5101,2001,0.0,2026.0,-1.966439,-1.2724520000000001,NGA,030343
669792,159,5102,2001,0.0,21667.0,-1.966439,-1.2724520000000001,NGA,030349
676318,159,5103,2001,0.0,33970906.0,-1.966439,-1.2724520000000001,NGA,030350
682844,159,5104,2001,0.0,3483285.0,-1.966439,-1.2724520000000001,NGA,030360
689370,159,5105,2001,165149.0,34585903.0,-1.966439,-1.2724520000000001,NGA,030371
695896,159,5106,2001,0.0,266676.0,-1.966439,-1.2724520000000001,NGA,030372
702422,159,5107,2001,0.0,48941.0,-1.966439,-1.2724520000000001,NGA,030373
708948,159,5108,2001,127652.0,68870172.0,-1.966439,-1.2724520000000001,NGA,030374
715474,159,5109,2001,0.0,435073.0,-1.966439,-1.2724520000000001,NGA,030375
722000,159,5110,2001,,,-1.966439,-1.2724520000000001,NGA,030376
728526,159,5111,2001,,,-1.966439,-1.2724520000000001,NGA,030377
735052,159,5112,2001,0.0,918567.0,-1.966439,-1.2724520000000001,NGA,030378
741578,159,5113,2001,153340.0,74553036.0,-1.966439,-1.2724520000000001,NGA,030379
748104,159,5114,2001,0.0,125573.0,-1.966439,-1.2724520000000001,NGA,030380
754630,159,5115,2001,0.0,6298.0,-1.966439,-1.2724520000000001,NGA,030410
761156,159,5116,2001,1608426.0,237557.0,-1.966439,-1.2724520000000001,NGA,030420
767682,159,5117,2001,,,-1.966439,-1.2724520000000001,NGA,030490
774208,159,5118,2001,0.0,695470.0,-1.966439,-1.2724520000000001,NGA,030510
780734,159,5119,2001,15108.0,0.0,-1.966439,-1.2724520000000001,NGA,030520
787260,159,5120,2001,1415.0,67938.0,-1.966439,-1.2724520000000001,NGA,030530
793786,159,5121,2001,0.0,42263.0,-1.966439,-1.2724520000000001,NGA,030541
800312,159,5122,2001,,,-1.966439,-1.2724520000000001,NGA,030542
806838,159,5123,2001,6532.0,1345017.0,-1.966439,-1.2724520000000001,NGA,030549
813364,159,5124,2001,0.0,1975047.0,-1.966439,-1.2724520000000001,NGA,030551
819890,159,5125,2001,112083.0,3967283.0,-1.966439,-1.2724520000000001,NGA,030559
826416,159,5126,2001,,,-1.966439,-1.2724520000000001,NGA,030561
832942,159,5127,2001,,,-1.966439,-1.2724520000000001,NGA,030562
839468,159,5128,2001,,,-1.966439,-1.2724520000000001,NGA,030563
845994,159,5129,2001,3392.0,126812.0,-1.966439,-1.2724520000000001,NGA,030569
852520,159,5130,2001,33026.0,41838.0,-1.966439,-1.2724520000000001,NGA,030611
859046,159,5131,2001,6923.0,0.0,-1.966439,-1.2724520000000001,NGA,030612
865572,159,5132,2001,57147063.0,33609.0,-1.966439,-1.2724520000000001,NGA,030613
872098,159,5133,2001,748770.0,0.0,-1.966439,-1.2724520000000001,NGA,030614
878624,159,5134,2001,,,-1.966439,-1.2724520000000001,NGA,030619
885150,159,5135,2001,14365.0,0.0,-1.966439,-1.2724520000000001,NGA,030621
891676,159,5136,2001,,,-1.966439,-1.2724520000000001,NGA,030622
898202,159,5137,2001,13651.0,0.0,-1.966439,-1.2724520000000001,NGA,030623
904728,159,5138,2001,4918.0,0.0,-1.966439,-1.2724520000000001,NGA,030624
911254,159,5139,2001,4780.0,5536.0,-1.966439,-1.2724520000000001,NGA,030629
917780,159,5140,2001,0.0,592668.0,-1.966439,-1.2724520000000001,NGA,030710
924306,159,5141,2001,,,-1.966439,-1.2724520000000001,NGA,030721
930832,159,5142,2001,0.0,1582.0,-1.966439,-1.2724520000000001,NGA,030729
937358,159,5143,2001,,,-1.966439,-1.2724520000000001,NGA,030731
943884,159,5144,2001,0.0,117203.0,-1.966439,-1.2724520000000001,NGA,030739
950410,159,5145,2001,0.0,91246.0,-1.966439,-1.2724520000000001,NGA,030741
956936,159,5146,2001,366701.0,0.0,-1.966439,-1.2724520000000001,NGA,030749
963462,159,5147,2001,,,-1.966439,-1.2724520000000001,NGA,030751
969988,159,5148,2001,10768.0,0.0,-1.966439,-1.2724520000000001,NGA,030759
976514,159,5149,2001,,,-1.966439,-1.2724520000000001,NGA,030760
983040,159,5150,2001,,,-1.966439,-1.2724520000000001,NGA,030791
989566,159,5151,2001,6329.0,43913.0,-1.966439,-1.2724520000000001,NGA,030799
996092,159,5152,2001,0.0,276294.0,-1.966439,-1.2724520000000001,NGA,040110
1002618,159,5153,2001,0.0,679875.0,-1.966439,-1.2724520000000001,NGA,040120
1009144,159,5154,2001,0.0,125796.0,-1.966439,-1.2724520000000001,NGA,040130
1015670,159,5155,2001,224462.0,32805443.0,-1.966439,-1.2724520000000001,NGA,040210
1022196,159,5156,2001,847621.0,79072943.0,-1.966439,-1.2724520000000001,NGA,040221
1028722,159,5157,2001,231509.0,21016525.0,-1.966439,-1.2724520000000001,NGA,040229
1035248,159,5158,2001,0.0,41479611.0,-1.966439,-1.2724520000000001,NGA,040291
1041774,159,5159,2001,3135.0,5141935.0,-1.966439,-1.2724520000000001,NGA,040299
1048300,159,5160,2001,2657.0,134891.0,-1.966439,-1.2724520000000001,NGA,040310
1054826,159,5161,2001,6416.0,5468472.0,-1.966439,-1.2724520000000001,NGA,040390
1061352,159,5162,2001,0.0,606499.0,-1.966439,-1.2724520000000001,NGA,040410
1067878,159,5163,2001,56289.0,238174.0,-1.966439,-1.2724520000000001,NGA,040490
1074404,159,5164,2001,25325.0,5422247.0,-1.966439,-1.2724520000000001,NGA,040500
1080930,159,5165,2001,0.0,231226.0,-1.966439,-1.2724520000000001,NGA,040610
1087456,159,5166,2001,0.0,360659.0,-1.966439,-1.2724520000000001,NGA,040620
1093982,159,5167,2001,0.0,259853.0,-1.966439,-1.2724520000000001,NGA,040630
1100508,159,5168,2001,0.0,15206.0,-1.966439,-1.2724520000000001,NGA,040640
1107034,159,5169,2001,0.0,410707.0,-1.966439,-1.2724520000000001,NGA,040690
1113560,159,5170,2001,6665.0,712223.0,-1.966439,-1.2724520000000001,NGA,040700
1120086,159,5171,2001,0.0,3437.0,-1.966439,-1.2724520000000001,NGA,040811
1126612,159,5172,2001,2668.0,0.0,-1.966439,-1.2724520000000001,NGA,040819
1133138,159,5173,2001,0.0,77504.0,-1.966439,-1.2724520000000001,NGA,040891
1139664,159,5174,2001,12604.0,948.0,-1.966439,-1.2724520000000001,NGA,040899
1146190,159,5175,2001,0.0,229340.0,-1.966439,-1.2724520000000001,NGA,040900
