,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4414,169,5000,2015,30869.0,281542.0,0.642058,0.833392,PAN,010111
10940,169,5001,2015,8878.0,99936.0,0.642058,0.833392,PAN,010119
17466,169,5002,2015,,,0.642058,0.833392,PAN,010120
23992,169,5003,2015,160303.0,206869.0,0.642058,0.833392,PAN,010210
30518,169,5004,2015,1589880.0,33457.0,0.642058,0.833392,PAN,010290
37044,169,5005,2015,,,0.642058,0.833392,PAN,010310
43570,169,5006,2015,,,0.642058,0.833392,PAN,010391
50096,169,5007,2015,,,0.642058,0.833392,PAN,010392
56622,169,5008,2015,,,0.642058,0.833392,PAN,010410
63148,169,5009,2015,,,0.642058,0.833392,PAN,010420
69674,169,5010,2015,284616.0,5009395.0,0.642058,0.833392,PAN,010511
76200,169,5011,2015,13088.0,189689.0,0.642058,0.833392,PAN,010519
82726,169,5012,2015,0.0,1231.0,0.642058,0.833392,PAN,010591
89252,169,5013,2015,,,0.642058,0.833392,PAN,010599
95778,169,5014,2015,19933.0,284452.0,0.642058,0.833392,PAN,010600
102304,169,5015,2015,0.0,1640916.0,0.642058,0.833392,PAN,020110
108830,169,5016,2015,130736.0,733026.0,0.642058,0.833392,PAN,020120
115356,169,5017,2015,3765009.0,9549309.0,0.642058,0.833392,PAN,020130
121882,169,5018,2015,0.0,26846.0,0.642058,0.833392,PAN,020210
128408,169,5019,2015,61567.0,954180.0,0.642058,0.833392,PAN,020220
134934,169,5020,2015,26162484.0,12708809.0,0.642058,0.833392,PAN,020230
141460,169,5021,2015,0.0,35143.0,0.642058,0.833392,PAN,020311
147986,169,5022,2015,5052.0,431438.0,0.642058,0.833392,PAN,020312
154512,169,5023,2015,77172.0,624010.0,0.642058,0.833392,PAN,020319
161038,169,5024,2015,0.0,1324760.0,0.642058,0.833392,PAN,020321
167564,169,5025,2015,0.0,3111403.0,0.642058,0.833392,PAN,020322
174090,169,5026,2015,94370.0,12944610.0,0.642058,0.833392,PAN,020329
180616,169,5027,2015,0.0,6856.0,0.642058,0.833392,PAN,020410
187142,169,5028,2015,,,0.642058,0.833392,PAN,020421
193668,169,5029,2015,20166.0,49721.0,0.642058,0.833392,PAN,020422
200194,169,5030,2015,8968.0,43156.0,0.642058,0.833392,PAN,020423
206720,169,5031,2015,0.0,21268.0,0.642058,0.833392,PAN,020430
213246,169,5032,2015,0.0,3386.0,0.642058,0.833392,PAN,020441
219772,169,5033,2015,1213.0,507048.0,0.642058,0.833392,PAN,020442
226298,169,5034,2015,0.0,29318.0,0.642058,0.833392,PAN,020443
232824,169,5035,2015,,,0.642058,0.833392,PAN,020450
239350,169,5036,2015,,,0.642058,0.833392,PAN,020500
245876,169,5037,2015,9993.0,21918.0,0.642058,0.833392,PAN,020610
252402,169,5038,2015,1080130.0,19833.0,0.642058,0.833392,PAN,020621
258928,169,5039,2015,86542.0,250921.0,0.642058,0.833392,PAN,020622
265454,169,5040,2015,2307562.0,2043255.0,0.642058,0.833392,PAN,020629
271980,169,5041,2015,,,0.642058,0.833392,PAN,020630
278506,169,5042,2015,,,0.642058,0.833392,PAN,020641
285032,169,5043,2015,37395.0,2550457.0,0.642058,0.833392,PAN,020649
291558,169,5044,2015,,,0.642058,0.833392,PAN,020680
298084,169,5045,2015,,,0.642058,0.833392,PAN,020690
304610,169,5046,2015,229579.0,461693.0,0.642058,0.833392,PAN,020710
311136,169,5047,2015,0.0,1328804.0,0.642058,0.833392,PAN,020721
317662,169,5048,2015,0.0,4086918.0,0.642058,0.833392,PAN,020722
324188,169,5049,2015,0.0,137244.0,0.642058,0.833392,PAN,020723
330714,169,5050,2015,,,0.642058,0.833392,PAN,020731
337240,169,5051,2015,0.0,631105.0,0.642058,0.833392,PAN,020739
343766,169,5052,2015,6694.0,9584522.0,0.642058,0.833392,PAN,020741
350292,169,5053,2015,6426.0,5513696.0,0.642058,0.833392,PAN,020742
356818,169,5054,2015,0.0,37791.0,0.642058,0.833392,PAN,020743
363344,169,5055,2015,,,0.642058,0.833392,PAN,020750
369870,169,5056,2015,0.0,109939.0,0.642058,0.833392,PAN,020810
376396,169,5057,2015,,,0.642058,0.833392,PAN,020820
382922,169,5058,2015,0.0,83504.0,0.642058,0.833392,PAN,020890
389448,169,5059,2015,19320.0,230948.0,0.642058,0.833392,PAN,020900
395974,169,5060,2015,0.0,869985.0,0.642058,0.833392,PAN,021011
402500,169,5061,2015,0.0,1823792.0,0.642058,0.833392,PAN,021012
409026,169,5062,2015,20844.0,9131347.0,0.642058,0.833392,PAN,021019
415552,169,5063,2015,0.0,23569.0,0.642058,0.833392,PAN,021020
422078,169,5064,2015,0.0,176840.0,0.642058,0.833392,PAN,021090
428604,169,5065,2015,0.0,25335.0,0.642058,0.833392,PAN,030110
435130,169,5066,2015,,,0.642058,0.833392,PAN,030191
441656,169,5067,2015,,,0.642058,0.833392,PAN,030192
448182,169,5068,2015,,,0.642058,0.833392,PAN,030193
454708,169,5069,2015,,,0.642058,0.833392,PAN,030199
461234,169,5070,2015,0.0,12924.0,0.642058,0.833392,PAN,030211
467760,169,5071,2015,240.0,637623.0,0.642058,0.833392,PAN,030212
