,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4430,170,5000,2005,,,,,PCI,010111
10956,170,5001,2005,,,,,PCI,010119
17482,170,5002,2005,,,,,PCI,010120
24008,170,5003,2005,,,,,PCI,010210
30534,170,5004,2005,,,,,PCI,010290
37060,170,5005,2005,,,,,PCI,010310
43586,170,5006,2005,,,,,PCI,010391
50112,170,5007,2005,,,,,PCI,010392
56638,170,5008,2005,,,,,PCI,010410
63164,170,5009,2005,,,,,PCI,010420
69690,170,5010,2005,,,,,PCI,010511
76216,170,5011,2005,,,,,PCI,010519
82742,170,5012,2005,,,,,PCI,010591
89268,170,5013,2005,,,,,PCI,010599
95794,170,5014,2005,,,,,PCI,010600
102320,170,5015,2005,,,,,PCI,020110
108846,170,5016,2005,,,,,PCI,020120
115372,170,5017,2005,,,,,PCI,020130
121898,170,5018,2005,,,,,PCI,020210
128424,170,5019,2005,,,,,PCI,020220
134950,170,5020,2005,,,,,PCI,020230
141476,170,5021,2005,,,,,PCI,020311
148002,170,5022,2005,,,,,PCI,020312
154528,170,5023,2005,,,,,PCI,020319
161054,170,5024,2005,,,,,PCI,020321
167580,170,5025,2005,,,,,PCI,020322
174106,170,5026,2005,,,,,PCI,020329
180632,170,5027,2005,,,,,PCI,020410
187158,170,5028,2005,,,,,PCI,020421
193684,170,5029,2005,,,,,PCI,020422
200210,170,5030,2005,,,,,PCI,020423
206736,170,5031,2005,,,,,PCI,020430
213262,170,5032,2005,,,,,PCI,020441
219788,170,5033,2005,,,,,PCI,020442
226314,170,5034,2005,,,,,PCI,020443
232840,170,5035,2005,,,,,PCI,020450
239366,170,5036,2005,,,,,PCI,020500
245892,170,5037,2005,,,,,PCI,020610
252418,170,5038,2005,,,,,PCI,020621
258944,170,5039,2005,,,,,PCI,020622
265470,170,5040,2005,,,,,PCI,020629
271996,170,5041,2005,,,,,PCI,020630
278522,170,5042,2005,,,,,PCI,020641
285048,170,5043,2005,,,,,PCI,020649
291574,170,5044,2005,,,,,PCI,020680
298100,170,5045,2005,,,,,PCI,020690
304626,170,5046,2005,,,,,PCI,020710
311152,170,5047,2005,,,,,PCI,020721
317678,170,5048,2005,,,,,PCI,020722
324204,170,5049,2005,,,,,PCI,020723
330730,170,5050,2005,,,,,PCI,020731
337256,170,5051,2005,,,,,PCI,020739
343782,170,5052,2005,,,,,PCI,020741
350308,170,5053,2005,,,,,PCI,020742
356834,170,5054,2005,,,,,PCI,020743
363360,170,5055,2005,,,,,PCI,020750
369886,170,5056,2005,,,,,PCI,020810
376412,170,5057,2005,,,,,PCI,020820
382938,170,5058,2005,,,,,PCI,020890
389464,170,5059,2005,,,,,PCI,020900
395990,170,5060,2005,,,,,PCI,021011
402516,170,5061,2005,,,,,PCI,021012
409042,170,5062,2005,,,,,PCI,021019
415568,170,5063,2005,,,,,PCI,021020
422094,170,5064,2005,,,,,PCI,021090
428620,170,5065,2005,,,,,PCI,030110
435146,170,5066,2005,,,,,PCI,030191
441672,170,5067,2005,,,,,PCI,030192
448198,170,5068,2005,,,,,PCI,030193
454724,170,5069,2005,,,,,PCI,030199
461250,170,5070,2005,,,,,PCI,030211
467776,170,5071,2005,,,,,PCI,030212
474302,170,5072,2005,,,,,PCI,030219
480828,170,5073,2005,,,,,PCI,030221
487354,170,5074,2005,,,,,PCI,030222
493880,170,5075,2005,,,,,PCI,030223
500406,170,5076,2005,,,,,PCI,030229
506932,170,5077,2005,,,,,PCI,030231
513458,170,5078,2005,,,,,PCI,030232
519984,170,5079,2005,,,,,PCI,030233
526510,170,5080,2005,,,,,PCI,030239
533036,170,5081,2005,,,,,PCI,030240
539562,170,5082,2005,,,,,PCI,030250
546088,170,5083,2005,,,,,PCI,030261
552614,170,5084,2005,,,,,PCI,030262
559140,170,5085,2005,,,,,PCI,030263
565666,170,5086,2005,,,,,PCI,030264
572192,170,5087,2005,,,,,PCI,030265
578718,170,5088,2005,,,,,PCI,030266
585244,170,5089,2005,,,,,PCI,030269
591770,170,5090,2005,,,,,PCI,030270
598296,170,5091,2005,,,,,PCI,030310
604822,170,5092,2005,,,,,PCI,030321
611348,170,5093,2005,,,,,PCI,030322
617874,170,5094,2005,,,,,PCI,030329
624400,170,5095,2005,,,,,PCI,030331
630926,170,5096,2005,,,,,PCI,030332
637452,170,5097,2005,,,,,PCI,030333
643978,170,5098,2005,,,,,PCI,030339
650504,170,5099,2005,,,,,PCI,030341
657030,170,5100,2005,,,,,PCI,030342
663556,170,5101,2005,,,,,PCI,030343
670082,170,5102,2005,,,,,PCI,030349
676608,170,5103,2005,,,,,PCI,030350
683134,170,5104,2005,,,,,PCI,030360
689660,170,5105,2005,,,,,PCI,030371
696186,170,5106,2005,,,,,PCI,030372
702712,170,5107,2005,,,,,PCI,030373
709238,170,5108,2005,,,,,PCI,030374
715764,170,5109,2005,,,,,PCI,030375
722290,170,5110,2005,,,,,PCI,030376
728816,170,5111,2005,,,,,PCI,030377
735342,170,5112,2005,,,,,PCI,030378
741868,170,5113,2005,,,,,PCI,030379
748394,170,5114,2005,,,,,PCI,030380
754920,170,5115,2005,,,,,PCI,030410
761446,170,5116,2005,,,,,PCI,030420
767972,170,5117,2005,,,,,PCI,030490
774498,170,5118,2005,,,,,PCI,030510
781024,170,5119,2005,,,,,PCI,030520
787550,170,5120,2005,,,,,PCI,030530
794076,170,5121,2005,,,,,PCI,030541
800602,170,5122,2005,,,,,PCI,030542
807128,170,5123,2005,,,,,PCI,030549
813654,170,5124,2005,,,,,PCI,030551
820180,170,5125,2005,,,,,PCI,030559
826706,170,5126,2005,,,,,PCI,030561
833232,170,5127,2005,,,,,PCI,030562
839758,170,5128,2005,,,,,PCI,030563
846284,170,5129,2005,,,,,PCI,030569
852810,170,5130,2005,,,,,PCI,030611
859336,170,5131,2005,,,,,PCI,030612
865862,170,5132,2005,,,,,PCI,030613
872388,170,5133,2005,,,,,PCI,030614
878914,170,5134,2005,,,,,PCI,030619
885440,170,5135,2005,,,,,PCI,030621
891966,170,5136,2005,,,,,PCI,030622
898492,170,5137,2005,,,,,PCI,030623
905018,170,5138,2005,,,,,PCI,030624
911544,170,5139,2005,,,,,PCI,030629
918070,170,5140,2005,,,,,PCI,030710
924596,170,5141,2005,,,,,PCI,030721
931122,170,5142,2005,,,,,PCI,030729
937648,170,5143,2005,,,,,PCI,030731
944174,170,5144,2005,,,,,PCI,030739
950700,170,5145,2005,,,,,PCI,030741
957226,170,5146,2005,,,,,PCI,030749
963752,170,5147,2005,,,,,PCI,030751
970278,170,5148,2005,,,,,PCI,030759
976804,170,5149,2005,,,,,PCI,030760
983330,170,5150,2005,,,,,PCI,030791
989856,170,5151,2005,,,,,PCI,030799
996382,170,5152,2005,,,,,PCI,040110
1002908,170,5153,2005,,,,,PCI,040120
1009434,170,5154,2005,,,,,PCI,040130
1015960,170,5155,2005,,,,,PCI,040210
1022486,170,5156,2005,,,,,PCI,040221
1029012,170,5157,2005,,,,,PCI,040229
1035538,170,5158,2005,,,,,PCI,040291
1042064,170,5159,2005,,,,,PCI,040299
1048590,170,5160,2005,,,,,PCI,040310
1055116,170,5161,2005,,,,,PCI,040390
1061642,170,5162,2005,,,,,PCI,040410
1068168,170,5163,2005,,,,,PCI,040490
1074694,170,5164,2005,,,,,PCI,040500
1081220,170,5165,2005,,,,,PCI,040610
1087746,170,5166,2005,,,,,PCI,040620
1094272,170,5167,2005,,,,,PCI,040630
1100798,170,5168,2005,,,,,PCI,040640
1107324,170,5169,2005,,,,,PCI,040690
1113850,170,5170,2005,,,,,PCI,040700
1120376,170,5171,2005,,,,,PCI,040811
1126902,170,5172,2005,,,,,PCI,040819
1133428,170,5173,2005,,,,,PCI,040891
1139954,170,5174,2005,,,,,PCI,040899
1146480,170,5175,2005,,,,,PCI,040900
1153006,170,5176,2005,,,,,PCI,041000
1159532,170,5177,2005,,,,,PCI,050100
1166058,170,5178,2005,,,,,PCI,050210
1172584,170,5179,2005,,,,,PCI,050290
1179110,170,5180,2005,,,,,PCI,050300
1185636,170,5181,2005,,,,,PCI,050400
1192162,170,5182,2005,,,,,PCI,050510
1198688,170,5183,2005,,,,,PCI,050590
1205214,170,5184,2005,,,,,PCI,050610
1211740,170,5185,2005,,,,,PCI,050690
1218266,170,5186,2005,,,,,PCI,050710
1224792,170,5187,2005,,,,,PCI,050790
1231318,170,5188,2005,,,,,PCI,050800
1237844,170,5189,2005,,,,,PCI,050900
1244370,170,5190,2005,,,,,PCI,051000
1250896,170,5191,2005,,,,,PCI,051110
1257422,170,5192,2005,,,,,PCI,051191
1263948,170,5193,2005,,,,,PCI,051199
1270474,170,5194,2005,,,,,PCI,060110
1277000,170,5195,2005,,,,,PCI,060120
1283526,170,5196,2005,,,,,PCI,060210
1290052,170,5197,2005,,,,,PCI,060220
1296578,170,5198,2005,,,,,PCI,060230
1303104,170,5199,2005,,,,,PCI,060240
1309630,170,5200,2005,,,,,PCI,060291
1316156,170,5201,2005,,,,,PCI,060299
1322682,170,5202,2005,,,,,PCI,060310
1329208,170,5203,2005,,,,,PCI,060390
1335734,170,5204,2005,,,,,PCI,060410
1342260,170,5205,2005,,,,,PCI,060491
1348786,170,5206,2005,,,,,PCI,060499
1355312,170,5207,2005,,,,,PCI,070110
1361838,170,5208,2005,,,,,PCI,070190
1368364,170,5209,2005,,,,,PCI,070200
1374890,170,5210,2005,,,,,PCI,070310
1381416,170,5211,2005,,,,,PCI,070320
1387942,170,5212,2005,,,,,PCI,070390
1394468,170,5213,2005,,,,,PCI,070410
1400994,170,5214,2005,,,,,PCI,070420
1407520,170,5215,2005,,,,,PCI,070490
1414046,170,5216,2005,,,,,PCI,070511
1420572,170,5217,2005,,,,,PCI,070519
1427098,170,5218,2005,,,,,PCI,070521
1433624,170,5219,2005,,,,,PCI,070529
1440150,170,5220,2005,,,,,PCI,070610
1446676,170,5221,2005,,,,,PCI,070690
1453202,170,5222,2005,,,,,PCI,070700
1459728,170,5223,2005,,,,,PCI,070810
1466254,170,5224,2005,,,,,PCI,070820
1472780,170,5225,2005,,,,,PCI,070890
1479306,170,5226,2005,,,,,PCI,070910
1485832,170,5227,2005,,,,,PCI,070920
1492358,170,5228,2005,,,,,PCI,070930
1498884,170,5229,2005,,,,,PCI,070940
1505410,170,5230,2005,,,,,PCI,070951
1511936,170,5231,2005,,,,,PCI,070952
1518462,170,5232,2005,,,,,PCI,070960
1524988,170,5233,2005,,,,,PCI,070970
1531514,170,5234,2005,,,,,PCI,070990
1538040,170,5235,2005,,,,,PCI,071010
1544566,170,5236,2005,,,,,PCI,071021
1551092,170,5237,2005,,,,,PCI,071022
1557618,170,5238,2005,,,,,PCI,071029
1564144,170,5239,2005,,,,,PCI,071030
1570670,170,5240,2005,,,,,PCI,071040
1577196,170,5241,2005,,,,,PCI,071080
1583722,170,5242,2005,,,,,PCI,071090
1590248,170,5243,2005,,,,,PCI,071110
1596774,170,5244,2005,,,,,PCI,071120
1603300,170,5245,2005,,,,,PCI,071130
1609826,170,5246,2005,,,,,PCI,071140
1616352,170,5247,2005,,,,,PCI,071190
1622878,170,5248,2005,,,,,PCI,071210
1629404,170,5249,2005,,,,,PCI,071220
1635930,170,5250,2005,,,,,PCI,071230
1642456,170,5251,2005,,,,,PCI,071290
1648982,170,5252,2005,,,,,PCI,071310
1655508,170,5253,2005,,,,,PCI,071320
1662034,170,5254,2005,,,,,PCI,071331
1668560,170,5255,2005,,,,,PCI,071332
1675086,170,5256,2005,,,,,PCI,071333
1681612,170,5257,2005,,,,,PCI,071339
1688138,170,5258,2005,,,,,PCI,071340
1694664,170,5259,2005,,,,,PCI,071350
1701190,170,5260,2005,,,,,PCI,071390
1707716,170,5261,2005,,,,,PCI,071410
1714242,170,5262,2005,,,,,PCI,071420
1720768,170,5263,2005,,,,,PCI,071490
1727294,170,5264,2005,,,,,PCI,080110
1733820,170,5265,2005,,,,,PCI,080120
1740346,170,5266,2005,,,,,PCI,080130
1746872,170,5267,2005,,,,,PCI,080211
1753398,170,5268,2005,,,,,PCI,080212
1759924,170,5269,2005,,,,,PCI,080221
1766450,170,5270,2005,,,,,PCI,080222
1772976,170,5271,2005,,,,,PCI,080231
1779502,170,5272,2005,,,,,PCI,080232
1786028,170,5273,2005,,,,,PCI,080240
1792554,170,5274,2005,,,,,PCI,080250
1799080,170,5275,2005,,,,,PCI,080290
1805606,170,5276,2005,,,,,PCI,080300
1812132,170,5277,2005,,,,,PCI,080410
1818658,170,5278,2005,,,,,PCI,080420
1825184,170,5279,2005,,,,,PCI,080430
1831710,170,5280,2005,,,,,PCI,080440
1838236,170,5281,2005,,,,,PCI,080450
1844762,170,5282,2005,,,,,PCI,080510
1851288,170,5283,2005,,,,,PCI,080520
1857814,170,5284,2005,,,,,PCI,080530
1864340,170,5285,2005,,,,,PCI,080540
1870866,170,5286,2005,,,,,PCI,080590
1877392,170,5287,2005,,,,,PCI,080610
1883918,170,5288,2005,,,,,PCI,080620
1890444,170,5289,2005,,,,,PCI,080710
1896970,170,5290,2005,,,,,PCI,080720
1903496,170,5291,2005,,,,,PCI,080810
1910022,170,5292,2005,,,,,PCI,080820
1916548,170,5293,2005,,,,,PCI,080910
1923074,170,5294,2005,,,,,PCI,080920
1929600,170,5295,2005,,,,,PCI,080930
1936126,170,5296,2005,,,,,PCI,080940
1942652,170,5297,2005,,,,,PCI,081010
1949178,170,5298,2005,,,,,PCI,081020
1955704,170,5299,2005,,,,,PCI,081030
1962230,170,5300,2005,,,,,PCI,081040
1968756,170,5301,2005,,,,,PCI,081090
1975282,170,5302,2005,,,,,PCI,081110
1981808,170,5303,2005,,,,,PCI,081120
1988334,170,5304,2005,,,,,PCI,081190
1994860,170,5305,2005,,,,,PCI,081210
2001386,170,5306,2005,,,,,PCI,081220
2007912,170,5307,2005,,,,,PCI,081290
2014438,170,5308,2005,,,,,PCI,081310
2020964,170,5309,2005,,,,,PCI,081320
2027490,170,5310,2005,,,,,PCI,081330
2034016,170,5311,2005,,,,,PCI,081340
2040542,170,5312,2005,,,,,PCI,081350
2047068,170,5313,2005,,,,,PCI,081400
2053594,170,5314,2005,,,,,PCI,090111
2060120,170,5315,2005,,,,,PCI,090112
2066646,170,5316,2005,,,,,PCI,090121
2073172,170,5317,2005,,,,,PCI,090122
2079698,170,5318,2005,,,,,PCI,090130
2086224,170,5319,2005,,,,,PCI,090140
2092750,170,5320,2005,,,,,PCI,090210
2099276,170,5321,2005,,,,,PCI,090220
2105802,170,5322,2005,,,,,PCI,090230
2112328,170,5323,2005,,,,,PCI,090240
2118854,170,5324,2005,,,,,PCI,090300
2125380,170,5325,2005,,,,,PCI,090411
2131906,170,5326,2005,,,,,PCI,090412
2138432,170,5327,2005,,,,,PCI,090420
2144958,170,5328,2005,,,,,PCI,090500
2151484,170,5329,2005,,,,,PCI,090610
2158010,170,5330,2005,,,,,PCI,090620
2164536,170,5331,2005,,,,,PCI,090700
2171062,170,5332,2005,,,,,PCI,090810
2177588,170,5333,2005,,,,,PCI,090820
2184114,170,5334,2005,,,,,PCI,090830
2190640,170,5335,2005,,,,,PCI,090910
2197166,170,5336,2005,,,,,PCI,090920
2203692,170,5337,2005,,,,,PCI,090930
2210218,170,5338,2005,,,,,PCI,090940
2216744,170,5339,2005,,,,,PCI,090950
2223270,170,5340,2005,,,,,PCI,091010
2229796,170,5341,2005,,,,,PCI,091020
2236322,170,5342,2005,,,,,PCI,091030
2242848,170,5343,2005,,,,,PCI,091040
2249374,170,5344,2005,,,,,PCI,091050
2255900,170,5345,2005,,,,,PCI,091091
2262426,170,5346,2005,,,,,PCI,091099
2268952,170,5347,2005,,,,,PCI,100110
2275478,170,5348,2005,,,,,PCI,100190
2282004,170,5349,2005,,,,,PCI,100200
