,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4527,174,5000,1998,208428.0,45628.0,-0.262725,-0.075781,PHL,010111
11053,174,5001,1998,4353.0,113458.0,-0.262725,-0.075781,PHL,010119
17579,174,5002,1998,0.0,180179.0,-0.262725,-0.075781,PHL,010120
24105,174,5003,1998,0.0,1767980.0,-0.262725,-0.075781,PHL,010210
30631,174,5004,1998,0.0,50195543.0,-0.262725,-0.075781,PHL,010290
37157,174,5005,1998,0.0,3211723.0,-0.262725,-0.075781,PHL,010310
43683,174,5006,1998,0.0,442904.0,-0.262725,-0.075781,PHL,010391
50209,174,5007,1998,0.0,143599.0,-0.262725,-0.075781,PHL,010392
56735,174,5008,1998,,,-0.262725,-0.075781,PHL,010410
63261,174,5009,1998,0.0,34430.0,-0.262725,-0.075781,PHL,010420
69787,174,5010,1998,40521.0,4068501.0,-0.262725,-0.075781,PHL,010511
76313,174,5011,1998,11556.0,4373.0,-0.262725,-0.075781,PHL,010519
82839,174,5012,1998,71719.0,93593.0,-0.262725,-0.075781,PHL,010591
89365,174,5013,1998,0.0,4593.0,-0.262725,-0.075781,PHL,010599
95891,174,5014,1998,2347261.0,38556.0,-0.262725,-0.075781,PHL,010600
102417,174,5015,1998,4521.0,25087.0,-0.262725,-0.075781,PHL,020110
108943,174,5016,1998,0.0,273102.0,-0.262725,-0.075781,PHL,020120
115469,174,5017,1998,0.0,15096678.0,-0.262725,-0.075781,PHL,020130
121995,174,5018,1998,0.0,27607.0,-0.262725,-0.075781,PHL,020210
128521,174,5019,1998,0.0,507185.0,-0.262725,-0.075781,PHL,020220
135047,174,5020,1998,0.0,42517760.0,-0.262725,-0.075781,PHL,020230
141573,174,5021,1998,0.0,19807.0,-0.262725,-0.075781,PHL,020311
148099,174,5022,1998,41301.0,2768.0,-0.262725,-0.075781,PHL,020312
154625,174,5023,1998,0.0,47620.0,-0.262725,-0.075781,PHL,020319
161151,174,5024,1998,0.0,218489.0,-0.262725,-0.075781,PHL,020321
167677,174,5025,1998,0.0,483087.0,-0.262725,-0.075781,PHL,020322
174203,174,5026,1998,68738.0,7463645.0,-0.262725,-0.075781,PHL,020329
180729,174,5027,1998,0.0,7054.0,-0.262725,-0.075781,PHL,020410
187255,174,5028,1998,,,-0.262725,-0.075781,PHL,020421
193781,174,5029,1998,0.0,228218.0,-0.262725,-0.075781,PHL,020422
200307,174,5030,1998,0.0,45495.0,-0.262725,-0.075781,PHL,020423
206833,174,5031,1998,0.0,44795.0,-0.262725,-0.075781,PHL,020430
213359,174,5032,1998,,,-0.262725,-0.075781,PHL,020441
219885,174,5033,1998,0.0,456010.0,-0.262725,-0.075781,PHL,020442
226411,174,5034,1998,0.0,72941.0,-0.262725,-0.075781,PHL,020443
232937,174,5035,1998,,,-0.262725,-0.075781,PHL,020450
239463,174,5036,1998,0.0,127114.0,-0.262725,-0.075781,PHL,020500
245989,174,5037,1998,0.0,54365.0,-0.262725,-0.075781,PHL,020610
252515,174,5038,1998,0.0,68095.0,-0.262725,-0.075781,PHL,020621
259041,174,5039,1998,0.0,57990.0,-0.262725,-0.075781,PHL,020622
265567,174,5040,1998,0.0,1089759.0,-0.262725,-0.075781,PHL,020629
272093,174,5041,1998,0.0,124289.0,-0.262725,-0.075781,PHL,020630
278619,174,5042,1998,0.0,431948.0,-0.262725,-0.075781,PHL,020641
285145,174,5043,1998,16203.0,1594927.0,-0.262725,-0.075781,PHL,020649
291671,174,5044,1998,0.0,4728.0,-0.262725,-0.075781,PHL,020680
298197,174,5045,1998,0.0,63032.0,-0.262725,-0.075781,PHL,020690
304723,174,5046,1998,0.0,22605.0,-0.262725,-0.075781,PHL,020710
311249,174,5047,1998,0.0,422119.0,-0.262725,-0.075781,PHL,020721
317775,174,5048,1998,0.0,532526.0,-0.262725,-0.075781,PHL,020722
324301,174,5049,1998,0.0,484040.0,-0.262725,-0.075781,PHL,020723
330827,174,5050,1998,0.0,18145.0,-0.262725,-0.075781,PHL,020731
337353,174,5051,1998,0.0,88970.0,-0.262725,-0.075781,PHL,020739
343879,174,5052,1998,0.0,2225256.0,-0.262725,-0.075781,PHL,020741
350405,174,5053,1998,0.0,493118.0,-0.262725,-0.075781,PHL,020742
356931,174,5054,1998,0.0,81413.0,-0.262725,-0.075781,PHL,020743
363457,174,5055,1998,0.0,23680.0,-0.262725,-0.075781,PHL,020750
369983,174,5056,1998,,,-0.262725,-0.075781,PHL,020810
376509,174,5057,1998,,,-0.262725,-0.075781,PHL,020820
383035,174,5058,1998,0.0,346939.0,-0.262725,-0.075781,PHL,020890
389561,174,5059,1998,0.0,1287095.0,-0.262725,-0.075781,PHL,020900
396087,174,5060,1998,0.0,12834.0,-0.262725,-0.075781,PHL,021011
402613,174,5061,1998,0.0,35957.0,-0.262725,-0.075781,PHL,021012
409139,174,5062,1998,0.0,251452.0,-0.262725,-0.075781,PHL,021019
415665,174,5063,1998,0.0,31848.0,-0.262725,-0.075781,PHL,021020
422191,174,5064,1998,0.0,303979.0,-0.262725,-0.075781,PHL,021090
428717,174,5065,1998,9666954.0,657363.0,-0.262725,-0.075781,PHL,030110
435243,174,5066,1998,,,-0.262725,-0.075781,PHL,030191
441769,174,5067,1998,43069.0,0.0,-0.262725,-0.075781,PHL,030192
448295,174,5068,1998,2112.0,5236.0,-0.262725,-0.075781,PHL,030193
454821,174,5069,1998,6612700.0,550502.0,-0.262725,-0.075781,PHL,030199
461347,174,5070,1998,,,-0.262725,-0.075781,PHL,030211
467873,174,5071,1998,1479.0,68401.0,-0.262725,-0.075781,PHL,030212
474399,174,5072,1998,1681.0,0.0,-0.262725,-0.075781,PHL,030219
480925,174,5073,1998,,,-0.262725,-0.075781,PHL,030221
487451,174,5074,1998,,,-0.262725,-0.075781,PHL,030222
493977,174,5075,1998,,,-0.262725,-0.075781,PHL,030223
500503,174,5076,1998,10804.0,147725.0,-0.262725,-0.075781,PHL,030229
507029,174,5077,1998,60232.0,0.0,-0.262725,-0.075781,PHL,030231
513555,174,5078,1998,18278191.0,820543.0,-0.262725,-0.075781,PHL,030232
520081,174,5079,1998,,,-0.262725,-0.075781,PHL,030233
526607,174,5080,1998,9970183.0,3123.0,-0.262725,-0.075781,PHL,030239
533133,174,5081,1998,4953.0,0.0,-0.262725,-0.075781,PHL,030240
539659,174,5082,1998,0.0,16600.0,-0.262725,-0.075781,PHL,030250
546185,174,5083,1998,3597.0,0.0,-0.262725,-0.075781,PHL,030261
552711,174,5084,1998,0.0,1287.0,-0.262725,-0.075781,PHL,030262
559237,174,5085,1998,,,-0.262725,-0.075781,PHL,030263
565763,174,5086,1998,80531.0,19708.0,-0.262725,-0.075781,PHL,030264
572289,174,5087,1998,297934.0,0.0,-0.262725,-0.075781,PHL,030265
578815,174,5088,1998,,,-0.262725,-0.075781,PHL,030266
585341,174,5089,1998,6293786.0,14768.0,-0.262725,-0.075781,PHL,030269
591867,174,5090,1998,0.0,2283.0,-0.262725,-0.075781,PHL,030270
598393,174,5091,1998,3872.0,535970.0,-0.262725,-0.075781,PHL,030310
604919,174,5092,1998,0.0,110531.0,-0.262725,-0.075781,PHL,030321
611445,174,5093,1998,0.0,731194.0,-0.262725,-0.075781,PHL,030322
617971,174,5094,1998,55483.0,260722.0,-0.262725,-0.075781,PHL,030329
624497,174,5095,1998,0.0,14516.0,-0.262725,-0.075781,PHL,030331
631023,174,5096,1998,,,-0.262725,-0.075781,PHL,030332
637549,174,5097,1998,1200.0,9120.0,-0.262725,-0.075781,PHL,030333
644075,174,5098,1998,0.0,1005886.0,-0.262725,-0.075781,PHL,030339
650601,174,5099,1998,30539.0,838955.0,-0.262725,-0.075781,PHL,030341
657127,174,5100,1998,11746174.0,3415560.0,-0.262725,-0.075781,PHL,030342
663653,174,5101,1998,25987371.0,34312055.0,-0.262725,-0.075781,PHL,030343
670179,174,5102,1998,4082503.0,6483048.0,-0.262725,-0.075781,PHL,030349
676705,174,5103,1998,38623.0,12640.0,-0.262725,-0.075781,PHL,030350
683231,174,5104,1998,0.0,165761.0,-0.262725,-0.075781,PHL,030360
689757,174,5105,1998,149417.0,1520688.0,-0.262725,-0.075781,PHL,030371
696283,174,5106,1998,,,-0.262725,-0.075781,PHL,030372
702809,174,5107,1998,,,-0.262725,-0.075781,PHL,030373
709335,174,5108,1998,683346.0,8922854.0,-0.262725,-0.075781,PHL,030374
715861,174,5109,1998,59115.0,11016.0,-0.262725,-0.075781,PHL,030375
722387,174,5110,1998,0.0,6957.0,-0.262725,-0.075781,PHL,030376
728913,174,5111,1998,0.0,19312.0,-0.262725,-0.075781,PHL,030377
735439,174,5112,1998,,,-0.262725,-0.075781,PHL,030378
741965,174,5113,1998,4685949.0,7564295.0,-0.262725,-0.075781,PHL,030379
748491,174,5114,1998,0.0,11159.0,-0.262725,-0.075781,PHL,030380
755017,174,5115,1998,3793520.0,44936.0,-0.262725,-0.075781,PHL,030410
761543,174,5116,1998,8947515.0,626427.0,-0.262725,-0.075781,PHL,030420
768069,174,5117,1998,1988827.0,587743.0,-0.262725,-0.075781,PHL,030490
774595,174,5118,1998,3740.0,148077.0,-0.262725,-0.075781,PHL,030510
781121,174,5119,1998,70303.0,46960.0,-0.262725,-0.075781,PHL,030520
787647,174,5120,1998,95682.0,0.0,-0.262725,-0.075781,PHL,030530
794173,174,5121,1998,0.0,258641.0,-0.262725,-0.075781,PHL,030541
800699,174,5122,1998,31925.0,0.0,-0.262725,-0.075781,PHL,030542
807225,174,5123,1998,4542169.0,100733.0,-0.262725,-0.075781,PHL,030549
813751,174,5124,1998,0.0,19101.0,-0.262725,-0.075781,PHL,030551
820277,174,5125,1998,1255051.0,257205.0,-0.262725,-0.075781,PHL,030559
826803,174,5126,1998,15185.0,0.0,-0.262725,-0.075781,PHL,030561
833329,174,5127,1998,0.0,1181.0,-0.262725,-0.075781,PHL,030562
839855,174,5128,1998,40435.0,1869.0,-0.262725,-0.075781,PHL,030563
846381,174,5129,1998,426359.0,38988.0,-0.262725,-0.075781,PHL,030569
852907,174,5130,1998,1629797.0,0.0,-0.262725,-0.075781,PHL,030611
859433,174,5131,1998,2335450.0,0.0,-0.262725,-0.075781,PHL,030612
865959,174,5132,1998,105776454.0,303083.0,-0.262725,-0.075781,PHL,030613
872485,174,5133,1998,4766372.0,128903.0,-0.262725,-0.075781,PHL,030614
879011,174,5134,1998,216628.0,2720.0,-0.262725,-0.075781,PHL,030619
885537,174,5135,1998,3046813.0,13792.0,-0.262725,-0.075781,PHL,030621
892063,174,5136,1998,909287.0,0.0,-0.262725,-0.075781,PHL,030622
898589,174,5137,1998,1416204.0,83095.0,-0.262725,-0.075781,PHL,030623
905115,174,5138,1998,2323146.0,7371.0,-0.262725,-0.075781,PHL,030624
911641,174,5139,1998,291870.0,2505.0,-0.262725,-0.075781,PHL,030629
918167,174,5140,1998,4326.0,19550.0,-0.262725,-0.075781,PHL,030710
