,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4675,179,5000,2016,295263.0,1771174.0,0.519621,2.254972,PRT,010111
11201,179,5001,2016,2697237.0,360785.0,0.519621,2.254972,PRT,010119
17727,179,5002,2016,20059.0,24770.0,0.519621,2.254972,PRT,010120
24253,179,5003,2016,14019875.0,4822351.0,0.519621,2.254972,PRT,010210
30779,179,5004,2016,74558694.0,10013924.0,0.519621,2.254972,PRT,010290
37305,179,5005,2016,308483.0,1314042.0,0.519621,2.254972,PRT,010310
43831,179,5006,2016,4232015.0,5278247.0,0.519621,2.254972,PRT,010391
50357,179,5007,2016,27158977.0,132866514.0,0.519621,2.254972,PRT,010392
56883,179,5008,2016,8523307.0,5130364.0,0.519621,2.254972,PRT,010410
63409,179,5009,2016,0.0,3319.0,0.519621,2.254972,PRT,010420
69935,179,5010,2016,16384153.0,17754042.0,0.519621,2.254972,PRT,010511
76461,179,5011,2016,143597.0,5079038.0,0.519621,2.254972,PRT,010519
82987,179,5012,2016,1755678.0,3872178.0,0.519621,2.254972,PRT,010591
89513,179,5013,2016,27767.0,2138224.0,0.519621,2.254972,PRT,010599
96039,179,5014,2016,8890624.0,4830495.0,0.519621,2.254972,PRT,010600
102565,179,5015,2016,7301269.0,187725757.0,0.519621,2.254972,PRT,020110
109091,179,5016,2016,11491762.0,53998199.0,0.519621,2.254972,PRT,020120
115617,179,5017,2016,3886171.0,136681703.0,0.519621,2.254972,PRT,020130
122143,179,5018,2016,70146.0,222383.0,0.519621,2.254972,PRT,020210
128669,179,5019,2016,1534333.0,2285838.0,0.519621,2.254972,PRT,020220
135195,179,5020,2016,7339485.0,46049920.0,0.519621,2.254972,PRT,020230
141721,179,5021,2016,5247667.0,4299624.0,0.519621,2.254972,PRT,020311
148247,179,5022,2016,7498835.0,51449839.0,0.519621,2.254972,PRT,020312
154773,179,5023,2016,20186253.0,148573229.0,0.519621,2.254972,PRT,020319
161299,179,5024,2016,2199351.0,3422529.0,0.519621,2.254972,PRT,020321
167825,179,5025,2016,3865185.0,10920555.0,0.519621,2.254972,PRT,020322
174351,179,5026,2016,97602299.0,50198281.0,0.519621,2.254972,PRT,020329
180877,179,5027,2016,2449711.0,8676103.0,0.519621,2.254972,PRT,020410
187403,179,5028,2016,1934072.0,1217843.0,0.519621,2.254972,PRT,020421
193929,179,5029,2016,1807534.0,3450593.0,0.519621,2.254972,PRT,020422
200455,179,5030,2016,146919.0,1100262.0,0.519621,2.254972,PRT,020423
206981,179,5031,2016,156925.0,2706600.0,0.519621,2.254972,PRT,020430
213507,179,5032,2016,33729.0,435823.0,0.519621,2.254972,PRT,020441
220033,179,5033,2016,528378.0,6772924.0,0.519621,2.254972,PRT,020442
226559,179,5034,2016,136669.0,1248614.0,0.519621,2.254972,PRT,020443
233085,179,5035,2016,274757.0,8425320.0,0.519621,2.254972,PRT,020450
239611,179,5036,2016,276631.0,1774.0,0.519621,2.254972,PRT,020500
246137,179,5037,2016,25546.0,3276579.0,0.519621,2.254972,PRT,020610
252663,179,5038,2016,34776.0,177622.0,0.519621,2.254972,PRT,020621
259189,179,5039,2016,112867.0,256424.0,0.519621,2.254972,PRT,020622
265715,179,5040,2016,675565.0,4258651.0,0.519621,2.254972,PRT,020629
272241,179,5041,2016,558846.0,1533284.0,0.519621,2.254972,PRT,020630
278767,179,5042,2016,265737.0,205340.0,0.519621,2.254972,PRT,020641
285293,179,5043,2016,5317959.0,1972173.0,0.519621,2.254972,PRT,020649
291819,179,5044,2016,113958.0,195020.0,0.519621,2.254972,PRT,020680
298345,179,5045,2016,186218.0,134437.0,0.519621,2.254972,PRT,020690
304871,179,5046,2016,12493413.0,14693451.0,0.519621,2.254972,PRT,020710
311397,179,5047,2016,3909001.0,2111195.0,0.519621,2.254972,PRT,020721
