,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4740,182,5000,2003,0.0,3107.0,-0.255707,-0.676557,PYF,010111
11266,182,5001,2003,0.0,4204.0,-0.255707,-0.676557,PYF,010119
17792,182,5002,2003,,,-0.255707,-0.676557,PYF,010120
24318,182,5003,2003,,,-0.255707,-0.676557,PYF,010210
30844,182,5004,2003,,,-0.255707,-0.676557,PYF,010290
37370,182,5005,2003,0.0,48914.0,-0.255707,-0.676557,PYF,010310
43896,182,5006,2003,,,-0.255707,-0.676557,PYF,010391
50422,182,5007,2003,,,-0.255707,-0.676557,PYF,010392
56948,182,5008,2003,,,-0.255707,-0.676557,PYF,010410
63474,182,5009,2003,0.0,13860.0,-0.255707,-0.676557,PYF,010420
70000,182,5010,2003,0.0,183812.0,-0.255707,-0.676557,PYF,010511
76526,182,5011,2003,0.0,4135.0,-0.255707,-0.676557,PYF,010519
83052,182,5012,2003,,,-0.255707,-0.676557,PYF,010591
89578,182,5013,2003,,,-0.255707,-0.676557,PYF,010599
96104,182,5014,2003,0.0,9107.0,-0.255707,-0.676557,PYF,010600
102630,182,5015,2003,0.0,27319.0,-0.255707,-0.676557,PYF,020110
109156,182,5016,2003,0.0,749196.0,-0.255707,-0.676557,PYF,020120
115682,182,5017,2003,0.0,11997608.0,-0.255707,-0.676557,PYF,020130
122208,182,5018,2003,0.0,525418.0,-0.255707,-0.676557,PYF,020210
128734,182,5019,2003,0.0,273748.0,-0.255707,-0.676557,PYF,020220
135260,182,5020,2003,0.0,9039612.0,-0.255707,-0.676557,PYF,020230
141786,182,5021,2003,,,-0.255707,-0.676557,PYF,020311
148312,182,5022,2003,0.0,42402.0,-0.255707,-0.676557,PYF,020312
154838,182,5023,2003,0.0,62004.0,-0.255707,-0.676557,PYF,020319
161364,182,5024,2003,0.0,1061.0,-0.255707,-0.676557,PYF,020321
167890,182,5025,2003,0.0,134421.0,-0.255707,-0.676557,PYF,020322
174416,182,5026,2003,0.0,3635360.0,-0.255707,-0.676557,PYF,020329
180942,182,5027,2003,0.0,40319.0,-0.255707,-0.676557,PYF,020410
187468,182,5028,2003,,,-0.255707,-0.676557,PYF,020421
193994,182,5029,2003,0.0,998931.0,-0.255707,-0.676557,PYF,020422
200520,182,5030,2003,0.0,259829.0,-0.255707,-0.676557,PYF,020423
207046,182,5031,2003,0.0,114343.0,-0.255707,-0.676557,PYF,020430
213572,182,5032,2003,0.0,27532.0,-0.255707,-0.676557,PYF,020441
220098,182,5033,2003,0.0,2007233.0,-0.255707,-0.676557,PYF,020442
226624,182,5034,2003,0.0,389758.0,-0.255707,-0.676557,PYF,020443
233150,182,5035,2003,0.0,3859.0,-0.255707,-0.676557,PYF,020450
239676,182,5036,2003,0.0,8586.0,-0.255707,-0.676557,PYF,020500
246202,182,5037,2003,0.0,212035.0,-0.255707,-0.676557,PYF,020610
252728,182,5038,2003,0.0,15078.0,-0.255707,-0.676557,PYF,020621
259254,182,5039,2003,0.0,8522.0,-0.255707,-0.676557,PYF,020622
265780,182,5040,2003,0.0,473512.0,-0.255707,-0.676557,PYF,020629
272306,182,5041,2003,0.0,14506.0,-0.255707,-0.676557,PYF,020630
278832,182,5042,2003,,,-0.255707,-0.676557,PYF,020641
285358,182,5043,2003,0.0,240883.0,-0.255707,-0.676557,PYF,020649
291884,182,5044,2003,0.0,6630.0,-0.255707,-0.676557,PYF,020680
298410,182,5045,2003,0.0,145800.0,-0.255707,-0.676557,PYF,020690
304936,182,5046,2003,0.0,72275.0,-0.255707,-0.676557,PYF,020710
311462,182,5047,2003,0.0,1167059.0,-0.255707,-0.676557,PYF,020721
317988,182,5048,2003,0.0,33476.0,-0.255707,-0.676557,PYF,020722
324514,182,5049,2003,0.0,161119.0,-0.255707,-0.676557,PYF,020723
331040,182,5050,2003,0.0,36822.0,-0.255707,-0.676557,PYF,020731
337566,182,5051,2003,0.0,127223.0,-0.255707,-0.676557,PYF,020739
344092,182,5052,2003,0.0,8255709.0,-0.255707,-0.676557,PYF,020741
350618,182,5053,2003,0.0,342038.0,-0.255707,-0.676557,PYF,020742
357144,182,5054,2003,0.0,309717.0,-0.255707,-0.676557,PYF,020743
363670,182,5055,2003,,,-0.255707,-0.676557,PYF,020750
370196,182,5056,2003,0.0,29637.0,-0.255707,-0.676557,PYF,020810
376722,182,5057,2003,0.0,5156.0,-0.255707,-0.676557,PYF,020820
383248,182,5058,2003,0.0,125001.0,-0.255707,-0.676557,PYF,020890
389774,182,5059,2003,0.0,17162.0,-0.255707,-0.676557,PYF,020900
396300,182,5060,2003,0.0,55017.0,-0.255707,-0.676557,PYF,021011
402826,182,5061,2003,0.0,365974.0,-0.255707,-0.676557,PYF,021012
409352,182,5062,2003,0.0,349509.0,-0.255707,-0.676557,PYF,021019
415878,182,5063,2003,0.0,14256.0,-0.255707,-0.676557,PYF,021020
422404,182,5064,2003,0.0,75142.0,-0.255707,-0.676557,PYF,021090
428930,182,5065,2003,258214.0,19019.0,-0.255707,-0.676557,PYF,030110
435456,182,5066,2003,,,-0.255707,-0.676557,PYF,030191
441982,182,5067,2003,,,-0.255707,-0.676557,PYF,030192
448508,182,5068,2003,,,-0.255707,-0.676557,PYF,030193
455034,182,5069,2003,,,-0.255707,-0.676557,PYF,030199
461560,182,5070,2003,0.0,14217.0,-0.255707,-0.676557,PYF,030211
468086,182,5071,2003,23141.0,216708.0,-0.255707,-0.676557,PYF,030212
474612,182,5072,2003,14350.0,1156.0,-0.255707,-0.676557,PYF,030219
481138,182,5073,2003,0.0,1029.0,-0.255707,-0.676557,PYF,030221
487664,182,5074,2003,0.0,17723.0,-0.255707,-0.676557,PYF,030222
494190,182,5075,2003,0.0,2761.0,-0.255707,-0.676557,PYF,030223
500716,182,5076,2003,0.0,41588.0,-0.255707,-0.676557,PYF,030229
507242,182,5077,2003,945274.0,0.0,-0.255707,-0.676557,PYF,030231
513768,182,5078,2003,386839.0,1418.0,-0.255707,-0.676557,PYF,030232
520294,182,5079,2003,0.0,21916.0,-0.255707,-0.676557,PYF,030233
526820,182,5080,2003,184455.0,0.0,-0.255707,-0.676557,PYF,030239
533346,182,5081,2003,,,-0.255707,-0.676557,PYF,030240
539872,182,5082,2003,,,-0.255707,-0.676557,PYF,030250
546398,182,5083,2003,0.0,26377.0,-0.255707,-0.676557,PYF,030261
552924,182,5084,2003,,,-0.255707,-0.676557,PYF,030262
559450,182,5085,2003,,,-0.255707,-0.676557,PYF,030263
565976,182,5086,2003,2562.0,995.0,-0.255707,-0.676557,PYF,030264
572502,182,5087,2003,,,-0.255707,-0.676557,PYF,030265
579028,182,5088,2003,,,-0.255707,-0.676557,PYF,030266
585554,182,5089,2003,123057.0,36035.0,-0.255707,-0.676557,PYF,030269
592080,182,5090,2003,0.0,2232.0,-0.255707,-0.676557,PYF,030270
598606,182,5091,2003,0.0,17229.0,-0.255707,-0.676557,PYF,030310
605132,182,5092,2003,,,-0.255707,-0.676557,PYF,030321
611658,182,5093,2003,0.0,14621.0,-0.255707,-0.676557,PYF,030322
618184,182,5094,2003,0.0,3830.0,-0.255707,-0.676557,PYF,030329
624710,182,5095,2003,,,-0.255707,-0.676557,PYF,030331
631236,182,5096,2003,,,-0.255707,-0.676557,PYF,030332
637762,182,5097,2003,0.0,2862.0,-0.255707,-0.676557,PYF,030333
644288,182,5098,2003,0.0,62903.0,-0.255707,-0.676557,PYF,030339
650814,182,5099,2003,,,-0.255707,-0.676557,PYF,030341
657340,182,5100,2003,11822.0,0.0,-0.255707,-0.676557,PYF,030342
663866,182,5101,2003,,,-0.255707,-0.676557,PYF,030343
670392,182,5102,2003,2730.0,18638.0,-0.255707,-0.676557,PYF,030349
676918,182,5103,2003,0.0,3137.0,-0.255707,-0.676557,PYF,030350
683444,182,5104,2003,,,-0.255707,-0.676557,PYF,030360
689970,182,5105,2003,0.0,227700.0,-0.255707,-0.676557,PYF,030371
696496,182,5106,2003,,,-0.255707,-0.676557,PYF,030372
703022,182,5107,2003,,,-0.255707,-0.676557,PYF,030373
709548,182,5108,2003,0.0,23729.0,-0.255707,-0.676557,PYF,030374
716074,182,5109,2003,,,-0.255707,-0.676557,PYF,030375
722600,182,5110,2003,,,-0.255707,-0.676557,PYF,030376
729126,182,5111,2003,,,-0.255707,-0.676557,PYF,030377
735652,182,5112,2003,,,-0.255707,-0.676557,PYF,030378
742178,182,5113,2003,20541.0,241857.0,-0.255707,-0.676557,PYF,030379
748704,182,5114,2003,0.0,6033.0,-0.255707,-0.676557,PYF,030380
755230,182,5115,2003,13655.0,99554.0,-0.255707,-0.676557,PYF,030410
761756,182,5116,2003,2843981.0,90078.0,-0.255707,-0.676557,PYF,030420
768282,182,5117,2003,420380.0,40404.0,-0.255707,-0.676557,PYF,030490
774808,182,5118,2003,,,-0.255707,-0.676557,PYF,030510
781334,182,5119,2003,,,-0.255707,-0.676557,PYF,030520
787860,182,5120,2003,0.0,6742.0,-0.255707,-0.676557,PYF,030530
