,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4809,184,5000,2020,,,,,REU,010111
11335,184,5001,2020,,,,,REU,010119
17861,184,5002,2020,,,,,REU,010120
24387,184,5003,2020,,,,,REU,010210
30913,184,5004,2020,,,,,REU,010290
37439,184,5005,2020,,,,,REU,010310
43965,184,5006,2020,,,,,REU,010391
50491,184,5007,2020,,,,,REU,010392
57017,184,5008,2020,,,,,REU,010410
63543,184,5009,2020,,,,,REU,010420
70069,184,5010,2020,,,,,REU,010511
76595,184,5011,2020,,,,,REU,010519
83121,184,5012,2020,,,,,REU,010591
89647,184,5013,2020,,,,,REU,010599
96173,184,5014,2020,,,,,REU,010600
102699,184,5015,2020,,,,,REU,020110
109225,184,5016,2020,,,,,REU,020120
115751,184,5017,2020,,,,,REU,020130
122277,184,5018,2020,,,,,REU,020210
128803,184,5019,2020,,,,,REU,020220
135329,184,5020,2020,,,,,REU,020230
141855,184,5021,2020,,,,,REU,020311
148381,184,5022,2020,,,,,REU,020312
154907,184,5023,2020,,,,,REU,020319
161433,184,5024,2020,,,,,REU,020321
167959,184,5025,2020,,,,,REU,020322
174485,184,5026,2020,,,,,REU,020329
181011,184,5027,2020,,,,,REU,020410
187537,184,5028,2020,,,,,REU,020421
194063,184,5029,2020,,,,,REU,020422
200589,184,5030,2020,,,,,REU,020423
207115,184,5031,2020,,,,,REU,020430
213641,184,5032,2020,,,,,REU,020441
220167,184,5033,2020,,,,,REU,020442
226693,184,5034,2020,,,,,REU,020443
233219,184,5035,2020,,,,,REU,020450
239745,184,5036,2020,,,,,REU,020500
246271,184,5037,2020,,,,,REU,020610
252797,184,5038,2020,,,,,REU,020621
259323,184,5039,2020,,,,,REU,020622
265849,184,5040,2020,,,,,REU,020629
272375,184,5041,2020,,,,,REU,020630
278901,184,5042,2020,,,,,REU,020641
285427,184,5043,2020,,,,,REU,020649
291953,184,5044,2020,,,,,REU,020680
298479,184,5045,2020,,,,,REU,020690
305005,184,5046,2020,,,,,REU,020710
311531,184,5047,2020,,,,,REU,020721
318057,184,5048,2020,,,,,REU,020722
324583,184,5049,2020,,,,,REU,020723
331109,184,5050,2020,,,,,REU,020731
337635,184,5051,2020,,,,,REU,020739
344161,184,5052,2020,,,,,REU,020741
350687,184,5053,2020,,,,,REU,020742
357213,184,5054,2020,,,,,REU,020743
363739,184,5055,2020,,,,,REU,020750
370265,184,5056,2020,,,,,REU,020810
376791,184,5057,2020,,,,,REU,020820
383317,184,5058,2020,,,,,REU,020890
389843,184,5059,2020,,,,,REU,020900
396369,184,5060,2020,,,,,REU,021011
402895,184,5061,2020,,,,,REU,021012
409421,184,5062,2020,,,,,REU,021019
415947,184,5063,2020,,,,,REU,021020
422473,184,5064,2020,,,,,REU,021090
428999,184,5065,2020,,,,,REU,030110
435525,184,5066,2020,,,,,REU,030191
442051,184,5067,2020,,,,,REU,030192
448577,184,5068,2020,,,,,REU,030193
455103,184,5069,2020,,,,,REU,030199
461629,184,5070,2020,,,,,REU,030211
468155,184,5071,2020,,,,,REU,030212
474681,184,5072,2020,,,,,REU,030219
481207,184,5073,2020,,,,,REU,030221
487733,184,5074,2020,,,,,REU,030222
494259,184,5075,2020,,,,,REU,030223
500785,184,5076,2020,,,,,REU,030229
507311,184,5077,2020,,,,,REU,030231
513837,184,5078,2020,,,,,REU,030232
520363,184,5079,2020,,,,,REU,030233
526889,184,5080,2020,,,,,REU,030239
533415,184,5081,2020,,,,,REU,030240
539941,184,5082,2020,,,,,REU,030250
546467,184,5083,2020,,,,,REU,030261
552993,184,5084,2020,,,,,REU,030262
559519,184,5085,2020,,,,,REU,030263
