,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4869,187,5000,2002,,,-0.553848,-0.757714,RWA,010111
11395,187,5001,2002,,,-0.553848,-0.757714,RWA,010119
17921,187,5002,2002,,,-0.553848,-0.757714,RWA,010120
24447,187,5003,2002,0.0,207622.0,-0.553848,-0.757714,RWA,010210
30973,187,5004,2002,0.0,133633.0,-0.553848,-0.757714,RWA,010290
37499,187,5005,2002,,,-0.553848,-0.757714,RWA,010310
44025,187,5006,2002,,,-0.553848,-0.757714,RWA,010391
50551,187,5007,2002,,,-0.553848,-0.757714,RWA,010392
57077,187,5008,2002,,,-0.553848,-0.757714,RWA,010410
63603,187,5009,2002,,,-0.553848,-0.757714,RWA,010420
70129,187,5010,2002,0.0,26817.0,-0.553848,-0.757714,RWA,010511
76655,187,5011,2002,,,-0.553848,-0.757714,RWA,010519
83181,187,5012,2002,0.0,7800.0,-0.553848,-0.757714,RWA,010591
89707,187,5013,2002,,,-0.553848,-0.757714,RWA,010599
96233,187,5014,2002,0.0,23297.0,-0.553848,-0.757714,RWA,010600
102759,187,5015,2002,,,-0.553848,-0.757714,RWA,020110
109285,187,5016,2002,0.0,1803.0,-0.553848,-0.757714,RWA,020120
115811,187,5017,2002,0.0,6753.0,-0.553848,-0.757714,RWA,020130
122337,187,5018,2002,,,-0.553848,-0.757714,RWA,020210
128863,187,5019,2002,,,-0.553848,-0.757714,RWA,020220
135389,187,5020,2002,,,-0.553848,-0.757714,RWA,020230
141915,187,5021,2002,,,-0.553848,-0.757714,RWA,020311
148441,187,5022,2002,,,-0.553848,-0.757714,RWA,020312
154967,187,5023,2002,,,-0.553848,-0.757714,RWA,020319
161493,187,5024,2002,,,-0.553848,-0.757714,RWA,020321
168019,187,5025,2002,,,-0.553848,-0.757714,RWA,020322
174545,187,5026,2002,0.0,17896.0,-0.553848,-0.757714,RWA,020329
181071,187,5027,2002,,,-0.553848,-0.757714,RWA,020410
187597,187,5028,2002,,,-0.553848,-0.757714,RWA,020421
194123,187,5029,2002,,,-0.553848,-0.757714,RWA,020422
200649,187,5030,2002,,,-0.553848,-0.757714,RWA,020423
207175,187,5031,2002,,,-0.553848,-0.757714,RWA,020430
213701,187,5032,2002,,,-0.553848,-0.757714,RWA,020441
220227,187,5033,2002,,,-0.553848,-0.757714,RWA,020442
226753,187,5034,2002,,,-0.553848,-0.757714,RWA,020443
233279,187,5035,2002,,,-0.553848,-0.757714,RWA,020450
239805,187,5036,2002,,,-0.553848,-0.757714,RWA,020500
246331,187,5037,2002,,,-0.553848,-0.757714,RWA,020610
252857,187,5038,2002,,,-0.553848,-0.757714,RWA,020621
259383,187,5039,2002,,,-0.553848,-0.757714,RWA,020622
265909,187,5040,2002,,,-0.553848,-0.757714,RWA,020629
272435,187,5041,2002,,,-0.553848,-0.757714,RWA,020630
278961,187,5042,2002,,,-0.553848,-0.757714,RWA,020641
285487,187,5043,2002,,,-0.553848,-0.757714,RWA,020649
292013,187,5044,2002,,,-0.553848,-0.757714,RWA,020680
298539,187,5045,2002,,,-0.553848,-0.757714,RWA,020690
305065,187,5046,2002,0.0,1129.0,-0.553848,-0.757714,RWA,020710
311591,187,5047,2002,,,-0.553848,-0.757714,RWA,020721
318117,187,5048,2002,,,-0.553848,-0.757714,RWA,020722
324643,187,5049,2002,,,-0.553848,-0.757714,RWA,020723
331169,187,5050,2002,,,-0.553848,-0.757714,RWA,020731
337695,187,5051,2002,,,-0.553848,-0.757714,RWA,020739
344221,187,5052,2002,0.0,13074.0,-0.553848,-0.757714,RWA,020741
350747,187,5053,2002,,,-0.553848,-0.757714,RWA,020742
357273,187,5054,2002,,,-0.553848,-0.757714,RWA,020743
363799,187,5055,2002,,,-0.553848,-0.757714,RWA,020750
370325,187,5056,2002,,,-0.553848,-0.757714,RWA,020810
376851,187,5057,2002,,,-0.553848,-0.757714,RWA,020820
383377,187,5058,2002,0.0,8301.0,-0.553848,-0.757714,RWA,020890
389903,187,5059,2002,,,-0.553848,-0.757714,RWA,020900
396429,187,5060,2002,,,-0.553848,-0.757714,RWA,021011
402955,187,5061,2002,,,-0.553848,-0.757714,RWA,021012
409481,187,5062,2002,0.0,1046.0,-0.553848,-0.757714,RWA,021019
416007,187,5063,2002,,,-0.553848,-0.757714,RWA,021020
422533,187,5064,2002,,,-0.553848,-0.757714,RWA,021090
429059,187,5065,2002,,,-0.553848,-0.757714,RWA,030110
435585,187,5066,2002,,,-0.553848,-0.757714,RWA,030191
442111,187,5067,2002,,,-0.553848,-0.757714,RWA,030192
448637,187,5068,2002,,,-0.553848,-0.757714,RWA,030193
455163,187,5069,2002,,,-0.553848,-0.757714,RWA,030199
461689,187,5070,2002,,,-0.553848,-0.757714,RWA,030211
468215,187,5071,2002,,,-0.553848,-0.757714,RWA,030212
474741,187,5072,2002,,,-0.553848,-0.757714,RWA,030219
481267,187,5073,2002,,,-0.553848,-0.757714,RWA,030221
487793,187,5074,2002,,,-0.553848,-0.757714,RWA,030222
494319,187,5075,2002,,,-0.553848,-0.757714,RWA,030223
500845,187,5076,2002,,,-0.553848,-0.757714,RWA,030229
507371,187,5077,2002,,,-0.553848,-0.757714,RWA,030231
513897,187,5078,2002,,,-0.553848,-0.757714,RWA,030232
520423,187,5079,2002,,,-0.553848,-0.757714,RWA,030233
526949,187,5080,2002,,,-0.553848,-0.757714,RWA,030239
533475,187,5081,2002,,,-0.553848,-0.757714,RWA,030240
540001,187,5082,2002,,,-0.553848,-0.757714,RWA,030250
546527,187,5083,2002,,,-0.553848,-0.757714,RWA,030261
553053,187,5084,2002,,,-0.553848,-0.757714,RWA,030262
559579,187,5085,2002,,,-0.553848,-0.757714,RWA,030263
566105,187,5086,2002,,,-0.553848,-0.757714,RWA,030264
572631,187,5087,2002,,,-0.553848,-0.757714,RWA,030265
579157,187,5088,2002,,,-0.553848,-0.757714,RWA,030266
585683,187,5089,2002,0.0,561.0,-0.553848,-0.757714,RWA,030269
592209,187,5090,2002,,,-0.553848,-0.757714,RWA,030270
598735,187,5091,2002,,,-0.553848,-0.757714,RWA,030310
605261,187,5092,2002,,,-0.553848,-0.757714,RWA,030321
611787,187,5093,2002,,,-0.553848,-0.757714,RWA,030322
618313,187,5094,2002,0.0,3202.0,-0.553848,-0.757714,RWA,030329
624839,187,5095,2002,,,-0.553848,-0.757714,RWA,030331
631365,187,5096,2002,,,-0.553848,-0.757714,RWA,030332
