,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4924,189,5000,2005,14580.0,216274.0,0.560725,1.62105,SCG,010111
11450,189,5001,2005,1633975.0,65400.0,0.560725,1.62105,SCG,010119
17976,189,5002,2005,,,0.560725,1.62105,SCG,010120
24502,189,5003,2005,0.0,5009203.0,0.560725,1.62105,SCG,010210
31028,189,5004,2005,246892.0,3447598.0,0.560725,1.62105,SCG,010290
37554,189,5005,2005,0.0,260480.0,0.560725,1.62105,SCG,010310
44080,189,5006,2005,11954.0,0.0,0.560725,1.62105,SCG,010391
50606,189,5007,2005,0.0,113796.0,0.560725,1.62105,SCG,010392
57132,189,5008,2005,,,0.560725,1.62105,SCG,010410
63658,189,5009,2005,0.0,46037.0,0.560725,1.62105,SCG,010420
70184,189,5010,2005,290812.0,3272561.0,0.560725,1.62105,SCG,010511
76710,189,5011,2005,8265.0,292269.0,0.560725,1.62105,SCG,010519
83236,189,5012,2005,39894.0,334312.0,0.560725,1.62105,SCG,010591
89762,189,5013,2005,0.0,111382.0,0.560725,1.62105,SCG,010599
96288,189,5014,2005,201179.0,188956.0,0.560725,1.62105,SCG,010600
102814,189,5015,2005,69651.0,0.0,0.560725,1.62105,SCG,020110
109340,189,5016,2005,8105949.0,1738480.0,0.560725,1.62105,SCG,020120
115866,189,5017,2005,0.0,53926.0,0.560725,1.62105,SCG,020130
122392,189,5018,2005,0.0,6938.0,0.560725,1.62105,SCG,020210
128918,189,5019,2005,0.0,24758.0,0.560725,1.62105,SCG,020220
135444,189,5020,2005,37249.0,3250824.0,0.560725,1.62105,SCG,020230
141970,189,5021,2005,21147.0,6604157.0,0.560725,1.62105,SCG,020311
148496,189,5022,2005,23488.0,6356785.0,0.560725,1.62105,SCG,020312
155022,189,5023,2005,37562.0,11772873.0,0.560725,1.62105,SCG,020319
161548,189,5024,2005,0.0,76923.0,0.560725,1.62105,SCG,020321
168074,189,5025,2005,46917.0,788946.0,0.560725,1.62105,SCG,020322
174600,189,5026,2005,43276.0,6553031.0,0.560725,1.62105,SCG,020329
181126,189,5027,2005,0.0,6709.0,0.560725,1.62105,SCG,020410
187652,189,5028,2005,,,0.560725,1.62105,SCG,020421
194178,189,5029,2005,,,0.560725,1.62105,SCG,020422
200704,189,5030,2005,,,0.560725,1.62105,SCG,020423
207230,189,5031,2005,,,0.560725,1.62105,SCG,020430
213756,189,5032,2005,0.0,4975.0,0.560725,1.62105,SCG,020441
220282,189,5033,2005,0.0,180299.0,0.560725,1.62105,SCG,020442
226808,189,5034,2005,4843.0,18499.0,0.560725,1.62105,SCG,020443
233334,189,5035,2005,0.0,28183.0,0.560725,1.62105,SCG,020450
239860,189,5036,2005,,,0.560725,1.62105,SCG,020500
246386,189,5037,2005,12110.0,1391.0,0.560725,1.62105,SCG,020610
252912,189,5038,2005,0.0,1244.0,0.560725,1.62105,SCG,020621
259438,189,5039,2005,0.0,2487.0,0.560725,1.62105,SCG,020622
265964,189,5040,2005,0.0,367277.0,0.560725,1.62105,SCG,020629
272490,189,5041,2005,0.0,26480.0,0.560725,1.62105,SCG,020630
279016,189,5042,2005,54929.0,424024.0,0.560725,1.62105,SCG,020641
285542,189,5043,2005,20676.0,719892.0,0.560725,1.62105,SCG,020649
292068,189,5044,2005,,,0.560725,1.62105,SCG,020680
298594,189,5045,2005,0.0,1244.0,0.560725,1.62105,SCG,020690
305120,189,5046,2005,1662473.0,0.0,0.560725,1.62105,SCG,020710
311646,189,5047,2005,91978.0,910420.0,0.560725,1.62105,SCG,020721
318172,189,5048,2005,0.0,67367.0,0.560725,1.62105,SCG,020722
324698,189,5049,2005,0.0,4975.0,0.560725,1.62105,SCG,020723
331224,189,5050,2005,,,0.560725,1.62105,SCG,020731
337750,189,5051,2005,58803.0,46021.0,0.560725,1.62105,SCG,020739
344276,189,5052,2005,201056.0,4427039.0,0.560725,1.62105,SCG,020741
350802,189,5053,2005,0.0,593454.0,0.560725,1.62105,SCG,020742
357328,189,5054,2005,,,0.560725,1.62105,SCG,020743
363854,189,5055,2005,,,0.560725,1.62105,SCG,020750
370380,189,5056,2005,0.0,8012.0,0.560725,1.62105,SCG,020810
376906,189,5057,2005,,,0.560725,1.62105,SCG,020820
383432,189,5058,2005,,,0.560725,1.62105,SCG,020890
389958,189,5059,2005,201276.0,571774.0,0.560725,1.62105,SCG,020900
396484,189,5060,2005,101929.0,59885.0,0.560725,1.62105,SCG,021011
403010,189,5061,2005,21042.0,217909.0,0.560725,1.62105,SCG,021012
409536,189,5062,2005,1504480.0,1324929.0,0.560725,1.62105,SCG,021019
416062,189,5063,2005,12091.0,80476.0,0.560725,1.62105,SCG,021020
422588,189,5064,2005,2926.0,110378.0,0.560725,1.62105,SCG,021090
429114,189,5065,2005,3244.0,84354.0,0.560725,1.62105,SCG,030110
435640,189,5066,2005,3487.0,545017.0,0.560725,1.62105,SCG,030191
442166,189,5067,2005,,,0.560725,1.62105,SCG,030192
448692,189,5068,2005,155375.0,2147021.0,0.560725,1.62105,SCG,030193
455218,189,5069,2005,55318.0,458983.0,0.560725,1.62105,SCG,030199
461744,189,5070,2005,0.0,952560.0,0.560725,1.62105,SCG,030211
468270,189,5071,2005,0.0,94388.0,0.560725,1.62105,SCG,030212
474796,189,5072,2005,0.0,158882.0,0.560725,1.62105,SCG,030219
481322,189,5073,2005,,,0.560725,1.62105,SCG,030221
487848,189,5074,2005,,,0.560725,1.62105,SCG,030222
494374,189,5075,2005,,,0.560725,1.62105,SCG,030223
500900,189,5076,2005,0.0,9883.0,0.560725,1.62105,SCG,030229
507426,189,5077,2005,,,0.560725,1.62105,SCG,030231
513952,189,5078,2005,0.0,15671.0,0.560725,1.62105,SCG,030232
520478,189,5079,2005,,,0.560725,1.62105,SCG,030233
527004,189,5080,2005,0.0,1858.0,0.560725,1.62105,SCG,030239
533530,189,5081,2005,,,0.560725,1.62105,SCG,030240
540056,189,5082,2005,,,0.560725,1.62105,SCG,030250
546582,189,5083,2005,0.0,35537.0,0.560725,1.62105,SCG,030261
553108,189,5084,2005,,,0.560725,1.62105,SCG,030262
559634,189,5085,2005,,,0.560725,1.62105,SCG,030263
566160,189,5086,2005,0.0,90240.0,0.560725,1.62105,SCG,030264
572686,189,5087,2005,,,0.560725,1.62105,SCG,030265
579212,189,5088,2005,,,0.560725,1.62105,SCG,030266
585738,189,5089,2005,103547.0,1156943.0,0.560725,1.62105,SCG,030269
592264,189,5090,2005,,,0.560725,1.62105,SCG,030270
598790,189,5091,2005,0.0,181782.0,0.560725,1.62105,SCG,030310
605316,189,5092,2005,0.0,129148.0,0.560725,1.62105,SCG,030321
611842,189,5093,2005,0.0,38502.0,0.560725,1.62105,SCG,030322
618368,189,5094,2005,0.0,1757713.0,0.560725,1.62105,SCG,030329
624894,189,5095,2005,,,0.560725,1.62105,SCG,030331
631420,189,5096,2005,,,0.560725,1.62105,SCG,030332
637946,189,5097,2005,0.0,1990.0,0.560725,1.62105,SCG,030333
644472,189,5098,2005,5250.0,27698.0,0.560725,1.62105,SCG,030339
650998,189,5099,2005,,,0.560725,1.62105,SCG,030341
657524,189,5100,2005,,,0.560725,1.62105,SCG,030342
664050,189,5101,2005,,,0.560725,1.62105,SCG,030343
670576,189,5102,2005,,,0.560725,1.62105,SCG,030349
677102,189,5103,2005,0.0,38554.0,0.560725,1.62105,SCG,030350
683628,189,5104,2005,0.0,4422.0,0.560725,1.62105,SCG,030360
690154,189,5105,2005,0.0,1331824.0,0.560725,1.62105,SCG,030371
696680,189,5106,2005,,,0.560725,1.62105,SCG,030372
703206,189,5107,2005,0.0,63252.0,0.560725,1.62105,SCG,030373
709732,189,5108,2005,0.0,2153321.0,0.560725,1.62105,SCG,030374
716258,189,5109,2005,0.0,25211.0,0.560725,1.62105,SCG,030375
722784,189,5110,2005,,,0.560725,1.62105,SCG,030376
729310,189,5111,2005,,,0.560725,1.62105,SCG,030377
735836,189,5112,2005,0.0,2239711.0,0.560725,1.62105,SCG,030378
742362,189,5113,2005,0.0,2822339.0,0.560725,1.62105,SCG,030379
748888,189,5114,2005,0.0,53354.0,0.560725,1.62105,SCG,030380
755414,189,5115,2005,0.0,353062.0,0.560725,1.62105,SCG,030410
761940,189,5116,2005,0.0,1030218.0,0.560725,1.62105,SCG,030420
768466,189,5117,2005,7478.0,54220.0,0.560725,1.62105,SCG,030490
774992,189,5118,2005,0.0,63359.0,0.560725,1.62105,SCG,030510
781518,189,5119,2005,,,0.560725,1.62105,SCG,030520
788044,189,5120,2005,0.0,29593.0,0.560725,1.62105,SCG,030530
794570,189,5121,2005,0.0,80352.0,0.560725,1.62105,SCG,030541
801096,189,5122,2005,,,0.560725,1.62105,SCG,030542
807622,189,5123,2005,0.0,197593.0,0.560725,1.62105,SCG,030549
814148,189,5124,2005,0.0,98804.0,0.560725,1.62105,SCG,030551
820674,189,5125,2005,,,0.560725,1.62105,SCG,030559
827200,189,5126,2005,0.0,21142.0,0.560725,1.62105,SCG,030561
833726,189,5127,2005,,,0.560725,1.62105,SCG,030562
840252,189,5128,2005,,,0.560725,1.62105,SCG,030563
