,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4967,191,5000,1996,0.0,17388.0,-0.619785,-0.712171,SEN,010111
11493,191,5001,1996,,,-0.619785,-0.712171,SEN,010119
18019,191,5002,1996,,,-0.619785,-0.712171,SEN,010120
24545,191,5003,1996,0.0,74293.0,-0.619785,-0.712171,SEN,010210
31071,191,5004,1996,0.0,549.0,-0.619785,-0.712171,SEN,010290
37597,191,5005,1996,,,-0.619785,-0.712171,SEN,010310
44123,191,5006,1996,,,-0.619785,-0.712171,SEN,010391
50649,191,5007,1996,,,-0.619785,-0.712171,SEN,010392
57175,191,5008,1996,0.0,1009827.0,-0.619785,-0.712171,SEN,010410
63701,191,5009,1996,0.0,331937.0,-0.619785,-0.712171,SEN,010420
70227,191,5010,1996,76685.0,382349.0,-0.619785,-0.712171,SEN,010511
76753,191,5011,1996,1800.0,5695.0,-0.619785,-0.712171,SEN,010519
83279,191,5012,1996,0.0,132085.0,-0.619785,-0.712171,SEN,010591
89805,191,5013,1996,,,-0.619785,-0.712171,SEN,010599
96331,191,5014,1996,711005.0,45502.0,-0.619785,-0.712171,SEN,010600
102857,191,5015,1996,,,-0.619785,-0.712171,SEN,020110
109383,191,5016,1996,4040.0,1629.0,-0.619785,-0.712171,SEN,020120
115909,191,5017,1996,0.0,5089.0,-0.619785,-0.712171,SEN,020130
122435,191,5018,1996,,,-0.619785,-0.712171,SEN,020210
128961,191,5019,1996,1174.0,11077.0,-0.619785,-0.712171,SEN,020220
135487,191,5020,1996,67797.0,167931.0,-0.619785,-0.712171,SEN,020230
142013,191,5021,1996,,,-0.619785,-0.712171,SEN,020311
148539,191,5022,1996,0.0,14642.0,-0.619785,-0.712171,SEN,020312
155065,191,5023,1996,,,-0.619785,-0.712171,SEN,020319
161591,191,5024,1996,0.0,4005.0,-0.619785,-0.712171,SEN,020321
168117,191,5025,1996,0.0,86576.0,-0.619785,-0.712171,SEN,020322
174643,191,5026,1996,0.0,174630.0,-0.619785,-0.712171,SEN,020329
181169,191,5027,1996,,,-0.619785,-0.712171,SEN,020410
187695,191,5028,1996,0.0,186009.0,-0.619785,-0.712171,SEN,020421
194221,191,5029,1996,971.0,0.0,-0.619785,-0.712171,SEN,020422
200747,191,5030,1996,0.0,988.0,-0.619785,-0.712171,SEN,020423
207273,191,5031,1996,0.0,1571.0,-0.619785,-0.712171,SEN,020430
213799,191,5032,1996,,,-0.619785,-0.712171,SEN,020441
220325,191,5033,1996,,,-0.619785,-0.712171,SEN,020442
226851,191,5034,1996,0.0,52531.0,-0.619785,-0.712171,SEN,020443
233377,191,5035,1996,,,-0.619785,-0.712171,SEN,020450
239903,191,5036,1996,,,-0.619785,-0.712171,SEN,020500
246429,191,5037,1996,9157.0,0.0,-0.619785,-0.712171,SEN,020610
252955,191,5038,1996,,,-0.619785,-0.712171,SEN,020621
259481,191,5039,1996,0.0,30577.0,-0.619785,-0.712171,SEN,020622
266007,191,5040,1996,,,-0.619785,-0.712171,SEN,020629
272533,191,5041,1996,0.0,2703.0,-0.619785,-0.712171,SEN,020630
279059,191,5042,1996,0.0,7771.0,-0.619785,-0.712171,SEN,020641
285585,191,5043,1996,0.0,2247.0,-0.619785,-0.712171,SEN,020649
292111,191,5044,1996,,,-0.619785,-0.712171,SEN,020680
298637,191,5045,1996,,,-0.619785,-0.712171,SEN,020690
305163,191,5046,1996,2450.0,14656.0,-0.619785,-0.712171,SEN,020710
311689,191,5047,1996,1824.0,60447.0,-0.619785,-0.712171,SEN,020721
318215,191,5048,1996,0.0,13350.0,-0.619785,-0.712171,SEN,020722
324741,191,5049,1996,0.0,20284.0,-0.619785,-0.712171,SEN,020723
331267,191,5050,1996,,,-0.619785,-0.712171,SEN,020731
337793,191,5051,1996,0.0,17643.0,-0.619785,-0.712171,SEN,020739
344319,191,5052,1996,44300.0,228735.0,-0.619785,-0.712171,SEN,020741
350845,191,5053,1996,0.0,52012.0,-0.619785,-0.712171,SEN,020742
357371,191,5054,1996,0.0,2605.0,-0.619785,-0.712171,SEN,020743
363897,191,5055,1996,,,-0.619785,-0.712171,SEN,020750
370423,191,5056,1996,,,-0.619785,-0.712171,SEN,020810
376949,191,5057,1996,,,-0.619785,-0.712171,SEN,020820
383475,191,5058,1996,0.0,1913.0,-0.619785,-0.712171,SEN,020890
390001,191,5059,1996,0.0,4357.0,-0.619785,-0.712171,SEN,020900
396527,191,5060,1996,0.0,9538.0,-0.619785,-0.712171,SEN,021011
403053,191,5061,1996,0.0,3469.0,-0.619785,-0.712171,SEN,021012
409579,191,5062,1996,0.0,35926.0,-0.619785,-0.712171,SEN,021019
416105,191,5063,1996,2220.0,17019.0,-0.619785,-0.712171,SEN,021020
422631,191,5064,1996,14003.0,2253.0,-0.619785,-0.712171,SEN,021090
429157,191,5065,1996,1890.0,1342.0,-0.619785,-0.712171,SEN,030110
435683,191,5066,1996,,,-0.619785,-0.712171,SEN,030191
442209,191,5067,1996,,,-0.619785,-0.712171,SEN,030192
448735,191,5068,1996,,,-0.619785,-0.712171,SEN,030193
455261,191,5069,1996,0.0,1284.0,-0.619785,-0.712171,SEN,030199
461787,191,5070,1996,200826.0,0.0,-0.619785,-0.712171,SEN,030211
468313,191,5071,1996,,,-0.619785,-0.712171,SEN,030212
