,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5088,195,5000,2013,,,-0.9350860000000001,-0.877676,SLB,010111
11614,195,5001,2013,,,-0.9350860000000001,-0.877676,SLB,010119
18140,195,5002,2013,,,-0.9350860000000001,-0.877676,SLB,010120
24666,195,5003,2013,,,-0.9350860000000001,-0.877676,SLB,010210
31192,195,5004,2013,,,-0.9350860000000001,-0.877676,SLB,010290
37718,195,5005,2013,,,-0.9350860000000001,-0.877676,SLB,010310
44244,195,5006,2013,,,-0.9350860000000001,-0.877676,SLB,010391
50770,195,5007,2013,,,-0.9350860000000001,-0.877676,SLB,010392
57296,195,5008,2013,333372.0,810.0,-0.9350860000000001,-0.877676,SLB,010410
63822,195,5009,2013,,,-0.9350860000000001,-0.877676,SLB,010420
70348,195,5010,2013,,,-0.9350860000000001,-0.877676,SLB,010511
76874,195,5011,2013,,,-0.9350860000000001,-0.877676,SLB,010519
83400,195,5012,2013,,,-0.9350860000000001,-0.877676,SLB,010591
89926,195,5013,2013,,,-0.9350860000000001,-0.877676,SLB,010599
96452,195,5014,2013,15034.0,0.0,-0.9350860000000001,-0.877676,SLB,010600
102978,195,5015,2013,0.0,8455.0,-0.9350860000000001,-0.877676,SLB,020110
109504,195,5016,2013,,,-0.9350860000000001,-0.877676,SLB,020120
116030,195,5017,2013,0.0,47721.0,-0.9350860000000001,-0.877676,SLB,020130
122556,195,5018,2013,0.0,14102.0,-0.9350860000000001,-0.877676,SLB,020210
129082,195,5019,2013,0.0,39821.0,-0.9350860000000001,-0.877676,SLB,020220
135608,195,5020,2013,0.0,2004249.0,-0.9350860000000001,-0.877676,SLB,020230
142134,195,5021,2013,,,-0.9350860000000001,-0.877676,SLB,020311
148660,195,5022,2013,0.0,74197.0,-0.9350860000000001,-0.877676,SLB,020312
155186,195,5023,2013,0.0,1822.0,-0.9350860000000001,-0.877676,SLB,020319
161712,195,5024,2013,0.0,936.0,-0.9350860000000001,-0.877676,SLB,020321
168238,195,5025,2013,0.0,19674.0,-0.9350860000000001,-0.877676,SLB,020322
174764,195,5026,2013,0.0,108065.0,-0.9350860000000001,-0.877676,SLB,020329
181290,195,5027,2013,,,-0.9350860000000001,-0.877676,SLB,020410
187816,195,5028,2013,,,-0.9350860000000001,-0.877676,SLB,020421
194342,195,5029,2013,,,-0.9350860000000001,-0.877676,SLB,020422
200868,195,5030,2013,0.0,11400.0,-0.9350860000000001,-0.877676,SLB,020423
207394,195,5031,2013,,,-0.9350860000000001,-0.877676,SLB,020430
213920,195,5032,2013,,,-0.9350860000000001,-0.877676,SLB,020441
220446,195,5033,2013,0.0,105069.0,-0.9350860000000001,-0.877676,SLB,020442
226972,195,5034,2013,0.0,91715.0,-0.9350860000000001,-0.877676,SLB,020443
233498,195,5035,2013,0.0,1236.0,-0.9350860000000001,-0.877676,SLB,020450
240024,195,5036,2013,,,-0.9350860000000001,-0.877676,SLB,020500
246550,195,5037,2013,0.0,11827.0,-0.9350860000000001,-0.877676,SLB,020610
253076,195,5038,2013,0.0,12693.0,-0.9350860000000001,-0.877676,SLB,020621
259602,195,5039,2013,0.0,7815.0,-0.9350860000000001,-0.877676,SLB,020622
266128,195,5040,2013,0.0,84157.0,-0.9350860000000001,-0.877676,SLB,020629
272654,195,5041,2013,,,-0.9350860000000001,-0.877676,SLB,020630
279180,195,5042,2013,,,-0.9350860000000001,-0.877676,SLB,020641
285706,195,5043,2013,,,-0.9350860000000001,-0.877676,SLB,020649
292232,195,5044,2013,,,-0.9350860000000001,-0.877676,SLB,020680
298758,195,5045,2013,0.0,21178.0,-0.9350860000000001,-0.877676,SLB,020690
305284,195,5046,2013,0.0,41110.0,-0.9350860000000001,-0.877676,SLB,020710
311810,195,5047,2013,0.0,162488.0,-0.9350860000000001,-0.877676,SLB,020721
318336,195,5048,2013,0.0,34696.0,-0.9350860000000001,-0.877676,SLB,020722
324862,195,5049,2013,0.0,32853.0,-0.9350860000000001,-0.877676,SLB,020723
331388,195,5050,2013,,,-0.9350860000000001,-0.877676,SLB,020731
337914,195,5051,2013,0.0,215248.0,-0.9350860000000001,-0.877676,SLB,020739
344440,195,5052,2013,0.0,3020066.0,-0.9350860000000001,-0.877676,SLB,020741
350966,195,5053,2013,0.0,6329.0,-0.9350860000000001,-0.877676,SLB,020742
357492,195,5054,2013,0.0,47692.0,-0.9350860000000001,-0.877676,SLB,020743
364018,195,5055,2013,,,-0.9350860000000001,-0.877676,SLB,020750
370544,195,5056,2013,,,-0.9350860000000001,-0.877676,SLB,020810
377070,195,5057,2013,,,-0.9350860000000001,-0.877676,SLB,020820
383596,195,5058,2013,0.0,1900.0,-0.9350860000000001,-0.877676,SLB,020890
390122,195,5059,2013,0.0,1520.0,-0.9350860000000001,-0.877676,SLB,020900
396648,195,5060,2013,0.0,2643.0,-0.9350860000000001,-0.877676,SLB,021011
403174,195,5061,2013,0.0,14373.0,-0.9350860000000001,-0.877676,SLB,021012
409700,195,5062,2013,0.0,64668.0,-0.9350860000000001,-0.877676,SLB,021019
416226,195,5063,2013,0.0,132923.0,-0.9350860000000001,-0.877676,SLB,021020
422752,195,5064,2013,,,-0.9350860000000001,-0.877676,SLB,021090
429278,195,5065,2013,143612.0,1176.0,-0.9350860000000001,-0.877676,SLB,030110
435804,195,5066,2013,,,-0.9350860000000001,-0.877676,SLB,030191
442330,195,5067,2013,,,-0.9350860000000001,-0.877676,SLB,030192
448856,195,5068,2013,,,-0.9350860000000001,-0.877676,SLB,030193
455382,195,5069,2013,,,-0.9350860000000001,-0.877676,SLB,030199
461908,195,5070,2013,,,-0.9350860000000001,-0.877676,SLB,030211
468434,195,5071,2013,,,-0.9350860000000001,-0.877676,SLB,030212
474960,195,5072,2013,,,-0.9350860000000001,-0.877676,SLB,030219
481486,195,5073,2013,,,-0.9350860000000001,-0.877676,SLB,030221
488012,195,5074,2013,,,-0.9350860000000001,-0.877676,SLB,030222
494538,195,5075,2013,,,-0.9350860000000001,-0.877676,SLB,030223
501064,195,5076,2013,,,-0.9350860000000001,-0.877676,SLB,030229
507590,195,5077,2013,,,-0.9350860000000001,-0.877676,SLB,030231
514116,195,5078,2013,3135122.0,0.0,-0.9350860000000001,-0.877676,SLB,030232
520642,195,5079,2013,,,-0.9350860000000001,-0.877676,SLB,030233
527168,195,5080,2013,753878.0,0.0,-0.9350860000000001,-0.877676,SLB,030239
533694,195,5081,2013,,,-0.9350860000000001,-0.877676,SLB,030240
540220,195,5082,2013,,,-0.9350860000000001,-0.877676,SLB,030250
546746,195,5083,2013,,,-0.9350860000000001,-0.877676,SLB,030261
553272,195,5084,2013,,,-0.9350860000000001,-0.877676,SLB,030262
