,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5379,206,5000,2018,50276.0,967501.0,1.3270979999999999,0.877684,SVK,010111
11905,206,5001,2018,601275.0,292936.0,1.3270979999999999,0.877684,SVK,010119
18431,206,5002,2018,,,1.3270979999999999,0.877684,SVK,010120
24957,206,5003,2018,17739615.0,4460739.0,1.3270979999999999,0.877684,SVK,010210
31483,206,5004,2018,66425456.0,3189866.0,1.3270979999999999,0.877684,SVK,010290
38009,206,5005,2018,2261241.0,4976546.0,1.3270979999999999,0.877684,SVK,010310
44535,206,5006,2018,14866926.0,7628710.0,1.3270979999999999,0.877684,SVK,010391
51061,206,5007,2018,48469224.0,46073725.0,1.3270979999999999,0.877684,SVK,010392
57587,206,5008,2018,808933.0,569480.0,1.3270979999999999,0.877684,SVK,010410
64113,206,5009,2018,,,1.3270979999999999,0.877684,SVK,010420
70639,206,5010,2018,5482583.0,28541621.0,1.3270979999999999,0.877684,SVK,010511
77165,206,5011,2018,1188980.0,2286902.0,1.3270979999999999,0.877684,SVK,010519
83691,206,5012,2018,29614547.0,14216517.0,1.3270979999999999,0.877684,SVK,010591
90217,206,5013,2018,570398.0,645651.0,1.3270979999999999,0.877684,SVK,010599
96743,206,5014,2018,16886186.0,1370559.0,1.3270979999999999,0.877684,SVK,010600
103269,206,5015,2018,2380579.0,3018409.0,1.3270979999999999,0.877684,SVK,020110
109795,206,5016,2018,2835997.0,12769820.0,1.3270979999999999,0.877684,SVK,020120
116321,206,5017,2018,2572365.0,62380637.0,1.3270979999999999,0.877684,SVK,020130
122847,206,5018,2018,1399.0,41413.0,1.3270979999999999,0.877684,SVK,020210
129373,206,5019,2018,55538.0,643090.0,1.3270979999999999,0.877684,SVK,020220
135899,206,5020,2018,293306.0,8766589.0,1.3270979999999999,0.877684,SVK,020230
142425,206,5021,2018,31673492.0,78914531.0,1.3270979999999999,0.877684,SVK,020311
148951,206,5022,2018,536728.0,20581403.0,1.3270979999999999,0.877684,SVK,020312
155477,206,5023,2018,4011442.0,217161614.0,1.3270979999999999,0.877684,SVK,020319
162003,206,5024,2018,10785.0,1089092.0,1.3270979999999999,0.877684,SVK,020321
168529,206,5025,2018,112047.0,3267446.0,1.3270979999999999,0.877684,SVK,020322
175055,206,5026,2018,4393122.0,36499372.0,1.3270979999999999,0.877684,SVK,020329
181581,206,5027,2018,3116630.0,507136.0,1.3270979999999999,0.877684,SVK,020410
188107,206,5028,2018,642174.0,42827.0,1.3270979999999999,0.877684,SVK,020421
194633,206,5029,2018,18932.0,99864.0,1.3270979999999999,0.877684,SVK,020422
201159,206,5030,2018,20347.0,382741.0,1.3270979999999999,0.877684,SVK,020423
207685,206,5031,2018,2001.0,48652.0,1.3270979999999999,0.877684,SVK,020430
214211,206,5032,2018,,,1.3270979999999999,0.877684,SVK,020441
220737,206,5033,2018,0.0,387743.0,1.3270979999999999,0.877684,SVK,020442
227263,206,5034,2018,0.0,461308.0,1.3270979999999999,0.877684,SVK,020443
233789,206,5035,2018,0.0,5821.0,1.3270979999999999,0.877684,SVK,020450
240315,206,5036,2018,41936.0,727769.0,1.3270979999999999,0.877684,SVK,020500
246841,206,5037,2018,536179.0,1996755.0,1.3270979999999999,0.877684,SVK,020610
253367,206,5038,2018,55822.0,60010.0,1.3270979999999999,0.877684,SVK,020621
259893,206,5039,2018,21479.0,11639.0,1.3270979999999999,0.877684,SVK,020622
266419,206,5040,2018,42693.0,2726374.0,1.3270979999999999,0.877684,SVK,020629
272945,206,5041,2018,506697.0,3699877.0,1.3270979999999999,0.877684,SVK,020630
279471,206,5042,2018,12130.0,212466.0,1.3270979999999999,0.877684,SVK,020641
285997,206,5043,2018,808066.0,4794527.0,1.3270979999999999,0.877684,SVK,020649
292523,206,5044,2018,39160.0,1287.0,1.3270979999999999,0.877684,SVK,020680
299049,206,5045,2018,20461.0,0.0,1.3270979999999999,0.877684,SVK,020690
305575,206,5046,2018,1992590.0,35835226.0,1.3270979999999999,0.877684,SVK,020710
312101,206,5047,2018,1487606.0,1793663.0,1.3270979999999999,0.877684,SVK,020721
318627,206,5048,2018,4232751.0,146168.0,1.3270979999999999,0.877684,SVK,020722
325153,206,5049,2018,224946.0,4102210.0,1.3270979999999999,0.877684,SVK,020723
331679,206,5050,2018,119932.0,1053555.0,1.3270979999999999,0.877684,SVK,020731
338205,206,5051,2018,50408865.0,191323322.0,1.3270979999999999,0.877684,SVK,020739
344731,206,5052,2018,17312130.0,25782373.0,1.3270979999999999,0.877684,SVK,020741
351257,206,5053,2018,3558349.0,3428174.0,1.3270979999999999,0.877684,SVK,020742
357783,206,5054,2018,372258.0,6649949.0,1.3270979999999999,0.877684,SVK,020743
364309,206,5055,2018,,,1.3270979999999999,0.877684,SVK,020750
370835,206,5056,2018,61881.0,2591481.0,1.3270979999999999,0.877684,SVK,020810
377361,206,5057,2018,,,1.3270979999999999,0.877684,SVK,020820
383887,206,5058,2018,8464003.0,1813729.0,1.3270979999999999,0.877684,SVK,020890
390413,206,5059,2018,1588373.0,9523683.0,1.3270979999999999,0.877684,SVK,020900
396939,206,5060,2018,93260.0,625477.0,1.3270979999999999,0.877684,SVK,021011
403465,206,5061,2018,2383052.0,1054389.0,1.3270979999999999,0.877684,SVK,021012
409991,206,5062,2018,693887.0,10586469.0,1.3270979999999999,0.877684,SVK,021019
416517,206,5063,2018,174648.0,3144968.0,1.3270979999999999,0.877684,SVK,021020
423043,206,5064,2018,215729.0,8433780.0,1.3270979999999999,0.877684,SVK,021090
429569,206,5065,2018,803336.0,989275.0,1.3270979999999999,0.877684,SVK,030110
436095,206,5066,2018,1109113.0,37742.0,1.3270979999999999,0.877684,SVK,030191
442621,206,5067,2018,1306.0,28547.0,1.3270979999999999,0.877684,SVK,030192
449147,206,5068,2018,161755.0,4880734.0,1.3270979999999999,0.877684,SVK,030193
455673,206,5069,2018,34631.0,499557.0,1.3270979999999999,0.877684,SVK,030199
462199,206,5070,2018,533384.0,1515965.0,1.3270979999999999,0.877684,SVK,030211
468725,206,5071,2018,185912.0,2579764.0,1.3270979999999999,0.877684,SVK,030212
475251,206,5072,2018,16613.0,921750.0,1.3270979999999999,0.877684,SVK,030219
481777,206,5073,2018,0.0,136107.0,1.3270979999999999,0.877684,SVK,030221
488303,206,5074,2018,14698.0,42633.0,1.3270979999999999,0.877684,SVK,030222
494829,206,5075,2018,5159.0,38168.0,1.3270979999999999,0.877684,SVK,030223
501355,206,5076,2018,4566.0,167287.0,1.3270979999999999,0.877684,SVK,030229
507881,206,5077,2018,2249.0,95444.0,1.3270979999999999,0.877684,SVK,030231
514407,206,5078,2018,0.0,125328.0,1.3270979999999999,0.877684,SVK,030232
520933,206,5079,2018,,,1.3270979999999999,0.877684,SVK,030233
527459,206,5080,2018,7791.0,533401.0,1.3270979999999999,0.877684,SVK,030239
533985,206,5081,2018,0.0,325584.0,1.3270979999999999,0.877684,SVK,030240
540511,206,5082,2018,2150.0,114616.0,1.3270979999999999,0.877684,SVK,030250
547037,206,5083,2018,0.0,17191.0,1.3270979999999999,0.877684,SVK,030261
553563,206,5084,2018,,,1.3270979999999999,0.877684,SVK,030262
560089,206,5085,2018,4544.0,48348.0,1.3270979999999999,0.877684,SVK,030263
566615,206,5086,2018,2628.0,102153.0,1.3270979999999999,0.877684,SVK,030264
573141,206,5087,2018,0.0,4797.0,1.3270979999999999,0.877684,SVK,030265
579667,206,5088,2018,0.0,2249.0,1.3270979999999999,0.877684,SVK,030266
586193,206,5089,2018,76688.0,7142834.0,1.3270979999999999,0.877684,SVK,030269
592719,206,5090,2018,7182.0,35381.0,1.3270979999999999,0.877684,SVK,030270
599245,206,5091,2018,12132.0,533774.0,1.3270979999999999,0.877684,SVK,030310
605771,206,5092,2018,110457.0,544609.0,1.3270979999999999,0.877684,SVK,030321
612297,206,5093,2018,202503.0,850414.0,1.3270979999999999,0.877684,SVK,030322
618823,206,5094,2018,105127.0,2235913.0,1.3270979999999999,0.877684,SVK,030329
625349,206,5095,2018,0.0,21025.0,1.3270979999999999,0.877684,SVK,030331
631875,206,5096,2018,,,1.3270979999999999,0.877684,SVK,030332
638401,206,5097,2018,0.0,4598.0,1.3270979999999999,0.877684,SVK,030333
644927,206,5098,2018,0.0,4491713.0,1.3270979999999999,0.877684,SVK,030339
651453,206,5099,2018,15837.0,26437.0,1.3270979999999999,0.877684,SVK,030341
657979,206,5100,2018,13043.0,148195.0,1.3270979999999999,0.877684,SVK,030342
664505,206,5101,2018,,,1.3270979999999999,0.877684,SVK,030343
671031,206,5102,2018,175285.0,106542.0,1.3270979999999999,0.877684,SVK,030349
677557,206,5103,2018,58642.0,219953.0,1.3270979999999999,0.877684,SVK,030350
684083,206,5104,2018,5470.0,179303.0,1.3270979999999999,0.877684,SVK,030360
690609,206,5105,2018,0.0,1275.0,1.3270979999999999,0.877684,SVK,030371
697135,206,5106,2018,0.0,2249.0,1.3270979999999999,0.877684,SVK,030372
