,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5395,207,5000,2008,98722.0,109109.0,1.5099209999999998,0.683663,SVN,010111
11921,207,5001,2008,385205.0,94333.0,1.5099209999999998,0.683663,SVN,010119
18447,207,5002,2008,,,1.5099209999999998,0.683663,SVN,010120
24973,207,5003,2008,1220630.0,41608.0,1.5099209999999998,0.683663,SVN,010210
31499,207,5004,2008,28519042.0,14806544.0,1.5099209999999998,0.683663,SVN,010290
38025,207,5005,2008,253184.0,192796.0,1.5099209999999998,0.683663,SVN,010310
44551,207,5006,2008,2255904.0,2818222.0,1.5099209999999998,0.683663,SVN,010391
51077,207,5007,2008,16113254.0,529611.0,1.5099209999999998,0.683663,SVN,010392
57603,207,5008,2008,58224.0,1562.0,1.5099209999999998,0.683663,SVN,010410
64129,207,5009,2008,,,1.5099209999999998,0.683663,SVN,010420
70655,207,5010,2008,93706.0,3191692.0,1.5099209999999998,0.683663,SVN,010511
77181,207,5011,2008,0.0,1816632.0,1.5099209999999998,0.683663,SVN,010519
83707,207,5012,2008,825544.0,349371.0,1.5099209999999998,0.683663,SVN,010591
90233,207,5013,2008,1382685.0,2422.0,1.5099209999999998,0.683663,SVN,010599
96759,207,5014,2008,621014.0,304108.0,1.5099209999999998,0.683663,SVN,010600
103285,207,5015,2008,3836226.0,3521655.0,1.5099209999999998,0.683663,SVN,020110
109811,207,5016,2008,6193429.0,12022403.0,1.5099209999999998,0.683663,SVN,020120
116337,207,5017,2008,223566.0,7662067.0,1.5099209999999998,0.683663,SVN,020130
122863,207,5018,2008,0.0,17458.0,1.5099209999999998,0.683663,SVN,020210
129389,207,5019,2008,0.0,272046.0,1.5099209999999998,0.683663,SVN,020220
135915,207,5020,2008,469976.0,6525663.0,1.5099209999999998,0.683663,SVN,020230
142441,207,5021,2008,508341.0,22888705.0,1.5099209999999998,0.683663,SVN,020311
148967,207,5022,2008,416102.0,21859053.0,1.5099209999999998,0.683663,SVN,020312
155493,207,5023,2008,689161.0,48890941.0,1.5099209999999998,0.683663,SVN,020319
162019,207,5024,2008,4002.0,197579.0,1.5099209999999998,0.683663,SVN,020321
168545,207,5025,2008,554304.0,2300038.0,1.5099209999999998,0.683663,SVN,020322
175071,207,5026,2008,2791712.0,16392127.0,1.5099209999999998,0.683663,SVN,020329
181597,207,5027,2008,0.0,86750.0,1.5099209999999998,0.683663,SVN,020410
188123,207,5028,2008,45937.0,53654.0,1.5099209999999998,0.683663,SVN,020421
194649,207,5029,2008,78172.0,105055.0,1.5099209999999998,0.683663,SVN,020422
201175,207,5030,2008,3179.0,18170.0,1.5099209999999998,0.683663,SVN,020423
207701,207,5031,2008,0.0,37113.0,1.5099209999999998,0.683663,SVN,020430
214227,207,5032,2008,,,1.5099209999999998,0.683663,SVN,020441
220753,207,5033,2008,19993.0,238270.0,1.5099209999999998,0.683663,SVN,020442
227279,207,5034,2008,18666.0,144430.0,1.5099209999999998,0.683663,SVN,020443
233805,207,5035,2008,269943.0,2165.0,1.5099209999999998,0.683663,SVN,020450
240331,207,5036,2008,16326.0,169147.0,1.5099209999999998,0.683663,SVN,020500
246857,207,5037,2008,76185.0,201748.0,1.5099209999999998,0.683663,SVN,020610
253383,207,5038,2008,31150.0,23213.0,1.5099209999999998,0.683663,SVN,020621
259909,207,5039,2008,11529.0,11654.0,1.5099209999999998,0.683663,SVN,020622
266435,207,5040,2008,222209.0,1276294.0,1.5099209999999998,0.683663,SVN,020629
272961,207,5041,2008,78727.0,152027.0,1.5099209999999998,0.683663,SVN,020630
279487,207,5042,2008,55614.0,21305.0,1.5099209999999998,0.683663,SVN,020641
286013,207,5043,2008,205370.0,635464.0,1.5099209999999998,0.683663,SVN,020649
292539,207,5044,2008,0.0,1213.0,1.5099209999999998,0.683663,SVN,020680
299065,207,5045,2008,,,1.5099209999999998,0.683663,SVN,020690
305591,207,5046,2008,1468204.0,1963369.0,1.5099209999999998,0.683663,SVN,020710
312117,207,5047,2008,4211733.0,2713007.0,1.5099209999999998,0.683663,SVN,020721
318643,207,5048,2008,2774.0,5761.0,1.5099209999999998,0.683663,SVN,020722
325169,207,5049,2008,1415.0,1059263.0,1.5099209999999998,0.683663,SVN,020723
331695,207,5050,2008,0.0,63359.0,1.5099209999999998,0.683663,SVN,020731
338221,207,5051,2008,17071689.0,22478474.0,1.5099209999999998,0.683663,SVN,020739
344747,207,5052,2008,21113554.0,3089555.0,1.5099209999999998,0.683663,SVN,020741
351273,207,5053,2008,437906.0,1254154.0,1.5099209999999998,0.683663,SVN,020742
357799,207,5054,2008,149826.0,378436.0,1.5099209999999998,0.683663,SVN,020743
364325,207,5055,2008,,,1.5099209999999998,0.683663,SVN,020750
370851,207,5056,2008,97285.0,525360.0,1.5099209999999998,0.683663,SVN,020810
377377,207,5057,2008,,,1.5099209999999998,0.683663,SVN,020820
383903,207,5058,2008,12384345.0,8877646.0,1.5099209999999998,0.683663,SVN,020890
390429,207,5059,2008,473682.0,2967911.0,1.5099209999999998,0.683663,SVN,020900
396955,207,5060,2008,541065.0,741286.0,1.5099209999999998,0.683663,SVN,021011
403481,207,5061,2008,448189.0,904365.0,1.5099209999999998,0.683663,SVN,021012
410007,207,5062,2008,6042683.0,7999109.0,1.5099209999999998,0.683663,SVN,021019
416533,207,5063,2008,156504.0,253249.0,1.5099209999999998,0.683663,SVN,021020
423059,207,5064,2008,9212.0,510112.0,1.5099209999999998,0.683663,SVN,021090
429585,207,5065,2008,3623.0,142929.0,1.5099209999999998,0.683663,SVN,030110
436111,207,5066,2008,6221.0,121411.0,1.5099209999999998,0.683663,SVN,030191
442637,207,5067,2008,,,1.5099209999999998,0.683663,SVN,030192
449163,207,5068,2008,0.0,67502.0,1.5099209999999998,0.683663,SVN,030193
455689,207,5069,2008,55369.0,249206.0,1.5099209999999998,0.683663,SVN,030199
462215,207,5070,2008,88330.0,626234.0,1.5099209999999998,0.683663,SVN,030211
468741,207,5071,2008,204581.0,1922189.0,1.5099209999999998,0.683663,SVN,030212
475267,207,5072,2008,5553.0,2874.0,1.5099209999999998,0.683663,SVN,030219
481793,207,5073,2008,,,1.5099209999999998,0.683663,SVN,030221
488319,207,5074,2008,10522.0,0.0,1.5099209999999998,0.683663,SVN,030222
494845,207,5075,2008,43506.0,73483.0,1.5099209999999998,0.683663,SVN,030223
501371,207,5076,2008,110070.0,1663278.0,1.5099209999999998,0.683663,SVN,030229
507897,207,5077,2008,0.0,174586.0,1.5099209999999998,0.683663,SVN,030231
514423,207,5078,2008,0.0,2674.0,1.5099209999999998,0.683663,SVN,030232
520949,207,5079,2008,,,1.5099209999999998,0.683663,SVN,030233
527475,207,5080,2008,2893.0,27691.0,1.5099209999999998,0.683663,SVN,030239
534001,207,5081,2008,0.0,2623.0,1.5099209999999998,0.683663,SVN,030240
540527,207,5082,2008,0.0,36517.0,1.5099209999999998,0.683663,SVN,030250
547053,207,5083,2008,282619.0,248283.0,1.5099209999999998,0.683663,SVN,030261
553579,207,5084,2008,,,1.5099209999999998,0.683663,SVN,030262
560105,207,5085,2008,0.0,4858.0,1.5099209999999998,0.683663,SVN,030263
566631,207,5086,2008,30217.0,437072.0,1.5099209999999998,0.683663,SVN,030264
573157,207,5087,2008,12677.0,32225.0,1.5099209999999998,0.683663,SVN,030265
579683,207,5088,2008,0.0,2822.0,1.5099209999999998,0.683663,SVN,030266
586209,207,5089,2008,1436756.0,7677708.0,1.5099209999999998,0.683663,SVN,030269
592735,207,5090,2008,0.0,39355.0,1.5099209999999998,0.683663,SVN,030270
599261,207,5091,2008,2855.0,37084.0,1.5099209999999998,0.683663,SVN,030310
605787,207,5092,2008,10469.0,250640.0,1.5099209999999998,0.683663,SVN,030321
612313,207,5093,2008,0.0,75531.0,1.5099209999999998,0.683663,SVN,030322
618839,207,5094,2008,0.0,43743.0,1.5099209999999998,0.683663,SVN,030329
625365,207,5095,2008,0.0,44573.0,1.5099209999999998,0.683663,SVN,030331
631891,207,5096,2008,0.0,31107.0,1.5099209999999998,0.683663,SVN,030332
638417,207,5097,2008,80812.0,325265.0,1.5099209999999998,0.683663,SVN,030333
644943,207,5098,2008,2374.0,63470.0,1.5099209999999998,0.683663,SVN,030339
651469,207,5099,2008,0.0,30813.0,1.5099209999999998,0.683663,SVN,030341
657995,207,5100,2008,0.0,12445.0,1.5099209999999998,0.683663,SVN,030342
664521,207,5101,2008,,,1.5099209999999998,0.683663,SVN,030343
671047,207,5102,2008,1436.0,10905.0,1.5099209999999998,0.683663,SVN,030349
677573,207,5103,2008,,,1.5099209999999998,0.683663,SVN,030350
684099,207,5104,2008,0.0,15348.0,1.5099209999999998,0.683663,SVN,030360
690625,207,5105,2008,58986.0,384937.0,1.5099209999999998,0.683663,SVN,030371
697151,207,5106,2008,,,1.5099209999999998,0.683663,SVN,030372
703677,207,5107,2008,,,1.5099209999999998,0.683663,SVN,030373
710203,207,5108,2008,28722.0,1198098.0,1.5099209999999998,0.683663,SVN,030374
716729,207,5109,2008,2629.0,93867.0,1.5099209999999998,0.683663,SVN,030375
723255,207,5110,2008,0.0,1990.0,1.5099209999999998,0.683663,SVN,030376
729781,207,5111,2008,0.0,21699.0,1.5099209999999998,0.683663,SVN,030377
736307,207,5112,2008,124769.0,260548.0,1.5099209999999998,0.683663,SVN,030378
742833,207,5113,2008,107221.0,1548038.0,1.5099209999999998,0.683663,SVN,030379
749359,207,5114,2008,,,1.5099209999999998,0.683663,SVN,030380
755885,207,5115,2008,72367.0,3100046.0,1.5099209999999998,0.683663,SVN,030410
762411,207,5116,2008,2382949.0,9402757.0,1.5099209999999998,0.683663,SVN,030420
768937,207,5117,2008,14300.0,577715.0,1.5099209999999998,0.683663,SVN,030490
775463,207,5118,2008,0.0,24484.0,1.5099209999999998,0.683663,SVN,030510
781989,207,5119,2008,0.0,20229.0,1.5099209999999998,0.683663,SVN,030520
788515,207,5120,2008,0.0,36297.0,1.5099209999999998,0.683663,SVN,030530
795041,207,5121,2008,63418.0,646460.0,1.5099209999999998,0.683663,SVN,030541
801567,207,5122,2008,0.0,4294.0,1.5099209999999998,0.683663,SVN,030542
808093,207,5123,2008,343549.0,173381.0,1.5099209999999998,0.683663,SVN,030549
814619,207,5124,2008,0.0,387045.0,1.5099209999999998,0.683663,SVN,030551
821145,207,5125,2008,0.0,8307.0,1.5099209999999998,0.683663,SVN,030559
