,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5500,211,5000,2009,,,-0.16046400000000002,-0.81512,SYC,010111
12026,211,5001,2009,,,-0.16046400000000002,-0.81512,SYC,010119
18552,211,5002,2009,,,-0.16046400000000002,-0.81512,SYC,010120
25078,211,5003,2009,,,-0.16046400000000002,-0.81512,SYC,010210
31604,211,5004,2009,,,-0.16046400000000002,-0.81512,SYC,010290
38130,211,5005,2009,,,-0.16046400000000002,-0.81512,SYC,010310
44656,211,5006,2009,,,-0.16046400000000002,-0.81512,SYC,010391
51182,211,5007,2009,,,-0.16046400000000002,-0.81512,SYC,010392
57708,211,5008,2009,,,-0.16046400000000002,-0.81512,SYC,010410
64234,211,5009,2009,,,-0.16046400000000002,-0.81512,SYC,010420
70760,211,5010,2009,,,-0.16046400000000002,-0.81512,SYC,010511
77286,211,5011,2009,,,-0.16046400000000002,-0.81512,SYC,010519
83812,211,5012,2009,,,-0.16046400000000002,-0.81512,SYC,010591
90338,211,5013,2009,,,-0.16046400000000002,-0.81512,SYC,010599
96864,211,5014,2009,51664.0,1393.0,-0.16046400000000002,-0.81512,SYC,010600
103390,211,5015,2009,,,-0.16046400000000002,-0.81512,SYC,020110
109916,211,5016,2009,0.0,20987.0,-0.16046400000000002,-0.81512,SYC,020120
116442,211,5017,2009,0.0,181157.0,-0.16046400000000002,-0.81512,SYC,020130
122968,211,5018,2009,,,-0.16046400000000002,-0.81512,SYC,020210
129494,211,5019,2009,0.0,29846.0,-0.16046400000000002,-0.81512,SYC,020220
136020,211,5020,2009,11239.0,1383118.0,-0.16046400000000002,-0.81512,SYC,020230
142546,211,5021,2009,,,-0.16046400000000002,-0.81512,SYC,020311
149072,211,5022,2009,0.0,6778.0,-0.16046400000000002,-0.81512,SYC,020312
155598,211,5023,2009,5948.0,0.0,-0.16046400000000002,-0.81512,SYC,020319
162124,211,5024,2009,0.0,41622.0,-0.16046400000000002,-0.81512,SYC,020321
168650,211,5025,2009,0.0,87475.0,-0.16046400000000002,-0.81512,SYC,020322
175176,211,5026,2009,0.0,1665672.0,-0.16046400000000002,-0.81512,SYC,020329
181702,211,5027,2009,,,-0.16046400000000002,-0.81512,SYC,020410
188228,211,5028,2009,,,-0.16046400000000002,-0.81512,SYC,020421
194754,211,5029,2009,0.0,72276.0,-0.16046400000000002,-0.81512,SYC,020422
201280,211,5030,2009,,,-0.16046400000000002,-0.81512,SYC,020423
207806,211,5031,2009,0.0,30179.0,-0.16046400000000002,-0.81512,SYC,020430
214332,211,5032,2009,0.0,18160.0,-0.16046400000000002,-0.81512,SYC,020441
220858,211,5033,2009,0.0,332875.0,-0.16046400000000002,-0.81512,SYC,020442
227384,211,5034,2009,0.0,39828.0,-0.16046400000000002,-0.81512,SYC,020443
233910,211,5035,2009,0.0,300041.0,-0.16046400000000002,-0.81512,SYC,020450
240436,211,5036,2009,,,-0.16046400000000002,-0.81512,SYC,020500
246962,211,5037,2009,5183.0,25248.0,-0.16046400000000002,-0.81512,SYC,020610
253488,211,5038,2009,,,-0.16046400000000002,-0.81512,SYC,020621
260014,211,5039,2009,0.0,5112.0,-0.16046400000000002,-0.81512,SYC,020622
266540,211,5040,2009,0.0,24176.0,-0.16046400000000002,-0.81512,SYC,020629
273066,211,5041,2009,,,-0.16046400000000002,-0.81512,SYC,020630
279592,211,5042,2009,,,-0.16046400000000002,-0.81512,SYC,020641
286118,211,5043,2009,,,-0.16046400000000002,-0.81512,SYC,020649
292644,211,5044,2009,,,-0.16046400000000002,-0.81512,SYC,020680
299170,211,5045,2009,,,-0.16046400000000002,-0.81512,SYC,020690
305696,211,5046,2009,0.0,4627.0,-0.16046400000000002,-0.81512,SYC,020710
312222,211,5047,2009,0.0,1316619.0,-0.16046400000000002,-0.81512,SYC,020721
318748,211,5048,2009,0.0,7754.0,-0.16046400000000002,-0.81512,SYC,020722
325274,211,5049,2009,0.0,2369.0,-0.16046400000000002,-0.81512,SYC,020723
331800,211,5050,2009,,,-0.16046400000000002,-0.81512,SYC,020731
338326,211,5051,2009,0.0,10497.0,-0.16046400000000002,-0.81512,SYC,020739
344852,211,5052,2009,46250.0,635061.0,-0.16046400000000002,-0.81512,SYC,020741
351378,211,5053,2009,,,-0.16046400000000002,-0.81512,SYC,020742
357904,211,5054,2009,0.0,17312.0,-0.16046400000000002,-0.81512,SYC,020743
364430,211,5055,2009,,,-0.16046400000000002,-0.81512,SYC,020750
370956,211,5056,2009,,,-0.16046400000000002,-0.81512,SYC,020810
377482,211,5057,2009,,,-0.16046400000000002,-0.81512,SYC,020820
384008,211,5058,2009,22068.0,8194.0,-0.16046400000000002,-0.81512,SYC,020890
390534,211,5059,2009,0.0,169403.0,-0.16046400000000002,-0.81512,SYC,020900
397060,211,5060,2009,,,-0.16046400000000002,-0.81512,SYC,021011
403586,211,5061,2009,0.0,12673.0,-0.16046400000000002,-0.81512,SYC,021012
410112,211,5062,2009,0.0,10280.0,-0.16046400000000002,-0.81512,SYC,021019
416638,211,5063,2009,0.0,43115.0,-0.16046400000000002,-0.81512,SYC,021020
423164,211,5064,2009,0.0,26799.0,-0.16046400000000002,-0.81512,SYC,021090
429690,211,5065,2009,,,-0.16046400000000002,-0.81512,SYC,030110
436216,211,5066,2009,,,-0.16046400000000002,-0.81512,SYC,030191
442742,211,5067,2009,,,-0.16046400000000002,-0.81512,SYC,030192
449268,211,5068,2009,,,-0.16046400000000002,-0.81512,SYC,030193
455794,211,5069,2009,,,-0.16046400000000002,-0.81512,SYC,030199
462320,211,5070,2009,,,-0.16046400000000002,-0.81512,SYC,030211
468846,211,5071,2009,0.0,8697.0,-0.16046400000000002,-0.81512,SYC,030212
475372,211,5072,2009,30289.0,0.0,-0.16046400000000002,-0.81512,SYC,030219
481898,211,5073,2009,,,-0.16046400000000002,-0.81512,SYC,030221
488424,211,5074,2009,,,-0.16046400000000002,-0.81512,SYC,030222
494950,211,5075,2009,,,-0.16046400000000002,-0.81512,SYC,030223
501476,211,5076,2009,,,-0.16046400000000002,-0.81512,SYC,030229
508002,211,5077,2009,,,-0.16046400000000002,-0.81512,SYC,030231
514528,211,5078,2009,23604.0,0.0,-0.16046400000000002,-0.81512,SYC,030232
521054,211,5079,2009,,,-0.16046400000000002,-0.81512,SYC,030233
527580,211,5080,2009,12481.0,0.0,-0.16046400000000002,-0.81512,SYC,030239
534106,211,5081,2009,,,-0.16046400000000002,-0.81512,SYC,030240
540632,211,5082,2009,,,-0.16046400000000002,-0.81512,SYC,030250
547158,211,5083,2009,,,-0.16046400000000002,-0.81512,SYC,030261
553684,211,5084,2009,,,-0.16046400000000002,-0.81512,SYC,030262
560210,211,5085,2009,,,-0.16046400000000002,-0.81512,SYC,030263
566736,211,5086,2009,,,-0.16046400000000002,-0.81512,SYC,030264
573262,211,5087,2009,2378.0,0.0,-0.16046400000000002,-0.81512,SYC,030265
579788,211,5088,2009,,,-0.16046400000000002,-0.81512,SYC,030266
586314,211,5089,2009,1032185.0,41680.0,-0.16046400000000002,-0.81512,SYC,030269
592840,211,5090,2009,,,-0.16046400000000002,-0.81512,SYC,030270
599366,211,5091,2009,2380.0,0.0,-0.16046400000000002,-0.81512,SYC,030310
605892,211,5092,2009,,,-0.16046400000000002,-0.81512,SYC,030321
612418,211,5093,2009,,,-0.16046400000000002,-0.81512,SYC,030322
618944,211,5094,2009,0.0,13847.0,-0.16046400000000002,-0.81512,SYC,030329
625470,211,5095,2009,,,-0.16046400000000002,-0.81512,SYC,030331
631996,211,5096,2009,,,-0.16046400000000002,-0.81512,SYC,030332
638522,211,5097,2009,,,-0.16046400000000002,-0.81512,SYC,030333
645048,211,5098,2009,,,-0.16046400000000002,-0.81512,SYC,030339
651574,211,5099,2009,2303952.0,6421599.0,-0.16046400000000002,-0.81512,SYC,030341
658100,211,5100,2009,13447303.0,29133361.0,-0.16046400000000002,-0.81512,SYC,030342
664626,211,5101,2009,18114823.0,36851630.0,-0.16046400000000002,-0.81512,SYC,030343
671152,211,5102,2009,26215252.0,5495796.0,-0.16046400000000002,-0.81512,SYC,030349
677678,211,5103,2009,0.0,37317.0,-0.16046400000000002,-0.81512,SYC,030350
684204,211,5104,2009,,,-0.16046400000000002,-0.81512,SYC,030360
690730,211,5105,2009,,,-0.16046400000000002,-0.81512,SYC,030371
697256,211,5106,2009,,,-0.16046400000000002,-0.81512,SYC,030372
703782,211,5107,2009,,,-0.16046400000000002,-0.81512,SYC,030373
710308,211,5108,2009,0.0,127024.0,-0.16046400000000002,-0.81512,SYC,030374
716834,211,5109,2009,,,-0.16046400000000002,-0.81512,SYC,030375
