,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5557,213,5000,2014,,,0.474182,-0.198892,TCA,010111
12083,213,5001,2014,0.0,1526.0,0.474182,-0.198892,TCA,010119
18609,213,5002,2014,,,0.474182,-0.198892,TCA,010120
25135,213,5003,2014,,,0.474182,-0.198892,TCA,010210
31661,213,5004,2014,,,0.474182,-0.198892,TCA,010290
38187,213,5005,2014,,,0.474182,-0.198892,TCA,010310
44713,213,5006,2014,,,0.474182,-0.198892,TCA,010391
51239,213,5007,2014,,,0.474182,-0.198892,TCA,010392
57765,213,5008,2014,,,0.474182,-0.198892,TCA,010410
64291,213,5009,2014,0.0,6246.0,0.474182,-0.198892,TCA,010420
70817,213,5010,2014,,,0.474182,-0.198892,TCA,010511
77343,213,5011,2014,,,0.474182,-0.198892,TCA,010519
83869,213,5012,2014,,,0.474182,-0.198892,TCA,010591
90395,213,5013,2014,,,0.474182,-0.198892,TCA,010599
96921,213,5014,2014,0.0,1101.0,0.474182,-0.198892,TCA,010600
103447,213,5015,2014,0.0,13132.0,0.474182,-0.198892,TCA,020110
109973,213,5016,2014,0.0,84027.0,0.474182,-0.198892,TCA,020120
116499,213,5017,2014,0.0,364646.0,0.474182,-0.198892,TCA,020130
123025,213,5018,2014,0.0,2897.0,0.474182,-0.198892,TCA,020210
129551,213,5019,2014,0.0,1137935.0,0.474182,-0.198892,TCA,020220
136077,213,5020,2014,0.0,1643335.0,0.474182,-0.198892,TCA,020230
142603,213,5021,2014,,,0.474182,-0.198892,TCA,020311
149129,213,5022,2014,0.0,22920.0,0.474182,-0.198892,TCA,020312
155655,213,5023,2014,0.0,5093.0,0.474182,-0.198892,TCA,020319
162181,213,5024,2014,,,0.474182,-0.198892,TCA,020321
168707,213,5025,2014,0.0,41764.0,0.474182,-0.198892,TCA,020322
175233,213,5026,2014,0.0,630389.0,0.474182,-0.198892,TCA,020329
181759,213,5027,2014,,,0.474182,-0.198892,TCA,020410
188285,213,5028,2014,,,0.474182,-0.198892,TCA,020421
194811,213,5029,2014,0.0,5850.0,0.474182,-0.198892,TCA,020422
201337,213,5030,2014,,,0.474182,-0.198892,TCA,020423
207863,213,5031,2014,0.0,69909.0,0.474182,-0.198892,TCA,020430
214389,213,5032,2014,,,0.474182,-0.198892,TCA,020441
220915,213,5033,2014,0.0,244068.0,0.474182,-0.198892,TCA,020442
227441,213,5034,2014,,,0.474182,-0.198892,TCA,020443
233967,213,5035,2014,0.0,9820.0,0.474182,-0.198892,TCA,020450
240493,213,5036,2014,,,0.474182,-0.198892,TCA,020500
247019,213,5037,2014,0.0,4728.0,0.474182,-0.198892,TCA,020610
253545,213,5038,2014,,,0.474182,-0.198892,TCA,020621
