,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5600,215,5000,2005,0.0,814.0,-0.745209,-0.455725,TGO,010111
12126,215,5001,2005,0.0,5030.0,-0.745209,-0.455725,TGO,010119
18652,215,5002,2005,,,-0.745209,-0.455725,TGO,010120
25178,215,5003,2005,0.0,3404.0,-0.745209,-0.455725,TGO,010210
31704,215,5004,2005,0.0,52160.0,-0.745209,-0.455725,TGO,010290
38230,215,5005,2005,,,-0.745209,-0.455725,TGO,010310
44756,215,5006,2005,0.0,436.0,-0.745209,-0.455725,TGO,010391
51282,215,5007,2005,,,-0.745209,-0.455725,TGO,010392
57808,215,5008,2005,0.0,27873.0,-0.745209,-0.455725,TGO,010410
64334,215,5009,2005,0.0,17912.0,-0.745209,-0.455725,TGO,010420
70860,215,5010,2005,0.0,78521.0,-0.745209,-0.455725,TGO,010511
77386,215,5011,2005,15467.0,0.0,-0.745209,-0.455725,TGO,010519
83912,215,5012,2005,,,-0.745209,-0.455725,TGO,010591
90438,215,5013,2005,,,-0.745209,-0.455725,TGO,010599
96964,215,5014,2005,736388.0,0.0,-0.745209,-0.455725,TGO,010600
103490,215,5015,2005,,,-0.745209,-0.455725,TGO,020110
110016,215,5016,2005,0.0,9674.0,-0.745209,-0.455725,TGO,020120
116542,215,5017,2005,,,-0.745209,-0.455725,TGO,020130
123068,215,5018,2005,,,-0.745209,-0.455725,TGO,020210
129594,215,5019,2005,,,-0.745209,-0.455725,TGO,020220
136120,215,5020,2005,596712.0,20919.0,-0.745209,-0.455725,TGO,020230
142646,215,5021,2005,,,-0.745209,-0.455725,TGO,020311
149172,215,5022,2005,0.0,27804.0,-0.745209,-0.455725,TGO,020312
155698,215,5023,2005,,,-0.745209,-0.455725,TGO,020319
162224,215,5024,2005,,,-0.745209,-0.455725,TGO,020321
168750,215,5025,2005,,,-0.745209,-0.455725,TGO,020322
175276,215,5026,2005,0.0,29619.0,-0.745209,-0.455725,TGO,020329
181802,215,5027,2005,,,-0.745209,-0.455725,TGO,020410
188328,215,5028,2005,,,-0.745209,-0.455725,TGO,020421
194854,215,5029,2005,,,-0.745209,-0.455725,TGO,020422
201380,215,5030,2005,,,-0.745209,-0.455725,TGO,020423
207906,215,5031,2005,,,-0.745209,-0.455725,TGO,020430
214432,215,5032,2005,,,-0.745209,-0.455725,TGO,020441
220958,215,5033,2005,196015.0,2355.0,-0.745209,-0.455725,TGO,020442
227484,215,5034,2005,,,-0.745209,-0.455725,TGO,020443
234010,215,5035,2005,,,-0.745209,-0.455725,TGO,020450
240536,215,5036,2005,,,-0.745209,-0.455725,TGO,020500
247062,215,5037,2005,0.0,3574.0,-0.745209,-0.455725,TGO,020610
253588,215,5038,2005,,,-0.745209,-0.455725,TGO,020621
260114,215,5039,2005,391287.0,0.0,-0.745209,-0.455725,TGO,020622
266640,215,5040,2005,0.0,2567.0,-0.745209,-0.455725,TGO,020629
273166,215,5041,2005,0.0,2618.0,-0.745209,-0.455725,TGO,020630
279692,215,5042,2005,,,-0.745209,-0.455725,TGO,020641
286218,215,5043,2005,0.0,34215.0,-0.745209,-0.455725,TGO,020649
292744,215,5044,2005,,,-0.745209,-0.455725,TGO,020680
299270,215,5045,2005,,,-0.745209,-0.455725,TGO,020690
305796,215,5046,2005,0.0,170381.0,-0.745209,-0.455725,TGO,020710
312322,215,5047,2005,0.0,1006299.0,-0.745209,-0.455725,TGO,020721
318848,215,5048,2005,,,-0.745209,-0.455725,TGO,020722
325374,215,5049,2005,0.0,27089.0,-0.745209,-0.455725,TGO,020723
331900,215,5050,2005,0.0,1178.0,-0.745209,-0.455725,TGO,020731
338426,215,5051,2005,0.0,680769.0,-0.745209,-0.455725,TGO,020739
344952,215,5052,2005,0.0,2540400.0,-0.745209,-0.455725,TGO,020741
351478,215,5053,2005,0.0,1521203.0,-0.745209,-0.455725,TGO,020742
358004,215,5054,2005,0.0,527161.0,-0.745209,-0.455725,TGO,020743
364530,215,5055,2005,,,-0.745209,-0.455725,TGO,020750
371056,215,5056,2005,0.0,1256.0,-0.745209,-0.455725,TGO,020810
377582,215,5057,2005,,,-0.745209,-0.455725,TGO,020820
384108,215,5058,2005,0.0,3687.0,-0.745209,-0.455725,TGO,020890
390634,215,5059,2005,,,-0.745209,-0.455725,TGO,020900
397160,215,5060,2005,,,-0.745209,-0.455725,TGO,021011
403686,215,5061,2005,,,-0.745209,-0.455725,TGO,021012
410212,215,5062,2005,0.0,10874.0,-0.745209,-0.455725,TGO,021019
416738,215,5063,2005,0.0,9217.0,-0.745209,-0.455725,TGO,021020
423264,215,5064,2005,1064.0,42513.0,-0.745209,-0.455725,TGO,021090
429790,215,5065,2005,2908.0,1255.0,-0.745209,-0.455725,TGO,030110
436316,215,5066,2005,,,-0.745209,-0.455725,TGO,030191
442842,215,5067,2005,,,-0.745209,-0.455725,TGO,030192
449368,215,5068,2005,,,-0.745209,-0.455725,TGO,030193
455894,215,5069,2005,0.0,1183.0,-0.745209,-0.455725,TGO,030199
462420,215,5070,2005,,,-0.745209,-0.455725,TGO,030211
468946,215,5071,2005,,,-0.745209,-0.455725,TGO,030212
475472,215,5072,2005,0.0,16607.0,-0.745209,-0.455725,TGO,030219
481998,215,5073,2005,,,-0.745209,-0.455725,TGO,030221
488524,215,5074,2005,,,-0.745209,-0.455725,TGO,030222
495050,215,5075,2005,,,-0.745209,-0.455725,TGO,030223
501576,215,5076,2005,,,-0.745209,-0.455725,TGO,030229
508102,215,5077,2005,,,-0.745209,-0.455725,TGO,030231
514628,215,5078,2005,,,-0.745209,-0.455725,TGO,030232
521154,215,5079,2005,,,-0.745209,-0.455725,TGO,030233
527680,215,5080,2005,0.0,19532.0,-0.745209,-0.455725,TGO,030239
534206,215,5081,2005,,,-0.745209,-0.455725,TGO,030240
540732,215,5082,2005,,,-0.745209,-0.455725,TGO,030250
547258,215,5083,2005,,,-0.745209,-0.455725,TGO,030261
553784,215,5084,2005,,,-0.745209,-0.455725,TGO,030262
560310,215,5085,2005,,,-0.745209,-0.455725,TGO,030263
566836,215,5086,2005,,,-0.745209,-0.455725,TGO,030264
573362,215,5087,2005,,,-0.745209,-0.455725,TGO,030265
579888,215,5088,2005,,,-0.745209,-0.455725,TGO,030266
586414,215,5089,2005,,,-0.745209,-0.455725,TGO,030269
592940,215,5090,2005,,,-0.745209,-0.455725,TGO,030270
599466,215,5091,2005,,,-0.745209,-0.455725,TGO,030310
605992,215,5092,2005,,,-0.745209,-0.455725,TGO,030321
612518,215,5093,2005,,,-0.745209,-0.455725,TGO,030322
619044,215,5094,2005,0.0,9166.0,-0.745209,-0.455725,TGO,030329
625570,215,5095,2005,,,-0.745209,-0.455725,TGO,030331
632096,215,5096,2005,,,-0.745209,-0.455725,TGO,030332
638622,215,5097,2005,,,-0.745209,-0.455725,TGO,030333
645148,215,5098,2005,726.0,37118.0,-0.745209,-0.455725,TGO,030339
651674,215,5099,2005,,,-0.745209,-0.455725,TGO,030341
658200,215,5100,2005,,,-0.745209,-0.455725,TGO,030342
664726,215,5101,2005,,,-0.745209,-0.455725,TGO,030343
671252,215,5102,2005,,,-0.745209,-0.455725,TGO,030349
677778,215,5103,2005,,,-0.745209,-0.455725,TGO,030350
684304,215,5104,2005,,,-0.745209,-0.455725,TGO,030360
690830,215,5105,2005,,,-0.745209,-0.455725,TGO,030371
697356,215,5106,2005,,,-0.745209,-0.455725,TGO,030372
703882,215,5107,2005,,,-0.745209,-0.455725,TGO,030373
710408,215,5108,2005,6948.0,3235047.0,-0.745209,-0.455725,TGO,030374
716934,215,5109,2005,448735.0,0.0,-0.745209,-0.455725,TGO,030375
723460,215,5110,2005,,,-0.745209,-0.455725,TGO,030376
729986,215,5111,2005,,,-0.745209,-0.455725,TGO,030377
736512,215,5112,2005,,,-0.745209,-0.455725,TGO,030378
743038,215,5113,2005,2615673.0,1971865.0,-0.745209,-0.455725,TGO,030379
749564,215,5114,2005,9753.0,0.0,-0.745209,-0.455725,TGO,030380
756090,215,5115,2005,,,-0.745209,-0.455725,TGO,030410
762616,215,5116,2005,89051.0,0.0,-0.745209,-0.455725,TGO,030420
769142,215,5117,2005,0.0,70851.0,-0.745209,-0.455725,TGO,030490
775668,215,5118,2005,,,-0.745209,-0.455725,TGO,030510
782194,215,5119,2005,,,-0.745209,-0.455725,TGO,030520
788720,215,5120,2005,,,-0.745209,-0.455725,TGO,030530
795246,215,5121,2005,0.0,3935.0,-0.745209,-0.455725,TGO,030541
801772,215,5122,2005,,,-0.745209,-0.455725,TGO,030542
808298,215,5123,2005,994.0,0.0,-0.745209,-0.455725,TGO,030549
814824,215,5124,2005,,,-0.745209,-0.455725,TGO,030551
821350,215,5125,2005,2347997.0,31444.0,-0.745209,-0.455725,TGO,030559
827876,215,5126,2005,,,-0.745209,-0.455725,TGO,030561
834402,215,5127,2005,,,-0.745209,-0.455725,TGO,030562
840928,215,5128,2005,,,-0.745209,-0.455725,TGO,030563
847454,215,5129,2005,0.0,9123.0,-0.745209,-0.455725,TGO,030569
853980,215,5130,2005,,,-0.745209,-0.455725,TGO,030611
860506,215,5131,2005,,,-0.745209,-0.455725,TGO,030612
867032,215,5132,2005,,,-0.745209,-0.455725,TGO,030613
873558,215,5133,2005,0.0,9147.0,-0.745209,-0.455725,TGO,030614
880084,215,5134,2005,,,-0.745209,-0.455725,TGO,030619
886610,215,5135,2005,,,-0.745209,-0.455725,TGO,030621
893136,215,5136,2005,,,-0.745209,-0.455725,TGO,030622
899662,215,5137,2005,,,-0.745209,-0.455725,TGO,030623
906188,215,5138,2005,,,-0.745209,-0.455725,TGO,030624
912714,215,5139,2005,,,-0.745209,-0.455725,TGO,030629
919240,215,5140,2005,0.0,5445.0,-0.745209,-0.455725,TGO,030710
925766,215,5141,2005,3449.0,2355.0,-0.745209,-0.455725,TGO,030721
932292,215,5142,2005,1725.0,0.0,-0.745209,-0.455725,TGO,030729
938818,215,5143,2005,,,-0.745209,-0.455725,TGO,030731
945344,215,5144,2005,,,-0.745209,-0.455725,TGO,030739
951870,215,5145,2005,1246.0,0.0,-0.745209,-0.455725,TGO,030741
958396,215,5146,2005,,,-0.745209,-0.455725,TGO,030749
964922,215,5147,2005,,,-0.745209,-0.455725,TGO,030751
971448,215,5148,2005,,,-0.745209,-0.455725,TGO,030759
977974,215,5149,2005,,,-0.745209,-0.455725,TGO,030760
984500,215,5150,2005,16383.0,0.0,-0.745209,-0.455725,TGO,030791
991026,215,5151,2005,,,-0.745209,-0.455725,TGO,030799
997552,215,5152,2005,0.0,57599.0,-0.745209,-0.455725,TGO,040110
1004078,215,5153,2005,0.0,275392.0,-0.745209,-0.455725,TGO,040120
1010604,215,5154,2005,0.0,39379.0,-0.745209,-0.455725,TGO,040130
1017130,215,5155,2005,1042294.0,1049583.0,-0.745209,-0.455725,TGO,040210
1023656,215,5156,2005,91223.0,3578854.0,-0.745209,-0.455725,TGO,040221
1030182,215,5157,2005,1696610.0,275167.0,-0.745209,-0.455725,TGO,040229
1036708,215,5158,2005,118431.0,4965094.0,-0.745209,-0.455725,TGO,040291
1043234,215,5159,2005,219590.0,610364.0,-0.745209,-0.455725,TGO,040299
1049760,215,5160,2005,1412769.0,20312.0,-0.745209,-0.455725,TGO,040310
1056286,215,5161,2005,233083.0,28753.0,-0.745209,-0.455725,TGO,040390
1062812,215,5162,2005,34787.0,138474.0,-0.745209,-0.455725,TGO,040410
1069338,215,5163,2005,448237.0,22908.0,-0.745209,-0.455725,TGO,040490
1075864,215,5164,2005,1411969.0,188137.0,-0.745209,-0.455725,TGO,040500
1082390,215,5165,2005,22465.0,1134.0,-0.745209,-0.455725,TGO,040610
1088916,215,5166,2005,,,-0.745209,-0.455725,TGO,040620
1095442,215,5167,2005,0.0,19314.0,-0.745209,-0.455725,TGO,040630
1101968,215,5168,2005,,,-0.745209,-0.455725,TGO,040640
1108494,215,5169,2005,694659.0,117042.0,-0.745209,-0.455725,TGO,040690
1115020,215,5170,2005,3082.0,0.0,-0.745209,-0.455725,TGO,040700
1121546,215,5171,2005,,,-0.745209,-0.455725,TGO,040811
1128072,215,5172,2005,0.0,6680.0,-0.745209,-0.455725,TGO,040819
1134598,215,5173,2005,,,-0.745209,-0.455725,TGO,040891
1141124,215,5174,2005,,,-0.745209,-0.455725,TGO,040899
1147650,215,5175,2005,,,-0.745209,-0.455725,TGO,040900
1154176,215,5176,2005,,,-0.745209,-0.455725,TGO,041000
1160702,215,5177,2005,,,-0.745209,-0.455725,TGO,050100
1167228,215,5178,2005,,,-0.745209,-0.455725,TGO,050210
1173754,215,5179,2005,,,-0.745209,-0.455725,TGO,050290
1180280,215,5180,2005,,,-0.745209,-0.455725,TGO,050300
1186806,215,5181,2005,0.0,78051.0,-0.745209,-0.455725,TGO,050400
1193332,215,5182,2005,,,-0.745209,-0.455725,TGO,050510
1199858,215,5183,2005,,,-0.745209,-0.455725,TGO,050590
1206384,215,5184,2005,,,-0.745209,-0.455725,TGO,050610
1212910,215,5185,2005,,,-0.745209,-0.455725,TGO,050690
1219436,215,5186,2005,,,-0.745209,-0.455725,TGO,050710
1225962,215,5187,2005,,,-0.745209,-0.455725,TGO,050790
1232488,215,5188,2005,0.0,595.0,-0.745209,-0.455725,TGO,050800
1239014,215,5189,2005,,,-0.745209,-0.455725,TGO,050900
1245540,215,5190,2005,2677.0,0.0,-0.745209,-0.455725,TGO,051000
1252066,215,5191,2005,,,-0.745209,-0.455725,TGO,051110
1258592,215,5192,2005,,,-0.745209,-0.455725,TGO,051191
1265118,215,5193,2005,,,-0.745209,-0.455725,TGO,051199
1271644,215,5194,2005,10156.0,89715.0,-0.745209,-0.455725,TGO,060110
1278170,215,5195,2005,,,-0.745209,-0.455725,TGO,060120
1284696,215,5196,2005,765666.0,0.0,-0.745209,-0.455725,TGO,060210
1291222,215,5197,2005,,,-0.745209,-0.455725,TGO,060220
1297748,215,5198,2005,,,-0.745209,-0.455725,TGO,060230
1304274,215,5199,2005,,,-0.745209,-0.455725,TGO,060240
1310800,215,5200,2005,,,-0.745209,-0.455725,TGO,060291
1317326,215,5201,2005,46900.0,0.0,-0.745209,-0.455725,TGO,060299
1323852,215,5202,2005,42358.0,0.0,-0.745209,-0.455725,TGO,060310
1330378,215,5203,2005,10709.0,0.0,-0.745209,-0.455725,TGO,060390
1336904,215,5204,2005,,,-0.745209,-0.455725,TGO,060410
1343430,215,5205,2005,,,-0.745209,-0.455725,TGO,060491
1349956,215,5206,2005,,,-0.745209,-0.455725,TGO,060499
1356482,215,5207,2005,180958.0,81442.0,-0.745209,-0.455725,TGO,070110
1363008,215,5208,2005,93473.0,1269554.0,-0.745209,-0.455725,TGO,070190
1369534,215,5209,2005,798.0,15129.0,-0.745209,-0.455725,TGO,070200
1376060,215,5210,2005,0.0,427266.0,-0.745209,-0.455725,TGO,070310
1382586,215,5211,2005,61754.0,270026.0,-0.745209,-0.455725,TGO,070320
1389112,215,5212,2005,,,-0.745209,-0.455725,TGO,070390
1395638,215,5213,2005,,,-0.745209,-0.455725,TGO,070410
1402164,215,5214,2005,,,-0.745209,-0.455725,TGO,070420
1408690,215,5215,2005,0.0,2406.0,-0.745209,-0.455725,TGO,070490
1415216,215,5216,2005,,,-0.745209,-0.455725,TGO,070511
1421742,215,5217,2005,,,-0.745209,-0.455725,TGO,070519
1428268,215,5218,2005,,,-0.745209,-0.455725,TGO,070521
1434794,215,5219,2005,,,-0.745209,-0.455725,TGO,070529
1441320,215,5220,2005,,,-0.745209,-0.455725,TGO,070610
1447846,215,5221,2005,,,-0.745209,-0.455725,TGO,070690
1454372,215,5222,2005,,,-0.745209,-0.455725,TGO,070700
1460898,215,5223,2005,,,-0.745209,-0.455725,TGO,070810
1467424,215,5224,2005,,,-0.745209,-0.455725,TGO,070820
1473950,215,5225,2005,,,-0.745209,-0.455725,TGO,070890
1480476,215,5226,2005,,,-0.745209,-0.455725,TGO,070910
1487002,215,5227,2005,,,-0.745209,-0.455725,TGO,070920
1493528,215,5228,2005,8114.0,0.0,-0.745209,-0.455725,TGO,070930
1500054,215,5229,2005,0.0,1203.0,-0.745209,-0.455725,TGO,070940
1506580,215,5230,2005,,,-0.745209,-0.455725,TGO,070951
1513106,215,5231,2005,,,-0.745209,-0.455725,TGO,070952
1519632,215,5232,2005,1337.0,0.0,-0.745209,-0.455725,TGO,070960
1526158,215,5233,2005,994.0,0.0,-0.745209,-0.455725,TGO,070970
1532684,215,5234,2005,1565197.0,13629.0,-0.745209,-0.455725,TGO,070990
1539210,215,5235,2005,47056.0,4342.0,-0.745209,-0.455725,TGO,071010
1545736,215,5236,2005,,,-0.745209,-0.455725,TGO,071021
1552262,215,5237,2005,,,-0.745209,-0.455725,TGO,071022
1558788,215,5238,2005,,,-0.745209,-0.455725,TGO,071029
1565314,215,5239,2005,,,-0.745209,-0.455725,TGO,071030
1571840,215,5240,2005,,,-0.745209,-0.455725,TGO,071040
1578366,215,5241,2005,11906.0,3534.0,-0.745209,-0.455725,TGO,071080
1584892,215,5242,2005,0.0,2060.0,-0.745209,-0.455725,TGO,071090
1591418,215,5243,2005,,,-0.745209,-0.455725,TGO,071110
1597944,215,5244,2005,0.0,25674.0,-0.745209,-0.455725,TGO,071120
1604470,215,5245,2005,,,-0.745209,-0.455725,TGO,071130
1610996,215,5246,2005,,,-0.745209,-0.455725,TGO,071140
1617522,215,5247,2005,0.0,595.0,-0.745209,-0.455725,TGO,071190
1624048,215,5248,2005,,,-0.745209,-0.455725,TGO,071210
1630574,215,5249,2005,11234.0,7545.0,-0.745209,-0.455725,TGO,071220
1637100,215,5250,2005,902.0,2355.0,-0.745209,-0.455725,TGO,071230
1643626,215,5251,2005,4752.0,78461.0,-0.745209,-0.455725,TGO,071290
1650152,215,5252,2005,0.0,15103.0,-0.745209,-0.455725,TGO,071310
1656678,215,5253,2005,,,-0.745209,-0.455725,TGO,071320
1663204,215,5254,2005,,,-0.745209,-0.455725,TGO,071331
1669730,215,5255,2005,0.0,16664.0,-0.745209,-0.455725,TGO,071332
1676256,215,5256,2005,1420.0,0.0,-0.745209,-0.455725,TGO,071333
1682782,215,5257,2005,2278.0,0.0,-0.745209,-0.455725,TGO,071339
1689308,215,5258,2005,,,-0.745209,-0.455725,TGO,071340
1695834,215,5259,2005,,,-0.745209,-0.455725,TGO,071350
1702360,215,5260,2005,0.0,3135.0,-0.745209,-0.455725,TGO,071390
1708886,215,5261,2005,12642.0,0.0,-0.745209,-0.455725,TGO,071410
1715412,215,5262,2005,39548.0,0.0,-0.745209,-0.455725,TGO,071420
1721938,215,5263,2005,277100.0,0.0,-0.745209,-0.455725,TGO,071490
1728464,215,5264,2005,10162.0,36132.0,-0.745209,-0.455725,TGO,080110
1734990,215,5265,2005,,,-0.745209,-0.455725,TGO,080120
1741516,215,5266,2005,1372696.0,397758.0,-0.745209,-0.455725,TGO,080130
1748042,215,5267,2005,,,-0.745209,-0.455725,TGO,080211
1754568,215,5268,2005,0.0,8245.0,-0.745209,-0.455725,TGO,080212
1761094,215,5269,2005,,,-0.745209,-0.455725,TGO,080221
1767620,215,5270,2005,259007.0,0.0,-0.745209,-0.455725,TGO,080222
1774146,215,5271,2005,,,-0.745209,-0.455725,TGO,080231
1780672,215,5272,2005,,,-0.745209,-0.455725,TGO,080232
1787198,215,5273,2005,,,-0.745209,-0.455725,TGO,080240
1793724,215,5274,2005,3201.0,0.0,-0.745209,-0.455725,TGO,080250
1800250,215,5275,2005,7340.0,1885.0,-0.745209,-0.455725,TGO,080290
1806776,215,5276,2005,6396.0,0.0,-0.745209,-0.455725,TGO,080300
1813302,215,5277,2005,0.0,1559.0,-0.745209,-0.455725,TGO,080410
1819828,215,5278,2005,,,-0.745209,-0.455725,TGO,080420
1826354,215,5279,2005,1324819.0,0.0,-0.745209,-0.455725,TGO,080430
1832880,215,5280,2005,,,-0.745209,-0.455725,TGO,080440
1839406,215,5281,2005,13219.0,73721.0,-0.745209,-0.455725,TGO,080450
1845932,215,5282,2005,0.0,34368.0,-0.745209,-0.455725,TGO,080510
1852458,215,5283,2005,0.0,6421.0,-0.745209,-0.455725,TGO,080520
1858984,215,5284,2005,,,-0.745209,-0.455725,TGO,080530
1865510,215,5285,2005,,,-0.745209,-0.455725,TGO,080540
1872036,215,5286,2005,12842.0,0.0,-0.745209,-0.455725,TGO,080590
1878562,215,5287,2005,2502.0,102024.0,-0.745209,-0.455725,TGO,080610
1885088,215,5288,2005,0.0,16487.0,-0.745209,-0.455725,TGO,080620
1891614,215,5289,2005,,,-0.745209,-0.455725,TGO,080710
1898140,215,5290,2005,,,-0.745209,-0.455725,TGO,080720
1904666,215,5291,2005,11945.0,425564.0,-0.745209,-0.455725,TGO,080810
1911192,215,5292,2005,0.0,9361.0,-0.745209,-0.455725,TGO,080820
1917718,215,5293,2005,,,-0.745209,-0.455725,TGO,080910
1924244,215,5294,2005,,,-0.745209,-0.455725,TGO,080920
1930770,215,5295,2005,0.0,9881.0,-0.745209,-0.455725,TGO,080930
1937296,215,5296,2005,0.0,3948.0,-0.745209,-0.455725,TGO,080940
1943822,215,5297,2005,,,-0.745209,-0.455725,TGO,081010
1950348,215,5298,2005,,,-0.745209,-0.455725,TGO,081020
1956874,215,5299,2005,,,-0.745209,-0.455725,TGO,081030
1963400,215,5300,2005,,,-0.745209,-0.455725,TGO,081040
1969926,215,5301,2005,18067.0,8245.0,-0.745209,-0.455725,TGO,081090
1976452,215,5302,2005,,,-0.745209,-0.455725,TGO,081110
1982978,215,5303,2005,,,-0.745209,-0.455725,TGO,081120
1989504,215,5304,2005,,,-0.745209,-0.455725,TGO,081190
1996030,215,5305,2005,,,-0.745209,-0.455725,TGO,081210
2002556,215,5306,2005,,,-0.745209,-0.455725,TGO,081220
2009082,215,5307,2005,,,-0.745209,-0.455725,TGO,081290
2015608,215,5308,2005,,,-0.745209,-0.455725,TGO,081310
2022134,215,5309,2005,,,-0.745209,-0.455725,TGO,081320
2028660,215,5310,2005,,,-0.745209,-0.455725,TGO,081330
2035186,215,5311,2005,14919.0,0.0,-0.745209,-0.455725,TGO,081340
2041712,215,5312,2005,0.0,18782.0,-0.745209,-0.455725,TGO,081350
2048238,215,5313,2005,,,-0.745209,-0.455725,TGO,081400
2054764,215,5314,2005,9583594.0,6740.0,-0.745209,-0.455725,TGO,090111
2061290,215,5315,2005,1181491.0,0.0,-0.745209,-0.455725,TGO,090112
2067816,215,5316,2005,13179.0,47209.0,-0.745209,-0.455725,TGO,090121
2074342,215,5317,2005,17565.0,4275.0,-0.745209,-0.455725,TGO,090122
2080868,215,5318,2005,,,-0.745209,-0.455725,TGO,090130
2087394,215,5319,2005,114191.0,16804.0,-0.745209,-0.455725,TGO,090140
2093920,215,5320,2005,98066.0,1455392.0,-0.745209,-0.455725,TGO,090210
2100446,215,5321,2005,95088.0,1033400.0,-0.745209,-0.455725,TGO,090220
2106972,215,5322,2005,21077.0,768272.0,-0.745209,-0.455725,TGO,090230
2113498,215,5323,2005,11110.0,12303.0,-0.745209,-0.455725,TGO,090240
2120024,215,5324,2005,,,-0.745209,-0.455725,TGO,090300
2126550,215,5325,2005,,,-0.745209,-0.455725,TGO,090411
2133076,215,5326,2005,0.0,4983.0,-0.745209,-0.455725,TGO,090412
2139602,215,5327,2005,13079.0,0.0,-0.745209,-0.455725,TGO,090420
2146128,215,5328,2005,,,-0.745209,-0.455725,TGO,090500
2152654,215,5329,2005,,,-0.745209,-0.455725,TGO,090610
2159180,215,5330,2005,,,-0.745209,-0.455725,TGO,090620
2165706,215,5331,2005,16164.0,21802.0,-0.745209,-0.455725,TGO,090700
2172232,215,5332,2005,30403.0,220172.0,-0.745209,-0.455725,TGO,090810
2178758,215,5333,2005,,,-0.745209,-0.455725,TGO,090820
2185284,215,5334,2005,20133.0,0.0,-0.745209,-0.455725,TGO,090830
2191810,215,5335,2005,,,-0.745209,-0.455725,TGO,090910
