,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5767,221,5000,2016,,,-0.29545,-0.766385,TON,010111
12293,221,5001,2016,,,-0.29545,-0.766385,TON,010119
18819,221,5002,2016,,,-0.29545,-0.766385,TON,010120
25345,221,5003,2016,,,-0.29545,-0.766385,TON,010210
31871,221,5004,2016,,,-0.29545,-0.766385,TON,010290
38397,221,5005,2016,,,-0.29545,-0.766385,TON,010310
44923,221,5006,2016,,,-0.29545,-0.766385,TON,010391
51449,221,5007,2016,,,-0.29545,-0.766385,TON,010392
57975,221,5008,2016,,,-0.29545,-0.766385,TON,010410
64501,221,5009,2016,,,-0.29545,-0.766385,TON,010420
71027,221,5010,2016,0.0,7506.0,-0.29545,-0.766385,TON,010511
77553,221,5011,2016,,,-0.29545,-0.766385,TON,010519
84079,221,5012,2016,,,-0.29545,-0.766385,TON,010591
90605,221,5013,2016,,,-0.29545,-0.766385,TON,010599
97131,221,5014,2016,,,-0.29545,-0.766385,TON,010600
103657,221,5015,2016,,,-0.29545,-0.766385,TON,020110
110183,221,5016,2016,,,-0.29545,-0.766385,TON,020120
116709,221,5017,2016,0.0,19752.0,-0.29545,-0.766385,TON,020130
123235,221,5018,2016,,,-0.29545,-0.766385,TON,020210
129761,221,5019,2016,0.0,1392106.0,-0.29545,-0.766385,TON,020220
136287,221,5020,2016,0.0,676571.0,-0.29545,-0.766385,TON,020230
142813,221,5021,2016,,,-0.29545,-0.766385,TON,020311
149339,221,5022,2016,0.0,3541.0,-0.29545,-0.766385,TON,020312
155865,221,5023,2016,,,-0.29545,-0.766385,TON,020319
162391,221,5024,2016,,,-0.29545,-0.766385,TON,020321
168917,221,5025,2016,0.0,50115.0,-0.29545,-0.766385,TON,020322
175443,221,5026,2016,0.0,287440.0,-0.29545,-0.766385,TON,020329
181969,221,5027,2016,,,-0.29545,-0.766385,TON,020410
188495,221,5028,2016,,,-0.29545,-0.766385,TON,020421
195021,221,5029,2016,0.0,122687.0,-0.29545,-0.766385,TON,020422
201547,221,5030,2016,,,-0.29545,-0.766385,TON,020423
208073,221,5031,2016,0.0,16567.0,-0.29545,-0.766385,TON,020430
214599,221,5032,2016,,,-0.29545,-0.766385,TON,020441
221125,221,5033,2016,0.0,3288631.0,-0.29545,-0.766385,TON,020442
227651,221,5034,2016,0.0,686563.0,-0.29545,-0.766385,TON,020443
234177,221,5035,2016,,,-0.29545,-0.766385,TON,020450
240703,221,5036,2016,,,-0.29545,-0.766385,TON,020500
247229,221,5037,2016,,,-0.29545,-0.766385,TON,020610
253755,221,5038,2016,,,-0.29545,-0.766385,TON,020621
260281,221,5039,2016,,,-0.29545,-0.766385,TON,020622
266807,221,5040,2016,0.0,398776.0,-0.29545,-0.766385,TON,020629
273333,221,5041,2016,,,-0.29545,-0.766385,TON,020630
279859,221,5042,2016,,,-0.29545,-0.766385,TON,020641
286385,221,5043,2016,0.0,15376.0,-0.29545,-0.766385,TON,020649
292911,221,5044,2016,,,-0.29545,-0.766385,TON,020680
299437,221,5045,2016,,,-0.29545,-0.766385,TON,020690
305963,221,5046,2016,,,-0.29545,-0.766385,TON,020710
312489,221,5047,2016,0.0,109235.0,-0.29545,-0.766385,TON,020721
319015,221,5048,2016,0.0,19752.0,-0.29545,-0.766385,TON,020722
325541,221,5049,2016,0.0,7194.0,-0.29545,-0.766385,TON,020723
332067,221,5050,2016,,,-0.29545,-0.766385,TON,020731
338593,221,5051,2016,,,-0.29545,-0.766385,TON,020739
345119,221,5052,2016,0.0,7198019.0,-0.29545,-0.766385,TON,020741
351645,221,5053,2016,0.0,315951.0,-0.29545,-0.766385,TON,020742
358171,221,5054,2016,,,-0.29545,-0.766385,TON,020743
