,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5802,223,5000,1999,56433.0,384302.0,-0.317866,-0.102551,TUN,010111
12328,223,5001,1999,41443.0,6627.0,-0.317866,-0.102551,TUN,010119
18854,223,5002,1999,1035.0,0.0,-0.317866,-0.102551,TUN,010120
25380,223,5003,1999,0.0,2971259.0,-0.317866,-0.102551,TUN,010210
31906,223,5004,1999,0.0,888420.0,-0.317866,-0.102551,TUN,010290
38432,223,5005,1999,,,-0.317866,-0.102551,TUN,010310
44958,223,5006,1999,,,-0.317866,-0.102551,TUN,010391
51484,223,5007,1999,,,-0.317866,-0.102551,TUN,010392
58010,223,5008,1999,0.0,56079.0,-0.317866,-0.102551,TUN,010410
64536,223,5009,1999,,,-0.317866,-0.102551,TUN,010420
71062,223,5010,1999,0.0,1636245.0,-0.317866,-0.102551,TUN,010511
77588,223,5011,1999,0.0,440633.0,-0.317866,-0.102551,TUN,010519
84114,223,5012,1999,,,-0.317866,-0.102551,TUN,010591
90640,223,5013,1999,2135.0,0.0,-0.317866,-0.102551,TUN,010599
97166,223,5014,1999,5056.0,47622.0,-0.317866,-0.102551,TUN,010600
103692,223,5015,1999,0.0,2174226.0,-0.317866,-0.102551,TUN,020110
110218,223,5016,1999,0.0,1657200.0,-0.317866,-0.102551,TUN,020120
116744,223,5017,1999,,,-0.317866,-0.102551,TUN,020130
123270,223,5018,1999,,,-0.317866,-0.102551,TUN,020210
129796,223,5019,1999,0.0,46033.0,-0.317866,-0.102551,TUN,020220
136322,223,5020,1999,0.0,1766635.0,-0.317866,-0.102551,TUN,020230
142848,223,5021,1999,,,-0.317866,-0.102551,TUN,020311
149374,223,5022,1999,,,-0.317866,-0.102551,TUN,020312
155900,223,5023,1999,0.0,1449.0,-0.317866,-0.102551,TUN,020319
162426,223,5024,1999,,,-0.317866,-0.102551,TUN,020321
168952,223,5025,1999,,,-0.317866,-0.102551,TUN,020322
175478,223,5026,1999,,,-0.317866,-0.102551,TUN,020329
182004,223,5027,1999,,,-0.317866,-0.102551,TUN,020410
188530,223,5028,1999,,,-0.317866,-0.102551,TUN,020421
195056,223,5029,1999,,,-0.317866,-0.102551,TUN,020422
201582,223,5030,1999,,,-0.317866,-0.102551,TUN,020423
208108,223,5031,1999,,,-0.317866,-0.102551,TUN,020430
214634,223,5032,1999,,,-0.317866,-0.102551,TUN,020441
221160,223,5033,1999,0.0,1291.0,-0.317866,-0.102551,TUN,020442
227686,223,5034,1999,,,-0.317866,-0.102551,TUN,020443
234212,223,5035,1999,,,-0.317866,-0.102551,TUN,020450
240738,223,5036,1999,,,-0.317866,-0.102551,TUN,020500
247264,223,5037,1999,,,-0.317866,-0.102551,TUN,020610
253790,223,5038,1999,,,-0.317866,-0.102551,TUN,020621
260316,223,5039,1999,,,-0.317866,-0.102551,TUN,020622
266842,223,5040,1999,,,-0.317866,-0.102551,TUN,020629
273368,223,5041,1999,,,-0.317866,-0.102551,TUN,020630
279894,223,5042,1999,,,-0.317866,-0.102551,TUN,020641
286420,223,5043,1999,,,-0.317866,-0.102551,TUN,020649
292946,223,5044,1999,,,-0.317866,-0.102551,TUN,020680
299472,223,5045,1999,,,-0.317866,-0.102551,TUN,020690
305998,223,5046,1999,,,-0.317866,-0.102551,TUN,020710
312524,223,5047,1999,,,-0.317866,-0.102551,TUN,020721
319050,223,5048,1999,,,-0.317866,-0.102551,TUN,020722
325576,223,5049,1999,0.0,39074.0,-0.317866,-0.102551,TUN,020723
332102,223,5050,1999,,,-0.317866,-0.102551,TUN,020731
338628,223,5051,1999,8710.0,2284.0,-0.317866,-0.102551,TUN,020739
345154,223,5052,1999,0.0,20351.0,-0.317866,-0.102551,TUN,020741
351680,223,5053,1999,644074.0,0.0,-0.317866,-0.102551,TUN,020742
358206,223,5054,1999,3100.0,25312.0,-0.317866,-0.102551,TUN,020743
364732,223,5055,1999,0.0,2203.0,-0.317866,-0.102551,TUN,020750
371258,223,5056,1999,,,-0.317866,-0.102551,TUN,020810
377784,223,5057,1999,,,-0.317866,-0.102551,TUN,020820
384310,223,5058,1999,4968.0,0.0,-0.317866,-0.102551,TUN,020890
390836,223,5059,1999,,,-0.317866,-0.102551,TUN,020900
397362,223,5060,1999,,,-0.317866,-0.102551,TUN,021011
403888,223,5061,1999,,,-0.317866,-0.102551,TUN,021012
410414,223,5062,1999,,,-0.317866,-0.102551,TUN,021019
416940,223,5063,1999,,,-0.317866,-0.102551,TUN,021020
423466,223,5064,1999,0.0,4358.0,-0.317866,-0.102551,TUN,021090
429992,223,5065,1999,36333.0,1468.0,-0.317866,-0.102551,TUN,030110
436518,223,5066,1999,,,-0.317866,-0.102551,TUN,030191
443044,223,5067,1999,204676.0,0.0,-0.317866,-0.102551,TUN,030192
449570,223,5068,1999,,,-0.317866,-0.102551,TUN,030193
456096,223,5069,1999,0.0,305752.0,-0.317866,-0.102551,TUN,030199
