,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5873,225,5000,2018,,,1.529849,-0.7761279999999999,TUV,010111
12399,225,5001,2018,,,1.529849,-0.7761279999999999,TUV,010119
18925,225,5002,2018,,,1.529849,-0.7761279999999999,TUV,010120
25451,225,5003,2018,,,1.529849,-0.7761279999999999,TUV,010210
31977,225,5004,2018,,,1.529849,-0.7761279999999999,TUV,010290
38503,225,5005,2018,,,1.529849,-0.7761279999999999,TUV,010310
45029,225,5006,2018,,,1.529849,-0.7761279999999999,TUV,010391
51555,225,5007,2018,,,1.529849,-0.7761279999999999,TUV,010392
58081,225,5008,2018,,,1.529849,-0.7761279999999999,TUV,010410
64607,225,5009,2018,,,1.529849,-0.7761279999999999,TUV,010420
71133,225,5010,2018,,,1.529849,-0.7761279999999999,TUV,010511
77659,225,5011,2018,,,1.529849,-0.7761279999999999,TUV,010519
84185,225,5012,2018,,,1.529849,-0.7761279999999999,TUV,010591
90711,225,5013,2018,,,1.529849,-0.7761279999999999,TUV,010599
97237,225,5014,2018,,,1.529849,-0.7761279999999999,TUV,010600
103763,225,5015,2018,,,1.529849,-0.7761279999999999,TUV,020110
110289,225,5016,2018,,,1.529849,-0.7761279999999999,TUV,020120
116815,225,5017,2018,,,1.529849,-0.7761279999999999,TUV,020130
123341,225,5018,2018,,,1.529849,-0.7761279999999999,TUV,020210
129867,225,5019,2018,0.0,3053.0,1.529849,-0.7761279999999999,TUV,020220
136393,225,5020,2018,0.0,4322.0,1.529849,-0.7761279999999999,TUV,020230
142919,225,5021,2018,,,1.529849,-0.7761279999999999,TUV,020311
149445,225,5022,2018,,,1.529849,-0.7761279999999999,TUV,020312
155971,225,5023,2018,,,1.529849,-0.7761279999999999,TUV,020319
162497,225,5024,2018,,,1.529849,-0.7761279999999999,TUV,020321
169023,225,5025,2018,,,1.529849,-0.7761279999999999,TUV,020322
175549,225,5026,2018,0.0,29188.0,1.529849,-0.7761279999999999,TUV,020329
182075,225,5027,2018,,,1.529849,-0.7761279999999999,TUV,020410
188601,225,5028,2018,,,1.529849,-0.7761279999999999,TUV,020421
195127,225,5029,2018,0.0,67721.0,1.529849,-0.7761279999999999,TUV,020422
201653,225,5030,2018,,,1.529849,-0.7761279999999999,TUV,020423
208179,225,5031,2018,,,1.529849,-0.7761279999999999,TUV,020430
214705,225,5032,2018,0.0,1378.0,1.529849,-0.7761279999999999,TUV,020441
221231,225,5033,2018,0.0,222866.0,1.529849,-0.7761279999999999,TUV,020442
227757,225,5034,2018,,,1.529849,-0.7761279999999999,TUV,020443
234283,225,5035,2018,,,1.529849,-0.7761279999999999,TUV,020450
240809,225,5036,2018,,,1.529849,-0.7761279999999999,TUV,020500
247335,225,5037,2018,,,1.529849,-0.7761279999999999,TUV,020610
253861,225,5038,2018,,,1.529849,-0.7761279999999999,TUV,020621
260387,225,5039,2018,,,1.529849,-0.7761279999999999,TUV,020622
266913,225,5040,2018,,,1.529849,-0.7761279999999999,TUV,020629
273439,225,5041,2018,,,1.529849,-0.7761279999999999,TUV,020630
279965,225,5042,2018,,,1.529849,-0.7761279999999999,TUV,020641
286491,225,5043,2018,,,1.529849,-0.7761279999999999,TUV,020649
293017,225,5044,2018,,,1.529849,-0.7761279999999999,TUV,020680
299543,225,5045,2018,,,1.529849,-0.7761279999999999,TUV,020690
306069,225,5046,2018,,,1.529849,-0.7761279999999999,TUV,020710
312595,225,5047,2018,0.0,27205.0,1.529849,-0.7761279999999999,TUV,020721
319121,225,5048,2018,,,1.529849,-0.7761279999999999,TUV,020722
325647,225,5049,2018,,,1.529849,-0.7761279999999999,TUV,020723
332173,225,5050,2018,,,1.529849,-0.7761279999999999,TUV,020731
338699,225,5051,2018,,,1.529849,-0.7761279999999999,TUV,020739
345225,225,5052,2018,0.0,718321.0,1.529849,-0.7761279999999999,TUV,020741
351751,225,5053,2018,0.0,14430.0,1.529849,-0.7761279999999999,TUV,020742
358277,225,5054,2018,,,1.529849,-0.7761279999999999,TUV,020743
364803,225,5055,2018,,,1.529849,-0.7761279999999999,TUV,020750
371329,225,5056,2018,,,1.529849,-0.7761279999999999,TUV,020810
377855,225,5057,2018,,,1.529849,-0.7761279999999999,TUV,020820
384381,225,5058,2018,,,1.529849,-0.7761279999999999,TUV,020890
390907,225,5059,2018,,,1.529849,-0.7761279999999999,TUV,020900
397433,225,5060,2018,,,1.529849,-0.7761279999999999,TUV,021011
403959,225,5061,2018,,,1.529849,-0.7761279999999999,TUV,021012
410485,225,5062,2018,,,1.529849,-0.7761279999999999,TUV,021019
417011,225,5063,2018,,,1.529849,-0.7761279999999999,TUV,021020
423537,225,5064,2018,,,1.529849,-0.7761279999999999,TUV,021090
430063,225,5065,2018,,,1.529849,-0.7761279999999999,TUV,030110
436589,225,5066,2018,,,1.529849,-0.7761279999999999,TUV,030191
443115,225,5067,2018,,,1.529849,-0.7761279999999999,TUV,030192
