,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5883,226,5000,2002,4596.0,24697.0,-1.189463,-0.48640600000000006,TZA,010111
12409,226,5001,2002,7709.0,15331.0,-1.189463,-0.48640600000000006,TZA,010119
18935,226,5002,2002,,,-1.189463,-0.48640600000000006,TZA,010120
25461,226,5003,2002,3928.0,10612.0,-1.189463,-0.48640600000000006,TZA,010210
31987,226,5004,2002,24918.0,0.0,-1.189463,-0.48640600000000006,TZA,010290
38513,226,5005,2002,0.0,41946.0,-1.189463,-0.48640600000000006,TZA,010310
45039,226,5006,2002,,,-1.189463,-0.48640600000000006,TZA,010391
51565,226,5007,2002,2470.0,0.0,-1.189463,-0.48640600000000006,TZA,010392
58091,226,5008,2002,,,-1.189463,-0.48640600000000006,TZA,010410
64617,226,5009,2002,855.0,392228.0,-1.189463,-0.48640600000000006,TZA,010420
71143,226,5010,2002,4386.0,586740.0,-1.189463,-0.48640600000000006,TZA,010511
77669,226,5011,2002,805323.0,46083.0,-1.189463,-0.48640600000000006,TZA,010519
84195,226,5012,2002,3326.0,0.0,-1.189463,-0.48640600000000006,TZA,010591
90721,226,5013,2002,135981.0,8829.0,-1.189463,-0.48640600000000006,TZA,010599
97247,226,5014,2002,1619597.0,28936.0,-1.189463,-0.48640600000000006,TZA,010600
103773,226,5015,2002,,,-1.189463,-0.48640600000000006,TZA,020110
110299,226,5016,2002,0.0,38977.0,-1.189463,-0.48640600000000006,TZA,020120
116825,226,5017,2002,0.0,26709.0,-1.189463,-0.48640600000000006,TZA,020130
123351,226,5018,2002,0.0,8015.0,-1.189463,-0.48640600000000006,TZA,020210
129877,226,5019,2002,1217.0,9009.0,-1.189463,-0.48640600000000006,TZA,020220
136403,226,5020,2002,0.0,27314.0,-1.189463,-0.48640600000000006,TZA,020230
142929,226,5021,2002,1077.0,12263.0,-1.189463,-0.48640600000000006,TZA,020311
149455,226,5022,2002,0.0,9558.0,-1.189463,-0.48640600000000006,TZA,020312
155981,226,5023,2002,1221.0,32489.0,-1.189463,-0.48640600000000006,TZA,020319
162507,226,5024,2002,,,-1.189463,-0.48640600000000006,TZA,020321
169033,226,5025,2002,,,-1.189463,-0.48640600000000006,TZA,020322
175559,226,5026,2002,40710.0,5209.0,-1.189463,-0.48640600000000006,TZA,020329
182085,226,5027,2002,67068.0,37508.0,-1.189463,-0.48640600000000006,TZA,020410
188611,226,5028,2002,,,-1.189463,-0.48640600000000006,TZA,020421
195137,226,5029,2002,0.0,21351.0,-1.189463,-0.48640600000000006,TZA,020422
201663,226,5030,2002,0.0,1075.0,-1.189463,-0.48640600000000006,TZA,020423
208189,226,5031,2002,1422.0,0.0,-1.189463,-0.48640600000000006,TZA,020430
214715,226,5032,2002,,,-1.189463,-0.48640600000000006,TZA,020441
221241,226,5033,2002,,,-1.189463,-0.48640600000000006,TZA,020442
227767,226,5034,2002,,,-1.189463,-0.48640600000000006,TZA,020443
234293,226,5035,2002,0.0,3530.0,-1.189463,-0.48640600000000006,TZA,020450
240819,226,5036,2002,,,-1.189463,-0.48640600000000006,TZA,020500
247345,226,5037,2002,,,-1.189463,-0.48640600000000006,TZA,020610
253871,226,5038,2002,,,-1.189463,-0.48640600000000006,TZA,020621
260397,226,5039,2002,,,-1.189463,-0.48640600000000006,TZA,020622
266923,226,5040,2002,,,-1.189463,-0.48640600000000006,TZA,020629
273449,226,5041,2002,,,-1.189463,-0.48640600000000006,TZA,020630
